3Q4/8/6p1/1P2b3/4P1qk/8/5P2/5K2 b - -,g4g5
8/6R1/4r3/8/2p5/1k6/5P2/5K2 b - -,c4c3
r2qk2r/1b1nbppp/pp1ppn2/8/1PP5/P1N1PN2/1BQ1BPPP/R4RK1 b kq -,e8g8
8/3q1pk1/p5p1/Pp1p4/3PnNpP/1P4P1/4QPK1/8 w - -,f4d3
r1b2rk1/2qpbppp/ppn1pn2/8/2P2B2/1PN3P1/P1N1PPBP/R2Q1RK1 b - -,d7d6
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/2NBPN2/PP3PPP/R1BQK2R b KQ -,d5c4:b7b6:c7c5:b8c6
8/8/8/p3k2p/2p2p1P/2P2P2/1n1K4/6B1 b - -,e5d5
r2qkb1r/p4ppp/1pn1p3/1bppPn2/3P4/PBP2N2/1P2NPPP/R1BQ1RK1 w kq -,f1e1
4r2k/p4pbp/3Q1Bp1/1q6/4P3/1P3b2/P1P4P/1K1R3R w - -,d6d4
4r1k1/5p2/p2p2pb/2qPp1Nn/b3P3/1pP2N1P/1P3PP1/RQ4K1 w - -,a1a4
q1r3k1/1br1ppbp/1p1n2p1/pP1p4/P7/B1P1PN2/3N1PPP/1QRR2K1 b - -,d6e8
r1b3k1/p1p1q1p1/1pn1pr1p/8/2BPN3/7R/P4PPP/3Q1RK1 w - -,e4f6
8/4q1kp/p2pB1p1/1bpP4/7P/1rb1P1P1/R4Q2/3R2K1 b - -,a6a5
1r1q1rk1/pp2npbp/3p2p1/2p2n2/5B2/2NP2PP/PPP2QB1/R4R1K b - -,g7d4
r1bqr1k1/pp1n1pbp/3p1np1/3pp3/2P1P3/2N2N2/PP3PPP/R1BQRBK1 w - -,c4d5
2k3r1/ppqn4/2p3np/2Pp2p1/PP1B1rQ1/2P2N1P/5PP1/R3R1K1 w - -,g4e6
2r3k1/p1p1npp1/4r2p/1R2Q3/4p1qP/P1B3P1/P3PP2/2R3K1 w - -,e5h5
r1b1kbnr/pp3ppp/2n1p3/3q4/3P4/5N2/PP3PPP/RNBQKB1R w KQkq -,b1c3
r1b2rk1/pppq1pb1/5np1/2nPp1Bp/1PP1P3/2N2BN1/P5PP/R2Q1RK1 b - b3,c5a6
6Q1/q7/5k2/2p2p2/1nB1p1p1/1P2P1P1/4KP2/8 b - -,a7e7
2kr2nr/pp1n1pp1/2p1p2p/7P/3PNq2/5N2/PPP1QPP1/2KR3R w - -,e2e3
r4q1k/2Q3p1/3p1p2/3PpB1p/4P2P/1R4P1/1P1b1P2/6K1 b - -,d2a5
8/2r1bpk1/1R4p1/4p2p/1p2P3/1B5P/P3KPP1/8 w - -,b6b5
r2q1rk1/p4ppp/1p2Pn2/4n3/2B5/2b2Q2/PP3PPP/R1BR2K1 w - -,e6f7
2r1rbk1/1pqn1ppp/p1bpp3/8/P3PP2/1PNRBBQ1/2P3PP/5R1K w - -,f1d1
1r4k1/p4pb1/2b3p1/r2Np2p/2p4P/P3BP2/1PP1N1P1/K2RR3 b - -,c6d5
5k2/3q1p1Q/4p3/6P1/1p1b4/1P3R2/2P3KP/8 w - -,g5g6
2k2r2/p3r1p1/1p2pPQ1/2p1N3/2Pp4/7q/PPP1R3/1K2R3 b - -,g7f6
6k1/1Q6/3qppn1/6pp/4P3/5PP1/5NKP/8 w - -,b7c8
r7/4kp1p/2p1p1p1/3nB1P1/p3N2P/Pp3P2/1P1K4/7R w - -,h1c1
r7/5p1k/2p3pP/2q1p3/1pN1P2P/1P1P1P2/6Q1/2KR3R b - -,a8a1
r1b1k2r/5ppp/p3p3/1p1nn3/3N4/P1P2P2/2PB2PP/2K1RB1R b kq -,e5c4
4n2k/1Q1b3p/3p1np1/2bPpp2/r1P1P3/5P2/4B1PP/5R1K w - -,f1b1
r3k2r/p2pbppp/bqp2n2/4p1B1/4P3/1BN5/PPP2PPP/R2QK2R w KQkq -,d1d2
8/8/1pK2p2/1p3k2/pP3P2/P7/8/8 b - -,f5f4
r2qkb1r/1b1n1p2/p3p1p1/1p1NP1Np/2pn1P2/1P5Q/PBPPB1PP/R4R1K b kq -,d4e2
r1b2rk1/pp1nqpbp/6p1/3p4/1P1pP3/3P2P1/PB2QPBP/1R1N1RK1 b - -,d5e4
r1bqkb1r/pp3ppp/2pp4/4n3/2BpP3/2P4P/PP1P1PP1/RNBQR1K1 w kq -,d2d3
1rr3k1/1p3pp1/pQp4p/6q1/P7/4P1P1/1P3PKP/2RR4 b - -,c8d8
6k1/2q2pp1/3rp2p/1pP1n3/3QP3/1N3PP1/6KP/8 w - -,c5d6
2K5/8/8/8/8/8/3Q1qkp/8 w - -,d2g5
8/6R1/8/8/3pK3/r6p/P4k2/8 w - -,e4d4
8/8/4R2P/8/r3p3/4k3/8/5K2 w - -,e6e8
3r3k/6p1/2q2p1p/1p1NpP2/p1n1P3/P2R2PP/1P1Q2K1/8 w - -,d2b4
8/p4p1k/4q3/1pR2p2/1P1p2r1/P2Pp3/1P2QbPB/7K b - -,e6h6
r2r2k1/1pb1qp2/1np1b1p1/5p2/pP1PP2p/P3QPP1/3NN1BP/2R2RK1 w - -,c1c3
3r4/1pk3p1/p1n1p2p/8/3P1RP1/P1K4P/1P6/8 b - -,c6e7
5rk1/5pbp/r2p2p1/ppPq4/5Q2/2P2N1P/PP3PP1/2R1R1K1 b - -,d6c5
3r1nk1/p1r2ppp/1pq1pb2/8/2PP1R2/P5P1/1B2Q1NP/2R3K1 w - -,f4f6
r3k2r/pppnqpp1/3bpn2/3p3p/2PP1P2/1P4P1/PB1N1PBP/R2QK2R b KQkq c3,c7c6
5b2/8/7p/2P1k3/1R3p2/1N3KrP/6P1/8 w - -,f3f2
6k1/5p1p/6p1/6B1/5nP1/bB3P2/7P/7K b - -,f4e6
r1bq1rk1/1pp3bp/3p4/2nPpp1P/p1P2n2/2N1BPN1/PP1Q2P1/1K1R1B1R b - -,h7h6
2r3k1/pp3rpp/3B4/2P2p2/4b3/8/PP4PP/3RR2K b - -,b7b6
8/7p/1p3k2/8/3NKP2/8/6b1/8 w - -,e4e3
rn3rk1/p3bpp1/2p4p/1p1pPR2/1P1P4/P1NP4/3B2PP/R5K1 w - -,c3e2
r3n1k1/p1r2pp1/1pbpp2p/4q3/2PRP3/Q1N2PP1/PP1RBK1P/8 w - -,e2d1
2rk4/R2b2pp/1P1Kp3/3pPp2/B1p2P2/2P3P1/7P/8 b - -,d7a4
6k1/5pb1/1p4q1/p5P1/PpPp4/1P1PrNP1/6Q1/6NK b - -,g6d3
r5k1/r4pp1/4p2p/1p1pP3/P2n4/1P1N1P2/6PP/2R2RK1 w - -,c1b1
r4rk1/1bqnbppp/p2pp3/1p6/n2PPPP1/5NNP/PP1BQ1B1/2R2RK1 b - -,c7d8
2kr2r1/1qn1b3/pp2p2p/4p2P/PPQ2pp1/5P2/2P1BP2/1RBR2K1 w - -,d1d8
3R1b1r/2p2kp1/prN4p/1p5P/2p2B2/2Pn2P1/5P2/5RK1 w - -,c6e5
1rbqr1k1/1p2bpp1/p1np1B1p/2p1p3/P3P3/N1PP1NPP/1P3PB1/R2Q1RK1 b - -,e7f6
r6r/p3kppp/2p1bn2/8/5p2/2N5/PP1RPPPP/4KB1R w K -,g2g3
r7/1p1bkp1p/1B1p2pb/3Pp3/4P3/P4BP1/1Pn2P1P/1R3NK1 b - -,a8a6
1r2r1k1/3b2b1/pp4qp/2pPpp2/P1P4B/6PP/RP1Q1PB1/5RK1 b - -,g7f8
R7/8/2p1r1k1/8/4PR2/p1PK3P/8/r7 b - -,g6g5
r4rk1/ppp1q1pp/2p1b3/2PN1p2/3Pp3/4P3/PP2BPPP/R2QK2R b KQ -,e6d5
8/7p/3kbpp1/4n3/1p1pP3/3P1N2/1P2B1PP/4K3 b - -,e5f3
6k1/6p1/1r3p1p/1pN2P2/1Pp2K2/2N4P/6P1/8 b - -,g8f7
1r2n3/p3r1bk/2q3pp/N1P1p3/8/1Q2B3/PP3PPP/2RR2K1 b - -,c6c7
r5k1/p4pp1/Qp2p2p/8/1PR5/4P2P/P4PPK/3q4 b - -,d1d6
r1b1r3/ppp2pkp/6p1/8/2N2P2/2n5/PPP3PP/R4RK1 w - -,b2c3
r4rk1/1pqbbppn/p2p3p/5P2/3PP2P/2p3P1/PP2QNB1/R1B2RK1 w - -,e2f3
1r1q1rk1/p3bppp/b1n2n2/2p1pN2/1p2P3/1P4PP/PBP1NPB1/R2Q1RK1 w - -,f1e1
r5k1/1p3pp1/3bpnp1/3pn3/1q4P1/1PQP3P/1B1NPPB1/5RK1 b - -,b4c3
