8/4k3/p3p3/8/1K4N1/4P1b1/P7/8 b - -,e7f7
1r6/p1p5/2p4R/2Pk3P/4b1K1/2B5/PP6/8 w - -,h6h8
1r2r1k1/nnR2ppp/3pq3/Pp1Np3/1P2P3/3B3P/3Q1PP1/4R1K1 w - -,a5a6
r4rk1/pp5p/1n3qb1/3pR3/3BP3/2N5/PP2Q1P1/2KR4 b - -,f6f4
8/p5r1/6k1/7R/2p2p2/8/P4P1P/2K5 w - -,h5c5
r1bq1rk1/pp2ppbp/2p2np1/3n4/3P4/1B3N2/PPP2PPP/RNBQR1K1 w - -,b1d2
8/8/3pk1p1/5r2/2NR2KP/8/8/8 b - -,d6d5
5rk1/1pqQ1ppp/p3p3/P1P5/1P6/8/5PPP/3R2K1 b - -,c7b8
2kr3r/2p2pb1/1p2b1p1/2pNn2p/p3PB1P/P1P2P2/1PKN2P1/3R3R w - -,c3c4
6k1/p1N1b1pp/1p3p2/4p3/PP2n3/3rP1P1/5PKP/BR6 w - -,g2f3
3rr1k1/1pp1qppp/2n2n2/p3p3/2P3b1/PPB2NP1/1Q2PPBP/R2R2K1 b - -,f6e4
5rk1/pp1b1p1p/3p3b/4p3/1PN1Pn2/P1q2N1P/5PP1/3QRBK1 w - -,e1e3
8/8/8/6p1/3bkpP1/8/4K3/3N4 b - -,f4f3
2b2rk1/3n1pb1/p1n1p1pB/2P1q3/Pr2N2Q/2N5/1P2BPPP/R4RK1 b - -,c6d4
4b1r1/7k/p3R3/4Ppq1/4p3/1PP1R1PP/P7/4QK2 b - -,f5f4
rn1qkb1r/pb1p1ppp/1p2pn2/2p1P3/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq -,f6d5:f6e4
3r2k1/3r4/6p1/1Qpp3p/p4Pqb/2P3P1/PP1RN2K/3R4 w - -,b5c5
2r3k1/1p3pp1/pRN1pq1p/2Pr4/3PQ1PP/8/P4PK1/3R4 b - -,b7c6
3b2k1/3r2pp/3p1p2/1p2pP2/1N2P3/1qP1Q2P/1r1R2P1/2R4K w - -,d2d5
8/7p/3pk3/2p1pp2/2Pb3P/6P1/R4PK1/1r2B3 w - -,e1d2
r2r2k1/1bp2ppp/1b2p3/1B5n/P2P1P2/1P4PP/1B2N2K/R3R3 b - -,h5f6
r1n2rk1/1p1qbppp/4pn2/1P1p4/p1P5/P5P1/1B1NPPBP/2RQ1RK1 w - -,d2f3
5rnk/pp1qbr1p/2n1bpp1/2p1p1P1/3pP2P/3P1PN1/PPPB2BN/R3QRK1 w - -,a2a3
2r2rk1/pp1bpqbp/2pp2p1/3P1p2/2PNn3/1P2P1P1/PB2QPBP/3R1RK1 w - -,d5c6
r1bqk2r/pp3ppp/2n1p3/3n4/1b1P4/2NB1N2/PP1B1PPP/R2QK2R b KQkq -,e8g8:d5f6:b4e7
2k4r/6p1/2p1pp2/7p/2PB1P2/6PP/PP2B1K1/8 w - -,a2a4
8/4b3/8/2pPpk2/2P3P1/4BP2/6K1/8 b - -,f5g6
r4rk1/pp2bpp1/3q1n1p/2p1pR2/P3P3/2NP2QP/RPP3P1/2B3K1 b - -,f6d7
3n4/4k1p1/4p2p/8/2B4P/6P1/5K2/8 w - -,f2f3
2k2q2/8/1Q5p/p3p2P/P4p2/1PK2P2/6P1/8 w - -,b6a5
8/n2qn1k1/2r5/r1p1pp1p/1p2P1pP/1P1P2P1/2RRNPQ1/2N3K1 w - -,f2f4
4r1k1/5ppp/p2Rn3/1p2p1P1/4n1q1/2P1B1P1/1P3P2/2RQ2K1 b - -,g4f5
8/6b1/3P1pnk/5Kp1/R2B3p/6P1/PP1r3P/8 b - -,g6e5
3r1k1r/p1p1npb1/1pp1bNpp/4P3/3N2P1/1P5P/PBP2P2/R2R2K1 w - -,d4e6
1r1qk2r/4bppp/p1npb3/3Np3/1pP1P2P/1P4P1/P1N2P2/R2QKB1R w KQk -,d1d2
