8/3R3R/6p1/pp6/2p3kP/1B6/P4PPK/4q3 w - -,b3d1
1Rb1r1k1/4qrbp/pR1p2p1/2pP3n/P4p2/2N2BP1/2QBPP1P/6K1 b - -,g7d4
2r5/5p2/5k1p/3K2p1/8/8/1p6/8 w - -,d5d6
2kr2r1/p1q1bp1p/Ppp1ppNB/3P4/2P5/1B1n1Q2/1P3PPP/R3R1K1 b - -,g8g6
2r5/5n2/3p1kp1/1P5p/3RPp2/2p5/2B2PP1/6K1 w - -,g1f1
5k2/p4p2/B1p2n1p/2Nb2p1/3p4/P4PP1/1P1R1KP1/1r6 b - -,b1c1
R7/5ppk/4p2p/2n5/1p3P2/1r4PP/5KB1/8 w - -,a8a7
r4rk1/ppp2ppp/1b4q1/3pP3/5P1n/2P3Pb/PP2BB1P/RN1Q1RK1 w - -,e2d3
rnbqk2r/pp3ppp/2pp1n2/b3p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 b kq -,b8d7
8/8/4p3/R5k1/3P1pP1/8/6PK/3r4 b - -,g5h4
2r2r1k/R4p1p/2N3pb/1Q6/4p3/3nP3/1P1KR3/2B2q2 w - -,a7a1
r2q1rk1/1p1bbppp/p3p3/1N2P3/1P6/2P5/2P2BPP/R2Q1RK1 w - -,b5d6
r4r1k/1bqnbppp/p3p3/1p1pP3/4nP2/PNNB2Q1/1PPB2PP/4RR1K w - -,g3h3
r1bq1rk1/pp2bppp/2np1n2/2p1p3/2B1P3/1PN2N1P/PBPP1PP1/R2Q1RK1 b - -,a7a6
8/1p2b3/p1p5/1k1p1p2/1P1P1Pp1/1PK1P1PN/R5R1/4r3 b - -,g4h3
3r3k/2p2qp1/1p5p/P1p5/1n2NR1P/2Q2PK1/5P2/8 b - -,f7f4
2r1k2r/pp1bbppp/q1n1p2n/3pP3/3P4/P1N2N1P/1P3PP1/RBBQK2R w KQk -,b1d3
rnb1kb1r/pp2pppp/8/8/3NnB2/8/PP2PPPP/RN2KB1R b KQkq -,e7e5
