8/6k1/4R2p/7P/4P1K1/8/8/5r2 w - -,e6g6
8/4B1p1/2r2pk1/P5p1/8/5P1P/6PK/8 w - -,e7d8
8/1p2k2r/p4n1p/4B3/2P1p3/1PK5/1P5P/4R3 b - -,e7e6
5rk1/pp4pp/2p5/5b2/5PBb/2P4P/PP1R2K1/5R2 b - -,f5e4
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/4PNP1/PP3PBP/RNBQK2R b KQkq -,f8e7
r1b2rk1/pp3ppp/1qn1p3/3pPn2/1b1P4/1P3N2/PB2BPPP/RN1Q1K1R w - -,g2g4
rnbqk2r/pppp1ppp/5n2/4p3/2PP4/4P3/PP1Q1PPP/RN2KBNR b KQkq -,b8c6:d7d6:e5d4
rnbqk2r/pp2ppbp/2p2np1/3p4/2P5/1P3NP1/PB1PPP1P/RN1QKB1R w KQkq -,f1g2:d2d3
2r2k2/3R4/p4p1p/1p1B4/7P/8/PPP2r2/3KR3 b - -,f2c2
6r1/ppk2br1/3bp3/2p4p/2P1pP2/1P2B1PP/P2R3K/3B3N b - -,b7b6
r4rk1/p1p2ppp/1pn1pnq1/1R4N1/3P4/2P1P3/P3QPPP/2B2RK1 w - -,e3e4
r1b1kbnr/ppqp1ppp/2n1p3/8/4P3/1N1B4/PPP2PPP/RNBQ1RK1 b kq -,g8f6
1r4k1/2b2pp1/5n1p/p1B1p3/P1R5/4P1P1/5PBP/6K1 b - -,b8b1
2r1r1k1/p5pp/1p2q3/3b1p2/3P4/P2Q2P1/3NPP1P/R3R1K1 b - -,c8c7
8/4k3/5R2/2r4p/3p4/6K1/3NP3/8 b - -,c5c2
2R5/pp4k1/n1p3pp/2b5/5P2/1P3N2/P3r1PP/5R1K b - -,e2a2
2r3k1/3q1pp1/p2p4/1p1n3p/1P1NpP2/P3P2P/3Q2P1/5RK1 w - -,d4b3
r4rk1/1b3pbp/pq3np1/1P2p3/P3P3/3B1N2/1P1NQ1PP/R3K2R b KQ -,a6b5
r3nrk1/1p1q1pb1/3p2p1/pNnPp2p/4P3/4BPN1/PP2Q1PP/R4RK1 w - h6,f1c1
r3k2r/pp1n4/2p1ppp1/8/2PPp2P/1P2P3/1P1K1P2/R4B1R w kq -,f1g2
1r4k1/p3pp2/6p1/2Q4p/4q2P/1P6/P3N1P1/K2R4 w - -,e2c3
3n4/p3k3/1p6/5Pp1/3pNqN1/P6R/1P5P/6K1 w - -,f5f6
1rb1rbk1/2R2p1p/pp1n2p1/3Pp3/1P6/4B1PP/P2NPPB1/3R2K1 b - -,d6b5
3r1rk1/1p3ppp/p1n3n1/8/P1BP1qb1/1N3N2/5PPP/2RQR1K1 w - -,c4e2
rnbqkbnr/1p1p1p1p/p3p1p1/2p5/4P3/2N2NP1/PPPP1PBP/R1BQK2R b KQkq -,f8g7
r2q3r/pp1nbkp1/2p2n1p/3p4/3P1B1P/2N1P3/PP3P2/R2QK1NR w KQ -,g1f3
8/3b1k1r/1p3B2/3pP3/2p2K2/2P5/8/1R6 w - -,b1b6
4r1k1/1p1n3p/p1n1pr2/3pq3/6B1/N1P1Q3/PP3PPP/4RRK1 w - -,f2f4
r5kb/1bqnrp1p/pp1p2pB/P2P4/1Pp1N1P1/4P2P/3Q1PB1/2R2RK1 w - -,h6f4
