8/3R4/6k1/p1P1p3/4NrPb/7P/PP6/2K5 w - -,e4d6
4r3/2p2kb1/1p2np2/pP3Qp1/q7/4PNBP/5PPK/4R3 b - -,f7g8
R7/P6k/8/8/5pP1/r7/5K2/8 w - -,g4g5
r3kb2/pp3pp1/2n1q3/2p2b1p/3p1P2/NP3NQ1/PBPP2PP/2K4R b q -,e8c8
3r1r2/p4pkp/2p3p1/8/2N2n2/P7/1P3PPP/R3R1K1 b - -,c6c5
r4rk1/pppq1pb1/2np1np1/4p2p/1PP1P3/2NP2Pb/P2N1PBP/1RBQ1RK1 w - h6,b4b5
r1bqk2r/1p3ppp/p1n1pn2/8/PppP4/5NP1/1PQ1PPBP/RN2K2R w KQkq -,c2c4
r2q1rk1/pp2ppbp/1nn3p1/8/4P1b1/2N2NP1/PP2QPBP/R1B2RK1 w - -,c1e3
r1bq1rk1/1pp1npbp/6p1/p2n4/3N4/BP3NP1/P3PPBP/2RQ1RK1 w - a6,d1c2
8/p1k5/1pb1R3/4pp2/8/P1P4r/1P3K2/8 w - -,e6e5
1rbq1rk1/2p2pp1/2np3p/1pb1p2n/4P3/1B1P1N1P/1PP1NPP1/R1BQ1RK1 w - -,g2g4
3qrrb1/pp4k1/2p3pn/4Pp2/3P1N1p/2PB1R1P/PQ4P1/5RK1 b - -,e8e7
3r4/3P1k2/6R1/5pKp/p4P2/B6P/6P1/8 w - -,g6f6
1qr1rbk1/3b1ppp/p2ppn2/Bp6/3NP3/1P4PP/P1PQ1PB1/2R1R1K1 w - -,a5b4
rq3rk1/1p3pbp/p4np1/4pb2/1nP5/1NN1B3/PP2BPPP/R2Q1RK1 w - -,e3b6
3rkb1r/p2q1ppp/1pn5/1Q1p4/3P3P/P1P3P1/5PB1/1RB1K2R b Kk h3,c6e7
r1bqr1k1/1p2bppp/1npp1n2/p7/P2NPP2/1PN2B2/2P3PP/R1BQ1RK1 b - -,e7f8
2r1r1k1/p1qnbppp/bpp1p3/8/2PP4/1P3NP1/PB2QPBP/3R1RK1 b - -,c8d8
5r2/p1r1np1k/bp1bp2p/3p4/3N4/3PR1PP/PPPR1BB1/6K1 b - -,e6e5
3r2k1/5pb1/p6r/Q1p5/2P1qNnp/P3PNP1/5PK1/1R6 w - -,a5d8
