8/2R2k2/6p1/6K1/4rP2/8/8/8 b - -,f7f8
r4rk1/pp1q4/3p3p/2pP2p1/4PPb1/1Q1Pb3/PP1N2BP/R4R1K w - -,d2f3
r1bqk2r/1p1n1ppp/p2bpn2/2p5/P7/1Q1P1NP1/1P2PPBP/RNB1K2R b KQkq -,e8g8
r1bqkb1r/1pp2p1p/p1np1np1/4p3/2PP4/P1N1PN2/1P3PPP/R1BQKB1R w KQkq -,f1e2
1r4k1/5p2/q2p1bpp/2pPp3/1r2P3/1N5P/P1Q1RPP1/1R4K1 w - -,e2e1
2kn3r/1qr1bR2/p3P3/1p1p1B1p/b2P1B2/2P2Q2/6PP/1R4K1 b - -,d8f7
5rk1/p6p/1pR1P3/1B1p1ppq/P2PnP2/1Q4P1/1P5P/6BK b - -,g8h8
r2q1rk1/1p1b1ppp/n1pp1n2/p2Pp3/1PP1P3/P1N5/3NBPPP/1R1QK2R b K b3,a5b4
r1b2rk1/1pq3pp/p2bpp2/3n4/8/1NP4P/PPBB1PP1/R2QR1K1 b - -,e6e5
8/k4r2/ppq5/8/3Qp3/4R1P1/P1PR1P1P/1n4K1 w - -,d4d5
8/4k3/1pB3p1/6n1/1P2P3/6N1/5K2/8 b - -,e7d6
r3k2r/2B1b1pp/b1p1pp2/3p4/pP1Pn3/P3P3/2N2PPP/2R1K2R b Kkq -,a6c4
r1b1r1k1/ppp2ppp/8/2b1n3/4P2q/2N5/PPP1N1PP/R2QK1BR w KQ -,e2g3
8/2rrk1p1/pp1bp2p/4p2P/1P2B3/P2RP1P1/5PK1/3R4 b - -,a6a5
r2q1rk1/1b2bppp/1pn1pn2/p1pp4/2P5/PP1P1NP1/1B1NPPBP/R2Q1RK1 w - a6,a1b1
1rq2rk1/4bppp/p3pn2/3p4/2P5/3BB3/PP3PPP/R2Q1RK1 w - -,a1c1
8/1p6/2p2k1p/4pp1P/3P4/R7/PPP3r1/3K4 w - -,d4e5
2r1r1k1/pp3n1p/3b2p1/P2P2qn/2p1P3/2N2P1Q/1PB4B/R4R1K w - -,f1g1
r5rk/p4R1p/1p2n3/2p5/2P1b3/1B2B1QP/P5P1/5RK1 w - -,g3e5
4r3/pb3ppk/4p2n/2p5/2P5/PP2PP1P/6P1/2RR2K1 b - -,h6f5
8/1pn2rkp/3p1qp1/p1pP4/P1P1B3/2P4P/3QRP1K/8 w - -,e4d3
2n2rk1/pp3n1p/2p3p1/P1P1Q3/4N3/1B5P/1P3qP1/3R3K b - -,f2f5
3r2k1/1p5r/2p2p2/p1p2Pp1/P1P1P1P1/3P4/4K3/R2R4 w - -,d1h1
3qr3/1Q2R1kp/3B1pp1/1pp5/3p4/1nPP4/pP3PPP/4R1K1 b - -,e8e7
r4rk1/1b3ppp/p1p2nn1/1p3NB1/6q1/3B4/PPQ2PPP/3R1RK1 w - -,g5f6
r4rk1/ppqbnppp/3b4/3pB3/8/2PB2N1/PP3PPP/RN1Q1RK1 b - -,d6e5
1r3r1k/q4p1p/6pb/3p1P2/P1pP2B1/2P2n1P/2P1N1Q1/R5K1 w - -,g2f3
r4rk1/2q2pb1/2p1pnp1/p5Np/2PP2nP/1PB3N1/P5Q1/1K1RR3 b - -,a5a4
7r/pp2qpk1/3p2p1/8/3nP1P1/1PpN1B2/P1Pb1PK1/1R1Q4 w - -,g2g1
1rbq1rk1/p3ppbp/3p1np1/nppP4/2P5/1P3NP1/P1QNPPBP/1RB2RK1 b - -,b5c4
1nb2rk1/r1q2pnp/p2p2pB/1ppPP3/6Pb/P1N3NP/1PP3B1/R2Q1RK1 w - -,e5d6
8/8/1pPk4/pB2b1pp/P2pP2P/1P3KP1/8/8 b - h3,g5h4
3r3k/2q1r3/1p2Pn1p/pPp2Pp1/P1Qp4/5B2/6PP/3RR1K1 b - -,h8g7
8/8/6pp/7r/4k2N/7P/4KP2/8 w - -,f2f3
4k3/R6P/8/2p1N3/1n2B3/3P2P1/8/q6K w - -,a7a1
5n2/4k3/3p4/3Pp3/8/B2K4/8/8 b - -,f8d7
4r3/p5bk/b1q3pp/5p2/3p1P1B/P1p3PP/Q4R2/2N2RK1 b - -,d4d3
2r2rk1/2p2pbp/ppn1pnp1/8/P2P1B2/2N2N2/1PP2PPP/3RR1K1 b - -,h7h6
5r2/p4pk1/7p/2p1n3/5RpP/1B2r1P1/P5P1/3R2K1 w - -,d1d5
rn1k3r/p3nppp/1pp1p3/8/2P5/2N2PP1/PP3P1P/R3KB1R b KQ -,b8d7
r3r1k1/5p2/p3bPpB/1p4P1/2pPp2Q/P3P1q1/1P4Kb/3R1R2 w - -,h4g3
r3r1k1/4qpb1/2B3p1/p1n1p3/2P2P1p/1PN5/P1Q2n2/3RR1K1 w - -,c2f2
8/8/2p2qpk/2Ppp2p/4p3/4PnNQ/3N1P2/6K1 w - -,d2f3
3q2k1/2n2rpp/8/1p1p1p2/3P4/P3PP2/1PQ1N1PP/2R3K1 w - -,e2f4
8/8/7p/1p2Bpp1/1Pk2P2/2P2PbP/4K3/8 w - -,e2d2
r3r1k1/1b3pbp/p1pR1np1/1pn1p1B1/4P3/2N2N1P/PPP2PP1/4RBK1 b - -,f6h5
r2qnrk1/1p3ppp/p2p4/3Pb3/2P2R2/1N1B3Q/PP4PP/1R4K1 b - -,g7g6
r2qk2r/ppp1bppp/2np1n2/1B2p2b/4P3/1PN4P/PBPPNPP1/R2QK2R w KQkq -,e1g1
5rk1/2R2ppp/pQ2p3/1P2P3/2p2P2/3q1R2/N2b2PP/6K1 b - -,d3b1
r1b1r1k1/p4ppp/1np2b2/3p4/8/1P1B1N2/P1P2PPP/1RB2RK1 b - -,c6c5
4b2k/6rp/1p2p2p/1PbpN3/3n4/P2B2NP/5PP1/4RK2 b - -,g7a7
8/3kpp2/p2r2p1/R2P3p/8/6PP/4KP2/8 w - -,e2e3
8/1PkN3p/6p1/5p2/5P2/1b4P1/7P/6K1 b - -,c7b7
r1qn2k1/1p1b1p2/pB1p2pb/P2Pr2p/8/1N4PP/1PP2QBK/R2R4 b - -,f7f5
8/6p1/3pk1K1/8/P7/4N3/5P1r/8 w - -,e3g4
1R6/3Bp1kp/2r1Pn2/3p1pp1/1p6/1P2PPP1/1P5P/6K1 b - -,c6c1
b4rk1/2q1bp1p/2p3p1/1p1P3n/1PnB1P2/1BN2N1P/2P3P1/2Q1R1K1 b - -,e7b4
r1bqk2r/ppp1p1b1/2np2pp/4Pp2/3PnB1P/2N2N2/PPP2PP1/R2QKB1R w KQkq -,f1b5
r2q1rk1/pp1n1ppp/3bpn2/2p5/3pP3/3P2PP/PPP1QPB1/RNB2RK1 w - -,f2f4
r2b2k1/2n2p2/n1p4p/2PpP1p1/RP6/1N2BPPB/5P1P/6K1 b - -,a8b8
2rr4/7p/p2P4/1pB1k1p1/1PnRBp2/2P5/P6P/3K4 b - -,c4d6
2rqkb1r/1p1n1ppp/p3p3/3p1b2/3P4/2N1P1B1/PP3PPP/2RQKB1R w Kk -,f1d3
8/4kp2/1p2p3/p1n3r1/P1PK2P1/8/5R2/3B4 b - -,g5g8
rnb1k1nr/pp1pppbp/6p1/q7/3N4/2N3P1/PPP1PPBP/R1BQK2R b KQkq -,g8f6
r1bqkb1r/ppp2ppp/2n2n2/3pp3/8/1P4PP/PBPPPPB1/RN1QK1NR b KQkq -,c8e6
3r2k1/ppp2ppp/8/8/1B4b1/P2rP3/1P3PPP/R4RK1 b - -,g4e2
8/8/3R1kpp/4pp2/8/5PKP/r5P1/8 b - -,f6g7
r2qk1nr/pp2ppbp/2n3p1/3pP3/3P2b1/2N1BN2/PP3PPP/R2QKB1R b KQkq -,e7e6:g8h6
3r1rk1/1bnq2pp/5p2/3p4/1ppP1PP1/1n2PB2/1P2NNQP/3RR1K1 b - -,d8a8
8/5kp1/r1N1n2p/P2nPp2/1pR2P2/1P1KB1P1/8/8 b - -,g7g5
r1bq1rk1/pp1nppbp/6p1/3P3n/2B5/1QNPBN2/PP3PPP/R4RK1 w - -,f1e1
