4k2K/8/8/5q2/8/8/1Q6/8 b - -,f5h5
8/6p1/3k3p/2pn4/8/1B3PP1/1P3K1P/8 b - -,d5b4
7r/ppN3pk/3pP2p/4n3/3NPB1b/6n1/PPP5/R2K4 b - -,g3e4
5rk1/pQ1p3p/1p1Pp2R/2b2pq1/8/6P1/PB2nPKP/5R2 b - -,g5h6
r5k1/1p2qppp/1B1rn3/P1p1P3/1b6/5PP1/1PQ1B1KP/3R3R b - -,d6d1
rnbq1rk1/ppp2ppp/8/3np3/8/P1N1P3/1P1P1PPP/R1BQKB1R w KQ -,d1c2
r1bqk2r/pp3pp1/4pb1p/2p5/3P4/4PNP1/PPP3BP/R2Q1RK1 w kq c6,c2c3
rn1qkb1r/1p3pp1/p2p1n1p/4pP2/6P1/2N5/PPP1QP1P/R1B1KB1R b KQkq g3,b8c6
8/2k1r3/2pR1p2/1pP1pBbP/pP2K1P1/8/P4P2/8 w - -,f2f3
5b1r/1ppk2p1/5p1p/3p4/bp6/3P2P1/1B1NPP1P/4K2R b K -,a4b5
6k1/8/p1R5/P1PpK2p/3P3P/7r/8/8 w - -,c6a6
r1bqr1k1/1p3ppp/2p1nn2/p1b1pN2/4P3/6P1/PPP2PBP/1RBQRNK1 w - -,c1e3
5k2/5pp1/pp1q1n1p/2prrB2/1PR3PQ/3P4/P4P1P/5RK1 b - b3,d5d4
2rr2k1/1b3ppp/4pn2/1p6/1b6/3P1PNP/B2RKP2/7R b - -,b7f3
8/6k1/r4p2/Ppp1p2P/4P1PK/2P5/8/R7 b - -,g7h6
r1bq1rk1/pp4pp/2n1pn2/3pN3/2pP4/P1P2P2/2P3PP/R1BQKB1R w KQ -,e5c6
1n6/1P6/8/8/4kn2/8/3K4/8 w - -,d2e1
r1b2rk1/1p5p/3bp1p1/1B1p4/P2P1P2/2R1PN2/1P3K1P/2R5 b - -,g8g7
1r4k1/5ppp/4b3/4q3/1Q6/P3P1P1/5PBP/5RK1 w - -,b4d4
5b2/5k1p/3p2p1/4p1P1/4P3/5PK1/5N2/8 b - -,f7e6
4rrk1/pppb1qpp/n7/3N1n2/1PP1p1P1/P4p2/1B1Q3P/R3RB1K b - g3,f5g3
8/8/p6p/1b4p1/2p2p2/2K2P1P/3R2Pk/8 b - -,h2g3
r3r1k1/p4ppp/2pbn2n/3p4/N2P3q/P3PQNP/5PP1/R1B2RK1 w - -,g3f5
3rr1k1/6pp/q1p5/2P1pp2/1PQb4/3P4/4NPPP/1R2R1K1 b - -,a6c4
1rb2k2/5np1/2Pp4/3P2p1/8/5PB1/6BP/4R1K1 w - -,g2f1
6k1/p1r3pp/4Bn2/1Pp1R3/P1q5/5P2/5QPP/6K1 b - -,c4e6
r5k1/3R1pp1/4p2p/1pN1Q1q1/1Pb1P3/7P/5PP1/6K1 w - -,e5g5
rn1qk2r/pbp2p2/1p1ppn1p/6p1/2PP4/P1Q1P1B1/1P3PPP/R3KBNR b KQkq -,f6e4
rn2kb1r/pp2p2p/2p3p1/8/4q3/2P2N2/PPPB1QPP/R2K3R b - -,b8a6
r7/8/7p/P1p1kp2/5R1P/4P3/2K2P2/8 w - -,f4a4
b1rr1qk1/p2n1ppp/8/PPpnp3/8/BNQ1PP2/4B1PP/2RR2K1 w - -,c3d2
r6r/1b2kppp/p1qppn2/1p6/4P3/P5P1/1PP2PBP/R1BQR1K1 w - -,c1g5
4r2k/1p4p1/7p/4n2P/P4QPB/P2p2K1/3R1P2/2q5 w - -,g3g2
4R3/2kb2p1/2p2p1p/2p2P2/2P2KPP/1P1P4/8/1B6 b - -,d7e8
2br2k1/4q2p/2Bp4/2pP1p2/1bQ4P/5N2/R4PP1/6K1 w - -,a2e2
4rk2/4pn1p/p2r2p1/q2PRp2/2Pp1P2/7P/2Q3P1/4RBK1 w - -,e5e6
2rr2k1/p1q2pp1/2nbp2p/8/2P5/6P1/P1RBQPBP/5RK1 w - -,g2c6
r5k1/p2b1pp1/1p1b3p/3P3q/8/1Q3N1P/PP1B1PP1/4R1K1 b - -,a8e8
r7/2p3k1/1p1q1pPp/1P1Pp2P/2P5/p7/4RQK1/8 b - -,a8a4
r3r1k1/4bpp1/pB3n2/6q1/P3P2p/3B1PP1/1P3Q1P/2R2RK1 b - -,f6h5
1r3q1k/p1NQ1ppp/1r5n/2p1PP2/2p5/P6P/1P3P1K/3R2R1 w - -,e5e6
r3kb1r/pp1q1pp1/2n1bp1p/3p4/2PP4/P1N5/1P2BPPP/R2QK1NR w KQkq -,c4c5
1r3rk1/2p2ppp/p2bpn2/8/q1NP4/5Q1P/PP1B1PP1/2R2RK1 w - -,a2a3
r1b1r3/ppkn3p/2p2ppn/4p3/2B1P3/2N2P2/PPPRN1PP/2KR4 b - -,d7b6
r1bq1rk1/pppnppb1/1n4pp/4B3/3P4/2N2N2/PP2PPPP/R2QKB1R w KQ -,e5g7
3q1bk1/pb5p/np3r2/P1pP2N1/1nP3B1/6BP/1P1Q2P1/5RK1 w - -,g4e6
8/8/3R1n2/8/4rk2/3K4/8/8 b - -,e4e3
5rk1/pp2ppb1/3q3p/r2PP3/2p2P2/P1NnQ2P/1P2B3/3R1RK1 b - -,d6g6
4Q1qk/8/8/1p1pPp2/pPnP1P2/7P/8/5N1K w - -,e8b5
6k1/5pp1/2p2r2/2P4p/3Q4/4PqPP/2R2P1K/8 w - -,c2d2
2N5/4P2p/1p6/2p1kn2/8/P7/5K2/8 b - -,f5g7
2b2rk1/r1q1bppp/p5n1/2pPN3/2P1N3/P7/2QB2BP/1R3RK1 b - -,c7e5
2r2rk1/1p1bppbp/p2p1np1/q3n3/2P1P3/NQN1BP2/PP2B1PP/2R2RK1 b - -,e5c6
2rq1rk1/3nb1p1/p1n1p3/1pNp1pp1/1P1P4/PQ2P1B1/2R1NPPP/3R2K1 b - -,d7c5
r3rbk1/1q1n1ppp/2b1p3/p1ppP1P1/5P2/BP2P2Q/2P1N1BP/2R1R2K b - -,a5a4
3r1rk1/1pp1qpp1/p1n2n1p/2b1p3/2N1P1bB/2P2N2/PPQ1BPPP/R2R2K1 w - -,b2b4
5bk1/3n1p1p/pp1p2p1/6N1/1Pr5/4B1P1/4rP1P/R2R2K1 b - -,c4b4
3Q4/pp2pkbp/5np1/4B3/1q6/8/P1P2PPP/R5K1 b - -,b4c5
8/3q1pbk/2npp1p1/1p2P2p/1P3P1P/3P2P1/5BBK/2Q5 b - -,c6b4
r1q3kb/pn5p/1p2bppP/4p3/8/2P1BPP1/P2NP3/R1QR2K1 b - -,f6f5
8/8/8/8/4p3/2kp2R1/8/1K5r w - -,b1a2
4r1k1/p1p2ppp/1rnp1q2/2p2N2/4PP2/2P5/PP1Q2PP/1R2R1K1 w - -,f5g3
r2qr1k1/p4ppp/2p5/2Bpn3/2b1P3/2P3P1/P1Q2PBP/R3R1K1 w - -,a1d1
r7/pbp2nk1/1p6/1P1P4/P4pPr/2N5/3KB3/5RR1 b - -,f7g5
8/8/3kp1p1/2b4p/5P1P/pB3KP1/8/8 b - -,c5b4
rnbqk2r/ppp1bppp/3p1n2/4p3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq -,e8g8
1r4rk/p4p1p/2nbpPbB/q1pp4/5P1Q/1PP5/P3P3/R3KBR1 w Q -,a1c1
1r3rk1/pp3ppp/b3p1q1/4b2N/3N4/4QB2/PPR2P1P/3R3K b - -,e5d4
8/p1p1k2R/3p4/5K2/Pr6/1P6/8/8 b - -,e7d8
