8/8/3k3p/1R6/3p3P/P4P2/r3PK2/8 b - -,d4d3
8/1p1kpp1p/p5qb/3pB3/P2P4/1Q2P3/1P3PP1/6K1 b - -,g6c6
1rr5/2q2pk1/p2p1Np1/4p2p/NpP1P3/6P1/1Q3PP1/2R3K1 w - -,f6d5
r1bq1rk1/pp2ppbp/n2p1np1/2p5/3PPP2/2NB1N2/PPP3PP/R1BQ1RK1 w - c6,d4d5:d3a6:e4e5
2r2rk1/q2pn2p/p3p1p1/3bPp2/PpNb4/1P1BB3/1P1Q1PPP/2R1R1K1 b - -,d4e3
8/p7/1p5R/1PrK1k2/8/1P6/5P2/8 w - -,d5d4
r4rk1/1p1nbppp/p2p4/q2P1bP1/3Np2P/4B3/PPP1BP2/R2QK2R w KQ -,d1d2
8/8/1p1p3p/pP2nk2/P1P2p2/5K1P/4N3/8 w - -,f3f2
2b3k1/4r2p/p1Pqp1p1/1p1pNr2/1P1P2P1/4P2P/1Q3R2/5RK1 b - g3,f5f2
4rr1k/p6p/1ppqbpp1/2p4n/4PPN1/3P3P/PPPQN3/2KR1R2 b - -,d6d7
6r1/p1rn3k/3p1Ppp/2qPp3/1pp3Q1/7P/PP3PP1/1BRR2K1 w - -,f6f7
r1bq1rk1/pp3pbp/2pp1np1/2Pn4/1P1P4/2N3P1/P3NPBP/1RBQ1RK1 b - -,c8g4
6nk/r1p3bp/p2p1qp1/3P2N1/1p1r1p1P/4N3/PP2Q3/1KR4R w - -,c1f1
8/4p3/6k1/5r1p/2R4K/8/5PN1/8 w - -,g2f4
8/2p2kr1/1p1n2r1/p1pP1p2/P1P1pPP1/1P2N3/5KR1/6R1 b - -,f5g4
1rr3k1/pq1bb1pp/5p2/Q1nRp3/2B4P/1P2P3/P1P2PP1/2K1B1NR b - -,d7e6
r5k1/p1q2r1p/1pn1pbp1/2Bp4/1P3P2/P1PB3P/4Q1P1/2R2RK1 w - -,c5f2
3r1b1k/p5p1/2p4p/2P1R3/1P6/7q/P1Q4P/4B1K1 w - -,c2e2
2kr3r/pp4p1/2pqp3/2N2p2/2Q1p3/6P1/PP4PP/1KR4R b - -,h8e8
r2r2k1/1pp2pp1/6np/1p2p3/P3P3/1P1BR2P/3q1PPK/RQ6 w - -,a1a2
r1b2rk1/pp1nqppp/2pbpn2/8/2pPP3/2NB1N2/PPQ2PPP/R1B2RK1 w - -,d3c4
r4rk1/4bpp1/pq2p1p1/1p2P3/1np1PP2/5N2/PPQB2PP/3R1R1K w - -,d2b4
5b2/6k1/6p1/5pp1/6P1/1B5P/5P1K/8 w - -,h2g2
r1brn1k1/q3bppp/2p1p3/p1N1B3/1P3P2/P1PB2Q1/6PP/4RRK1 w - -,e5d4
r5k1/1R3p2/5Bpp/3p4/2b4P/8/5PP1/6K1 b - -,a8e8
r1b2rk1/2q2p2/p3nQp1/1p3N1p/4P2P/7B/PPP5/1K1R1R2 b - -,a8a7
8/Q7/8/1p3rk1/6n1/2P5/P1P1K3/8 b - -,f5e5
r1bQkb1r/ppp2ppp/2n5/4Pn2/2P5/1N2pN2/PP3PPP/R1B1KB1R b KQkq -,c6d8
r2q4/pp2nkbr/2p1pp2/8/3pP2P/3P1Q2/PPPB1PR1/1NK4R w - -,h4h5
r4rk1/1b1n1ppp/p1qp4/6b1/1P1BPR2/2N1Q3/1PP1B1PP/3R2K1 w - -,e3g3
r7/1rpnbpk1/3p2p1/1P1Pp2p/2R1P2P/q1N1BPP1/2Q3K1/1R6 b - -,e7d8
8/5kp1/4n3/1p6/2p2PP1/2K1P3/5P2/8 b - -,f7f6
r1b2rk1/2q2ppp/2P1p3/p2n4/3P4/1P3N2/PBB2PPP/2Q2RK1 b - -,a8a6
r1b2rk1/1pp1qpp1/p2b2np/3Pp2n/Q3P3/2N2N1P/PP1B1PP1/R3RBK1 w - -,a2a3
r1bq1rk1/pp1nppb1/2p2np1/3pN2p/3P1B1P/2N1P3/PPPQBPP1/R3K2R b KQ -,d7e5
4rk2/1p5p/p2P4/2P2bp1/4rp2/1B3R2/P5PP/4R1K1 w - -,e1e4
8/1pp1nkpp/4qp2/2P2b2/8/P5P1/1B1RPPBP/2R3K1 b - -,f5e4
4r3/3R1p2/R3pkp1/pP5p/2r3PP/8/P1P5/3K4 b - -,e8c8
rn1qr1k1/pp4b1/2p3pp/3b1p2/8/1P3NP1/PB2PPBP/1R1Q1RK1 w - -,b2g7
qr6/3n1pbk/r2pb1pp/1pnNp3/P3P3/R2PB1PP/3Q1PBK/R1N5 b - -,e6d5
8/1R6/p7/P3r1pp/1P6/6k1/8/6K1 w - -,g1f1
2r3k1/p3npb1/1qn3rp/1p2p2Q/2p1P1N1/2P1B1P1/PP4B1/R3R2K b - -,b6a6
r4r2/p1R2Bpk/5q1p/2p1Nb2/8/2Q1PP1P/PP4P1/6K1 b - -,a8d8
2r5/pbr1k2p/1pnb2p1/3Bpp2/1P2P3/P3BP2/2RN2PP/2R3K1 b - b3,e7d7
r3qrk1/pb1nbpp1/2p1p2p/1pN5/3P4/1B2PN2/PPQ2PPP/3R1RK1 b - -,d7c5
1r1qbrk1/p2nB1pp/2p1p3/3p1p2/N2P1P2/1Q1BP3/PP4PP/2R2RK1 b - -,b8b3
r3q1k1/pb3r1p/1np1p1p1/2QpP3/2P2P2/1P1N3P/P3N1P1/2R2RK1 w - -,c5e3
3r1rk1/pbq2pbp/1pn1pnp1/2pp4/4P3/2PPNN2/PPBB1PPP/R2QR1K1 w - -,e4d5
8/8/8/4b1p1/2kn4/2p4P/8/1KR5 w - -,c1g1
8/2k2p2/p3p2r/2p1P2P/2Pp1P2/3P1K2/7R/8 b - -,c7b6
r1q2b1r/p1kb1p1p/1nn1pP2/3pP2N/2pP4/2P2R2/P1BN3P/R1BQ3K b - -,c6d8
r1b1q1k1/p1Q2ppp/1p3n2/3p3r/8/1P1BPN2/P4PPP/2R2RK1 b - -,c8g4
3r2k1/1bp1rpp1/p1n4p/1p2p3/4Nnq1/P1PPQNP1/1PB2P1P/3RR1K1 w - -,f3h4
5R2/4k1p1/4p2p/5p2/3K1P2/r5P1/4P2P/8 w - -,f8c8
5rk1/pB1q1pbp/3p2p1/8/8/5Q1P/PP3PP1/2R3K1 b - -,g7b2
5b2/2q4k/p3p2p/4Pp2/2p2P2/2Nr2QP/PP2R3/2K5 w - -,e2e3
8/2Bk4/p2P1pp1/1p1Kp2r/5b1p/PR3P1P/1P4P1/8 w - b6,b3d3
2r5/pp3pkp/4b1p1/8/5P2/1P1B4/P3RKPP/8 b - -,c8c3
8/1p2k3/3pp3/p3b2p/P1P4P/1P1R2P1/6K1/3Nr3 b - -,e1e2
8/6k1/6p1/7p/5P2/1q6/1P3RK1/8 b - -,g7f6
rr1q2k1/3nppbp/b2p1np1/1BpP4/P3P3/R1N1B2P/1P1N1PP1/3Q1RK1 w - -,d2c4
1r3rk1/p1qbppb1/2p3p1/2pnP2p/4N3/2NP2Q1/PPP3PP/R1B2RK1 w - -,c3d5
