8/R5k1/8/6r1/4B2p/4KP2/8/8 b - -,g7f6
2r1k3/6R1/6p1/4Pp1p/7P/2P5/2P2P2/2K5 b - -,c8c6
r7/r4pk1/5qpp/1pQp4/2bP4/P1P1pPPB/1R2P2P/R5K1 b - -,a7a5
r2n1rk1/1p2qp2/p2N2p1/3bPp1p/2pP1Q1P/5N2/5PP1/R4RK1 w - -,f4g3
2kr4/1pp2p2/p7/n4qpp/Q1Pp4/3NrPP1/PP2PRKP/2R5 b - -,d8e8
rbbq1rk1/1p1n1ppp/p3pn2/1N1p4/Q3P3/2PBB2P/PP1N1PP1/2KR3R b - -,b7b6
r2q1rk1/1p2bppp/p1bppn2/6B1/3QP2P/2N2P2/PPP3P1/1K1R1B1R w - -,d4d2
R7/3r1pk1/4p2p/p2nP1p1/1b1P4/1P4PP/P1RN1K2/8 b - -,d5b6
r2q1rk1/1p1bppbp/3p1np1/pN6/Pn2PP2/2N1B3/1PP1B1PP/R2Q1RK1 b - f3,d7c6
r2q1rk1/pp1n1ppp/2n1p3/2p1Pb2/P1PP4/B1PB1N2/6PP/R2QK2R w KQ -,d3f5
4r1k1/p3q1np/2prp1p1/1p2R1P1/1P1P1R2/PQ1BPP2/5KP1/8 w - -,e5c5
5r1k/1bqn4/p3p1Q1/2p1P3/2P2B2/2P5/P6P/5RK1 w - -,g6h6
rnbqk2r/1pp1ppbp/p4np1/8/2QPP3/2N2N2/PP3PPP/R1B1KB1R b KQkq e3,b7b5
3K4/2R5/1q3k2/8/8/8/8/8 w - -,d8d7
r4rk1/4bppp/3Np3/4P3/3P4/p3B3/5PbP/R1RK4 w - -,c1c7
3r2k1/2p2pp1/2p1p2p/p7/Pr1P4/1Pn1P1P1/1R3P1P/R4BK1 w - -,a1c1
rnb1kb1r/1pqp1ppp/p3p3/4P3/2Pp4/P2B4/NP1PQPPP/R1B1K2R b KQkq -,d7d6
2r3k1/pp2ppbp/4b1p1/3q2N1/1P1n1B2/8/P4PPP/3QRBK1 b - -,c8d8
8/5p1p/1n1p2p1/2k1p1P1/p3P3/Pp1K1P1P/1P6/3N4 w - -,d1e3
2r5/5pkp/6p1/2p1N3/1p3P2/1P4PP/P2RbnK1/2RN1r2 b - -,f1d1
3q1k2/pp3ppp/1n2p3/4P3/5P2/1PN1Q2P/P7/1K6 w - -,e3c5
r4rk1/ppp1nqb1/3p3p/3Ppbp1/1PP1Nn2/3B3P/PB3PPN/R2QR1K1 w - -,e1f1
r1b2r2/p4p2/1p1p3p/2pPk1p1/1P2PNP1/2RB3P/P4P2/1R4K1 b - -,g5f4
r1b2r2/1p2q1k1/p3pnp1/2P1N2p/B2Qp2P/8/PPP2PP1/2KR3R w - h6,g2g4
2rr4/n5R1/p7/P3Pp2/1p1pbk2/1N1B4/1PP2K2/R7 w - -,f2e2
2rr1bk1/p4ppp/1pnpq3/4p3/4P2P/BRP1Q1P1/P4P1K/3R1B2 b - -,c8c7
4r1k1/5pb1/2p3p1/B1P5/NP6/K1n1p2R/P7/8 w - -,h3h1
4r3/k2nbQ1p/r1p5/7P/1q1P4/1P3BB1/p1P3P1/K2RR3 w - -,e1e3
1r1q1rk1/3p1pbp/b1nN1pp1/8/2pP4/1p3NP1/PPQ1PPBP/1R3RK1 w - -,a2b3
8/8/5k2/3B4/1KP2P2/3r3b/5R2/8 b - -,h3f5
4r1k1/2q4p/p1p3p1/2p2b1Q/P1Npp3/1P1P2P1/2P4P/4R1K1 w - -,h5g5
5r2/pp3k1p/1r2pnp1/3p4/3N1P2/1P4P1/PP2R2P/1K2R3 b - -,f6e4
3nB1k1/2q2pp1/1p3b2/p2pN2p/3Pb3/P4N1P/1P1Q1PP1/6K1 w - -,e8b5
kb6/p7/5rpp/8/P2p1P1P/3N4/2R2P2/5K2 w - -,c2c4
6k1/5b2/7p/8/4RN2/5PKP/2r3P1/8 w - -,g3h4
r2q3k/1p4rp/p4p2/3p3Q/8/2NP1P2/PP3P2/2KR4 w - -,d1e1
r1bq1rk1/ppp1ppbp/n2p1np1/6B1/2PPP2P/2N5/PP2BPP1/R2QK1NR b KQ h3,c7c5
r5k1/ppqn1ppp/2p1rn2/2b1p1Bb/P1N1P2N/6PP/1PP2PB1/R3QRK1 b - a3,d7b6
r3qrk1/ppn3b1/2p1bn1p/1PPp1pp1/P2Pp3/B1N1P3/3NBPPP/1R1Q1RK1 b - -,f5f4
1q3rk1/1B3ppp/p1b1p3/4b3/1P6/P4QP1/5P1P/5RK1 w - -,f3c6
8/7p/5k2/2r3p1/8/2P5/2R2KPP/8 w - -,f2e3
8/3r4/R2b2k1/1p1p1p2/p2PpP2/N1P1P3/6K1/8 b - -,b5b4
r3rbk1/8/p1n1b1pp/Ppp1p3/4P3/2P1BN2/1PB2PPP/R3R1K1 w - -,f3d2
8/5pbk/1p4pp/1B2p3/1P2P3/P4qP1/7P/2Q3K1 w - -,b5c6
rnbq1rk1/pp2ppbp/3p1np1/8/2PN4/1P2P3/PB2BPPP/RN1QK2R b KQ -,b8c6
8/1p4pp/4k3/4p3/p1P2p2/P3rP2/1P1K2PP/R7 w - -,a1c1
6k1/2r2p1p/q2np1p1/2p1n3/p1P1N3/B1bPPQP1/P5BP/1R4K1 w - -,f3f4
rn1q1rk1/5pbp/3pb3/1NpN1p2/8/4P3/PPQ2PPP/3RKB1R b K -,e6d5
rq1r2k1/pb2bpp1/1pnpn2p/4p3/2P1P3/PNN1BP2/1P1QB1PP/3R1RK1 w - -,g2g3
2r3k1/p4pb1/4p1pp/P1p5/2P5/1P1RP1P1/5PBP/6K1 b - -,c8b8
2r3k1/b2r2p1/p2N1Rp1/3qp1B1/P7/2P5/6QP/4R2K b - -,d7d6
2q1n1k1/1r3p1p/3p1npb/BNpP4/2P5/4R2P/1P2BPP1/1Q4K1 w - -,e3a3
rnbqk2r/ppp2ppp/4pn2/3p4/3P4/4PNb1/PPP2PPP/RN1QKB1R w KQkq -,h2g3
r4rk1/1bqnbppp/pp1p1n2/2p1P3/8/PP1BPN2/1BPNQPPP/2RR2K1 b - -,d7e5
r3k2r/pp1q1p2/2n1bn1p/2p1p1p1/P1NpP3/3P1PP1/1PP3BP/R1BQ1RK1 w kq -,b2b3
3r3r/pp1kbpp1/2p1p2p/q7/3PnBPP/3Q4/PPP5/1K1R3R w - -,d3e4
8/6k1/4R3/8/5KPP/r7/8/8 b - -,a3a4
1r6/4kpp1/4p2p/1PPp4/1K6/r7/5PPP/2R5 w - -,b4a3
2r1rnk1/1b4bp/p1qpp1p1/1p3pP1/4PP1Q/1P1BR3/P1P2B1P/3NRK2 w - -,h4h3
r2qk2r/pb1nbppp/1p6/2pn4/8/2NBPN2/P1Q2PPP/R1B2RK1 w kq -,c3d5
8/8/1q6/5Q2/3k4/Pr4P1/5PKP/8 w - -,f5d7
1r4k1/1r2n1b1/3p3p/p1qPp1pP/1pPpBpP1/PP1P1P2/R1QBK3/R7 w - -,a3b4
8/1q5k/p2p2p1/2pPp3/2P1P2P/4Q3/1r3RK1/8 w - -,e3f3
5n2/1pp2Q2/p2p2nk/3P2p1/3q4/3B1KPP/P4N2/8 w - -,f3g2
rnbq1rk1/p2p1ppp/2p1pn2/1P6/3P4/P5Q1/1P2PPPP/R1B1KBNR b KQ -,f6e4
rn1qk2r/p2pbppp/bpp1p3/3P4/2P2N2/P1N1P3/1P1Q1PPP/R3KB1R b KQkq -,c6d5
r3n1k1/pp3pbp/2p3p1/2n1rb2/1q1B4/1PN3PP/P2QNPB1/3R1RK1 b - -,e5e6
