8/1kp5/p5R1/P2P4/1p6/1P4p1/6r1/2K5 b - -,b7c8
1r1q1rk1/3bppbp/p2p2p1/1p2n3/2P1PP2/1PN3P1/P2BQ1BP/2R2R1K b - -,e5c6
3b1r2/2qB2kp/1pPpQ1p1/pP2p3/P3P3/6PP/8/3R2K1 b - -,f8f6
2q1r1k1/1pr1nbbp/p4pp1/P1Nn4/1PBN4/7P/Q2B1PP1/2R1R1K1 w - -,d2f4
3rr1k1/pb3qb1/1p2pnp1/2np4/P3PP2/2N1B1Q1/1PPN2B1/4RRK1 w - -,e4d5
8/8/7N/8/2kb3P/5bP1/3B4/2K5 b - -,d4g7
r4rk1/pppnq1pp/8/8/1n2NP2/2pP3P/PP2Q1B1/R4RK1 w - -,b2c3
r2q1rk1/p1pbbppp/3p1n2/2p2N2/4P3/2N2Q2/PPP2PPP/R1B2RK1 w - -,f5e7
2q3k1/6pp/1pb1pn2/2p2p2/2P5/P3PP1P/1B1Q2P1/5BK1 b - -,c8d7
r1bq1rk1/pp3ppp/2nbpn2/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w - -,f1e1
3r1rk1/1p4bp/3qp1p1/p1n4n/2P5/1PN2N2/P2Q1PPP/3RR1K1 w - -,d2d6
1rbqk1nr/p2pppbp/2n3p1/2p5/1p2P3/3PB1P1/PPPQ1PBP/R2NK1NR b KQk -,d7d6
6k1/5p1p/3p2p1/2pP4/Q3P3/n4P1P/qB1N2P1/7K b - -,a2b2
8/8/8/3k1p2/8/r2N2B1/4K2P/8 b - -,d5e4
r3k2r/pb1nnpp1/1pp1p1p1/8/3P1B2/P1PB1N2/2P2PPP/2KRR3 w kq -,c3c4
8/1kp3p1/1p1p2np/4p3/1PP1P3/3KBP1P/6r1/7R b - -,g6h4
rn2k2r/ppq2pp1/2p2np1/4p3/PbpPP3/2N1BP2/1P4PP/R2QKB1R w KQkq -,f1c4
r1b1k2r/ppp2pp1/2nppq1p/8/1bPP4/P1N2N2/1PQ1PPPP/R3KB1R b KQkq -,b4c3
4R3/8/7r/5N2/8/5k2/3K4/8 b - -,h6h2
3r2k1/4pp1p/3b2p1/7q/pp2Q1n1/5R2/PPR2P2/3KB3 w - -,d1c1
1qr3k1/5ppp/pp6/3rp3/2Pb4/1PN2QP1/P4PKP/3R4 w - -,c3d5
8/1kn2r2/5p2/pp1p4/2pP2P1/P1P5/7P/2B1R1K1 b - -,b5b4
r2q1rk1/1bpnbppp/p3pn2/1p6/8/1P1P1NP1/P1Q1PPBP/RNB2RK1 w - -,c1b2
r2q1rk1/3nbppp/bpn1p3/p1ppP1N1/3P2QP/2P3P1/PP3PB1/RNBR2K1 b - -,a8c8
3r2k1/p4pbp/1p1q2p1/n1p1p3/4PP2/2P1B2P/PP1NQPBK/R7 b - -,e5f4
3r4/p1k2pbp/1pp3p1/8/P1P2PP1/1P1N4/4KB1P/8 b - -,g7c3
rn1q1rk1/pbp1bppp/1p6/3p4/3P1n2/2N2NP1/PP2PPBP/2RQ1RK1 w - -,g3f4
1k1r3r/pp1b1ppp/1q2p3/4P1B1/Pb1p4/3Q4/1P2NPPP/2R2RK1 b - -,d8c8
8/1p6/p3q1kp/2P2p2/1P4p1/K2Q2P1/8/8 w - -,d3d4
r2q3r/2pb1kbp/p2p1pp1/3P1p2/2Q4P/2N2N2/PPP2PP1/2KR3R b - -,g7h6
