8/8/1N5k/8/7P/4P1P1/2R1K3/1r6 b - -,b1b6
3R4/1pp2pk1/p1n1q1p1/1n2p3/1P2P2p/2P1N2P/1PQ2PP1/5NK1 b - -,c6d8
8/3q4/P7/5pk1/2B2Rp1/6P1/5P2/6K1 w - -,c4f1
2rq1rk1/pp2ppb1/2n1b2p/2Pp2p1/3PnB2/P1N2N1P/1P2BPP1/R2QR1K1 w - -,f4h2
r1bq1rk1/pp2npBp/2pp2p1/4p3/2P3n1/2NP1NP1/PP1QPPBP/R4RK1 b - -,g8g7
4r1k1/2q3p1/p1bb4/1p1pprBQ/7N/P1P4P/1P3PP1/2R2RK1 b - -,f5f7
r1bq1rk1/pp2bppp/n1p5/8/2PN1B2/4Q3/PP2BPPP/2KR3R b - -,e7c5
r1b2rk1/pp1nqppp/2pbpn2/3p2B1/2PP4/2NBPN2/PP3PPP/R2Q1RK1 w - -,c4d5
3r4/4nkpp/pQ3p2/2P1p3/1P1q4/P7/4R1PP/5K2 b - -,d4f4
r3kb1r/1bq2pp1/p3p3/3pP2p/Pp2nP2/1N1BB2P/1PP3P1/R2Q1RK1 w kq -,g1h2
4r1k1/1bp1b1pp/1p2p3/p3Rr2/N1P2p1P/2B2N2/PP3KP1/3R4 b - -,b7f3
2rr2k1/p4p1p/1p1p2pB/8/1Rb1p3/P1P3R1/2P2PPP/6K1 w - -,g3e3
r5k1/2p3pp/bpN2q2/5r2/2P1p1Q1/4B3/PP4PP/R5KR b - -,a8e8
8/p5r1/2k1p1r1/R7/1P6/2PR2P1/6K1/8 b - b3,c6b7
r3k2r/1pp1q1pp/2nb1p2/p1n5/2P5/PPN2P2/1BQ1BPPP/3RK2R b Kkq -,e8g8
2r1r1k1/5pbp/p2p1np1/1q1P4/1p1BPN2/n2Q1P2/P4NPP/2R2RK1 b - -,b5d3
5r2/RR3p2/4pk1p/6p1/8/P2r2P1/5PKP/8 w - -,g2f1
r2q1rk1/1p4bp/2nQ2p1/p5N1/2p1R1N1/1Pp3P1/5P1P/R5K1 w - -,d6e6
8/8/5kp1/1r6/5PK1/R6P/8/8 b - -,b5c5
r2qk2r/1bp1bppp/1p2pn2/p1n5/P1pN4/1N1P2P1/1P2PPBP/R1BQR1K1 w kq -,g2b7
8/3K1k2/2P5/8/8/2r5/8/4R3 b - -,c3d3
5rk1/p3b1pp/1p6/8/P2q1p2/8/1PQB1PPP/R5K1 w - -,c2b3
