8/8/p5p1/P7/4K3/8/3Q2kp/8 b - -,g2g1
1r6/5kp1/8/p2P4/4R3/4P1Pp/P4P1P/5K2 b - -,b8b1
1r1qnrk1/1p3ppp/p1bPp3/4Q3/3P4/P1b5/1P2NPPP/R1B2RK1 w - -,b2c3
8/4p3/p2p1kp1/n1p5/P1P1P1PP/5N2/6K1/8 w - -,f3d2
8/2p5/1pk3p1/p3Pp2/KPPB1n1P/8/7P/8 b - -,f4e2
2r2rk1/pp1nppbp/1qp1bnp1/8/2PPp2N/1P4P1/PBQN1PBP/R4RK1 w - -,d2e4
r2q1k1r/pp3pb1/2n5/6PB/3pp2P/8/PPP1QP2/R1B1K2R w KQ -,h5g4
4r2k/pbpr2b1/1p2n1pp/4p1qn/1PN1Pp2/2P2P2/P1QN1BPP/3RRBK1 w - -,d2b3
r2q1rk1/1p1bbppp/p2ppn2/8/3nPP2/2N1B3/PPP1B1PP/R3QR1K w - -,e3d4
1rb2rk1/4npbp/1qnpp1p1/ppp5/4PP2/P2PBNPP/1PPQ2B1/R2N1RK1 b - -,c6d4
r3r1k1/pb2bp1p/1pn1p1pB/5q2/3P4/PB2QN2/1P3PPP/2R2RK1 b - -,e7f6
8/8/k2K4/1p6/3B4/P7/8/8 b - -,a6b7
6k1/3n2b1/p1Np2Pp/P2P4/4B2n/8/1PP5/2B3K1 b - -,d7f6
5rk1/1pp3bp/p2p2p1/3P3P/2P1Npbq/3Q4/PP3PB1/R3R1K1 w - -,f2f3
r3k2r/pbqn1p2/1ppbp2p/6p1/2PPB3/5NB1/PP3PPP/R2QR1K1 b kq -,d6g3
5b2/5kpp/1RN1bp2/8/pP2P3/3BP1P1/5K1P/2r5 b - -,e6h3
r1b2rk1/p4n1p/1p1q1p2/2pp4/2PP4/P4N2/5PPP/1R1QRBK1 b - c3,c8f5
5rk1/3b1p1p/5p2/3p1P2/r2P4/4q1N1/4B1PP/3Q1R1K w - -,g3h5
r6r/1b2kpp1/p3p2p/1pn5/3N4/1B3P2/PPP3PP/2KR1R2 w - -,c1d2
1k1r3r/pp4p1/2qp4/4n2p/1P2RBP1/P2p1P2/5PKP/1N1QR3 w - h6,f4e5
8/7p/1pP1n3/PP6/4kp1P/4p3/8/4KR2 b - -,b6a5
4r1k1/ppp1q1p1/1b3p2/1P5p/2NP2Q1/1PP1r3/3K2PP/R6R w - h6,g4f4
2r5/5kp1/p3pp2/1p5p/5P2/bP2P3/PB3RPP/6K1 b - -,a3c5
2krr3/ppp2p1p/8/3Pn3/2P3n1/P3BN2/2Q1KPq1/R2R4 w - -,d1d4
r2qkb1r/pp1n1p2/2p1p2p/3p1bp1/2PPN3/4PNB1/PP2BPPP/R2QK2R b KQkq -,f5e4
3qrr1k/3bn1pp/p1n1pb1P/1p1p4/3P4/P1N1BNPB/1P3P2/R2QR1K1 b - -,g7g6
R4rk1/3n1pp1/4p2p/2P5/8/4PBP1/2r2P1P/1R4K1 w - -,a8f8
r1b4r/pp1nkpp1/2p4P/4p2n/2B1P3/2N1RN1P/PPP2P2/2K3R1 b - -,h8h6
r4rk1/3qb1pp/pn1p4/nppPp3/4N3/2P2N2/PP2QPPP/R1BR2K1 w - -,c1g5
6k1/R7/7p/p6K/7P/3n4/1r5P/8 b - -,b2b5
6k1/pb6/3n1B2/1p1p4/2p4P/3nP3/PP4P1/5RK1 b - h3,d6e4
1r3r1k/Q2R2b1/1pB2q1p/1Pp1pnp1/8/3P2P1/3BPPK1/5R2 b - -,f5d4
4Q3/5pk1/8/p3NK2/3p4/Pq1Pb1P1/8/8 b - -,b3a2
1rr3k1/5pp1/b3pn1p/p1qp4/P7/1P4P1/N1PQ1PBP/2RR2K1 w - -,d2d4
4r3/1p3kp1/p1p2n2/6Rp/3P1P2/2Bq1P2/PP2r3/R4QK1 w - -,a1d1
B1R5/5bnk/7p/5p2/r5pP/1N6/P4PP1/6K1 b - h3,a4a2
r5k1/p3pp1p/4n1p1/Nr1nP3/3R4/1P3P2/1P1B1P1P/R5K1 w - -,d4c4
r7/2pb2k1/2nbprq1/1p1p2p1/1P1P2B1/2PNRNP1/3Q1P2/4R1K1 w - -,f3e5
r1b1rbk1/pp3p1p/q1pp1np1/4n1B1/2P1P3/1PN3PP/P3NPB1/R2Q1RK1 b - -,f6h5
8/2p5/3p1k2/1pr4p/rRb1pP2/P1P1P1R1/5K1P/1N6 w - -,b1d2
r1b2rk1/1pqn1pbp/p1p1pnp1/2Pp4/1P1P4/2N1PN2/PBQ1BPPP/R3K2R w KQ -,e1g1
r1bqnrk1/p3pp1p/2p3p1/3pP3/2BQ4/2N4P/PPP2PP1/R3K2R w KQ d6,e5d6
6k1/4qppp/p3p3/1p6/n3N3/P5P1/1P2PPKP/2Q5 b - -,e7b7
rn1qk2r/pp3ppp/2p1pn2/3p4/1bPP4/2N1PQ1P/PP1B1PP1/R3KB1R b KQkq -,b8d7:e8g8
8/7p/2n2Np1/p1k1p3/P7/7P/4KPP1/8 w - -,f6h7
4r1k1/1pp2b1p/p2p2p1/r4p2/2P1n3/1P2P1P1/P1R1NPBP/3R2K1 b - -,e8e5
5rk1/3rnpp1/7p/p2p4/q2N3Q/4R1P1/5P1P/4R1K1 b - -,e7g6
2bq3r/2n1n2k/p2p1ppb/2pPp2p/2P1PP1P/P1BBN1P1/4Q1K1/5RN1 b - f3,d8e8
r1b1k2r/1p2bppp/p1nppn2/q7/2P1P3/2N1BP2/PPN3PP/R2QKB1R w KQkq -,f1e2
8/3qrpk1/2R1bbp1/1PQp1n2/3P4/4P3/3N1PBP/6K1 b - -,e7e8
2k4r/1p1r4/p1q5/5p2/8/8/PP2Q1RP/7K b - -,h8g8
1r1r2k1/2q2p1p/1pnpp1p1/p7/P1b2P2/1NP2B2/2PR2PP/3R2QK b - -,c6e7
2rr1k2/pbn1pp1p/1pn3pb/2p5/2P5/P3PN1P/1P3PPB/1N1RRBK1 b - -,h6g7
