6k1/7p/7r/4R1pN/1P6/PKPp2P1/3P3P/8 b - -,h6h5
3r1r1k/6b1/p2pB3/1bp1p2P/8/8/PR2PP2/2B2RK1 w - -,f1e1
6r1/8/p2r4/3P4/1P2k3/P2R2Pp/7K/3R4 w - -,h2h3
3r1r1k/1b1q2pp/1p3p2/p2Bn3/8/PQ4B1/1P3PPP/3R1RK1 w - -,d5b7
3r2k1/pp3pp1/1q5p/5Pn1/4p2Q/2P1N1RP/PP4PK/8 w - -,h4f4
r4rk1/1B1b1ppp/1p2pq2/2p5/PnP5/8/1P1P1PPP/R1BQR1K1 b - -,b4d3
5rk1/R4pbp/6p1/1pq1p3/4P3/3P3P/2P1QPPN/6K1 w - -,a7a2
6R1/8/6k1/4pp1n/7p/5P2/4N1PK/4r3 b - -,g6f7
r1bqr1k1/1p1nppbp/p1p2np1/2Pp4/3P1B2/2N1PN1P/PP2BPP1/R2QK2R w KQ -,e1g1
r1bq1rk1/ppp1ppbn/3p2pp/8/3PN3/3BPN2/PPP2PPP/R2QK2R w KQ -,c2c3
r2q1rk1/1pp1npbp/2n3p1/p4b2/2Ppp3/PP1P1NP1/2NBPPBP/R2Q1RK1 w - -,f3e1
rn1qk2r/pbpp1ppp/1p2pn2/8/2PP4/5NP1/PP1QPPBP/RN2K2R b KQkq -,e8g8:d7d6
r4rk1/pq2bppp/1n2pn2/2p5/2Q5/P3PNBP/1PR1NPP1/3R2K1 w - -,c4b3
4rr1k/p4ppp/1p6/8/q1B2Q1P/1PPbB3/P4PP1/4R1K1 b - -,a4c6
r2qk2r/1bp2pb1/pp3n1p/4p1p1/P3P3/2NB2BP/1PP1QPP1/R4RK1 b kq -,d8e7
8/1R4p1/3rk3/p3pnq1/P1P5/KP3Q2/8/8 w - -,f3c3
5rk1/8/p3R3/3p2pP/1P1B4/2P1K3/5n2/8 w - -,e6g6
2rqnrk1/1p1b1pp1/p3p2p/3p3P/1b1P1BP1/nPNBPP2/P3NK2/2RQ2R1 b - -,f7f6
8/R2R2pk/5b2/5p1p/5P1P/8/p5K1/1r6 w - -,a7a2
rn1qkb1r/p1pp1ppp/1p2p3/6P1/3Pb3/5N2/PPP1PP1P/R1BQKBR1 b Qkq -,d7d5
8/p4nk1/2p5/2Bpb3/1P6/3B2P1/7P/q2Q3K w - -,d1a1
r2r2k1/2b2p1p/p3p1p1/1p1bN3/1P1P1P2/2P3P1/3B3P/RR4K1 b - -,f7f6
8/8/p4qkp/1p4p1/1P6/P3Q2P/4K1P1/8 b - -,f6b2
5rk1/8/3p4/3P3p/R1P1P2P/1P4p1/1r4P1/5RK1 b - -,f8e8
2rq1rk1/pb1nbppp/1p2p3/2p3N1/2PPn3/1PB3P1/P1Q2PBP/R4RK1 w - -,g5e4
3r3k/5Rp1/1p5p/8/1nB5/6P1/Pr5P/5R1K w - -,f7f8
4k2r/1rq1npb1/b1n1p1p1/p2pP1Bp/1ppP2PP/2P2N2/PP3PBN/R1Q1R1K1 b k -,a5a4
r2q1rk1/pp2nbbp/4np1P/2Pp1p2/BP1Pp3/P3B1N1/3QN1P1/R4RK1 b - -,g7h8
4R3/8/8/2P2k2/4p3/2K5/8/3r4 w - -,c3c4
rnb1kb1r/pp3pp1/2p2n1p/2q1p3/P1p1N3/N5P1/1PQPPPBP/R1B2RK1 b kq -,f6e4
r1bq1rk1/p2nbpp1/1ppp1n1p/1P2p3/P1B1P3/2NP1N1P/2P2PP1/R1BQ1RK1 b - -,c6c5
r4rk1/2qnppbp/1ppp1np1/8/3PP3/2N1BB1P/1PP2PP1/R2Q1RK1 w - -,d1d2
7k/3q3p/2p2pp1/p1n1p3/PpB1P1P1/1P3P1P/2PQ4/6K1 w - -,d2d7
8/pq3pk1/2p2Nnp/1n3P2/8/P3P1P1/4B1KP/Q7 b - -,g6e7
r1br2k1/pp3ppp/2n1pn2/7q/3P4/P1NBB3/1P3PPP/R2Q1RK1 b - -,h5h4
1R6/1p3ppk/p2p1bnp/8/1P4Q1/3Bq2P/P5K1/8 w - -,g4e4
1r2qbk1/3n1p2/2p2npp/p1P1p3/PrR1P3/1p1QBN1P/1P1N1PP1/3R2K1 w - -,d1c1
rnbqkb1r/pp2pppp/8/3n4/3p4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,d1d4
1r3rk1/5ppp/bqn1pn2/p2p4/P7/2N1N1P1/1P1QPPBP/2RR2K1 w - -,c3a2
8/2R1b3/p3r1kp/2N1Pnp1/8/1P3N1P/P5P1/6K1 b - -,e7c5
rn1qkb1r/pp2pp1p/2p3pn/3pP3/3P1P2/2N5/PPP1b1PP/R1BQK1NR w KQkq -,c3e2
6k1/8/2p2bp1/2Q1p2p/p4n1q/B1P2P2/1PKN4/8 w - -,c5f8
2b5/8/p2k1p1p/3p1p2/1P1K1P1P/4P1P1/4B3/8 b - -,d6c6
r5k1/pp2npp1/8/3p3p/3P1q1P/1PPb1N2/3N1PK1/R6Q b - -,e7f5
8/r4pp1/2k1p2p/Pp1pP3/3K2P1/P2P4/2R5/8 b - -,c6d7
3rk1n1/1qr3pn/3pP3/1p3PP1/1PpQ4/2N4K/1B4R1/5R2 w - -,c3d5
r3nr2/p5kq/bpp1p3/2P1NpBp/P2P3R/1P4P1/3Q1R1P/6K1 w - -,g5e7
8/2r1k2p/p3p3/1p1pN1rP/1PbPp1P1/4Pp2/P2K1P2/R5R1 w - -,g1c1
8/7k/1p4p1/p5q1/2P2bQ1/4p2K/PP6/4R3 b - -,g5h6
5k2/8/5Bp1/7p/2R5/4brP1/8/7K w - -,f6e5
8/3R1p2/pk6/5p2/7p/1Pp5/P1P2rPP/3K4 w - -,d7f7
5rk1/3rq1bp/ppn1pnp1/2p5/2P2P2/1NN1B3/PP2Q1PP/3R1R1K w - -,e3g1
8/7k/1n4p1/p1qp4/8/1B5P/PP2QPP1/6K1 b - -,c5c1
8/5p2/5kp1/p1n4p/3N3P/4PPK1/8/8 w - -,d4b5
8/4qpkp/5np1/3B4/p1P1N3/6PP/1Q3P2/3b2K1 w - -,b2c3
1r4k1/3q1p1p/3PpPp1/1p2N3/1P3b2/Pb5P/4QPB1/4R1K1 b - -,d7d6
rnbq1rk1/1p3ppp/2pbpn2/p2p4/P1PPP3/2NB1N2/1P3PPP/R1BQ1RK1 b - -,d5e4
1nbr1r1k/p6p/1p1p4/b1pPpp2/2P4q/P1NBP1R1/1P1B1PQP/2K3R1 w - -,g3g5
1r4k1/1rqnb1n1/pp1p1p1p/2pPp1pP/2P1P1P1/PP1NBPN1/Q4K2/1RR5 w - -,b3b4
r3r1k1/p3Rp2/1b4p1/8/1B5p/3B1b1P/P7/1R3K2 b - -,e8e7
5rk1/4Q3/p4pp1/1pp5/6b1/1P2R3/P4N2/2q3K1 w - -,g1g2
4r1k1/pp1b2p1/2pBpp1p/2Pr1q2/3P1P2/3QR3/PP4PP/4R1K1 w - -,e3e4
2r1b1k1/pp4pp/3pN3/q4P2/8/4Q3/1PPK2PP/3R4 w - -,d2c1
r3k2r/p6p/2n3p1/2q5/p1B1p3/2P3P1/1P2Q1P1/R3KR2 w Qkq -,e1c1
3r1rk1/ppn4p/2p1q1p1/4Pp1P/3PB1PQ/7R/1P6/3R2K1 w - f6,h5g6
r2q1rk1/p2b1pp1/3bpn1p/np6/3P4/1BN2N2/PPP2PPP/R1BQR1K1 w - -,d4d5
8/8/5k2/B2p3p/3P4/1b1nNpP1/8/5K2 b - -,b3c4
6k1/1q3pn1/p1Np4/4bP2/4N1Q1/1P5P/P1R3K1/4r3 b - -,b7b6
2b2q2/2k1R3/1pNr1npp/pB1p1p2/5P2/Q6P/P1P2PP1/6K1 b - -,c8d7
r7/1p1nq1k1/5r1p/1P3pp1/2Q5/P5PN/4PKBP/2R5 b - -,a8a3
3N1r2/4R3/p3Qpk1/3p2b1/7p/8/P1q2KPP/8 w - -,f2f3
2b1r1k1/5p2/2p1qnp1/pp5p/5P2/P1P1B1P1/3Q2BP/4R1K1 b - -,c8d7
2kr1b1r/pppb1q1p/2n2p2/1B1p4/3Pp2N/4B1P1/PPP1QP1P/R4RK1 w - -,f2f3
2r2rk1/1b3ppp/2qpp3/2n5/N2BPPQ1/1P1n4/5PBP/2R1R1K1 b - -,g7g6
8/8/5kp1/p5p1/3r4/6KP/2B2PP1/8 w - -,g3f3
3q4/3b1pk1/3p2p1/1pnPp3/1Np1PbP1/2P2P2/1PB1KB2/7Q w - -,h1g1
3qr1k1/3b1pbn/pQ1p2p1/n1pP3p/2P1Pp2/6PP/P2NN1B1/1R3RK1 b - -,f4g3
8/8/p4pR1/rp6/r3Pk2/1K3P2/1B6/5R2 b - -,a4c4
r2r2k1/pppbqppp/8/2p1P3/8/1P3N1P/1PP1QPP1/R2R2K1 w - -,f3d2
rn1q1k2/p4pp1/2p1p2r/1p2P2p/3PN1bb/1B1Q2N1/PP3PP1/R3K2R w KQ -,e1g1
3r1n2/p4k1p/2p5/1p1n4/3B2Pb/1P1B1P2/P1PP3P/2K4R w - -,d4a7
1r1qk2r/p3np2/bpnpp1pp/2p5/P1P1PN2/2PP2P1/4QPBP/R1B2RK1 b k a3,c6a5
r1r3k1/2p2p1p/1pQ3p1/1P2q3/p7/P3P1P1/5P1P/1RR3K1 b - -,c8d8
