8/8/7k/p1p5/P1P2K2/1p1B4/3n4/8 b - -,b3b2
r2q1rk1/1ppn1pbp/3pb1p1/p7/2PNP3/2N1B2P/PP2QPP1/R4RK1 b - -,f8e8
r2r2k1/p5pp/1p2pp2/n1b1N3/8/1P2P1P1/PB3PKP/R2R4 w - -,e5d3
rnb1k2r/1pq1bppp/p2p1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQ1RK1 w kq -,g1h1
r1b1kb1r/pp1p1ppp/1qn1p3/1Bp5/P2NP3/2NP4/1PP2PPP/R1BQ1RK1 b kq -,c6d4
1k1rrb2/1p1n1p2/p2p3p/3NnP2/5B1P/5B2/PPP3R1/1K1R4 w - -,f3h5
1r5k/5Rpp/1pNrp3/1P6/1P6/6P1/P6P/7K b - -,b8a8
1rb1r1k1/p1qnbppp/2npp3/2p3P1/1p2PP2/3P2NP/PPP1N1B1/R1BQ1RK1 w - -,f4f5
1rbq1rk1/1pn2pbp/p2p1np1/P1pP4/5B2/2N1PN1P/1P2BPP1/R2Q1RK1 b - -,b7b5
rn1q1rk1/pp2ppb1/4b1pp/3p4/3P4/1P3NP1/PB1QPPBP/R4RK1 w - -,f3e5
8/6p1/7p/NK6/1PP1n3/2k3PP/8/8 b - -,e4g3
8/6kp/1p1n2p1/p7/P2P1K2/1P6/7P/1B6 b - -,g7f6
r1bqk2r/ppp2p2/2nb2p1/8/3P2p1/2PQ2P1/PP2P2P/RNB1KB1R b KQkq -,f7f5:c8f5
6k1/R3n3/4r2p/6pK/8/5PP1/8/8 w - -,g3g4
r2n1rk1/2q1p1bp/b1p2pp1/3p3P/1P1P4/2P2NN1/5PP1/1RBQR1K1 b - -,e7e5
r7/1pqnkp2/3Np2p/6r1/4P2B/8/PPP3PP/1K1R3R w - -,d1d4
r1b3nr/3q1k2/pRp1ppp1/2Bp3p/4P3/2P3Q1/P1P1BPPP/1R4K1 b - -,h5h4
r1bqkb1r/pppnnppp/4p3/3pP3/3P4/3B4/PPPN1PPP/R1BQK1NR b KQkq -,c7c5
3r3r/4bR1p/pp4pk/n2Bp3/4N3/4P2p/P4P2/3R2K1 b - -,e7h4
8/5p2/5kp1/R6p/3Np2P/4P1Pb/1r3P2/6K1 w - -,g1h2
1rb5/3pk1r1/p3p3/2p1Pp2/2P2Ppp/3R2P1/PPK3BP/3R4 b - -,g7h7
r4rk1/1b2qppp/1pB2n2/p2p4/Qp1P4/4P3/PP1N1PPP/2R2RK1 w - -,c1c2
4q2k/2Qb4/2p5/2P1p1p1/p1B1P2p/P4P1P/6P1/7K w - -,c7d6
3B4/5k2/2p1p3/3b4/1P1p1PP1/8/3K4/8 w - -,d8b6
3r2k1/6p1/3q1p1p/1p2p3/pNn1PP2/P5PP/1P3QK1/4R3 b - -,g8h8
2R5/8/4pp2/1k6/1p6/1P2K3/2P2P2/4r3 w - -,e3d3
Q4bk1/2q4p/2P3p1/2B5/2p2p2/8/6PP/6K1 b - -,c7g7
r2qk2r/4ppb1/p2p1np1/1p4B1/2n1PP2/1NN5/PPP1Q2P/2KR3R b kq -,d8c7
8/p2rkpp1/5b2/2p4p/PpN5/3PP1P1/1P2K2P/5R2 b - -,e7e6
r4rk1/2q1ppbp/p5p1/1p2n3/2p1N3/P3B2P/1PP1QPP1/3R1RK1 w - -,e3f4
2rr2k1/1p1nppbp/p2p1np1/7q/2P1P3/PNN1BP2/1P2Q1PP/2RR2K1 w - -,b3d4
6k1/p3B1b1/3pP1pp/3q1b2/1p1N1P2/1Nr1Q3/P1R4P/K3R3 b - -,c3e3
2k4r/p2b4/1pn1p1rp/q2pPp1R/2pP4/P1P2NPB/1QPK1P2/1R6 w - -,b1h1
