8/p7/1b2B1k1/4Pp1p/3p4/5PK1/P1r5/8 w - -,e6b3
2r5/3bqp1k/1b1p2pp/3PpN2/1p2B1PP/pPr1PQ2/P4P2/1K4RR b - -,g6f5
5r1k/2p2pbp/1q3n2/3p1p2/Q2P4/B5P1/4PPBP/Rr2R1K1 b - -,b1a1
8/8/8/8/7p/8/5K1k/8 b - -,h4h3
1k5r/8/3p4/RP2n3/3b4/4BpPp/5P1K/5R2 b - -,e5g4
2b1rrk1/2nq3p/pR1p2p1/2pP1p2/P3PP2/2N3N1/3Q2PP/5RK1 b - -,d7d8
7r/1n2kp2/1q1p1b1p/4pP2/pp2P3/3Q4/PPP3RP/1K1R4 w - -,d3d5
r2r1nk1/1bq1bppp/pp2p3/2pnP3/6Q1/2P2NN1/PP3PPP/R1B1RBK1 w - -,h2h4
1r2r1k1/5pb1/pqQ1p1pp/8/3pN3/1P6/P4PPP/2R1R1K1 b - -,e8d8
r1b2rk1/p1qnppbp/2Bp4/3P1p2/PpNN4/4P3/1P3PPP/R2QK2R b KQ -,g7d4
r1r3k1/1p1q3p/3ppbp1/p1n5/2P2P2/1P3Q2/P2B2PP/2R1RB1K w - -,c1d1
k7/7R/P7/7p/6p1/4K1P1/5P1r/8 w - -,a6a7
3b4/8/6kp/p2Nppp1/p3P3/6PP/1PP3P1/6K1 w - -,g1f2
r4k1r/5pp1/p1p1pnbp/q1ppB3/P4PP1/1P1PPQNP/2P5/R3K2R w KQ -,e1e2
5B2/p1r2kbp/6p1/4p3/2P1p3/8/P3nPPP/1R1R1K2 b - -,e2c3
3q1rk1/p1r1ppb1/1p1p1npp/1bpP4/P1Q1P3/4BN1P/1PP2PP1/3RR1K1 w - -,a4b5
r1q2rk1/4bppp/pn1p1n2/1pp5/3PP1b1/1P3N2/P1BN1PPP/R1BQR1K1 w - c6,c1b2
r4rk1/Np4pp/1b2pqn1/3p4/PP6/2P2NB1/5PPP/R2Q1RK1 b - -,b6a7
1r6/2Q5/4pk1p/3q4/3P3n/4P2P/1P3PP1/6K1 w - -,e3e4
rn1b1r1k/pp2Nppn/2p1b2p/q7/3PPB2/6N1/PPPQB1PP/R4RK1 w - -,b2b4
r1bq1rk1/pp2bpp1/4pn1p/8/2Bp3B/5N2/PPP1QPPP/3R1RK1 b - -,d8b6:c8d7
k2r4/pp1n2r1/3q4/3p1bnp/3P3P/2R2P2/PP1QBKP1/7R w - -,h4g5
8/Q2n2B1/2q2p2/6p1/1k2p3/p5P1/5P2/3K4 w - -,a7d4
3q4/6kp/p1n2pp1/1p2n3/4RP2/2Q4P/P1B3P1/6K1 b - f3,e5c4
r1b1r1k1/pp2bppp/2p1p1n1/q7/2PPQ2P/4BNP1/PP3PB1/R4RK1 w - -,c4c5
r3k2r/pb1nqpp1/1p1p1n2/2pPp3/2P1P2p/2PB4/P4PPP/R1BQRNK1 w kq -,c1g5
R1Q5/1p3r1p/6pk/4pp2/8/2N4P/P5PK/q7 w - -,c3e2
r1b1r3/ppp2kp1/2n2n1p/8/4P3/5N2/PB1N1PPP/R3R1K1 b - -,c8g4
5r1k/pp5p/8/1Ppr1p2/P2qp1P1/6RP/Q4Pn1/1R4K1 w - -,g1g2
8/3b2k1/1p1bppn1/p2p4/2pP2P1/2P1B3/PP3P2/2K1N2B b - -,b6b5
2r2rk1/pp4p1/2b2n1p/2b3B1/4p3/2N5/PP2BPPP/2R2RK1 w - -,g5e3
1Qb2r2/p3q2k/3P2pp/2p2p2/8/3B3P/P4PP1/2R3K1 b - -,e7b7
2R5/4pp1k/6pp/4b3/6P1/5QnP/8/4qB1K w - -,h1g2
rr4k1/5pp1/p4n1p/2pPq3/2Pbp3/Q1B3P1/P3RPBP/5RK1 w - -,c3d4
2rq1rk1/pb1n1pp1/1p2pn1p/8/1bBP3B/2N2N2/PP3PPP/2RQR1K1 w - -,c4d3
rn1qkb1r/1b3ppp/p3pn2/1ppp4/4PP2/2NP1NP1/PPP3BP/R1BQK2R w KQkq d6,e4e5
r3kb1r/pp1b1ppp/3qpn2/8/2BQ4/5N2/PPP2PPP/R1B2RK1 w kq -,c1e3:c1f4
3r1r2/2k5/8/4Pp2/1p1P4/b4Q2/1q4PP/1N3R1K w - -,d4d5
1b1q1r1k/1Q3ppp/4p3/2P5/3Pp3/4P3/P3N1PP/3R2K1 b - -,d8g5
r2q1rk1/1b2bppp/p3pn2/1p1nN3/3PN3/3B4/PP1BQPPP/R2R2K1 b - -,d8b6
3r1r2/1p4k1/1p3pnp/1Bnpp3/8/2P2NPP/PP3P2/3RR1K1 b - -,d8d6
r1bqkb1r/pppp1ppp/2n2n2/4N3/4P3/2N5/PPPP1PPP/R1BQKB1R b KQkq -,c6e5
8/4k3/8/3pPp2/R4P2/1r6/6K1/8 w - -,a4a7
8/2K5/5k1p/7P/6P1/1r6/1p6/1R6 w - -,c7c6
8/r3kp2/pprppp1p/4bP2/PPP1P1P1/1K1R1B1P/2R5/8 b - -,e7d7
rn3rk1/pp3pp1/2p3p1/8/4pB2/2P3P1/PPP2PP1/R4RK1 b - -,b8d7
r1b2rk1/ppqn1pp1/2pb1nQp/8/3Pp3/1BN1PN2/PP3PPP/R1BR2K1 w - -,f3h4
1nr1r1k1/p4ppp/1ppbpn2/4N3/B1PP4/2B3P1/PP3P1P/3RR1K1 b - -,f6d7
5k2/p3p1b1/q2pPr2/P1pP1R2/2N2P2/2PQK1P1/3N3r/8 b - -,f8e8
r3r1k1/ppN2ppp/2p3b1/4P3/5P1b/5B1P/PPP5/R4R1K w - -,c7a8
6k1/3p1ppp/2b5/1NP5/5P2/P3P2P/r5P1/6RK b - -,h7h6
7r/r4p2/4p3/pk2P3/4BP2/6K1/R1P5/8 b - -,a5a4
8/6p1/2p1r1Bp/P1Rp3P/5PK1/1kP3P1/3r4/8 b - -,d2e2
1rbqk2r/1p2ppbp/p2p1np1/8/2PpPP2/3P2P1/PP2N1BP/R1BQ1RK1 b k -,f6g4
2k5/1r3ppr/Qp2p1n1/p2pP3/P7/6P1/1P1B1P1P/6K1 w - -,a6a8
4r2k/1R6/5K1p/1pp3p1/8/1r1P1PP1/4P3/2R5 b - -,b3a3
r4rk1/p4pp1/2p3q1/4p2p/Q1p1b3/2P1PPB1/P5PP/2RR2K1 b - -,h5h4
rn1q1rk1/3nbpp1/3p2b1/p1pPp1Pp/Pp2P2P/1P2B2B/2PNQP2/R2NK2R w KQ -,d1b2
r2qkb1r/pp2pppp/2n2n2/3p4/3P1Bb1/2N2N2/PPP2PPP/R2QKB1R w KQkq -,f1e2
8/Qpq2rkp/3p2p1/n3p3/4P2P/5P2/P1r1BKP1/1R5R b - -,c2e2
2r2rk1/p7/q6p/2bpBpp1/4n3/1P5P/PQ2NPP1/R3R1K1 b - -,c5f2
3r4/p4kp1/1p2p2p/2r2p1P/7R/P1P2P2/1P3KP1/4R3 w - -,f3f4
8/p4p2/1kp1b1p1/2b3Pp/2B2p2/1N3P2/P3K2P/8 w - -,c4e6
r2qkbnr/1p1b1ppp/p2pp3/2p5/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,d2d4
r1bqkb1r/pp2pppp/2n2n2/2p5/4P3/2N3P1/PPP2PBP/R1BQK1NR b KQkq -,d8d1
8/6k1/2R4p/4pKp1/rP1b1pP1/P7/R4P1P/8 b - -,a4a7
3r2k1/2pr1ppn/p2n1q1p/1p2pP2/4P2P/BPP3Q1/P1B2P2/2KR2R1 b - -,d6e8
3r4/5pkp/2b3p1/q1p1p3/p1BrPb2/1P3P1P/PR3QP1/4RNK1 b - -,h7h5
r3r2k/p6p/6pb/8/2Q5/2P5/P4PPP/5RK1 b - -,h6g7
rnbqk2r/pp2ppbp/3p1np1/2pP4/4PB2/2N5/PPP2PPP/R2QKBNR w KQkq -,g1f3
r1bq1rk1/2p1nppp/p2b1n2/1p1Pp3/8/P1NBPN1P/1PQB1PP1/R3K2R b KQ -,c8b7
1b6/1P2k2p/3pB1pB/2nPp3/3p3P/5PP1/8/5K2 w - -,e6g8
2kr1b1r/ppp2Bpp/4pB2/q3nb2/3P4/2N5/PPP1NPPP/R2Q1RK1 b - -,g7f6
r3kb1r/pp1b1ppp/1qn1p3/3pP3/1P1n4/P2BBN2/5PPP/RN1QK2R w KQkq -,f3d4
2kr4/pp2n3/3p3N/2p2pP1/2b2B1K/2P1PP2/P2Q4/6r1 w - -,d2h2
3rr1k1/ppq2pbp/2n2pp1/2p2b2/2P5/PQ1PPN2/1B2BPPP/3RR1K1 b - -,e8e6
1rb1n2k/3nq2p/pr1p1p2/2pPpPp1/2P1P3/RPNN2P1/7P/R2Q1BK1 w - -,a1a2:c3a4
2r1kb1r/2qb1pp1/p1nppn2/1p4Q1/3NPP1p/2N1BB2/PPP3PP/2KR3R w k b6,d1d2
5r1k/1b2qpp1/p2p3p/1p2pPn1/4P1Q1/P1nB2R1/2PN2PP/3R2K1 w - -,d1f1
3r2k1/p4p1p/1p3b2/6p1/1P2B1n1/P5P1/2RB1P1P/6K1 b - -,h7h6
1rr1n3/p3ppkp/6p1/1p6/3PBP2/1R2P3/P2K1P1P/7R b - -,e8d6
6k1/2q3pp/p1r1p3/2P1p3/Q4P2/6PK/7P/3R4 b - -,h7h6
r2q1r2/7k/bp2p2p/p1p1Ppp1/P2Pp3/1PP3P1/2Q1P2P/R1B2RK1 w - -,c1e3
rq3k2/pp3ppB/n4p2/1bpPb3/2P5/8/PP1B1PP1/3QRK2 w - -,c4b5
6k1/pp2p2p/8/4K3/P1P5/1P6/4r3/2R5 w - -,e5f4
4rrk1/p5p1/1p5p/2bp4/3BB1bP/6P1/PPN2P2/2R1R1K1 b - -,d5e4
