8/5pkp/2b2p2/4p3/8/4P2P/3N1PPK/8 w - -,h2g3
5N2/1k6/2p4p/8/p3pP1p/P3q3/1PQ4K/8 b - -,e3f4
8/5pk1/Q2b2p1/3q4/2p5/P3B1P1/5P1P/6K1 b - -,c4c3
8/8/pp2k3/4np1p/1pP2B1P/P1K5/6P1/8 w - -,a3b4
r3r1k1/ppp4p/3pb1p1/3N1p2/2P1P3/2P2P1P/P4P2/R4RK1 w - -,d5c7
r1b1r1k1/pp2ppbp/n1p3p1/7q/2P5/Q2PBNP1/P3PPBP/1R3RK1 w - -,f3g5
r4rk1/2pqbppp/p7/1p1pP3/1NnP2P1/2P4P/P3QP2/R1BR2K1 b - -,e7b4
r4rk1/p1ppqppp/1p2p3/n7/1BPPb3/1P3NP1/P3PPBP/R2QR1K1 b - -,e7b4
8/8/8/8/3N1pk1/7n/6K1/8 w - -,d4f3
2r1k2r/pp1b1ppp/4pn2/2b5/3N1B2/8/PPP1BPPP/R4RK1 w k -,d4b3
1n2rqk1/3bbpp1/2p4p/1pPp1P2/1P1P2N1/3BR1PP/1r1NQ3/4R1K1 w - -,g4f2
3r2k1/pp3p2/6pB/4bb2/n1P5/7P/P3BPP1/2RN1K2 w - -,c4c5
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/4P3/1P3N2/PBPP1PPP/RN1QKB1R w KQkq -,e4e5
5r1k/bpp3p1/p1npq2p/4pP1n/1P5B/P6P/2P2PP1/R2Q1RK1 b - -,e6f5
8/2K5/1p6/p1p2kpp/Pr6/1P4RP/8/8 w - h6,g3f3
2r1r3/p1p2kp1/1p1p1n1p/n2Pp3/2P5/P1P1B2P/3NRPP1/1R4K1 w - -,b1b4
8/4pp1k/3p2p1/1b1P3p/2p2P2/1nQ1P1PP/q5BK/1R6 w - -,b1b2
rn1q1rk1/pb3npp/1p2p3/2p1Pp2/2PP4/2PB4/P1N3PP/R1BQ1RK1 b - -,b8c6
r3r1k1/3n1pb1/pq1p4/2pPn2p/4bBpP/2N1N1P1/RP1QPP2/4R1K1 w - -,c3e4
4r1k1/1p3pbp/p2q2p1/3p4/3N4/1P3PPP/P2Q1PK1/3R4 w - -,d2c2
3r2k1/1b3ppp/4p3/pp1rP3/1PqN4/P1P3QP/3R2P1/3R2K1 b - b3,a5b4
3rr1k1/p2b1pb1/qp3npp/P1pP4/2P5/Q3BB1P/3NRPP1/R5K1 b - -,b6b5
r1bq1rk1/pp3pbp/2pp1np1/2n3B1/2PNP3/2N2P2/PPBQ2PP/R3K2R b KQ -,a7a5
3r1rk1/ppqb1pp1/3bpn1p/4N3/8/3B4/PPP1QPPP/R1B1R1K1 w - -,h2h3
8/kp5P/p1b2N2/3p4/3P4/P7/5K2/2q5 w - -,h7h8q
2b2r2/p5k1/2pqprpp/1p6/3PQP2/2P3P1/P1B3P1/3RR1K1 w - -,e1e3
5bk1/3q1p1p/1p3Pp1/p1p1B1P1/P1P2P2/1P2Q1KP/8/8 w - -,g3f2
3r1rk1/p1pnq1pp/2B1pn2/8/1pP2P2/6P1/PPQ3KP/RN3R2 w - -,b1d2
rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq -,g8f6:b8c6
4r3/4P1p1/7p/2B1pk2/2bp4/P1p4P/5KP1/R7 b - -,f5e4
1r3b2/2p4k/6pp/2pPpq2/R3N3/4P2P/P5P1/4Q1K1 w - -,a4c4
r1bq1rk1/1ppnppbp/p2p1np1/8/3PP3/2N2N1P/PPP1BPP1/R1BQ1RK1 w - -,e4e5
4r2k/R7/p2r3p/1p2N1pn/5p2/1Pn4P/2b1BPPB/5K2 w - -,e5f7
4rrk1/1p1n2pp/p1p1p2q/P4p2/3PR2P/2P2QP1/1P3PB1/4R1K1 w - f6,e4e2
8/Q5kp/6p1/Pp1P1p2/1P6/6P1/2r4r/5K2 b - -,g7h6
8/8/1p2kpn1/p2pp2p/P2Pn1pP/1P1NP1P1/4KP2/2B5 b - -,g6e7
5rk1/pbq1bpp1/2p1p2p/1pP5/4Q3/1B2PN2/PP3PPP/3R2K1 b - -,f8d8
8/4k1p1/5bR1/2Np3r/1p1P4/1P2P3/1P1KB2r/8 w - -,c5d3
r3kb1r/pp1qp1pp/2p2n2/8/2P5/2N5/PP2QPPP/R1B2RK1 b - -,g7g6
rnb1k2r/1p2ppb1/p4np1/q1p1P1Np/7P/2N1B3/PPP1BPP1/R2QK2R b KQkq -,f6g4
2r2bk1/8/2b1p1p1/2N2p1p/pB1P4/P2KP3/8/6R1 b - -,g8f7
8/7p/3q4/6p1/4p3/2krp1R1/6PK/Q7 b - -,c3b3
r1bq1rk1/pp2ppbp/6p1/3Nn3/8/6P1/PP2PPBP/R1BQ1RK1 w - -,c1g5
r2qkb1r/3bpppp/p1np1n2/1pp5/4P3/2P2N2/PPBP1PPP/RNBQR1K1 b kq -,g7g6:d7g4:e7e5
8/1N1k3p/1Bnb1p2/1p2pNpP/4PnP1/2P5/3K1P2/8 b - -,d6f8
8/1pp3k1/7p/2P1N1p1/3KP1P1/1q5P/1P6/5Q2 b - -,b3b2
2r1k2r/1p3ppp/p3b3/2Q1p3/q2n4/P2BB3/1PP2PPP/2KR3R w k -,c5b4
r2qk2r/pp1bppb1/3p1np1/3P1n1p/3N1P2/2N3PP/PPP2BB1/R2Q1RK1 b kq -,d8c8
