8/2P5/8/K1r5/P7/4k3/8/8 w - -,a5b6
1nr3k1/4qppp/1p2p3/rP1pP3/2nP4/1R1N4/2QN1PPP/2R3K1 b - -,e7e8
5k2/1p1n1pp1/2pr3p/p3p3/P3PP2/1PqNR1P1/2P2QK1/8 b - -,e5f4
4r1k1/pp4p1/2n4p/3q4/2pPr3/P1P2QP1/3B1R1P/R5K1 b - -,b7b5
3rrk2/1pp2p2/p1n2npp/4p3/1P2P3/2P1RNNP/1P3PP1/R4K2 b - -,d8d6
1r3rk1/4ppbp/p5pB/q1pNP3/6b1/1P2QN1P/P1P2P2/2KR3R b - -,g7h6
r2q1rk1/p1np1pbp/bp3np1/3P4/8/1NN3P1/PP3PBP/R1BQR1K1 b - -,a8c8
2b2r1k/6pp/8/1R6/3P4/2q1P2P/Q4PB1/6K1 b - -,c3e1
2r3k1/7p/1p1pP1p1/1P6/p3q3/R3B3/1Q4PP/7K b - -,c8c2
r4rk1/4q1b1/1p4pp/p2PP3/P1Pp2p1/1P1B4/2Q1R2P/3R3K w - -,d3g6
rnbqk2r/pp1pb1pp/2p2n2/4pp2/2P5/2NP1NP1/PP2PPBP/R1BQK2R b KQkq -,d7d6
3k3r/3r4/2Q2b1p/2p1p1p1/3qB3/P5B1/5PPP/5RK1 w - -,c6f6
1Q6/7p/3p1k2/5p1q/PP3b2/2r2N2/5PP1/3R1K2 b - -,h5h1
8/p2r1k1p/3qbrp1/2p1Rp2/8/4Q1P1/PPP4P/2K1R3 b - -,f7g7
8/3R2p1/p5kp/8/rN6/6PK/7P/8 w - -,d7d6
2r5/3kr2p/1Q5R/1p1p1p2/p5P1/3q4/6B1/5R1K w - -,b6d6
r2q1rk1/1pp2ppp/3p4/p7/1nQ1PP2/P7/1PP3PP/1KBR3R b - -,b4c6
3r2k1/2q3pp/R2b4/1ppPpr2/2p1N3/2P4P/1P2QPP1/3R2K1 w - -,d1a1
7r/p2n4/1pk5/3pp2P/5RK1/P7/7P/5R2 w - -,f4f7
r4rk1/pppb1ppp/5n2/3p1P2/2q1P3/6NP/PPP3P1/R1BQ1R1K w - -,e4e5
5rk1/1p4p1/2q5/2p1prp1/p1PpN3/PP4P1/5P2/1R1QR1K1 w - -,b1b2
r2r2k1/pb2q2p/2n2np1/R1p1p3/2N1Pp2/2NB1P2/1PP3PP/2Q1R1K1 w - -,a5a3
2r1kb1r/pq2np1p/2b1p1p1/1p2P3/1PpP1P2/P7/1B1QB1PP/2R1NRK1 w k -,e2f3
rn1qkb1r/pp3ppp/2p1pn2/8/2p3b1/3P1NP1/PP2PPBP/RNBQ1RK1 w kq -,d3c4
r1b1k2r/pp3pbp/4pnp1/2q3B1/8/2P2N2/PP1N1PPP/R2QR1K1 b kq -,e8g8
r1br2k1/pp2ppbp/2n3p1/q1pP4/4P3/2P1BN2/PQ3PPP/2R1KB1R b K -,c6e5
2r3rk/2p2p2/1pn1q2p/p3p3/P1N1P1nN/1PPR4/2Q2PP1/4R1K1 b - -,c6e7
8/4r2p/4rkp1/2P3N1/1p1R3P/pP3PP1/P7/6K1 w - -,g5e6
b1r2rk1/4qppp/5b2/1p1RnP2/8/PN2B1QP/1P2B3/3R2K1 w - -,d5d6
8/6bB/1R5p/2p1k3/2r1p3/8/5P1P/6K1 w - -,b6g6
3r1rk1/p4pb1/1pq3pp/n3p3/P1p1P3/2P1N1P1/1PQ2PBP/3RR1K1 b - -,g8h8
r1b2rk1/1p3pp1/7p/p1Pp4/P2N4/4P3/1P4PP/2R2RK1 b - -,c8d7
2R3k1/1p3pb1/p3pnp1/7p/PP6/1r5P/4NPP1/B5K1 b - -,g8h7
3b2k1/6r1/p3p1q1/1p1pPr2/2pB2p1/2P4N/PP2Q1K1/R4R2 w - -,h3f2
rnbqkb1r/1p3pp1/p2ppn2/7p/3NP3/2N1BP2/PPPQ2PP/R3KB1R b KQkq -,b7b5
3Q1b2/5k1p/5p2/8/P5R1/5PP1/6KP/2q5 w - -,d8d7
r4rk1/pp2qppp/2pb1n2/3p4/3Pn1b1/1PN1PNP1/PBQ2PBP/R4RK1 w - -,f3d2
8/4ppk1/q1Qp2np/3P2p1/P2NPn2/5P1P/4N1PK/8 b - -,a6d3
1n5k/p5p1/1p3r1p/2qB4/Q6P/2P3P1/P4P2/4R1K1 w - -,e1e8
3k3r/pp1r1p2/4qp2/2R5/2P2QPp/1P1pP3/P2P2P1/3R2K1 b - -,d8e7
r2q1rk1/pp1bbppp/2n1pn2/2p1N3/2B2P2/2P5/PP1PQ1PP/RNB1R1K1 b - f3,c6e5
3R4/4Pk2/p1b4p/1p6/1B4rP/5p2/7K/8 w - -,d8f8
1r3r2/p1p3kp/2ppbpp1/2n5/P1B1PP2/1P2R2P/2PN1KP1/4R3 b - -,g6g5
1k1r1q2/2p4p/pp1nR1p1/2RB4/3P4/PQ2P3/KP3r1P/8 w - -,c5a5
3Rk3/p4p2/1pp1rb2/6pp/8/7P/PPP2PP1/1R2B1K1 b - -,e8d8
r4rk1/p2qppbp/1n1p1np1/1pp5/4PP2/PP1P1N2/1BPQ2PP/RN3RK1 w - -,b1c3
5rk1/6pp/4p3/2Pp1q2/4r3/3Q2PP/2R2P2/1R4K1 w - -,g1g2
1k1r1b1r/1b1nq2p/3p2pP/p3p3/PpQ5/3B1N2/1P2NPP1/1KR4R b - -,d7c5
3r1rk1/p4pp1/1p1q2p1/2pn1nP1/P1BP2Q1/2P4P/3B1P2/1R2R1K1 b - -,c5d4
1k1r4/ppp2pp1/1nnrpq1p/2N1N2P/3PQ3/P7/1PP2PP1/1K1RR3 w - -,b2b4
3qr1k1/1p3ppp/1pn2n2/8/2b5/B4NP1/P3PPBP/Q3R1K1 w - -,e2e3
r3r1k1/pp1nbpp1/2p1pn1p/q6P/2PP1B2/3Q1NN1/PP2RPP1/R5K1 w - -,a2a3
5bk1/p4b1p/B1Nn1pp1/4p3/p2p4/3P2P1/1P2PP1P/2B3K1 w - -,c6a7
8/1p6/4k1n1/p3p3/2P1K1P1/PP6/8/8 b - -,g6f8
1r3kr1/2qbb3/p2pppQp/1pn5/1P1NP3/P1N5/2P1B1PP/2KR3R w - -,g6h6
8/1p4k1/p1b5/P1Bq2pp/1P3p2/7P/1Q4PK/8 b - -,g7g8
r2r2k1/n2p1ppp/pb2p3/1p2q3/1P6/P1N2Q2/1B2RPKP/1B6 b - -,e5g5
5rk1/7p/3pp1p1/8/1pP1P3/1P1R2nP/5rPK/3R4 w - -,d3g3
br3rk1/4qp2/pp1ppn1p/4b2N/PPP1P3/6N1/3Q2PP/1BR2RK1 b - -,f6h5
r3b2N/pppkb3/2p1p3/7P/6pR/1P6/PBP2P1P/4R1K1 w - -,e1d1
r2qk1nr/pppnppbp/3p2p1/8/2PP4/2N1BP2/PP1Q1PPP/R3KB1R b KQkq -,e7e6
r4rk1/pp3p1p/2n3p1/1q6/1P2p1b1/4R1P1/3PPPBP/3QNRK1 b - -,c6d4
r1b3k1/ppq4p/1b2p1p1/3nP3/3pN3/P2B1PB1/1PP1N2P/2KR3R b - -,c8d7
2kr2r1/ppp4p/2np1p2/4p3/4P1qP/2PPB1P1/PP3P2/R2QK2R w KQ -,b2b4
8/2k5/8/1p2N3/8/4bp2/8/5K2 b - -,f3f2
rn1qrbk1/pbp2ppp/1p3n2/3p4/3P1N2/2NBPQ2/PP1B1PPP/R4RK1 b - -,f6e4
r1n2rk1/1p3ppp/p1p1p3/7P/2RP4/1P2PBP1/1P3P2/R5K1 b - -,c8d6
k1r5/ppqr1pp1/2pbpn1p/7P/Q2P4/2P2BP1/PP1B1P2/1K1RR3 w - -,b2b4
6k1/4q1p1/6bp/3R4/2r5/P4Q2/1P4PP/3Rr1K1 w - -,g1f2
r4rk1/1p1nbppp/1qp1p1b1/p3P3/P2P1P2/2Q1B3/NP2B1PP/R4RK1 b - -,g6e4
3q1rk1/np3pp1/4b3/pP1pPpPp/P1rP3P/2R2N2/1B3P2/R2Q2K1 b - h3,a7c8
1r3rk1/1pqnbpp1/p2p2n1/P1pPp2p/R1P1P2P/3NBPPB/1PQ1K3/7R b - -,f8c8
8/8/6B1/2kp4/3r4/4K3/8/8 b - -,d4g4
6k1/6p1/nBp4p/p1Pp1p2/Pp3P2/8/1PP3PP/1K6 b - -,g8f7
r3r1k1/p2q1p1p/3P2p1/1npP4/1pN5/1P5P/P1Q2PP1/3RR1K1 b - -,e8e1
r1b2rk1/p4pp1/2p2b2/8/4N3/1Bp4P/P4PP1/R3R1K1 b - -,f6d4
4r1k1/3nrp1n/pbp3p1/4P2p/1P6/2B2NNP/1P1RR1P1/7K w - -,d2d6
8/6k1/3R4/3p1K2/3r4/8/8/8 b - -,d4d1
r2q1rk1/1b1nbppp/p2p1n2/1P2p3/1Pp1P3/2P2N2/2BPQPPP/RNB1R1K1 b - -,a6b5
2r4k/1b3ppn/p2p3q/1p2pP1p/4P2P/P1nB1R1Q/2P3P1/4RNK1 b - -,h7f6
