8/7R/6r1/3kp3/8/8/7K/8 w - -,h7a7
1k4r1/pp1b3p/2ppnq2/5p2/2PP1P2/3B3P/PP2NQ2/1K4R1 b - -,g8g6
5rk1/3q1p1p/R2p2p1/2pP4/4PQ2/3P2P1/1r5P/5RK1 b - -,d7h3
1rb2rk1/p2pb1pp/1qn1p3/3nPp2/8/2P2NP1/PP2QPBP/RNB2RK1 b - -,c8a6
r1b2rk1/1pq1bppp/p3pn2/3P4/Pn1N4/1BN1B3/1PP1QPPP/3R1RK1 b - -,e6d5
r3kb1r/1bqn1p2/p2ppp2/7p/Pp1NP3/2P1BP2/BP4PP/R2Q1RK1 b kq -,b4c3
2kr1r2/1b3N1p/5p2/1pp4B/1bpP4/8/1P4PP/3R1R1K b - -,d8d5
r3k2r/p3bp2/bnn1p1p1/q1ppP3/1p1P1PB1/2P1B3/PPQNNR1P/R5K1 b kq -,b4c3
1r6/p4k1R/2p1b3/4p3/1p2P1P1/1PpBK3/P1P5/8 b - -,f7g6
2kr3r/ppp5/2q2p2/6p1/7p/2N1P2P/bPQ2PP1/3RKB1R w K -,f1d3
1rr2nk1/3bqpbp/p2p2p1/B2Pp2P/1PP1PnP1/1BN2PN1/1K1Q4/3R3R b - -,d7e8
rn3rk1/p2pq1pp/1pp1pn2/8/1bPP4/2N2N2/PP1BQPPP/R4RK1 b - -,b4d6
5nk1/5pp1/2p4p/p2q4/4p3/P1Q3PP/1P1rPP2/2R2BK1 b - -,f8e6
8/1p1kr3/p1n1pQB1/3pPP2/P7/6PK/1r6/8 b - -,b2e2
1rbq1rk1/1ppn1pbp/3p1np1/p3p3/P1PPP3/2N2NPP/1P3PB1/R1BQ1RK1 w - e6,d4e5
2r5/8/p3pkp1/5r2/1PP5/2KNR2P/8/8 w - -,c3b3
2r3k1/1qrn3p/4p1p1/pP2Pp2/Pp1Bp2P/1P4Q1/2R2PP1/2R3K1 w - -,c2c7
8/3k1pp1/R6p/2b1Pr2/8/6BP/6K1/8 b - -,h6h5
r4rk1/pp2bpp1/2p2n1p/3p4/3P1N2/5PB1/PPPK2PP/R3R3 b - -,f8e8
8/3b4/1p1k1r1p/3pp1p1/1Pp5/P3RNPP/2P2P2/5K2 w - -,f3e5
3q1k2/6p1/1p3p2/1P2p3/Ppp5/5PPB/2b1Q2P/1N1R3K b - -,d8d1
6k1/R7/pr6/5N1P/4nKP1/8/8/8 b - -,e4f6
2r2rk1/1pq1bppp/p2pbn2/P1N1p3/4P3/2N3PP/1PP2PB1/R1BQR1K1 b - -,c7c5
2r3k1/1p3pp1/p3r2p/2p5/8/1PbP1R2/P1P2BPP/5RK1 w - -,f3e3
8/5p2/4b3/1B6/1N1KPk2/5P2/6n1/8 w - -,b5e2
