8/6p1/5kBp/4p2P/r2N1P2/4K3/8/8 w - -,f4e5
8/8/8/rR4p1/P2P2K1/3k2P1/6P1/8 b - -,a5a4
r4rk1/p2qn1b1/1p1p1npp/2pP1p2/2P2P2/P3B1N1/1PQ1BP1P/3R1R1K w - -,e3d2
8/pp2kp2/2p2p1p/4pP1P/4N1P1/2P4n/PP2B3/3K2b1 w - -,e2f1
3rBk1r/ppq1pP2/6p1/8/2pn4/2N4P/PP1b1PP1/R2Q1RK1 b - -,d2c3
1r1q1rk1/3n1pbp/3p2p1/2p5/1pNn1P2/3P2P1/1PP2QBP/R1B2RK1 w - -,c4d6
3rr1k1/1pq2ppn/1p1pb1np/2p5/1PP1Pp2/P2PQ1PP/1B4BK/4RRN1 w - -,g3f4
r2q1rk1/1b2bppp/3p1n2/2p1p3/PpN1P3/1P1P1N2/BP3PPP/R2QR1K1 w - -,c4e3
2r5/6p1/6kp/pp2P1b1/3KP3/PnB5/2N3PP/5R2 w - -,d4d3
r5k1/pbq1rpp1/np1N3p/8/4P3/5N2/PP1Q1PPP/3RR1K1 w - -,f3h4
8/1R6/8/7p/1P3k1p/1r5P/5N2/5K2 w - -,b4b5
r1bqk2r/2pp1ppp/1np5/p3P3/2P5/P7/1P1bQPPP/R1B1KB1R w KQkq -,c1d2
r2r2k1/bbp2p2/p6p/2p3p1/2N1P3/2P2Pn1/PP4PP/RN3RK1 w - -,h2g3
2k5/p1p1pp1p/6p1/4P3/2P2P2/2r3PK/P3R2P/8 b - -,c3c4
1qr2bk1/1b3ppp/pN1r4/3p4/1PPN2n1/P7/3Q2PP/2RR1BBK w - -,c4c5
8/1p4kp/1b2B1p1/8/p1R4P/6P1/Pr3PK1/8 w - -,c4f4
5R2/ppp1n1rk/8/5pP1/3P1Pq1/P1PQ4/1P4P1/6K1 w - -,d3e3
3r2k1/6n1/1p1pn1p1/3Qp3/1PP1P1Pp/5P2/5q2/2BR1B1K b - -,f2f3
4q1k1/1r4p1/3pr2n/1p1Nn2R/1PpBPp2/2Q2Pb1/P7/1K3B1R b - -,g8h8
1rbq1rk1/1pn1ppbp/p1np2p1/2p5/P1P1P3/2NPB1PP/1P2NPB1/R2Q1RK1 w - -,d3d4
3r2k1/p2rqpb1/b1n5/3p1pN1/3P1Pp1/1PP3P1/P2Q2B1/3RR1K1 b - -,e7d6
4r2k/p4r2/5q1p/1P1p4/P1p3Q1/6P1/2B2P1P/5RK1 w - -,g1g2
r2q1rk1/pbp3pp/1p6/2npPp2/4n3/PP2P1P1/1B1N1PBP/R2QR1K1 w - -,d2f3
3rr1k1/pp3pbp/4p1p1/1N1nP3/2pP1P2/P5PP/1P3B2/2R2RK1 b - -,a7a6
5rk1/pp2b2p/2n1pp2/4p3/8/6P1/PP1rPPBP/R1R1N1K1 w - -,g1f1
6k1/p4pp1/3rbnnp/3p4/P7/4N1P1/1B2P1BP/2R3K1 w - -,c1d1
6k1/6b1/1Np3p1/2B4p/2P3bP/1P4P1/P4RK1/4r3 b - -,g4f5
r3kb1r/3b1ppp/pq1p4/3PpP2/1p1N2P1/8/PPP1Q2P/1K1R1B1R b kq -,h7h5
r4r1k/1p4pp/pqn5/4Pb2/5PP1/P6P/1P2Q2R/R1B1K3 b Q -,b6g1
1q1r1bk1/3n2pp/r7/pp1p1p1b/2p2P2/P1N1B1PP/1P3QB1/2R1R1K1 w - -,c3d5
5k2/1P3p2/4p2p/p3P3/8/5Q1P/2q3K1/8 w - -,g2g3
4q1k1/1Q3pp1/6p1/p1p5/PbP5/B3P1P1/3r1P1P/R5K1 b - -,e8e5
2q1r1k1/1r1n4/pp1p1b1p/2pPpPn1/P1P1P2B/1PNB1Q2/8/4R1RK w - -,f3h5
8/p3kpp1/1p2p1nr/3pP3/2pP1PP1/P1P3K1/2PN4/6R1 b - -,e7d7
8/2Rb1pkp/p5p1/3B4/8/r7/5PP1/6K1 b - -,d7e8
r2q1rk1/1b2bppp/ppnppn2/8/2P1P3/1PN5/P1N1BPPP/R1BQ1RK1 b - -,a8c8
2q3rk/p3b2p/1pn2pp1/2pQ4/P1N3PP/2BPP2n/1P5K/R4R2 b - -,c8g4
r2q1rk1/pb1n1pbp/1p2pnp1/2pp4/P1PP4/1QN1PN2/1P1BBPPP/R4RK1 w - c6,a4a5
4rbk1/1bQ1q1p1/pN1r3p/P2Pp3/4P3/7P/6P1/1RR3K1 b - -,d6g6
4K3/4R1P1/5k2/2r5/8/8/8/8 w - -,e7f7
r1b2rk1/pp2bppp/4pn2/q5B1/2Bp4/5N2/PPP1QPPP/3R1RK1 b - -,f8d8
5rk1/1R2rqbp/3p2p1/1Pp1p2n/2N1p3/1PB3PB/2Q2P1P/3R2K1 b - -,e7b7
