8/5p2/7P/1R3pk1/1P6/6P1/1r3PK1/8 b - -,b2d2
4rq1k/p5bp/1p1n2p1/2pB1pP1/5P2/2P2Q2/PP3B1P/3R3K b - -,d6e4
3r1k2/1pbr1pp1/p1q4p/2ppB3/5PP1/3BQ2P/PP1R4/1K1R4 b - -,c7a5
R7/P5k1/8/7p/3K3P/6P1/8/3r4 w - -,d4e3
r1n1nrk1/pb1q1pbp/2p3p1/1p6/3NR1P1/PP4NP/1BP2PB1/3RQ1K1 b - -,e8d6
2kr3r/pp2bp1p/2pN2p1/2n1Pb2/4p3/3qB1P1/PP3PBP/R1Q2RK1 b - -,e7d6
1qkr1b1r/1pp2ppp/p4nb1/3Pp3/N1P5/1N2B1PP/PPn2PB1/2RQ1RK1 b - -,c2e3
r1bqk2r/pp1p1ppp/2n1pn2/1Nb5/4P3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,c5e3
rnbqk1nr/pp1pppbp/6p1/2p5/4P3/N1P5/PP1P1PPP/R1BQKBNR w KQkq -,g2g3
rn1qk2r/pp3pQp/2pbpn2/8/1PBP1P2/P1N5/2b1N1PP/R1B2RK1 b kq -,h8g8
r2q1rk1/pb3ppp/1n6/4pN2/1nBPP3/bN5P/P3QPPB/3R1RK1 b - -,b6c4
1b1rr2k/p1q3pp/1pp2pn1/5b2/3P4/P1PNB1PP/3Q1PB1/R3R1K1 b - -,c7d7
3rr2k/pp4b1/3pP2p/1Np5/2n2P1p/2B3P1/PP6/4RRK1 b - -,d6d5
3b4/B1p1k3/3p4/1P1Pp2K/4P3/8/8/8 b - -,e7f7
8/p3kp2/8/3P2pP/4K3/6BP/Pb6/8 w - -,g3e5
8/1p2k2q/3bpn2/1p1p1p2/1P1P1Pp1/P3P1P1/2QB1NK1/8 w - -,c2c8
rnbq1rk1/4bppp/p3pn2/1p6/1PB2B2/P1N1PN2/2Q2PPP/3RK2R b K -,d8b6
rn3rk1/pp2ppbp/2pp1np1/4P2q/3P4/1P3NPb/PBP2PBP/RN1QR1K1 b - -,f6g4
r1r5/1p1np1kp/p2pbpp1/q7/P1P1PP2/1PNQ4/4B1PP/R4RK1 w - -,g1h1
8/7p/1N2k1p1/1R3p2/1b6/7P/5PK1/2r5 b - -,b4c5
r2q1rk1/1bpp1pbp/1p4p1/p1n2p2/2P5/1PNPPNP1/P4PBP/2RQK2R w K a6,e1g1
5r1r/2pbq1k1/1p1p2pb/p2Pp2n/2P1P3/1P1Q1PP1/P3B2R/R4NBK b - -,h5g3
2r2rk1/p2n1pb1/2n1p1p1/qp1pP2p/3P4/P3B1P1/1PN2PBP/2RQR1K1 b - -,a5b6
2r5/pp4rk/7p/b3pp1n/2Np3P/3P2P1/PPR1PNR1/6K1 w - -,g3g4
