1Q6/8/4pk2/8/1p3P2/7K/4q2P/8 b - -,e2f3:e2d3
r2qr1k1/1p3ppp/p2p4/3P2bb/8/N1PQ1P2/PP2B1PP/4RK1R b - -,h5g6
r2q1rk1/3n1ppp/pn1p4/1p6/3bP1b1/1P3N2/P1BN1PPP/RQ2R1K1 w - -,f3d4
2r1r1k1/1p2bpp1/pq3n1p/3Pp1B1/P7/1nN3PP/1P2QPB1/3R1RK1 w - -,g5f6
3r2k1/p3bppp/q1p1pn2/8/2PP1B2/P2Q1B1P/5PP1/5RK1 w - -,f4c7
8/3r2k1/4R3/2KP2pp/8/8/6PP/8 b - -,d7a7
6k1/1N5p/p2P4/4p3/2P4P/3b4/6PK/8 b - -,d3f5
7r/1p1k1ppp/p1n1p3/1qB5/1b1P4/4P3/P4PPP/1QR2RK1 w - -,b1e4
4rk2/5p1p/p4p2/1p2q3/2p3Q1/P3P1P1/1P3P1P/3R2K1 w - -,d1d4
r1b1kb1r/1pq2ppp/p1p2n2/4p3/P3P3/2NB3P/1PP2PP1/R1BQ1RK1 b kq -,c8e6
3k4/3b1pb1/3p3p/1p1P2p1/1PnN2Pn/r1B4P/4NP2/1B2RK2 b - -,g7d4
rnbqkb1r/pp3p1p/4p3/2PpPnP1/8/8/PPP2BPP/RN1QKBNR b KQkq -,d8g5
r1bq1rk1/pppp1pbp/2n2np1/4p3/2PPP3/2N1BP2/PP2N1PP/R2QKB1R b KQ -,f6h5
2b1qr1k/6p1/pp2Pn1p/5Q2/2Pp2P1/P2B1R2/3P3P/4R1K1 b - g3,h8g8
2r2rk1/pb2pn1p/1p3Bp1/8/5P2/1BP3N1/P5PP/3R1R1K b - -,e7f6
8/7k/5R1P/5P1K/6P1/8/8/6r1 w - -,f6f7
3r2k1/1p4pp/p1q1pr2/3p4/3QRP2/7P/PPP2RP1/6K1 b - -,d5e4
6k1/5r2/p6p/6p1/1p1b2P1/1P3RBP/P1P1K3/8 b - -,f7d7
r2q1rk1/pp2npbp/3pp1p1/2p3B1/2P1P3/2NP1Q2/PP3PPP/R4RK1 w - -,g5f6
1r1qkb1r/p2b1ppp/2n2n2/3pp3/8/1Q1P1NP1/PP2PPBP/RNB1K2R w KQk -,b3d1
8/1R3p2/1pr2kp1/p6p/8/1P2PK1P/P4P2/8 b - -,c6e6
2rqk1nr/pp2ppbp/2n3p1/1B1pP3/3P2b1/2N2N2/PP3PPP/R1BQK2R w KQk -,e1g1
