8/6R1/4k2K/6P1/2P4p/2r5/8/8 b - -,h4h3
1r3rk1/2qb1pp1/p3p2p/8/1p1N1P2/8/PPPQR1PP/K2R4 b - -,a6a5
r2q1rk1/6b1/1pn3pp/p2bpp2/1p6/P2P2P1/3BPPBP/1RRQN1K1 w - -,c1c6
2rq1rk1/pb1n1pbp/1pp2np1/3pN1B1/3P4/2N3P1/PP1QPPBP/2R2RK1 w - -,g2h3
4r1k1/ppp3pp/3bp3/1P4R1/3P4/2Pn4/P2N1PPP/3R2K1 b - -,d6f4
2rr2k1/pb1nbpp1/1q2pn1p/1pp5/8/PP1P1NP1/1BRNPPBP/Q4RK1 b - -,a7a6
2r2qk1/r2n1ppp/pp1ppn2/8/2PP4/2N3Q1/PP1N1PPP/2R1R1K1 w - -,c3e4
2k2r2/1p1n2pp/1p2p3/4n3/1P2P3/2P3B1/P3B1PP/2K1R3 b - -,c8d8
r1b1r1k1/pp1n1ppp/2p2n2/q2p2B1/3P4/P1PBPN2/2Q2PPP/R4RK1 b - -,b7b6
4rbk1/4q2p/p1p1r1p1/1pR1Pp2/1P1Q4/1P3N1P/5PP1/4R1K1 w - -,d4f4
r2qr1k1/1pp2pbp/3p2p1/1Pn1n3/2PN2B1/p1N1P3/P1Q2PPP/B1R2RK1 b - -,e5g4
8/2Q2k1p/5b2/pp6/6Pp/P1nr4/5PK1/8 b - -,f7g6
r3qrk1/pb1n2pp/1p1ppn2/2p2p2/2PP4/P1BBPP2/1PQ1N1PP/4RRK1 b - -,a8c8
r1r3k1/4ppbp/p2p2p1/3P4/4n3/2B2N2/PP3PPP/R4RK1 w - -,c3g7
6k1/2pb1p1p/B2b2p1/3rp3/8/6PP/P1R2PK1/2R5 b - -,g8g7
8/4Qpbk/3p2p1/1p5p/5q1P/5N2/5PK1/8 b - -,f4g4
2k5/5ppp/4p3/1KP5/5P2/3R4/r6P/8 b - -,c8c7
7k/r7/2Pp2Rp/3PpP2/r3P3/1NQ5/1K3q2/8 w - -,b2b1
rnbqk2r/pp2bppp/2p1pn2/3p4/2PP4/P2BPN2/1P3PPP/RNBQK2R b KQkq -,f6e4
8/2R2r1k/pp5p/3KP3/1P3nrN/P2P4/2R5/8 w - -,d5d6
5k2/pr3p2/R3n1p1/2p1P2p/5B1P/P3P3/2R1KPP1/1r6 w - -,f4g5
2b2k2/2q3b1/4p2p/3pP2R/1P4p1/2P2N2/5KP1/2RB4 b - -,g4f3
4r3/1pp1Nr1k/1p1p1Ppp/2n3P1/4P2P/2P3K1/PP2R3/5R2 b - -,c5d7
7r/2k2p2/ppb1p1p1/4P3/PqPp1PPP/3P2K1/2Q4R/3B4 w - -,c2d2
3rr1k1/1p3ppp/2pqpn2/p3QP2/P2P4/2PB3P/1P4P1/4RR1K b - -,b7b6
8/8/5K2/R7/5k2/4p3/8/8 b - -,e3e2
8/3k4/p2p4/P2P4/2KN3r/8/3B4/8 w - -,d2c1
8/5N1k/1p3Qpp/p7/q3P3/6P1/1P3P1P/2n3K1 b - -,c1e2
rn1q1rk1/pb2bppp/1p1p1n2/2pP4/5B2/P1N1P3/1P1N1PPP/R2QKB1R w KQ -,e3e4
8/3b1p1p/p2b1k2/2p5/2PpB3/3N3P/PP4K1/8 w - -,e4h7
1k6/2b5/2K5/8/8/8/4R3/8 b - -,c7f4
r2q1rk1/1bpn1p1p/1p1p1bp1/p2Pp3/1PP1P2P/P1N2NP1/3Q1PB1/2R2RK1 b - h3,f6g7
r1b2rk1/p1qnbp1p/2n3p1/1p2p1P1/2PpP2P/3P1N2/PBP2PB1/R2QKNR1 b Q -,b5c4
1k6/1b3p2/2p1n1p1/1p2p1Pr/4P3/1PN2PR1/1KP1B3/8 b - -,h5g5
8/5k1p/5rp1/3b4/5p2/2BP4/1P2BPPP/6K1 w - -,c3f6
8/5pkp/4p1p1/8/n1Pq1Q1P/6P1/5PBK/8 b - -,e6e5
r2qk2r/pp1n1ppp/2pb1n2/8/4P3/2N2BP1/PP3P1P/R1BQ1RK1 b kq -,d7e5
5rk1/pp2ppbp/3p1np1/4nP2/4P3/3B3R/PqP3PP/R3Q1K1 b - -,e5d3
3rk1nr/pp3ppp/2n1p3/q2P4/1b4b1/2N2N2/PP2BPPP/R1BQ1RK1 w k -,c3b5
6k1/p5p1/3r1p1p/8/2p5/4P3/P4PPP/R4K2 b - -,d6d2
8/5p2/5kp1/5p1p/5P1P/r5PK/3R4/8 w - -,d2e2
r1b1k2r/1p1n1ppp/p3pn2/2b5/2B5/4PN2/PP1N1PPP/R1BR2K1 w kq -,c4e2
8/6Q1/1k6/2p2p1p/2B3P1/2P1P2P/6PK/4q3 w - -,g7f6
r6k/P4Nbp/5qp1/Qp6/2Bpp3/7P/1PP2PP1/6K1 b - -,h8g8
5k2/5nbp/3p2p1/1bpP4/1pNn1P2/3BQ2P/1P2N1PK/3q2B1 w - -,e3e4
