8/8/1K1P4/5kP1/b6B/4p3/8/8 w - -,b6c7
r3k2r/6pp/pq2pbn1/1p1p4/3P4/1B3N2/PP4PP/RQ3RK1 w kq -,a2a4
5k2/pp3p2/4p1p1/7n/1nr1B3/P7/1q3PQP/R3R1K1 b - -,b4c2
6k1/p2bB2p/3p2p1/4n3/1p2P1Pn/1N3P2/PP6/1K4R1 b - -,h4f3
r1bqk2r/pppn1pbp/3p1np1/8/3pP3/2N1BP2/PPPQN1PP/R3KB1R w KQkq -,e2d4
8/4qk1n/2p1p1p1/2PpP3/3P2Q1/8/4NPK1/8 b - -,e7g5
r2nkb1r/1q1p1ppp/pp2p3/4PPB1/1PPN1Q2/P7/6PP/3R1RK1 b kq -,h7h6
6k1/q2b1pbp/1p1r2p1/pP2n3/Pn1N4/4QP2/1B2N1PP/1BR4K b - -,a7b8
r1b4k/p1q1br1p/2p1pp1B/2pp4/6Q1/2NP4/PPP2PPP/R4RK1 w - -,g4h5
3r4/6pp/1k3p2/2n1p2P/1PB3P1/2N2P2/3r4/R1K5 b - -,c5b7
8/8/1R5K/5k1P/8/8/8/7r w - -,b6a6
3r2k1/6bp/3P2p1/2QB1p2/8/1P4P1/3q1P1P/5RK1 b - -,g8h8
7k/p4pr1/8/2pNp1P1/2B1N1KP/1P6/P7/8 w - -,d5f6
5r2/4r1k1/7p/1p4p1/8/Pn1R2P1/5PB1/1R4K1 b - -,b3c5
2q5/2p2ppk/p1Pp3p/1r1Pr3/RP3Q2/3P2PP/5P2/R5K1 w - -,d3d4
r1b1k2r/2qnbppp/pp1ppn2/8/2PNPP2/2NBBQ2/PP4PP/2R2RK1 b kq -,e8g8
8/8/8/1kn5/p7/K4N1p/8/8 w - -,f3h2
6k1/pp1n2p1/4p2p/3p1p1b/3P4/NP2P1PP/r2B1PB1/4R1K1 b - -,a2a3
r4rk1/1bqn1pp1/p2b1n1p/1pp1p3/3PP2B/3B1N2/PPQ1NPPP/R3R1K1 w - -,a1c1
2rr2k1/pq4pp/4p3/4Bp2/1PPpbP2/P1bN1nP1/R3Q1BP/3R3K b - -,c8c4
8/8/1r2k1p1/1B1R1pKp/7P/6P1/8/8 w - -,d5c5
1r4k1/1P2p2p/4p1p1/8/1pB2P2/2b2RP1/r2p3P/3R2K1 b - -,a2a1
rn1q1rk1/pb3ppp/1p3b2/2Pp4/8/PQN2N2/1P2PPPP/3RKB1R b K -,b8d7
2kr3r/2pnq2p/1p1p2p1/p1P1p3/P2Pb3/B1P1N3/4Q1PP/R4RK1 w - -,c5d6
r2r2k1/pb2qppp/1pp1pn2/3nN3/3P4/1B1NP3/PP3PPP/2RQ1RK1 b - -,a8c8
2r5/2r2p1k/pnpqp1p1/1pR4p/PP1PP2P/Q4BP1/2R2PK1/8 w - -,a4b5
rnbqkb1r/pp3ppp/2p1pn2/3pP3/3P4/2N2P2/PPP3PP/R1BQKBNR b KQkq -,f6d7
r2q1rk1/pppn1ppp/5n2/5b2/2BP4/2N5/PP1QNPPP/R3K2R w KQ -,e1g1
r3kr2/1ppbqR2/p6p/3Pp3/7P/3B4/PPPQ2P1/5RK1 b q -,f8f7
rn2k2r/pp1nbppb/1q5p/2ppP3/P1p2P2/6P1/1P3NBP/RNBQ1RK1 w kq -,d1d5
5rk1/5p2/4pb2/r6p/p3Q1p1/6N1/Pq3PPP/3RR1K1 w - -,e1e2
4B3/2R2pk1/5rp1/3p3p/4n2P/2P1PPP1/6K1/8 b - -,e4d2
r2k4/1p5p/p4b2/1b1Bn3/8/6N1/P4P1P/4RRK1 w - -,e1d1
2kr3r/pp6/2ppbqp1/7p/2PpP3/1P4P1/P2Q1PBP/R4RK1 w - h6,h2h4
2b3k1/Rrn2rn1/2Np1q1p/2pP1p2/1pP1pP2/4N1P1/1P2Q1BP/R6K b - -,b7a7
1r1q1rk1/5pbp/2np2p1/1b3P2/3PPN1P/npB2NQ1/6BK/3RR3 b - -,a3c2
rn1qkb1r/pbp2ppp/1p1ppn2/3P4/2P1P3/P1N5/1P3PPP/R1BQKBNR b KQkq e3,c7c5
8/8/4r3/8/8/7P/1R2k1P1/2n3K1 b - -,e2e3
r1bqr1k1/p2nppbp/2pp1np1/1p6/3PP1P1/2NBBN1P/PPPQ1P2/2KR3R b - g3,b5b4
2rr2k1/pb3pp1/1pq1pn2/P1n5/3P4/2PB1PP1/1B1NQ3/R1R3K1 w - -,d3b5
r2q1rk1/pp4bp/2npbnp1/2pNpp2/2P5/1PNP2P1/PB2PPBP/R2QK2R w KQ -,a2a3
rnb1k2r/pp1pppbp/5np1/q1p5/2PPP3/2N2N2/PP1B1PPP/R2QKB1R b KQkq -,c5d4
r1bqk2r/1p2bp2/p2R1n2/5Pp1/6P1/6B1/PPP1Q2P/2K2B1R b kq -,d8a5
r3k2r/pbp1bpp1/1p5p/2p1Pn2/2P1N3/1P3N1P/PB3PP1/R3R1K1 b - -,a8d8
r1b2rk1/1p2q1pp/p1n1p3/2npPp2/3N1Q1P/P2B1N2/1PP2PP1/R3K2R b KQ -,c8d7
