8/8/2Pk2p1/1n3p1p/7P/3KBP2/8/8 w - -,e3c1
1r3rk1/2nq2b1/1p4pp/1Ppnp3/2NpN3/1R1P3P/2PB1PP1/3Q1RK1 b - -,c7e6
2R5/8/2k5/1p6/7r/1K6/8/8 b - -,c6b7
r1bqkb1r/3n1pp1/p3pn1p/8/3Np3/2N1BP2/RPPQB1PP/4K2R w Kkq -,c3e4
1r6/3k4/2b1p3/3p1p2/N1pP1P1b/4PK2/RP6/3B4 b - -,b8g8
8/2p1rkp1/3p2pp/1Np2n1P/P7/2P5/1PK2R2/8 b - a3,f7e6
r1b1kb1r/pp2pp1p/1qn3p1/3n4/8/1N1B4/PPP2PPP/RNBQ1RK1 w kq -,d3c4
8/5k2/7R/4P3/4K3/p5P1/1r6/8 w - -,h6a6
8/8/p1k1p3/1p1qP2p/1P5K/P3Q3/8/8 b - -,d5c4
6k1/pp2b1pp/2p5/3r4/3P4/4B3/PP3P1P/2KR4 w - -,c1c2
8/3kb2p/R5p1/2p1B3/2K5/p5PP/8/6r1 w - -,a6a3
3r2k1/5qbp/3rppp1/2Nn4/1pbP1P2/2P2NP1/1PQ3BP/R3R2K b - -,b4c3
r3brk1/ppq1b1p1/4ppB1/6NQ/3p4/P5P1/1P3PKP/R1B1R3 b - -,e8g6
3rr1k1/ppb2ppp/1np3q1/5p2/5n2/1PQPPBP1/PBN2P1P/2R2RK1 b - -,f4d3
8/4k3/2b3p1/2P3P1/2P5/4K3/3p4/3B4 b - -,e7e6
8/1n1k3p/2b5/pp1pPN2/2pP4/B1P4P/2P5/6K1 w - -,g1f2
2kr4/1p1rbpp1/1qp1pn1p/4N3/1pPP2P1/1BB2Q1P/KP3P2/3RR3 w - -,e5d7
r1b2rk1/p1q1bppp/1pn2n2/2p1p3/4P3/2P2NP1/PP2QPBP/R1BR1NK1 b - -,c8e6
8/np1bk2q/p2bpn2/3p1p2/1P1P1Pp1/P2BP1P1/2QBNNK1/8 w - -,e2c3
rn1q1rk1/pb1p1ppp/1p2pn2/3P4/1bP1N3/3B1N2/PP3PPP/R1BQ1RK1 b - -,f6e4
r1b1k2r/pp1pppbp/5np1/2q5/2P1P3/1nN5/PP2BPPP/R1BQK2R w KQkq -,a2b3
r1b1k1nr/p2pppbp/1qp3p1/8/4PP2/2P5/PP4PP/RNBQKB1R w KQkq -,b1a3
8/8/5Q2/p1kp1P2/P4b2/4nB1K/2r5/8 w - -,f6e7
2r1r1k1/1p1n4/p5p1/2p1n3/NP6/PN3P2/3B2PP/2R3K1 w - -,b4c5
3n4/1p6/1pk3B1/3p4/P2P4/2K5/8/8 b - -,c6d7
3rrbk1/1bqn1p1p/pp1ppnp1/8/2P1PP2/1PN2N2/PBQ3PP/1BR2R1K w - -,f3g5
r2r2k1/3bn2p/pp1qpbp1/3n1pB1/1P1P4/PB1N1N2/4QPPP/2RR2K1 b - -,a8c8
4r1k1/r4pp1/p2p2n1/1pq3pR/2p1P1P1/4Q1P1/PPB2PK1/1R6 w - -,e3g5
4rr2/1b3p1k/6qp/p1p1Q3/P1BpP1P1/7R/1PP4P/4R1K1 w - -,e5c5
