r5k1/3R2b1/p3r3/1p4B1/8/8/6PP/1R5K w - -,h2h4
r1b1r1k1/1pn2ppp/1p2p3/1P6/4P3/2P5/4NPPP/R3KB1R w KQ -,a1a8
r2q1r1k/2bn2pp/2p1p3/p1Pp1p2/3P1P2/RP1BP3/3B2PP/4QRK1 w - -,f1f3
r4rk1/1pp4p/4bp2/p2Bp2q/2Pn4/1PQ3P1/PB3P1P/R3R1K1 w - -,d5e6
r4rk1/1bpnq1pp/1p1p4/pP2ppn1/2PP4/P3PP2/1BQ1B1PP/R3NRK1 w - -,d4e5
6k1/p4p1p/R7/1r6/8/7P/6P1/6K1 b - -,b5b7
r3kb1r/pb1n1pp1/2p1pn1p/qp2P3/3P3B/5N2/PPQN1PPP/R3KB1R b KQkq -,f6d5
1r2r1k1/3b1pbp/3p1pp1/1p6/1q2P3/1PNQ4/2P2PPP/3RRBK1 w - -,c3d5
8/1pr2pk1/p4Qp1/4p2p/P2qP2P/1brB1RP1/2P2R1K/8 b - -,g7g8
r1q2rk1/ppp1n1bp/3p1np1/1PP1p3/5p2/Q1NP1NP1/P2BPPKP/1R3R2 b - -,f4g3
r1b2rk1/p4ppp/q1p5/b7/P1pP4/5QP1/1P3PBP/R1B2RK1 b - -,c8d7
3rr1k1/2p2q2/1pP3pp/3ppn2/pP6/P4NP1/Q3PPKP/2RR4 w - -,e2e4
2r3k1/5p1p/q1p1p1p1/P2n4/2RP4/b2Q3P/1rBB1PP1/R5K1 b - -,a3d6
5r2/6pk/2PR4/p1r2p2/1p3P1p/5B1P/PPPK2P1/8 w - -,d2d3
r2q1rk1/ppp2ppp/1n3n2/3p4/3P4/P1PQPN2/5PPP/1RB1K2R w K -,f3d2
r1bq1rk1/p2nbppp/1pp1pn2/6B1/2PP4/P1NB1N2/1P3PPP/R2Q1RK1 b - -,c8b7
2r1qr1k/1ppbbp1p/5p2/p2Pp3/P1n1P2N/2N2QP1/1P3PBP/R1R3K1 w - -,c3b5
8/8/8/K1k3pp/6p1/8/P4P1P/8 w - -,a5a4
r4rk1/pp2bppp/nqp2n2/3p4/6b1/2NP1NP1/PPQ1PPBP/R1B2RK1 w - -,a2a3
r2q1rk1/ppp1ppbp/1nn3p1/8/2PP2b1/2N1BN2/PP2BPPP/R2Q1RK1 w - -,d4d5
r2q1rk1/4p1b1/1pp2npp/p4p2/P1NP4/1PB1P1P1/4QPKP/R4R2 w - -,f2f3
8/2n3p1/2k1pp2/1p2b1pP/1P4P1/3BPK2/8/4B3 w - -,d3e4
2r4k/pp4b1/5q1p/6p1/3n2P1/3Q1P2/PP1R2P1/1K2R3 w - -,e1e4
2rq1rk1/pbpnBppp/1p6/3p4/3Pn3/2N1PN2/PPQ1BPPP/3R1RK1 b - -,d8e7
r4rk1/2q2pbp/2p3p1/ppPn4/1P1NpP2/PQ2P2P/1B3P2/R4RK1 b - -,c7d7
1KQ3q1/8/8/1P6/8/8/1k6/8 b - -,g8g3
r1bbk1r1/pp3p1p/2n4p/2pNP3/2B5/5N1P/PP3PP1/2KR3R w q -,g2g4
r5k1/pp2qpbp/2p2n2/2r1p3/2P5/1P4P1/PBQ2PBP/R4RK1 w - -,b3b4
r1r3k1/p4bpp/8/3pn3/3Np1P1/1P2P2P/P2R4/3R1BK1 w - -,g1f2
r3k2r/p4ppp/4pn2/q1b5/1p6/1Q2PN2/PP1B1PPP/R3KR2 w Qkq -,e1e2
