8/B7/4n3/4P1p1/3PkpP1/8/5K2/8 b - -,e6d8
r2r2k1/1pp1qppp/4b3/p3P3/5Pn1/P3P1P1/1PQB2BP/R3K2R b KQ -,e7d7
2r5/1p2kp2/p2pp2r/4nP1p/4PRp1/1PP3P1/1P2B2P/5RK1 b - -,c8g8
4r1k1/RR6/2pp1bp1/3b4/8/8/P2K1P1P/8 b - -,f6d4
1r1r2k1/5p1p/2n3p1/1p1pq3/1P3N2/1R2P1P1/5P1P/3Q1RK1 w - -,f1e1
8/5k1K/6p1/8/3n2PP/8/7B/8 w - -,h2g3
6k1/1p6/2p3N1/8/P1P4p/6p1/1P3nP1/5K2 b - -,f2d3
rnbqkb1r/p1p2ppp/1p2pn2/3p4/5P2/3P2P1/PPP1P1BP/RNBQK1NR w KQkq -,g1f3
2q4k/4n3/pp6/3p1pp1/NPnPp3/P1Q1P3/6PP/3B2K1 w - -,h2h4
r3brk1/ppq3pp/2nbpn2/3p2B1/3P4/3B1NN1/PP3PPP/2RQR1K1 b - -,h7h6
5rk1/pppnbrpp/2npp1q1/4p3/4P3/P1PP1NNP/1P3PP1/R1BQR1K1 w - -,b2b4
3q1bk1/5p1p/p3p1p1/1p2P2P/4Q1P1/2P1B3/PPK5/8 w - -,a2a4
4qk2/5p1p/1b1p2p1/pp1B1b2/5P2/1P4P1/P3QN1P/5K2 w - -,e2e8
5nk1/1q3p1p/p3n1p1/4R3/1p1P2P1/4QP1P/PPr1NB2/6K1 b - -,c2b2
r7/1N2ppkp/p5p1/3n4/3r2b1/1P4P1/1P3PBP/R3R1K1 b - -,a8b8
rn2r1k1/ppqb1p1p/6p1/2pP4/2B5/1QP5/P4PPP/1R2K1NR w K -,g1e2
4r1k1/pp6/2p5/7p/8/2B1q2P/PP4B1/R5RK b - -,e8f8
3rr2k/1p4p1/2p1np2/1q5p/pNRPpBbP/P3P1P1/1PQ3P1/2R3K1 w - -,g1h2
3k4/6p1/3P2p1/1B1n4/8/2K5/7P/8 w - -,c3d4
2b1r2k/4q1p1/3p2np/5p2/P1PQ4/3B1PP1/3N2P1/1R4K1 w - -,f3f4
3q3k/6p1/4Q2p/3B3P/4PP2/2b3P1/6K1/8 w - -,g2h3
r1b1r1k1/pp3ppp/2n2n2/2qp4/8/2N1PP2/PPPQN1PP/2KR1B1R b - -,e8e3
2rq1rk1/pb2bpp1/1pp2n1p/2n5/4P3/P4N2/1PQN1PPP/R1B1RBK1 w - -,b2b3
8/1p1b1p2/1k3p1p/1p1pp3/3P3P/1PKBP1P1/r4P2/2R5 w - -,d3c2
3rr1k1/pB5p/4q1pn/4p1n1/2P5/BP1P1QKP/P7/3R1R2 w - -,f3d5
3r1k2/pp4q1/5b1p/1P2pQp1/8/6P1/P1B2P1P/2R3K1 b - -,g7e7
1r1q1rk1/2pbppbp/pp1p1np1/n7/3PP3/1PN2NP1/P4PBP/1RBQR1K1 w - -,e4e5
R1k5/5p2/2r5/3b3N/1p1Q3P/1q3PK1/7P/8 b - -,c8c7
k5q1/2K5/3Q4/P7/7P/8/8/8 b - -,g8f7
3r2k1/p4ppp/1q2rn2/1p6/2nPP3/P2Q2N1/4R1PP/2B1R2K w - -,e1d1
1k4r1/ppp2p2/3q1P2/3p1P2/3Q4/2P1R1P1/PP4K1/8 b - -,d6d7
rn1q1rk1/pp2bppp/2pp1n2/4p3/2P3b1/2NP1NPP/PP2PPB1/R1BQ1RK1 b - -,g4h5
2b1r1k1/1p2rppp/p1pq2n1/1PNp4/P2Pn3/3BPN1P/2Q2PP1/2R2RK1 b - -,a6b5
2r2rk1/p4p2/1p4bp/4q1p1/3N4/4PPP1/P4QP1/R4RK1 b - -,c8c3
r2b1rk1/pppq3p/3p1pp1/3Np3/1PPnP3/3P2P1/P4PKP/R1BQ1R2 w - -,c1e3
4r3/p3rpk1/1p1q1n2/1N1P2p1/P2Qp1b1/4P1P1/5PB1/2RR2K1 b - -,d6d8
5r2/1R6/1NP2npk/7p/8/p1r2P2/R4K1P/8 w - -,c6c7
2r2r2/3bn1k1/pq1p2pp/4p3/2PpP3/3P2P1/PR1Q2BP/2R3NK b - -,b6c7
3R4/5ppk/p1r4p/1p6/P7/2r1P1P1/5P1P/R5K1 b - -,b5b4
8/5kp1/7p/p2N4/5P2/1b5P/r4B2/2R3K1 w - -,d5c3
r4r1k/pQ2p2p/3q1pp1/5b2/P2P4/1P2P3/1B3PBb/R4R1K b - a3,a8b8
r1b2rk1/2qn1pbp/p4np1/1N2pP2/4P3/4B1PP/1PP1N1B1/R2Q1RK1 b - -,c7c6
8/R1p1rpk1/1p1p3p/1Pq3p1/2P1P3/3Q1P2/5PK1/8 w - -,a7a8
1n1qk2r/2N1bppp/b2ppn2/P7/4P3/4BB2/1PP2PPP/R2Q1RK1 b k -,d8c7
1r3qk1/p1r1ppnp/3p2Nb/3P4/2P1R1bP/2Q5/P4PB1/B3R1K1 b - -,f7g6
8/4k3/8/4P3/1PK3B1/b7/3p4/8 b - -,a3b4
r1b1rqk1/pp3pp1/3b3p/1Q1N4/P4P2/8/1P3PBP/2R2RK1 w - -,d5c7
r3n1k1/2q1p2p/3p2p1/2pP4/1rP1PP2/2R5/4Q1P1/2B2RK1 b - -,e8g7
8/8/6R1/2p1k1p1/r2p2P1/6P1/5K2/8 b - -,c5c4
r1bqr1k1/p2nbppp/2pp4/2p5/3PPB2/2N2N2/PP3PPP/2RQR1K1 b - -,e7f8
3r2k1/6bp/nN4p1/4p3/4N3/7P/5PP1/2R3K1 w - -,e4g5
r2q4/pp1knpb1/1np1b1p1/3pP1Br/3P4/1P1B1N1P/P1Q1NP2/2K3RR b - -,h5h3
2r2rk1/4b1p1/2p1p2p/1pPpP3/1P2n1B1/4P3/1B4PP/R4RK1 b - -,e4d2
3r4/p7/1p6/1PbP2pp/P2kpp2/7P/B1R1KPP1/8 w - -,c2c1
6k1/1p3pp1/p1q1b2p/8/1PP5/P1Q1N2P/5PP1/6K1 b - -,c6e4
1k1r3r/ppp1qpp1/1n2pn1p/Q7/1PPPP3/P2B4/5BPP/R4RK1 b - -,f6g4
7r/1p6/3q1p2/QP1kb3/R6N/6P1/P4PK1/8 w - -,h4f5
3R4/8/8/1p2k3/8/2K5/8/1r6 b - -,e5e6
r3rnk1/pp3pp1/2p1b2p/8/2BPP3/qN3P2/P1Q3PP/R4RK1 b - -,e8d8
8/kpp5/3b4/1R6/2BPK3/1P6/1P4r1/8 w - -,b5a5
3k4/n1p5/1pPpK3/1P1Pp3/4Pp2/N4P2/8/8 w - -,e6f7
r1bq1rk1/pp3ppp/2nbpn2/2pp4/3P4/2P1PNB1/PP1N1PPP/R2QKB1R w KQ -,f1d3:f3e5
3r2k1/pp2bppp/2p3b1/3r4/1n6/2BP4/1P2QPPP/K1NR4 b - -,e7d6
8/3bp3/1k1p4/pp1P1N2/2pPBp2/P1P2Pb1/1P1K4/8 b - -,d7f5
2r1k2r/p4ppp/6b1/1p2p3/1b1n2P1/2N1B2P/PP3PB1/R4RK1 w k -,e3d4
r2q1rk1/pp3ppp/n1ppbn2/4p3/2PP4/1PN1P1P1/P2Q1PBP/3RK1NR b K -,e5d4
3r4/5pbk/8/1p2P1pp/2p1n1P1/2P1NN2/1P2KPP1/R7 b - -,h5g4
rnbqk2r/pp2pp1p/2p2bp1/8/3P4/4BN1P/PPP2PP1/R2QKB1R b KQkq -,e8g8
r1bq1rk1/1pp1bppp/1n3n2/p2p4/3P4/P1N1P1P1/1P2NPBP/R1BQ1RK1 w - a6,b2b3
r1q1kb1r/ppp1p1pp/1n2P1n1/8/5P2/2N2Q1P/PP4P1/R1B1KB1R w KQkq -,f4f5
rn1q1rk1/1p2bppp/p2pbn2/4p3/4P3/1NN1B3/PPPQ1PPP/2KR1B1R w - -,f2f4
7k/5pb1/1p1PB1r1/p1p1nR2/2P3p1/P2Q2Pn/1P5P/5R1K b - -,e5d3
8/1r2k2p/3p2p1/pP2p1P1/P1p1P3/2P1K3/5R1P/8 b - -,e7e8
r1bqr1k1/ppp2pbp/2n5/3p1pp1/1P1P4/2P1PN2/P2NBPPP/R2Q1RK1 b - -,d8f6
r6k/2q2pp1/1prpb2p/4p3/pPP1P3/P1R2PP1/3QB1KP/2R5 b - -,a8c8
r1bqk1nr/ppp2ppp/2np4/2b1p3/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq -,e1g1
2n1r1k1/1p3pbp/2p1b1p1/4p1P1/2P1Pn1P/2N1B3/PP2BP2/2KR2N1 b - -,f4g2
r2qk2r/pb1pbpp1/1pn1p2p/4P3/3P1B2/2PB1N2/P3QPPP/R4RK1 b kq -,d8c7
2r2rk1/1p1bp2p/p2p1p1B/3P4/1P1bP3/5PP1/P5BP/2R2R1K b - -,f8d8
6k1/1R6/7P/2p2K2/2P5/1P4r1/8/8 w - -,b7g7
3R4/7k/6p1/6Np/5P1P/6K1/8/4r3 b - -,h7g7
2kn3r/1pp2ppp/p2b4/3B4/5P2/P3B1P1/1P3P1P/2KR4 w - -,e3d4
6k1/2Bb3p/p2P1rp1/2pR4/4p3/6K1/8/8 w - -,d5e5
8/p3r1p1/1pR1Pk1p/3K1p2/8/8/PP4PP/8 w - -,b2b4
3r2k1/pp2qpp1/2p2nb1/7p/3Q4/P3PBN1/1P3PPP/R5K1 w - -,d4a7
r3k2r/ppp2ppp/2nqp3/3p4/3P2B1/2P1P1P1/PP1Q1PP1/R3K2R b KQkq -,e6e5
5r2/p5K1/1p1k4/3p4/3P3P/1P6/P2R4/8 b - -,f8f4
r3k2r/1b1n1p2/p1p1pn1p/q3P1p1/1p1P4/2NB1NP1/PP3PP1/R2Q1RK1 w kq -,c3a4
8/1r6/1Pk3p1/3p1p1p/3P1P1P/4PK2/8/6R1 b - -,b7g7
8/r6k/2p5/2Pp1p2/3P1P1N/PR2P2P/5K2/2b5 b - -,c1a3
1r1q1r1k/1p1bb2n/p2p4/2pPp1p1/2P1P2p/1PN1BP1P/1PKQB3/R6R w - -,c3d1
2r1kb2/2q2pp1/p2pp3/1p2n2r/4PB1p/N1P1Q2P/PP1R1PP1/3R2K1 w - -,g1h1
8/5pk1/6p1/r7/4K3/3N4/5R1P/8 b - -,a5a4
3n1qk1/1pp3pp/r7/bb1P3P/p3N3/P3P1PB/1B3R2/3R2K1 w - -,f2f8
4r1k1/1pp1P2p/3b2p1/p7/P3R3/8/1P6/K3R3 w - -,a1a2
2rqr1k1/p3bppp/bp2pn2/2nP4/8/PPN3P1/1B1NPPBP/R2QR1K1 b - -,e6d5
8/1kp1n3/p3q3/5P2/1p4p1/1P2B3/PKP2P2/8 w - -,f5e6
8/4k1p1/4p1p1/bpp1Pp2/5PPN/P6P/2K5/8 b - -,e7f7
2rq1rk1/5ppp/p1n5/1pRp4/1P6/P2P2P1/3B1P1P/3Q1RK1 w - -,d1h5
r2r2k1/ppp2pbp/4Bnp1/4p3/4P3/2N1B3/PPP2PPP/R4RK1 b - -,f7e6
8/7R/1Np3p1/Pb3k2/1P2r3/8/5K2/8 w - -,b6c8
r1bq1rk1/1p1nppbp/2p2np1/p7/P1BP4/2P2NN1/1P3PPP/R1BQ1RK1 b - a3,d7b6
2r3k1/2r3pp/1b1pp3/4p3/p2qP2P/3N1PP1/PP2Q1K1/2R1R3 b - -,c7c1
4r1k1/bppR1pp1/p6p/4P3/1P3B1P/2r1PQ2/q5P1/4R1K1 w - -,f3b7
2qr1nk1/1p1brp1n/2pp2p1/p3bPPp/2PNP3/2N1BR1P/PP3QB1/3R2K1 b - -,d7e8
r3r1k1/2q2pp1/1np2n1p/pp1pN3/1P1P2b1/P1PB2P1/2QN1PP1/4RRK1 b - -,b6c4
3r4/1p1n1pkp/2pR4/5P2/2r4P/6P1/6B1/3R2K1 w - -,d6d7
r1bqk2r/ppn2pb1/3p2p1/2p1n1Pp/4PN1P/2PPB3/PP1Q1NB1/R4RK1 b kq -,c8g4
r4rk1/pb1nqppp/1ppbpn2/3p4/2PP4/1PN1PN2/P1QBBPPP/3RR1K1 b - -,a8c8
5R2/3rR1pp/bp4k1/p1n5/3p4/6P1/PP1B3P/6K1 w - -,e7e5
r1b2rk1/ppqpbpp1/2n2n1p/2p1p1N1/2B1PP2/2PP4/PP4PP/RNBQ1RK1 w - -,g5h3
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP1B2/3BPN2/PPQ2PPP/RN2K2R b KQ -,d5c4
8/8/1R6/3K4/r1N2k2/8/8/8 w - -,b6f6
r1bqk1r1/pp2bp1p/2n1p1pB/1Q6/3pN3/2P5/PP4PP/RN3RK1 w q -,b1d2
1r3rk1/p2b1ppp/4pn2/8/5P2/5BP1/PP2P2P/R1BR2K1 b - -,f8c8
r4rk1/b2b2p1/2p1p2p/4p2q/1p2P3/R4NP1/3NQP1P/R5K1 w - -,a3a7
