8/8/8/8/8/1r3k2/8/3NK3 b - -,b3d3
2r2k2/1p3pbp/2p1bQ2/1PP4P/4P3/6R1/p2q1PP1/R5K1 w - -,g3g7
2r1k2r/1bq2ppp/p2bp3/3p2P1/1p1QP2P/5P1B/PPPRN3/1K5R w k -,f3f4
r3r1nk/1R4p1/3p3p/2pPpPn1/P1P3P1/5P1B/5N1K/4R3 w - -,h3g2
5rk1/3R1pb1/n1q4p/1p2pPpQ/4P3/3B4/2P1K1PP/5R2 w - -,d7e7
8/3b3p/5k2/4p1p1/2BbP3/p7/2K2PPP/3N4 b - -,d7a4
r3qr1k/1ppbbppp/p1np2n1/4p3/3PP3/2P1BN2/PPB2PPP/R2QRNK1 b - -,f7f6
r1br4/1pp2pkp/2n3p1/p7/2P1n3/PP2PN2/5PPP/RN2KB1R w KQ a6,b1d2
r7/5p1p/2R3p1/1R1Pk3/6b1/8/P6P/6K1 w - -,d5d6
2r1r1k1/1p2qp2/p2b1np1/P1pP3p/2N1p3/1B2P2P/1PQ2PP1/2RR2K1 w - h6,d1d2
8/1QR3p1/1P1kpp2/6p1/8/3r1qPP/5P1K/8 b - -,f3f2
8/2p3k1/2p1qp1p/8/p1PR2n1/2Q3P1/5PK1/8 b - -,c6c5
5kr1/1p6/p1pPp3/4PppP/1P1P4/1P6/5K2/6R1 w - -,g1h1
r1b2rk1/ppbnq1pp/2p1p3/2P2p2/2NPp3/1P2P3/PBQ1BPPP/R3K2R b KQ -,e7g5
r3k2r/1p4pp/p3bp2/2nnp3/2N5/2P2NP1/PP3PBP/R4RK1 b kq -,d5c3
r2k3r/1b1n1ppp/p3pn2/1pb5/8/1NN1P3/PP2BPPP/R1B2RK1 b - -,c5b6
8/8/p7/2PKp3/1P2Nk1r/7P/3R4/3r4 b - -,d1d2
1R6/5ppk/4p1p1/8/P2B2P1/1P1nP2P/2r2P2/6K1 w - -,e3e4
1n1q1r1k/r4Pbp/3p2p1/2pn2N1/pp3P2/3B3P/PP1B2P1/2Q1RRK1 b - -,d8f6
2r4k/1Q1p2bp/p2Pb1p1/q7/P1r1P3/B1pR4/6PP/1NR3K1 b - -,h7h5
8/6pk/rN5p/3p1p2/8/4RKP1/2r4P/1R6 b - -,d5d4
5k2/5p2/7p/1r6/R6P/5PK1/6P1/8 b - -,f8g7
r1bb4/pp2k1pp/3n1p2/3Bp3/8/1NP1B3/PP3PPP/R5K1 w - -,e3c5
r1bqk1nr/1p1p1pbp/2n3p1/p1p1p3/2P5/P1N1P1P1/1P1PNPBP/R1BQK2R b KQkq -,g8e7
2r3k1/5pp1/p3pb1p/1p5P/6P1/PN1R4/1PP1QPq1/1K6 w - b6,b3c1
b6k/3r1pp1/pQpPp2p/P3P1q1/5P2/1P1B4/6PP/2R3K1 b - f3,g5d8
rn1q1rk1/pb2bppp/1pp1pn2/3pN3/2PPP3/2N3P1/PP3PBP/R1BQ1RK1 b - e3,d5c4
8/3n2k1/p3p1pp/1ppqP3/2P2Q2/1P3NP1/P4P2/6K1 b - -,d5d3
2r1kb1r/p3np2/1p2p1p1/n2pP2p/q1pP2P1/2P1N1BP/PP1NQP2/R4RK1 b k -,h5g4
8/8/8/R2rkpp1/1P2p3/6K1/6P1/8 w - -,g3f2
1rbqk2r/4ppb1/p1pp3p/6p1/4P3/1PN3P1/P1PQBPP1/1R2K2R b Kk -,d8a5
r5k1/pp3n2/5q1p/2Q2B2/5P2/7P/bP3NP1/4R1K1 b - -,f6b2
2r5/Pq3p1k/2b1p1p1/7p/7P/2R3P1/5P2/2Q3K1 b - -,c6h1
8/5pk1/8/3Qpqpp/PP6/6P1/2r2P1P/5RK1 b - -,c2b2
8/p5kp/1p1b2p1/2p1qp2/Q4N2/1P2P1P1/P4P1P/6K1 b - -,e5e7
1R6/2r2pkp/4p1p1/3n4/R7/5PKP/6P1/8 w - -,b8b3
rnbq1rk1/2p1ppbp/p2p1npB/1p6/3PP3/2N2P2/PPPQ2PP/R3KBNR w KQ b6,h2h4
4r1k1/p4pb1/1p2q1pp/8/Q3P3/7P/5PP1/1R3RK1 b - -,e8e7
Q7/6pk/7p/1p2p3/1P2P3/P2q2P1/5P1P/6K1 b - -,g7g5
3k4/pbq2ppp/1p6/1Q2N1P1/4n3/7P/P1B2P2/6K1 w - -,c2e4
r4rk1/pp1n1pb1/2pp1npp/4p2q/2PPPB2/2NQ1NPb/PP3P1P/R3R1KB w - e6,d4e5
r5k1/8/2NB3p/2pP2p1/2p1b3/2b1P3/P4RP1/3K4 w - -,d6c5
5rk1/p1p2Rp1/3p3p/2nPp3/5P1P/P1B1K3/1P3P2/6R1 b - -,f8f7
r4rk1/p2qp1bp/1pn1bpp1/3p4/3P1B1N/1QP3PP/P3PPBK/1R3R2 w - -,h4f3
r1b1k1nr/pppp1pp1/1bn3p1/3Np3/2B1P3/2P2N2/PP1P1PPP/R1B1K2R b KQkq -,d7d6
8/5p2/8/1B4p1/5k2/5P1P/6K1/1b6 w - -,b5c6
rnbqk2r/pp2nppp/4p3/2ppP3/3P4/8/PPPbNPPP/R2QKBNR w KQkq -,d1d2
r2qkb1r/pp3ppp/2n1pn2/3p4/3P2b1/1QPB4/PP2NPPP/RNB2RK1 b kq -,g4e2
8/3n2BR/3kp3/n1p2p2/2P5/1r4P1/5P1P/5BK1 b - -,b3b1
5b1k/5p2/p5pp/1p1pN3/2r4Q/5R1P/6PK/8 b - -,c4h4
r2qk2r/p3bppp/3pbn2/4p3/2PpP3/3P2P1/P3NPBP/R1BQK2R w KQkq -,e1g1
r1b1r1k1/1p1nppbp/1qp2np1/p2p4/3P1B2/2N2NP1/PPPQPPBP/1R1R2K1 w - a6,h2h3
2r3k1/1q2ppbp/rn1p2p1/1N1P4/P1P1P3/RQ6/5PPP/2B2RK1 b - -,b6c4
r6r/pp2kpp1/2pb1n1p/4n3/4P1bB/2N2N2/PPP1B1PP/2KR3R b - -,g7g5
4r2r/1p1q2bk/p4ppp/3pp3/1Q6/1B2R3/PP3PPP/4R1K1 w - -,b3c2
5rk1/1p3pb1/1B4p1/p2Rpq1p/P1Q5/2P3P1/5PKP/8 b - -,f8c8
rnbq1rk1/pp3ppp/4pn2/3p4/1bPP4/P1N2N2/1P1B1PPP/R2QKB1R b KQ -,b4e7
r1bqk2r/pppnnpbp/3p2p1/4p1B1/2PPP3/2N2N2/PP2BPPP/R2QK2R b KQkq -,h7h6
r1r1b3/1p2k1pp/1pn1pp2/1B1p4/3Pn3/1P2PN2/P1R2PPP/2R1B1K1 w - -,b5d3
r2qkb1r/pp2pppp/2p1b3/6B1/2QPP3/2P2N2/P4PPP/R3K2R w KQkq -,c4e2
rn1qk2r/ppp1n1pp/3b1p2/3p1b2/3P3B/3B4/PPP1NPPP/RN1QK2R w KQkq -,h4g3
r1b1k2r/1p1pnpp1/p1n3q1/4p2p/4P2P/2N5/PPP2PP1/R1BQKB1R w KQkq h6,c1g5
R7/8/8/8/5p2/5k2/5r2/4K3 b - -,f2e2
r5k1/4ppbp/2Qp2p1/3P4/1q3P2/1P2P1P1/r3bNBP/1RR3K1 w - -,c1c2
2r2k2/pp1nppbp/3p1np1/2qP4/P1r2P2/2N4P/1PPBB1P1/1R2RQ1K b - -,f6e4
2q1rnk1/1p3pb1/3Q2pp/P2Np3/4P2N/6Pb/5PBP/2R1r1K1 w - -,c1e1
r2qrb2/5b1k/2p4p/p1pp2p1/2Ppp1P1/1P1P2QP/PN3P1K/2BRR3 w - -,h2g1
5r1k/ppq3p1/7p/3Q4/2P2pP1/P6P/1P3P2/1K1R4 b - -,c7e7
5bk1/p2n1ppq/bp3n1p/4N3/3B4/1P2N1P1/PQ3PBP/6K1 w - -,e5d7
3k4/7Q/1p2p3/pP1qP2p/8/1P1p3P/6PK/8 w - -,h7h8
6k1/pp3pp1/8/4r2n/2P2R2/1N1K4/PP3P2/8 w - -,f4f3
r7/8/4kp2/1p2p3/2n3P1/5KN1/P1R4P/8 w - -,g3f5
5bk1/5pp1/5n1p/qQ1b4/3B4/2P2P1P/2B3P1/1R4K1 b - -,a5a8
8/6kp/3b2p1/p2B1p2/PpQ4P/2P3P1/1P1q1P1K/8 w - -,c4d4
8/N7/1p5R/1P4n1/P7/K3k3/5r2/8 b - -,g5e4
8/6pp/p3k3/Pb6/2Np3P/5P2/5KP1/8 w - -,c4a3
2rq1rk1/pb3ppp/1p1b1n2/3pn3/3N4/PPN1P1P1/1B3PBP/R2Q1RK1 w - -,a1c1
1r4k1/5pp1/4pb1p/pp5P/6P1/PR2QP2/1PP5/1KNq4 b - -,b5b4
2rq1rk1/pp1Bppbp/3p1np1/4n3/2P1P3/2N1BP2/PP2N1PP/R2Q1RK1 b - -,f6d7
8/7k/1p1p4/3Pb1p1/1P2N3/1R1K1P2/6r1/8 w - -,d3c4
8/1R6/4p1pp/2prkP2/P7/1P4P1/4KP2/8 b - -,g6f5
2rq1rk1/pb2nppp/1p3b2/3pN3/3P1B2/1B6/PP3PPP/2RQR1K1 w - -,c1c8
2rr2k1/1bq1bppp/p2ppn2/1p4BP/3NP1P1/3B1P2/PPPQ4/1K1R3R b - -,d6d5
8/8/6N1/r7/5p2/4kBp1/6P1/4K3 w - -,f3d1
r1b1r1k1/1p1nppbp/p2p2p1/q1pP4/P1P2P2/2N3PP/1P1QPBB1/R4RK1 w - -,f1c1
8/3nkp2/1pp1r1p1/p3P1P1/P1P4P/1P2P1KB/4R3/8 b - -,e6e5
8/4bkp1/1p3pp1/pQP1p3/P1P3NP/6P1/3q1P2/6K1 b - -,e7c5
1r4k1/p3p1b1/n1q1n1p1/2p1P2p/1rPpRP2/3P1NP1/P2B1NK1/R6Q b - -,b4b2
2r3k1/pq3p1p/1p1p2p1/2r1b3/4P3/3Q1N1P/PP1R1PP1/3R2K1 w - -,g2g3
4R3/pp3pk1/2pp3p/3P1pq1/3N4/2PB4/PP2KP1P/8 w - -,d4f5
r5k1/3b2pp/2qnpb2/1p1p4/r2P1P1P/1QP2BP1/4R3/1RB1K1N1 w - -,g1h3
1r1q1rk1/3bppbp/ppnn2p1/8/P2N4/N1P1B1PP/1P3PB1/R2QR1K1 b - -,d8c7
6k1/5p2/3p2p1/3r3p/Pp3P2/1P6/2RbNK1P/8 b - -,d5d3
6k1/1p3p1p/2n3p1/8/1P6/b3N1P1/2r2PBP/5RK1 b - -,c2c3
r2q2k1/1pp2pb1/3p2p1/1P1Qr2p/2P5/4P1P1/5P1P/1RB2RK1 w - -,d5b7
1r1r1k2/pbnpqpb1/2p1p2p/2P3p1/N7/P2QPN2/1P3PPP/1BRR2K1 b - -,b7a6
8/2k4p/2pr1p2/5P2/6P1/PRN1K3/1n5P/8 b - -,b2c4
8/p4pp1/1p1bk1p1/1P2p3/P1K1P1P1/4BP1P/8/8 w - -,a4a5
r1bqr1k1/4bpp1/1p1p1nnp/p1pPp3/P1P1P3/1PNN4/3BBPPP/2Q1RRK1 b - -,f6h7
2kr3r/1p1b1pp1/p2bpn1p/2q5/3N3B/1B2Q2P/PPP2PP1/R3R1K1 b - -,c5c7
r2r2k1/pp2ppbp/6p1/q2n4/1P6/2N1P3/PQ2NPPP/1R3RK1 b - -,a5a6
rnbqkbnr/pppppp2/6p1/7p/3PP2P/8/PPP2PP1/RNBQKBNR b KQkq d3,f8g7:d7d6
8/2p3R1/7p/5k2/7q/1PB5/P2PP1K1/8 b - -,h4e4
rn2kr2/1bq2p1Q/pn1p1b2/1p2p3/1P2P3/2N3NP/P1P3B1/R1B2RK1 w q -,g3h5
4r1k1/pp2q1pp/5p1n/2pbP3/5P2/P1PrP1NP/5QP1/R1B2RK1 w - -,e3e4
R3q1k1/5pp1/7p/2pp4/1NnPn3/4PN1P/2Q2PP1/6K1 b - -,e8a8
3q4/1p1r2kp/p2pRpp1/3P1P2/P1PQ4/1P6/7P/7K w - -,h2h4
r4n2/1qp3k1/pp3bpp/3PQ3/P7/2N3R1/1PP2PPP/6K1 w - -,e5e4
5r1k/2q4p/1n2np2/2p2R2/1pPpBbP1/1P1P1N1Q/r6P/1RB3K1 w - -,c1f4
6rk/3Q2pn/pq5p/1p2R3/3N4/1PP5/b1B3PP/6K1 b - -,h7f6
