4n3/5bk1/5r1p/3pQ3/7K/3B4/8/8 b - -,g7f8
r4rk1/pp2bppp/2n1pn2/q7/2BP4/PPN2Q2/3B1PPP/R2R2K1 b - -,a5d8
3q2k1/1pr2rbp/2n2pp1/Ppp1p3/3pP3/3P2PP/R1PB1PBN/4QRK1 b - -,c5c4
r1b1k2r/1pppq1pp/p1n2n2/2b1pp2/4P3/1BNP1N2/PPP2PPP/R1BQ1RK1 b kq -,d7d6
8/5p2/R3rk1p/1PK2p1P/p4P2/2R5/5r2/8 b - -,f2f4
3R1bk1/1p3p1p/1Q4p1/4q3/8/7P/1P3PPK/8 w - -,g2g3
B5k1/3n1ppp/4pn2/2P5/1p1R1B2/1bp3P1/4PP1P/6K1 b - -,g7g5
1r5k/5ppp/5n2/8/rB6/P4B2/6PP/3R3K b - -,a4b4
r1bqk2r/4bppp/pnp1pn2/1p4B1/3PP3/2NB1N2/PP3PPP/R2Q1RK1 b kq -,h7h6
5rk1/1Qpq2b1/3p3p/1P2p1p1/2P1N3/3PBrPn/P4P1P/1R3R1K b - -,d7g4
r1b1k2r/1ppnqppp/8/4p3/p1P1Q3/P3PN2/1P2BPPP/R4RK1 b kq -,e8g8
r4rk1/ppbbq1pp/2p1p3/P2pP3/2P1p3/1P4P1/1B1QPPBP/2R2RK1 w - -,c1c2
8/2P2pkp/Q3p1p1/8/8/8/pq3PPP/5BK1 b - -,a2a1q
r2q1rk1/4bppp/p2p4/1p1P4/3QP1b1/4B3/PP3PPP/R3KB1R b KQ -,a8c8
7r/2p5/3r1pkp/p1N5/2KPP1P1/PP3P2/8/3R4 w - -,d1h1
1rbr2k1/1p3p2/pNnppqnp/4b1p1/2P1P3/1N2B3/PP1Q1PPP/1R1R1BK1 w - -,g2g3
2rr2k1/p1q2pp1/R1n3p1/2N1p3/3P4/2P4P/4QPP1/4R1K1 w - -,d4e5
8/5bk1/pqrb1pp1/1p5p/1P1NBP2/P3P1P1/7P/2Q3K1 w - -,c1c6
8/pQ5p/1p3q2/5p1k/8/4P1PK/5P1P/8 w - -,b7h7
1r3n1k/4R1pp/1p6/p2p1p2/3PbP1N/2N4P/PP4P1/6K1 w - -,c3e4
8/1p2b1k1/1n4p1/2pP2P1/p3PpN1/P4P2/1PR5/1KN4r b - -,h1f1
rn1q1rk1/pbp2pp1/1p3b1p/3p4/3P4/2NBPN2/PP3PPP/2RQK2R b K -,c7c5
2r5/1pp1k1p1/3pnr2/1P2N2p/4RP2/6P1/1P1R2KP/8 w - -,e5f3
1rr5/5pkp/5R2/p2p4/Pp3P2/1P3K2/2P4P/5R2 w - -,f6a6
rnbq1rk1/1p2ppbp/p2p1np1/2pP4/P3P3/2N2N2/1PP1BPPP/R1BQK2R w KQ -,e1g1
5rk1/2qP1ppp/4p3/3p4/2bQ4/5N2/5PPP/2rK3R w - -,d1c1
