8/7k/p7/3p1n2/3P4/5N2/1PR1K1P1/3r4 b - -,d1b1
6k1/5p2/p5p1/1p1nq3/3p3P/PP1B2P1/2P2Q2/6K1 b - -,g8g7
3Q4/7k/p2q3p/Q4p2/8/6PP/2q4K/8 w - -,h2h1
r2q1rk1/4b1pp/1n3p2/1N6/pP2p3/P2nPNP1/3BQPKP/RR6 w - -,f3d4
r2q4/ppb2kpb/2p2n1p/5p2/PnQPP3/2N5/1P4PP/R1BR2K1 b - -,b4d5
r5k1/2qp3p/1pb1pQp1/p1n5/2PN1b2/1P3P1P/P3B1P1/2RR2K1 w - -,d4c6
6k1/p4qp1/1p5p/3p4/1Pr1p3/P3b2P/4QPP1/3R2K1 w - -,e2e3
r1r2k2/1n2bPpp/pn6/3B4/1P3qP1/7P/2P1QP2/R2R2K1 w - -,d5b7
4rrk1/1ppnqpp1/p2p2R1/8/3PP3/1BP3Q1/PP1N2PP/6K1 w - -,g6g7
7R/1bq1kpr1/p3n3/n2pP3/Pp5Q/1P5P/2B2PP1/3R2K1 b - -,e7d7
r1b2rk1/pp3ppp/2q5/3p4/1Q6/2N1B1P1/PP2PP1P/R3K2R b KQ -,d5d4
R7/5ppk/8/p7/7p/4PK1P/r4PP1/8 w - -,g2g3
3qr1k1/p4pbp/3pb1p1/1rpNn3/8/1PB3P1/P2QPPBP/2R2RK1 b - -,e6d5
8/4B3/4b1k1/8/p1pK4/P4R2/8/3r4 w - -,d4c3
1kq3rr/1pp1bp2/p3b3/3pP1pp/3P4/4Q2P/PPP1B1PB/1K1R1R2 w - -,c2c4
6k1/8/1Q1p1n1p/p7/P1PPP3/2P2pq1/2KN4/8 w - -,e4e5
6k1/5p1p/6p1/1pp1Rq1r/6N1/6QP/1r3P2/2R2B1K b - -,f5g4
2r3k1/4b1p1/p2pp3/2q4n/1p2P3/3B1r1P/PPP3Q1/1K1RB1R1 b - -,f3f7
8/2R5/p2r3p/k5p1/2p4P/6P1/6P1/4K3 b - -,a5b4
6k1/1pp2rpp/1p1pbp2/8/1P2P2P/q3NQ2/5PP1/3R2K1 w - -,e4e5
r1bq1rk1/pppn1pp1/3b1n1p/4N3/2BP1B2/7P/PP3PP1/RN1Q1RK1 b - -,d7b6
8/2p3kp/3p4/3Pr3/1pPb2p1/1P1B1p2/5P1P/5RK1 b - -,h7h5
6k1/4ppb1/7p/1pR5/1Q1q1N1P/6P1/4PP1K/r7 w - -,b4d4
2r5/1p1b4/1p3k2/5p2/4P2p/r1P4B/5P1P/2R1K2R w K -,h3f5
r2q1rk1/1pp2pbp/2np2p1/p1n5/2P1P3/1PN2PPb/PBBQNR1P/R5K1 b - -,h3e6
2r2rk1/p3Qppp/1p6/3P4/8/1b4P1/1BPR1P1P/2K1R2q b - -,h1f3
2r5/5pbk/P4p2/3B1Pp1/r1P5/8/6KP/R4R2 b - -,a4b4
8/8/2kr4/5R2/PP6/2P3b1/2K5/8 b - a3,c6b6
1rbqk2r/4ppb1/p1np3p/3Nn1p1/1p2P3/1N3P2/PPPQ1BPP/2KR1B1R b k -,e7e6
1r6/7p/3pk1p1/P3pp2/1P5P/5KP1/5P2/4B3 w - -,a5a6
1r1r4/pb2npk1/5q1p/1p1pp1p1/4P3/1BPRNP2/P1PQ2PP/3R2K1 w - -,b3d5
r2qkbnr/1b1n1ppp/p2pp3/1pp5/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 w kq -,f2f4
r3qbk1/7p/2p2rp1/p2p1p2/Pp1P4/3QP3/1PR1BPPP/2R3K1 b - -,g8h8
rnbqkb1r/1p3ppp/p3pn2/2pp4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R w KQkq c6,f1e2
2r1kb1r/pq3ppp/4pn2/1pn5/8/1N4P1/PPQ1PP1P/RNBR2K1 b k -,h7h5
3r1r2/p5k1/5p1n/3p3Q/7P/P3R3/5PP1/6K1 b - -,h6g8
8/1rp1k1r1/2Rnp2p/7P/3P4/1B2P3/4K3/5R2 w - -,b3c2
r5k1/1b3pp1/2prp2p/1p6/1P1P3P/P3RNP1/5P2/R5K1 b - -,f7f6
r3k2r/1bqnbppp/pp2p3/6P1/3BBP1P/1N6/PPP1Q3/1K1R3R b kq -,b7e4
6k1/p2R3p/4r1p1/1pb2p2/8/1PB3P1/P4P1P/5K2 b - -,e6a6
r2qr1k1/ppp2pbp/3p1np1/3P4/3QP3/5B1P/PPP1NPP1/R3K2R b KQ -,f6e4
3r1r1k/p2nq2p/1p1p4/b1pPp3/2P3R1/P1N1P3/1P1B1PQP/2K3R1 w - -,e3e4
7r/1b4k1/1Q1p4/2pPn1p1/2P1PpPq/p4P2/4B1K1/6R1 b - -,e5g4
rnbqkb1r/ppp5/4pn1p/3p1pp1/3P4/2N1P1B1/PPP2PPP/R2QKBNR w KQkq -,g1f3
2krn3/3r2p1/1pnp1p1p/1Np1p3/2P2P2/1P2B1P1/P2RPK1P/3R4 w - -,h2h4
4r1k1/pr1qbp1p/1p2pnpB/1N1nN3/3P4/P2Q4/1P3PPP/R3R1K1 b - -,d7d8
2r3k1/1p1n1p1p/p2Bb1p1/2P5/3QBP2/1r2P3/q5PP/R2R2K1 b - -,a2e2
r1br2k1/pp2qp1p/4p1p1/1B2Nn2/5Q2/2P5/PP3PPP/3R1RK1 b - -,f7f6
rr1b2k1/1pnq1p1p/p1P1p1p1/2Pp1n2/P2P1P2/R1BQ1PP1/1N3K1P/R4B2 b - -,b7c6
4B3/8/3k4/p6P/3KR3/r3p3/8/8 w - -,h5h6
r4rk1/p2nqp1p/bpp3p1/3N4/Q2p4/4PN2/PP3PPP/2R2RK1 w - -,a4a6
8/p7/3p2pk/4bp2/P6r/2PK4/1P4R1/8 b - -,h4a4
8/4kp2/p5p1/1p4Q1/1P1q4/P2n3P/5PP1/6K1 b - -,e7f8
r1bqk2r/pp1pbppp/2n1pn2/2p5/2P5/3P1NP1/PP2PPBP/RNBQ1RK1 b kq -,d7d5
rn1qkbnr/pp1bpppp/8/2ppP3/3P2PP/8/PPP2P2/RNBQKBNR w KQkq -,c2c3
3B4/1b3k1p/pp4p1/8/2r5/2P5/PP4PP/4R2K w - -,e1e7
r4rk1/4qp1p/2pR2p1/1pP5/1p2pP2/P3Q2P/5P1K/5R2 w - -,a3b4
r4rk1/pp2ppbp/2n3p1/2n5/3N4/BP2P3/4NPPP/3R1RK1 b - -,c6d4
4R3/3r2p1/1R6/2p5/2k5/1p6/2r1PK2/8 w - -,e8b8
r1q4r/pppbk3/5nB1/3n4/2QPPB2/P7/1P3P2/2K3RR w - -,c4c5
1k1r4/pp1q4/2pb1p2/8/P2pPp1r/5Q2/NP1B1R1P/R5K1 b - -,h4h3
1rb2rk1/2p3pp/p3pp2/1qp5/2N1Q3/5PP1/PP1RP2P/3R2K1 b - -,e6e5
6r1/3qbk1p/3p1rp1/3Pp2P/P3Q1R1/1p2B3/1P3P2/1K5R w - -,a4a5
1rbq1b1k/3n3p/p3rpp1/1p1Np3/1P2P3/Q3BN1P/P4PP1/2RR2K1 w - -,a3b3
8/pp2kpb1/7p/8/4K3/5NPp/PP3P1P/8 b - -,g7b2
r4rk1/ppqbbppp/3ppn2/2p5/3PP3/2P2nP1/PP3PBP/R1BQRNK1 w - -,g2f3
1r1qr2k/6bp/1pnp1pp1/1PpPp3/2P5/3P2P1/3B1PBP/1R1Q1RK1 b - -,c6d4
6k1/R7/p1p3pp/5p2/2b2K1P/2N2P2/PP4P1/r7 b - -,a1g1
r4rk1/p1b2ppp/1p1pp3/8/2P5/P5P1/1P1RBPK1/5R2 w - -,e2f3
4r1k1/2rn1ppp/1p1B4/1R3PP1/p3p2P/3n4/5PB1/3R2K1 b - -,c7c3
4k3/4p3/p1n2p2/2P5/1P6/2B4P/6PK/8 w - -,g2g4
