8/K7/8/7p/1k5P/8/8/8 w - -,a7b6
5k2/pp2pr1p/3pR1p1/2pP4/2Pq4/1P1r2P1/P1Q1RPKP/8 b - -,d4c3
r1bq1rk1/pp2ppbp/2np1np1/8/3pP3/2P2N1P/PPB2PP1/RNBQ1RK1 w - -,c3d4
r3r1k1/pppq2pp/1nnp1b2/6p1/2PP2P1/P2B1P2/1P1N1B1P/R2Q1RK1 w - -,d3f5
1rb1k2r/2q1n1b1/p2p2pp/2pPnp2/2P5/4B1NP/P2Q1PPN/1R1R1BK1 w k -,f1e2
2q3k1/1r1n3r/pp1p1b1p/2pPpPnQ/P1P1P2B/1P6/4B3/3NR1RK b - -,f6g7
r1b2rk1/1p2p3/2p2b1p/p5pn/PnP1B3/4BN1P/NP3PP1/R2R2K1 w - -,e3d4
8/1pp5/1k1p4/p2Pb3/P2r3p/1P2K2R/2P1B3/8 w - -,e2f3
r2r2k1/2qbn1np/p2p2p1/1ppP1p2/2P1pN1P/1P2P1P1/P3NPB1/Q2RK2R w K -,h4h5
1r6/4k2p/1ppnb1p1/p1n2p2/2P1pP2/1PN1K1PP/P3B3/3R2R1 w - -,d1d2
rn1qk2r/ppp1bppp/3ppn2/8/3P4/5PP1/PPP2PBP/RNBQ1RK1 w kq -,c2c4
6k1/1p3p1p/p1p3p1/P7/2P3n1/1P5P/2B2PPq/3Q1K2 b - -,g4f6
1r1q1rk1/2p1bppp/p1pp4/4n2b/3NP3/2P1B2P/PPQN1PP1/R3K2R w KQ -,b2b3
2r1k2r/p2n1ppp/6b1/1p2p3/2P1p1P1/1P5P/P1P2KB1/4R1NR w k b6,c4b5
8/8/2Qnk1p1/4p3/P4r2/2p4P/2q2BP1/5RK1 w - -,a4a5
r2r2k1/5p1p/1Q1p1Pp1/3Pp1P1/4Pb1P/5B1K/8/8 w - -,b6c7
1k5r/pbp3bp/3q2p1/5p2/1PPp1PPQ/P2Br3/2KN3P/R4R2 b - g3,b7e4
rn1qkb1r/pb1p1ppp/1p2pn2/8/Q1Pp4/5NP1/PP2PPBP/RNB2RK1 w kq -,f3d4
rn1q1rk1/pb2bppp/1p2p3/1B1p4/1n1P4/4PN1P/PP2QPPB/RN3RK1 b - -,a7a6
