8/8/pp1p1kpn/2pP4/2P1BP2/5K2/PP6/8 w - -,e4d3
2bk4/p6r/2R1p1p1/p2p1pP1/P2P1P2/1P3N2/2P3K1/8 w - -,f3e5
4r1k1/pb2q1p1/7p/5R2/1pp1P3/3nQ1P1/PP4PP/5RK1 b - -,e7e4
5r2/p5k1/1p1p4/4pbPR/P1P1B3/1P2KP2/8/8 w - -,h5h4
r1r3k1/q3n2p/2b1N1p1/1p1p4/3QPp2/1P3P2/2B1R1PP/3R2K1 w - -,e6f4
2r2rk1/pq3pp1/4p2p/1pn1N3/2Q2P2/P5P1/1P2P2P/2RR2K1 w - -,c4b4
3Q4/5ppk/p6p/1p2r3/5q2/8/PN3bPP/3R3K w - -,b2d3
r1bq1rk1/pp3pbp/2npp1p1/2p5/3nPP2/2NPBNP1/PPP3BP/R2Q1R1K w - -,a1b1
r5k1/1q2bp1p/pprp2p1/3Rp3/P1P1P3/1P1QB1P1/5PKP/3R4 b - -,a8d8
r4rk1/1bq2pbp/pnp1p1p1/3pP3/5B2/2P2N2/PPBQ1PPP/R3R1K1 b - -,b6c4
r2q2k1/pp3p2/2n2b2/2Ppr3/5Q1p/1P3B1P/P2RNPP1/3R2K1 b - -,d8e7
rnbqk1r1/p4pP1/2p1p3/1p6/PbpP3R/2N2N2/1P3PP1/R2QKB2 b Qq -,d8f6
8/5p2/2P1k1p1/1p1nN1P1/8/4PK2/8/8 w - -,f3e4
1rbQ1r1k/ppp3bp/2n3p1/4pp1n/1PP5/2N2NPP/P3PPB1/1RB2RK1 b - -,c6d8
r2q1rk1/pp1n1pp1/2p1p2p/3pN3/1bPP4/1P2P1P1/PB2RPKP/R2Q4 w - -,e5d3
2rqr1k1/pp1n2pp/4p1p1/b2pP1N1/R2P4/4Q3/1P3PPP/2B2RK1 w - -,e3f3
r1bqk2r/bpp1n1p1/p1np4/4pp2/1PP3Pp/P1N1P2P/2QPNPB1/R1B1K2R b KQkq -,c8e6
8/8/7P/3k2p1/5pK1/4b3/8/8 w - -,h6h7
4r3/1p2q1k1/p2QNnpp/5p2/P3p3/2B1P1P1/1P3P1P/5BK1 b - -,e7e6
rn3rk1/pp3ppp/1q3n2/3p1b2/4p3/1NPP2P1/P3PPBP/R1BQ1RK1 w - -,c1e3
8/2p2k2/3p3P/1n1P1K2/6N1/8/8/8 w - -,f5g5
2q2r2/6kp/1Q1p2p1/4p1N1/1p2n3/3b4/1P1B2PP/4R2K w - -,b6a7
3rb3/pp4kp/1qn1ppp1/2p5/1P2Q3/2P2NP1/P3PPBP/1R4K1 b - -,c5b4
3r2k1/p1pr2pp/8/1PB5/4Pp1P/5P2/P3B3/2RnK3 b - -,d1b2
4r2k/4r1pp/p2Rb3/4Bp2/PpB2P1P/1P6/8/6K1 w - -,d6b6
5r1k/2p4p/2q2r2/1p1p2p1/p2PpP2/P1P1P3/Q1R3PP/2B3K1 w - g6,g2g3
8/pp4pk/4Qp2/7p/1P1r3P/3qR3/P4P2/6K1 b - -,d3d1
8/p2r2kp/8/1p3p2/1P5P/1P1p2P1/5P2/3R1K2 b - -,g7f6
8/5r1k/5bR1/5B2/4K3/8/8/8 w - -,g6f6
7k/5q2/p2nP2p/P2b4/1P6/2P4P/5Q2/4R1K1 b - -,d5e6
4nk2/2rR4/p4p2/1p2p2P/8/4B1P1/P4P2/6K1 w - -,d7d8
r3k2r/1bq1bp1p/p2pnp2/1p2pP1Q/4P3/2NB4/PPP3PP/2KRR3 w kq -,f5e6
2r3k1/1p1qbpp1/pn2p2p/3pPb2/3P1N2/PB2B2P/1P3PP1/2R2QK1 b - -,c8c6
2r3k1/2r1qppp/4p3/8/PPB5/3Q4/6PP/2KR4 w - -,c1b2
2r4k/4Q1pp/2P5/8/2q2PNK/7P/P7/8 b - -,c4c6
2r3rk/1p1q3p/pB1p3b/P2Pp2n/7n/1Q4p1/1P1N1PPP/3RR1K1 w - -,h2g3
8/5p2/4b1pp/3k4/1p5P/1P2KNP1/1bB2P2/8 w - -,e3d2
r5k1/3b1pp1/5n1p/p2p4/3N4/P2B1P2/2P3PP/4R1K1 b - -,a8b8
r3kb1r/pp1qpppp/5n2/3p4/3n4/1Q1P1BP1/PP2PP1P/RNB2RK1 w kq -,b3d1
r4rk1/p2n1pp1/4p2p/q2pP3/1p1Q1PP1/6N1/PPP4P/1K1R3R b - -,f8c8
2r1r1k1/pb4pp/1pq1pp2/8/2PP1P2/1P1R4/PB2Q1PP/5RK1 w - -,d3e3
4k3/5ppp/1B2p3/4P3/bN6/3B1P2/6PK/4r3 w - -,d3e4
r1b1k2r/1p2bppp/1qn5/2p5/p1PPN3/3Q2P1/PP3PBP/R1B2RK1 b kq -,c5d4
k3r3/pp6/q2p4/3P4/P1B1rP1p/1QP5/3B1KP1/1R6 b - -,e4c4
r3k2r/1ppnq1pp/2pb1p2/p3pP2/P3P1b1/1N1PB3/1PPQN1PP/R3K2R b KQkq -,g4e2
6k1/pp6/7Q/2PP1bp1/8/4q1P1/P6P/6K1 w - -,g1g2
8/1r2k2p/4p3/1P3pp1/8/2N5/1PKR1PPn/8 w - -,c2b3
2r1brk1/pp1n1pp1/2nqp2p/3pN3/3P1P2/2N1P3/PP4PP/1BRQ1RK1 w - -,d1d3
8/3n4/6R1/3k4/8/2pp3P/8/3K4 b - -,d7e5
2b2rk1/2q1n1pp/4p3/3pPp2/B1pPn1P1/1pP1P2P/1P2Q2K/R3BR2 w - -,a1a3
2r5/p2R4/P5pk/2b2p2/2B1p2P/1P2P3/5PKP/8 b - -,c5b6
r1bqk3/pp2bppr/2nppn2/8/3NP3/2N1B3/PPPQBP1P/R3K2R w KQq -,e1c1
1r6/8/2p3kp/4P3/1p1P1P2/pPn3N1/P7/K1R5 b - f3,b8d8
r1bqrnk1/pp3p2/2p2bpp/4p3/1PP1P3/2N2NP1/P3QPBP/1R1R2K1 b - -,d8c7
8/8/3k4/R2p1K2/2pPn3/2P5/1P6/8 b - -,e4f2
6k1/8/3K2p1/5rPp/4RP2/7P/8/8 b - -,g8g7
2k5/pp3p2/2p2n2/3p4/3P1Pp1/2PqP2r/PP3PQ1/2R2NK1 w - -,c3c4
r4rk1/1p2ppbp/nn4p1/pN6/2q2B2/P1N1P3/1PQR1PPP/5RK1 b - -,a8c8
2b2rk1/1p2n1q1/3p1b2/4pppp/1P6/2BP1NP1/2Q1PPBP/R5K1 w - -,a1d1
4R3/5kp1/p4r1p/1p6/5p2/2P5/PP4PP/6K1 w - -,e8a8
1Q6/5ppk/7p/2P1P1b1/1p2q3/4B1P1/5P1K/8 w - -,e3g5
4r3/2p2kp1/p1n1pn1p/1pB1p3/4P3/5P1N/PPP1R1PP/2K5 w - -,e2d2
5bk1/7r/P2p4/3Pp1q1/2Q1P1P1/5P2/1P4K1/4BB2 b - -,g5h6
rn2k2r/pp1bnpp1/4p3/3pP1Bp/P1pP4/2P2N2/2P1BPPP/R3K2R b KQkq -,b7b6
r3r1k1/1p1b1pbp/p4np1/2nPN3/Pqp3P1/2N2Q1P/1PB2P1B/1R2R1K1 b - -,h7h6
8/2r2pk1/6p1/p2pP2p/Pn3p2/1Pn5/6PP/2RN1B1K b - -,c3b5
3k4/pb1P4/1p5p/2p3p1/2P5/P3rrK1/4R1PP/3R4 w - -,g2f3
r4rk1/1pbb1ppp/p3pn2/6B1/8/1BP2N1P/PP3PP1/R2R2K1 b - -,f8d8
2r1brk1/1p6/p1p1p3/2P1Np2/PP1PpPPq/4P1p1/6R1/R1Q3K1 b - -,c8c7
8/Q7/2p5/3p4/2kP3p/7q/8/6K1 b - -,h3e3
r2q1rk1/pp5p/2npbpp1/2p1pn2/2P4P/2NP1NP1/PP1QPPB1/R3K2R b KQ -,d8d7
r1bq1rk1/pp1nbppp/2pp1n2/6B1/2PN4/2N1P3/PPQ2PPP/2KR1B1R b - -,d6d5
8/4k3/4r1p1/5p2/1R3K2/6P1/1B6/8 b - -,e7f7
3r1rk1/1p4pp/p1n2q2/4n3/PN4b1/R2p1N2/1P1QBPPP/4R1K1 w - -,b4c6
r2r2k1/1q3ppp/2b1pn2/1P2N1B1/p1P5/2b5/4QPPP/R4RK1 w - -,e5c6
rn1q1rk1/p4ppp/1pb1p3/2b5/8/2BN2P1/PP2PPBP/R2Q1RK1 b - -,c6g2
1rb1q2k/ppp3pp/2Bp1r2/4pp2/2P5/1QPP2P1/P2NPP1P/R4RK1 b - -,e8c6
r1b2rk1/1pbnqpp1/2p1p2p/p7/2QPN3/3BPN2/PP3PPP/3R1RK1 w - -,d3b1
rnb2rk1/pp2q1pp/2pbpn2/3p1p2/2PP4/1P3NP1/PBQ1PPBP/RN3RK1 b - -,b7b6
r3k2r/2qnbpp1/2p2n1p/pp2p2b/4P3/P1N2N1P/BPPBQPP1/R2R2K1 w kq -,g2g4
8/8/pp1k1p1p/3p1PpP/1P1N2P1/P3K3/8/7b b - -,h1g2
rnbqk1nr/1p3ppp/p3p3/2b5/3NP3/2N1B3/PP2BPPP/R2QK2R b KQkq -,g8f6
5b2/5k2/6p1/2Nn1p2/p2PpP2/P5Pp/4KB1P/8 b - -,f8c5
8/1pb2pp1/p1k4p/2P5/1P2P1P1/P3NK1P/8/8 b - -,c6b5
3nk3/2R1p1r1/P2R2Pp/2p5/6b1/8/1PP4P/1K6 b - -,e7d6
r4rk1/p2nqppp/1p2p3/3pPP2/2pP4/P1P4Q/2P1N1PP/R4RK1 b - -,e6f5
r1r4k/5pp1/3bp2p/7P/pP1P4/5R2/1P1B1PP1/R3K3 b Q -,c8b8
2k5/6R1/1pBp1p2/8/P2b3P/2n5/8/5K2 b - -,d6d5
8/5k2/4p3/R4p2/P4P2/2r5/5K2/8 b - -,c3a3
4B2k/p1p3b1/3p3p/1P6/2Pp1r2/3b4/P6p/R5K1 w - -,g1h2
r1b2rk1/pp2ppbp/1q1p2p1/2nP4/4PPP1/2NB3P/PP1QN3/2KR3R b - g3,c8d7
4r1k1/p1R2npp/8/4B3/2QP1pq1/1P6/P2P1P2/5K2 b - -,g4d1:g4h5
8/3r2pk/7p/1r6/1n2RB2/pP3N1P/6PK/5R2 w - -,f4d2
6k1/p7/5R2/6p1/5nP1/4N1K1/1r3P2/8 b - -,g8g7
1n1rr2k/R3bppp/2q1p3/1p2P3/3BN3/1PP2Q2/6PP/5R1K b - -,b5b4
1r4k1/1ppn1rp1/p2p3p/4p1p1/3PP3/1PP1R2P/1P2NPP1/R5K1 w - -,a1d1
6k1/1bR4p/pr6/3pNp2/3PnP2/6P1/6BP/6K1 w - -,g2h3
8/p2Rpk1p/1p4p1/n7/P1r1PBP1/7P/5PK1/8 w - -,f2f3
3r3r/p5b1/3R4/Pp2PB1k/1Pp2Pp1/2B3P1/5K2/8 w - -,d6g6
r3kb1N/1b1n2pp/p3p3/1Pp1P3/2nP4/2N1B1Pq/1P2QP1P/R3KR2 b Qq -,c5d4
r1br2k1/1p3pbp/pQn1p1p1/q1P5/2B1P3/2P1B3/P3NPPP/1R3RK1 b - -,a5b6
r1b1k2r/1p3ppp/p1n1pn2/2b5/8/4PN2/PP1NBPPP/R1BR2K1 b kq -,e8e7
4rrk1/1b2n1b1/pp1pRnpp/3p1p2/2P2P1B/N2B1N2/PP4PP/4R1K1 b - -,e7c8
2rqkb1r/1b2np1p/p1npp1p1/2p5/Pp2P3/2PPBN2/1PB1QPPP/RN3RK1 w k -,d3d4
r1b1kb1r/pp1n1ppp/2p2n2/q2pp3/P1BPP3/2N1BP2/1PP3PP/R2QK1NR w KQkq -,e4d5
r2q1rk1/pp1n1ppp/2pbp3/2Pp4/3PnPbN/1P4P1/PB2P1BP/RN1Q1RK1 b - -,d6e7
r4r2/ppq3bk/2p1bnnp/4pp2/2P5/1PN3PP/PB2QPB1/R3NRK1 b - -,a8d8
1r1qn2r/3b1pk1/1p1n1pp1/pNpP3p/P1P2Q2/1N1B1P2/1P4PP/3RR1K1 b - -,d7b5
rnbq1rk1/1p2ppb1/p1pp3p/6p1/2PP4/2N1PNP1/PPQ1BPP1/R4RK1 b - -,e7e6
R2nk3/1p1N3p/8/3prp2/8/P6P/1R3KP1/8 b - -,e8d7
r3k1r1/p1q2p2/1pb1p1p1/3pP2p/1P1P1P2/3n3P/P1Q1NBP1/2R3K1 w q -,c2d3
r2qrbk1/3n1p1p/p1bp1np1/4p3/P1p1P3/5NN1/1PB1QPPP/R1B2RK1 w - -,e2c4
2rr4/2q1b1k1/3pP3/1R2ppBp/1pB3nP/1P3RP1/2PQ2K1/8 w - -,d2b4
8/8/3Kp1kp/4P1n1/6P1/3N4/8/8 b - -,g6f7
r1bqk2r/pp1nbppp/2pp1n2/4p3/5P2/1PN1P1P1/PBPP2BP/R2QK1NR b KQkq -,d8c7
8/8/4p3/8/5RPk/5P2/1r6/4K3 b - -,e6e5
1q4kb/1r3p1p/1B1p1Pp1/1b1P4/2p5/2N1Q2P/1PB3P1/R6K b - -,h8f6
1r4k1/6pp/1n2p3/p3P3/8/B5P1/P6P/1R4K1 b - -,b6d7
2rq1rk1/1pp1bppp/p3p3/Pb1n4/1nNP1B2/1Q3NP1/1P2PPBP/R4RK1 b - -,c7c5
5rk1/7p/3p2p1/1PpNn3/2PbPpPq/P4P1P/2Q2PK1/5R1R b - -,f8a8
b5k1/3q4/1p2pBp1/p6p/4P3/1P3P1P/P2r4/2R1Q2K b - -,d7d3
r1b1k1nr/1p2ppbp/pq1p2p1/8/3pPP2/3B4/PPPPN1PP/R1BQ1R1K b kq -,g8f6
1q1r1rk1/pp3p1p/2p2bp1/3nNnB1/3PQ2P/1B6/PP3PP1/3RR1K1 b - -,h7h6
rr4k1/3nppbp/1q1p1np1/2pP4/4P3/2N2NPP/PP2QPK1/R1B4R w - -,h1d1
8/5pkp/1r2p1p1/8/2pN4/R6P/5PP1/5K2 b - -,e6e5
r3rn2/pbn2qpk/1p2pb1p/2pp4/2P2B1P/1PNP2P1/P3QPBN/2R1R1K1 b - -,a8d8
rn1q1rk1/pp2ppbp/2pp2p1/5b2/2PPn3/2N2NPP/PP2PPB1/R1BQ1RK1 w - -,d1b3:f3d2
r3k2r/3nbpp1/p1p1pnp1/3p4/N2P2P1/4PP2/PP1B3P/1K1R1B1R b kq -,e6e5
r1bq1rk1/5pb1/1pn3pp/p1pnp3/P3N3/2PP2P1/1P2NPBP/R1BQ1RK1 w - -,f2f4
rn1qkb1r/pbp2ppp/1p2pn2/3p4/3P1P2/2PBP3/PP1N2PP/R1BQK1NR b KQkq f3,g7g6
5r2/p4N1k/4pQp1/7p/8/5PK1/1r1pq2P/3R4 b - -,f8f7
r1bqk2r/p3n1pp/1pnpp3/2pP1p2/2P1PP2/P1PB4/4N1PP/R1BQ1RK1 b kq -,c6a5
r1b2rk1/pp3pp1/2pbpq1p/8/3P4/2PB1N2/PP3PPP/R2QK2R w KQ -,d1e2
r2qkb1r/pp1nnpp1/2p1p2p/3pPb2/P2P4/4BN2/1PP1BPPP/RN1Q1RK1 b kq -,f5h7
r1bqk2r/2p2pbp/p2pp1p1/1P6/P2NP3/3B4/1P3PPP/R1BQ1RK1 b kq -,g7d4
2r3k1/1q3pbp/p3p1p1/1p1p4/3NnP2/P1PQ2P1/1P5P/1KR1R3 w - -,g3g4
6k1/p1p1rppp/1p4b1/3P1n1P/2PB2Q1/q1P2N2/P4PP1/R5K1 b - -,a3b2
8/1p3k2/1pp3b1/6p1/4pK1P/P1P1R3/1r6/8 w - -,h4g5
r4rk1/ppp1qppp/2n2n2/3p2B1/1b1P2b1/2N2NP1/PP2PPBP/R2Q1RK1 b - -,a8d8
2rq1rk1/p3bppp/1p2P3/3p4/1n1P1B2/2P2N1P/P2QB1P1/1b3R1K w - -,f1b1
6k1/pp3ppp/5n2/8/4pP2/2r1P1P1/PP3K1P/R1Br4 w - -,b2c3
r4rk1/1b2bppp/1q2pn2/1p6/3PpB2/P3N2P/1P2BPP1/R2Q1RK1 b - -,f8d8
