8/R3k3/2B2p2/2P2P2/3PK3/1r6/4n3/8 b - -,e7d8
1r4k1/1pb2p2/2p5/P6p/2NPp1b1/P3Pq2/1KQ2P2/1R4R1 b - -,g8f8
3r2k1/ppp2qbp/6p1/2Q2p2/3P4/1P1nB3/P5PP/4RNK1 w - -,c5a5
3r4/4bpp1/R1b1p1kp/3nP3/1p3P2/6BP/1R4P1/7K b - -,c6b5
1k6/pp6/2p2pr1/8/PP1pP3/3Pn3/2P1R1B1/6K1 b - -,b8c7
1r4k1/3b1p2/3p4/2pPbNp1/prP1P1P1/RP1B4/5PK1/7R w - -,b3a4
2kr3r/ppb2ppp/2n5/5n2/N4P2/3PBNP1/PP3K1P/R6R b - -,d8d3
r1bq1rk1/pp3pbp/n1pp1np1/4p3/2PP4/2N1P1P1/PP2NPBP/R1BQK2R w KQ -,e1g1
r4rk1/3q1pb1/p1b1p1pp/8/Pp6/N2P1PP1/5PBP/1RQ1R1K1 w - -,b1b4
r4rk1/ppp2ppp/2nq1nb1/b7/2BP2P1/P1N1BN1P/1P3P2/R2Q1RK1 w - -,f3h4
5rk1/r5pp/p3p3/1p2b3/8/P4B2/1PP3PP/2KR3R w - -,c1b1
8/5k2/3P3p/2N5/p1P2P2/2P5/8/3b3K b - -,a4a3
8/3n1p1k/6p1/2rq3p/PR6/4P1BP/2Q2PPK/8 w - -,c2b2
6k1/ppp1R3/7p/3p4/3P4/2P2pr1/r4P2/6K1 w - -,f2g3
4Qr1k/pp3Bpp/1q6/2b3N1/6b1/8/PPP3PP/R1B1KR2 b - -,f8e8
8/8/5kp1/7p/1p6/1B2K1P1/7P/8 b - -,f6e5
8/8/N3p3/KP6/6kp/6r1/2b5/4R3 b - -,g3a3
r3kb1r/pp1q1p1p/2n1p1p1/1B1N4/8/8/PP3PPP/R1BQ1RK1 b kq -,d7d5
r2q1r2/5pkp/3p2p1/2nnp3/2p3P1/pPP2NNP/1P1Q1P2/RB2K2R b KQ -,d5f4
3k4/8/p2pQ3/3PbP2/Pp2P2r/1P6/8/5K2 w - -,f5f6
r1bq1rk1/1p3ppp/3p1n1b/p1npp3/2P1P3/1P3N1P/PBBN1PP1/R2Q1RK1 w - -,c4d5
r1bqk2r/pp1nbppp/4pn2/2P5/4N3/P1NB4/1PP2PPP/R1BQK2R b KQkq -,d7c5
2kr1b1r/ppq2ppp/1n2pn2/2p1N3/2PP1B1P/1B6/PP2QPP1/1K1R3R b - -,f8d6
3rk3/p3p3/Q1pp1p2/5b2/8/2B2q2/PPP1R3/3K4 w - -,a6a7
8/6p1/1r1k2r1/4Rb2/2BP4/1P3KP1/3R4/8 b - -,g6f6
2rr2k1/5pp1/4p2p/R2nB3/2p5/P6P/1P3PP1/2R3K1 b - -,f7f6
r4rk1/3p2bp/p1n1b1p1/1qpN4/4p3/P5P1/1P2PPBP/R1BQ1RK1 b - -,a8b8
1r3bk1/5ppp/8/p1rqpN2/R7/2P3P1/1P2QPP1/R5K1 b - -,b8b3
7r/4R3/5p2/2p2P2/1kP3P1/7P/2KN2n1/8 w - -,e7b7
1r3k2/R3pp1p/3p2p1/2p5/4P3/1r1n2PP/3R1PBK/8 b - -,d3e5
1n1r2k1/3Pq2p/1p1RbppP/2r1p3/B3P3/4N3/1Q3PP1/3R2K1 b - -,b6b5
r2r1k2/1p3p2/p1n1ppp1/2P5/1P6/P4N2/5PPP/2RR2K1 w - -,g1f1
r3r1k1/pp3pp1/2q4p/2np1b2/2p5/2Q1BPP1/PP3PBP/R3R1K1 w - -,e1d1
8/8/1k1p4/pP2p3/Pr2Pp1p/2K2P1P/R7/8 b - -,b6c5
r1b2rk1/p3nppp/2n1p3/q2pP3/5P1N/2PQ2P1/P5BP/R1B2R1K w - -,d3f3
8/5B2/n2B1p2/1ppP2kP/b1P5/3K4/8/8 w - -,d3e3
3r2k1/p4pb1/1p4pp/2p1p3/7r/2PPBP1q/PPBQR1b1/R5K1 w - -,a1f1
r1b2bk1/1pp2ppp/3p3r/p1P1n3/N4P2/1P2P1Pq/PB2BR1P/2RQ2K1 b - -,e5g4
2r5/6pp/1brpkp2/1p6/4p3/1PR3P1/3B1PKP/3R4 w - -,c3c6
rn1qk2r/ppp1bppp/4p3/3nP3/6b1/5N2/PPP1BPPP/RNBQ1RK1 w kq -,h2h3
6k1/2r3pp/8/6b1/5p2/4pB2/PPN1R2P/1K6 b - -,c7d7
2kr4/b1qb1p2/p3p3/1p1p4/3N4/2P2NpP/1Q4P1/R4K2 b - -,c8b7
r1rq4/3bk3/1p1p1p2/p2Pn1p1/P1PNPpPp/2R2P1P/R3B1K1/2Q5 w - -,d4b5
4r1k1/pr3pbp/n2R2p1/1p2p3/4P3/4BN2/PP2KPPP/2R5 b - -,a6b8
2R5/5p2/3kp1p1/p6p/B3p3/1r2P1P1/5PK1/8 b - -,b3b4
2kr3r/p4ppp/p1p5/4P3/P7/3bPK2/1P3PPP/R2N3R b - -,h8e8
