8/8/8/2p1p1k1/R7/1P3P1K/P4R1P/3rr3 w - -,a4e4
5k1r/1nr1qp1p/p3p3/2P1N1p1/5Q2/8/P4PPP/1R1R2K1 w - g6,f4d4
r1b2rk1/2p2pp1/p3p3/q3P1p1/2pP1Q2/2N5/PPP4P/2KR1R2 w - -,f4g5
r1b2rk1/2q1bppp/pp1ppn2/8/2PNPP2/1PNQ4/PB4PP/R4R1K b - -,c8b7
4r1k1/1pqnrppp/p7/3pp1N1/8/2PP3P/PP1QRPP1/4R1K1 w - -,g5f3
4r3/p4k2/5P2/6Q1/4K3/8/8/8 w - -,e4f5
r3k2r/pp1nbppn/1qpp2p1/3Pp3/2P1P3/1QN1B3/PP2BPPP/R3K2R b KQkq -,c6c5
4R3/p6p/2p2ppk/5b2/5P2/1B1q2P1/PP2R2P/2K5 b - -,d3b1
r2q1rk1/pp1nbppp/2p1pn2/3p2Bb/2PP4/3BPN1P/PP1N1PP1/R2Q1RK1 w - -,d1b3
r1bqkb1r/pp2pppp/2n2n2/2Pp4/5B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,f1b5:b1c3
8/5kp1/8/pBpb4/P3r3/R7/2P5/6K1 b - -,g7g5
2r5/8/1p5R/p4k2/1bp1N3/5K2/1B2P3/8 b - -,c4c3
1q3rk1/3n1ppp/1b1p1n2/4pP2/4P3/2N1BB2/1P4PP/2QR1K2 w - -,c1d2
8/8/8/8/8/1KBr4/6R1/3k4 w - -,g2f2
3r2k1/p4pbp/2R3p1/8/1P6/3qB1P1/Q4P1P/6K1 b - -,d3e4
5r1k/pp2r2p/3pPp2/2pP1p2/2P2P1q/PPQ5/4KRR1/8 b - -,h4h1
r3r1k1/1b3pp1/p4n1p/1p2p3/4P3/5P2/PP1N2PP/R3RBK1 w - -,d2b3
8/4k1p1/2n5/4NPP1/5K2/8/8/8 b - -,c6d8
3r4/ppp2pk1/2npq3/2b1p2Q/4P3/2PP1NB1/PP3PP1/R3K3 w Q -,f3h4
2rq1rk1/5ppp/bp2pn2/p1PpN3/3P4/6P1/RP1QPPBP/5RK1 b - -,b6c5
r7/2p4p/1p1p1k2/3Pb3/2P2p2/r2B3P/P1RR2P1/7K b - -,h7h6
1r3r2/4q1bk/3p1nn1/1B2p1pp/PN2Pp2/1Q3P2/1P3BPP/2RR2K1 b - -,b8c8
8/8/Pb6/4kp1p/7P/6K1/8/8 b - -,e5e4
r1q1k2r/1bpnnpb1/pp1pp1pp/8/3PP3/3BB2P/PPPQNPPN/R4RK1 b kq -,d7f6
r2k1bnr/pp1n1ppp/2p1b3/4p3/2P1P3/2N1BN2/PP3PPP/R3KB1R b KQ -,f7f6
8/4R1bk/6p1/2r1Pp1p/8/4PBP1/4PK1P/8 w - -,e3e4
rnb2rk1/ppp2pp1/4pq1p/8/1bBPP3/2N2N2/PP3PPP/R2QK2R w KQ -,e1g1
8/1ppq1rk1/2n4p/1pP1p1p1/2Q1P1P1/5N1P/1P4K1/5R2 w - -,c4b5
8/pp1q3k/5ppp/2P1Q2n/1PpB4/5P2/P5PP/6K1 w - -,e5e4
8/8/8/1K5p/7k/2P5/P7/8 w - -,a2a4
2rq1rk1/p4ppp/3b4/1b6/1pRP4/3QPN1P/PP1B2P1/1K5R w - -,b2b3
8/p6p/6p1/4B1k1/2pR4/P1Pp4/5K2/7r b - -,g5f5
r7/p1R5/1p1Ppppk/4N2p/4P3/8/P4PPP/6K1 b - -,f6e5
8/8/1p3ppp/pk1K4/3P1PP1/P7/6P1/8 w - a6,d5e6
r3qrk1/1pp1bpp1/p1b1pn1p/P7/3PP3/2NQ1NP1/1P3PBP/R2R2K1 b - e3,e7b4
r3k3/1pp4p/2r1p1p1/p1n1p3/2P1P3/1P3P2/PN1RK1PP/R7 w - -,a1d1
r2q1rk1/1b1nbppp/1ppp1n2/p3p3/P2PP3/2N1BN1P/BPP2PP1/R2QR1K1 w - -,d1e2
r3k3/p2b1p2/1p2p1rp/1Nqpn3/5P2/2P2B2/P1PQ2P1/1R2K2R w Kq -,f3e2
1k6/1p3p2/p6b/P7/4qNrP/4P3/1P3QB1/3R2K1 b - -,e4e7
8/1r6/5p2/5k1p/5p2/2B2P2/r5PK/6R1 b - -,b7g7
8/pp4R1/2pk1p2/5P2/4p3/1B6/PqP1K3/8 w - -,g7b7
2rqkb1r/pb1n1ppp/4pn2/1pp5/3P4/1Q2BNP1/PP2PPBP/RN3RK1 b k -,a7a6
8/p2k2p1/1pp1r3/3r4/P1RPnp1p/B3P3/3PK1PP/1R6 w - -,b1g1
