6q1/8/8/8/5Q2/2k4P/5K2/8 b - -,g8a2
4k3/p4p2/6p1/2N1P2p/1r3Pn1/6P1/P1R1K3/8 w - -,a2a3
8/7p/3k2pP/2p2pP1/r1P1nP2/p2K4/R7/B7 w - -,a1e5
5k2/6r1/8/5P1K/3R4/p2p1P2/Pn6/8 b - -,g7g2
r1bqr1kb/ppp1pp1p/1n4pB/8/2nPP2P/2N2P2/PP4P1/1KQR1BNR b - h3,d8d6
6k1/7p/2N3p1/6P1/1p2B3/1P4K1/r6P/8 b - -,a2d2
r1b2r1k/ppppq1pp/5n2/4p3/2B1P3/2P1Q3/PP1N1PPP/R4RK1 w - -,f2f3
r5k1/4q1p1/p2p3p/1rPb1p2/2N5/BPQ4P/P2N1PP1/R5K1 b - -,d6c5
3r1rk1/pp2q1pp/2n2b2/2pbpp2/1n6/NP1PPN2/PB2BPPP/R1QR2K1 w - -,d1d2
r1r5/1k1n1ppp/pp1p4/PP2p3/4P3/1R1P4/1R1BKPPP/8 b - -,c8c5
rnb1k2r/ppp1qppp/4p3/8/3PP3/2n5/PP3PPP/R2QKBNR w KQkq -,b2c3
3r4/p4k1p/8/2pb1K2/N2p1P2/6P1/P2R3P/8 b - -,d5f3
r1b2r1k/pp3qb1/2np3p/2pNpp2/2P5/3P1NPP/PP3PBK/R2Q1R2 w - -,d1d2
5r2/rqn1bp1k/2p1p1p1/1pPpN2p/1P1P1P2/3QP2P/1B1nN1P1/4RRK1 b - -,d2f1
8/8/6k1/2R5/7K/2P1N1p1/r7/8 b - -,a2e2
r1b2rk1/1p1nppbp/p2p1np1/q1p5/2PPP3/2N1BPN1/PP1QB1PP/R3K2R b KQ -,c5d4
8/6k1/p1n1pq2/1pPp1p2/1P1P1Pp1/P2K2P1/4B3/7Q w - -,h1g1
8/6p1/7p/8/2N2k2/6n1/4K3/8 w - -,e2f2
r4rk1/pp1bbppp/1qn1pn2/2pp4/2PP4/1P1BPN2/PB1N1PPP/R2Q1RK1 w - -,d1e2
8/4k2p/p2R4/1pP3r1/8/5b2/6N1/6K1 w - -,d6a6
r2q1rk1/pp2ppbp/2npbnp1/8/2P1P3/2N1BP2/PPN1B1PP/R2QK2R b KQ -,c6e5:a8c8:f6d7
3kr3/p4pp1/2Q5/q3PpN1/3b1P1P/6P1/1P5K/8 w - -,c6d6
5r1k/n1p1b1r1/2n1pN2/2PpP1pp/Pp1P3q/3QB3/P1B2P1N/6RK b - -,f8f6
8/2p5/1p3pn1/2p1k1p1/P1P3P1/4K2P/8/5B2 b - -,g6h4
6k1/3b4/5qP1/3p3P/p2N4/P1Q3K1/8/8 b - -,f6g5
3q1r1k/1pp3pp/1rn5/2bB1b2/2Pp4/3N2PP/Q2BPP1K/1N3R2 b - -,f5d3
r7/5pk1/ppb1nnpp/2pN4/P1P1P3/1P3N1P/5PP1/4RBK1 w - -,f1d3
8/8/1P1k1p2/1n1p4/3K1P1p/7P/8/4N3 w - -,d4d3
r3k1nr/pp3ppp/4p3/bN1pPb2/8/2N5/P1q1BPPP/1R2QRK1 w kq -,b1b3
r2q1rk1/1pp1npbp/n2p2p1/p2Pp3/2P1P3/P1N4P/1P2BPP1/1RBQK2R b K -,f7f5
rn1q1rk1/pbp2ppp/1p2pn2/3p4/2PP4/P1bBPN2/1P3PPP/R1BQ1RK1 w - -,b2c3
r5k1/1p4pp/p1p1p1r1/2Pp1p1n/PP1P1P1q/2BBPP2/6R1/5QK1 b - -,h5g3
8/4k3/1R3p1p/1p4p1/3R2P1/4P3/5PKP/1q6 w - -,h2h3
1r4k1/5ppp/p2qp3/4N3/b1P2P2/b1B5/P5PP/4QR1K b - -,a4c2
r2q1rk1/pp1bbppp/2p1pn2/8/2PP4/5NP1/PP1BQPBP/R3R1K1 b - -,b7b5
r2q1rk1/pppn1ppp/3bpn2/3pN3/3P4/1P1PP3/PB3PPP/RN1Q1RK1 b - -,d8e7
1rb2rk1/1ppnq1pp/p3p3/4Pp2/2pPNR2/6P1/PP1QP1BP/R5K1 w - f6,e5f6
2r2rk1/pbqnpp2/1p1p1bpp/2p5/3PP3/2P2N2/PPQNBPPP/2R1R1K1 w - -,c2b1
6k1/pp5p/5p2/5Np1/3P2P1/3R1P2/P1p1r2P/6K1 w - -,d3c3
4q1k1/5p2/p5p1/1pPpPp2/3P3Q/8/P4PPP/6K1 b - -,b5b4
