8/4k1p1/4n2p/5P2/4N1P1/4K3/7P/8 b - -,e6d8
7k/6pP/4p3/1p2p3/p1n5/5N2/2qBRK2/8 b - -,e5e4
r1bqk2r/ppp1bppp/2pn4/8/3Pp3/2N2N2/PPP2PPP/R1BQR1K1 w kq -,c3e4
r2q1rk1/4ppbp/3pbnp1/8/1p1BP2P/1B3P2/NPPQ2P1/1K1R3R w - -,b3e6
rnbqkb1r/pp1ppppp/5n2/8/3N4/2P2N2/PP2PPPP/R1BQKB1R b KQkq -,g7g6
3r3r/p1k1bp2/1pn1p1p1/2ppPn1p/5P2/1PPP1BPP/1PKN1B2/3R3R b - -,a7a5
k2r3r/p3qpb1/B1ppp2p/Q3n1p1/3RP3/8/PPP1NPPP/5RK1 w - -,f1d1
1r2r1k1/3n3p/2qpp1pB/pp2b3/4P1P1/P1PB3P/1P2Q3/1K1R1R2 w - -,d1c1
6k1/5ppp/2b5/3pP3/nq1B4/3R2PP/2r2P2/Q4BK1 b - -,c6b5
2rr1b2/1q5k/3pbp2/p3p1pP/Pp2P3/1P1QBPN1/1P6/1KRR4 w - -,c1c8
r4rk1/pp3ppp/4p3/nN1pP3/1q1P4/1P3Q2/P4PPP/R2R2K1 w - -,f3d3
r1b1k2r/4bppp/p1p2n2/1pPpq3/1P6/P1N1P3/1B3PPP/R2QKB1R w KQkq -,c3a4
8/2pb4/4p1qk/1p1pRrp1/1P1P4/2P2PP1/3Q2K1/4R3 w - -,g3g4
3rr1k1/Bp3pp1/3b3p/3p1q2/8/6P1/PP3P1P/R1QR2K1 w - -,c1d2
2r4k/6pp/3bB3/5p2/5P2/6PK/3N3P/8 b - -,c8c2
8/3b4/2pP1k2/1pP2p2/3Kp3/8/2R1B1r1/8 b - -,d7e6
r4rk1/1p2q1pp/2p2p2/pPb1p3/P1P1Pnb1/1BQ2N2/1B3PPP/3R1R1K w - -,b2c1
rnbqk2r/pppn1ppp/4p3/3pP3/1b1P4/2NB4/PPP2PPP/R1BQK1NR w KQkq -,d1g4
8/4k2p/3p4/3n1P2/3Bp3/4P1KP/8/8 w - -,g3g4
2brr1k1/p2q2b1/P7/1p1Pp1p1/3pPp2/3P2P1/Q4PBN/1RR3K1 b - -,g5g4
r1b2rk1/pp4pp/2n1p3/3p1p2/1PP1B2Q/P3PN2/1q1B1PPP/2R1K2R b K -,f5e4
r4rk1/pp1nqppp/2p5/4p3/1P1bP3/5QPP/P1PB1PB1/1R1R2K1 b - -,f8d8
5R2/8/4k3/1K6/1P3pr1/P7/8/8 b - -,e6e7
5k2/1p4b1/p1n3p1/2pp1nBp/8/P1N5/BPP3PP/6K1 w - -,a2d5
r1bq1rk1/ppp1npb1/2np2p1/1B2p1B1/4P3/2NP1N2/PPP2PP1/R2QK2R b KQ -,c8g4
3n2k1/1b1q4/pn2pp1p/1p4p1/4P3/P4NB1/BP2QPPP/6K1 b - -,d8f7
2kr4/ppbq1p1p/2p1ppr1/1P1n4/P1NP4/2P2Q1P/5PP1/1RB2RK1 w - -,g1h1
1rbb1q1k/R5np/pB1p4/3Pp1p1/1PN1Pp2/3B1P1P/4N1P1/4Q1K1 w - -,e1f2
R7/P5k1/4p1p1/4P2p/1K3P1P/8/r7/8 w - -,b4b5
8/p4p1k/1p1R3p/1NB1p3/P3Pn1q/5p2/1Q4PP/5K2 w - -,d6d2
6k1/5p2/b1r3n1/p3q1Pp/3R3P/8/P2N1Q2/1R4K1 w - -,b1e1
r4rk1/p3qppp/b7/2R1n3/N3p3/P3P3/1P1B1PPP/3Q1RK1 w - -,d2c3
2r2r1k/p4p1p/1q1p2p1/4b3/1p1NP1P1/1Pn1QB1P/b1P1N3/2KR3R w - -,c1b2
1qr2rk1/p3bp1p/5np1/2P5/RPBPp3/1Q6/1B4PP/5R1K w - -,d4d5
4r1k1/5p2/6p1/q1r1p1bp/1p1pP3/1Q4NP/1PP1RPP1/1R5K b - -,e8c8
r1bq1r1k/pp1nb1pp/2p5/3pNp2/3PnB2/1QN2PP1/PP2P1BP/R4RK1 b - -,e4d6
6k1/p1q2ppp/2p1rn2/2pP2rb/2P1p3/P3P2P/1B1N1PP1/1RR2Q1K b - -,f6g4
r1bq1rk1/pp3pp1/1np2n1p/4p3/Pb2P3/1BN5/1PP1QPPP/R1B1NRK1 b - -,d8e7
r1b2r2/pp2Npbk/1n4pp/8/8/1n4P1/PP3PBP/R1BR2K1 w - -,a2b3
r2q1rk1/p1p3pp/3p4/3Ppb2/1PP5/5P2/3NQ1PP/R1R3K1 b - -,d8b8
