8/5R2/1r4pp/4k3/5n2/5B1P/5PP1/6K1 b - -,f4d3
5rk1/p1ppq1pp/1pn1p3/5rb1/2PPQ3/1PB1P3/P4PBP/R4RK1 b - -,e7f7
8/8/p5p1/1p5p/P1pQ2b1/2P5/2k3P1/4r1K1 w - -,g1h2
1r3rk1/1q2bppp/p1pp4/3nP3/3B1PB1/1P6/P5PP/2RQ1RK1 w - -,g4f3
4k3/1bp1P1q1/p1p1Q1p1/2Bp1p1p/P2P1P2/1P6/6PP/6K1 w - -,h2h4
r5rk/3bb2n/pqp1pp1Q/3pB1p1/1P1N4/2P1PN2/P5PP/R4RK1 b - -,a8f8
2r3k1/2qnbpp1/2p4p/2PpP3/3Qb3/4P3/1B2BPPP/2R1N1K1 b - -,c8b8
r1b3k1/pp1nn1p1/3B2p1/8/3P4/2P2P2/PP3P1P/R3R1K1 b - -,e7f5
2r2k2/2r1R1pp/p4p2/1p2B3/1P6/2P3P1/P3R1KP/8 b - -,f6e5
r2r2k1/1b3p1p/6p1/2p1n3/4P3/2P3N1/P5PP/1BR2R1K w - -,f1d1
8/R3p3/3r1kp1/4p2p/4K2P/6P1/5P2/8 w - -,a7b7
r1bq1rk1/pp1nppbp/2pp1np1/8/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 w - -,b2b4:b2b3
r1bqk1nr/1p1pbpp1/p1n1p3/2p4p/4PP2/2NP1NP1/PPP4P/R1BQKB1R w KQkq h6,h2h3
R1b2rk1/5rbp/2Np1qp1/2pPp2n/1p2P3/4B1PP/1P3PB1/3QR1K1 w - -,d1d2
rnbq1rk1/ppp3bp/3p1p2/3Pp1p1/2P1P1n1/2N2NB1/PP3PPP/R2QKB1R b KQ -,g4h6
2rr2k1/p3qpp1/4p1np/1Ppp4/2P4P/1R3NP1/P1Q1PP2/3R2K1 w - -,h4h5
r3r1k1/ppp2p1p/3pbq2/6p1/5B1b/2PB1Q2/PPP1RPPP/4R1K1 w - -,f4g3
3q1rk1/3r3p/3pb1pb/pN2pp2/2P1P2P/1PQ3P1/5PB1/R4RK1 w - f6,e4f5
4rrk1/p1p4p/1p2q1pb/3pP3/2nP1p2/P2Q1N2/2P1RBPP/1R5K w - -,d3b3
3r2k1/4pp2/1p4p1/p5b1/P1N1P3/1N5P/1Pn3P1/5R1K w - -,f1f3
5k2/6p1/4ppp1/2R5/1PpP1PKP/4P3/rP3P2/8 b - -,a2b2
