4B3/6R1/8/p3k2P/3p3r/P2Kp3/8/8 b - -,h4h2
r1bqkb1r/pp3ppp/2n2n2/3p4/3p4/1P2PN2/PB3PPP/RN1QKB1R w KQkq -,f3d4
r4rk1/pp2bppp/2bnp3/q1ppN3/5P2/1P1PP1N1/PBP3PP/R2Q1RK1 b - -,c6e8
8/8/1p4Rp/1kp3p1/1r6/3N1K2/PP6/8 b - -,b4a4
r3kb1r/pp1n1ppp/2bp4/q3p1B1/4P3/2NQ1N2/PPP2PPP/1K1R3R b kq -,f7f6
r1bqr1k1/pp1n1ppp/2pb1n2/8/2Pp4/2N1PN2/P1Q1BPPP/R1BR2K1 w - -,e3d4
b3r1k1/5p1p/6p1/1Bp5/P2bpqP1/7P/2P1Q1P1/3R1N1K b - -,e8f8
4B3/8/1p2n2p/p6P/P4p1k/5P2/6K1/8 w - -,e8f7
8/1k6/1r3N2/6P1/5P2/6K1/1R6/2r5 b - -,b6b2
8/7p/3kbpp1/8/1p1pP3/3P1n2/1P2B1PP/4K3 w - -,e2f3
r1b2rk1/2qpbppp/2p1p1n1/2p1P3/p1P1N3/1P1PQN2/PB3PPP/R4RK1 w - -,e4c5
8/5p1p/2Np1kpb/2pP4/2P5/1PKB3P/n4PP1/8 w - -,c3b2
8/4n3/4p3/1p1k2p1/1P1P1pP1/2BK1P2/8/8 w - -,c3e1
3r2k1/rp3p1p/p1b1p1p1/2P5/2Pq4/3PQ3/P3BPPP/3RR1K1 w - -,e2f3
6k1/1b4pp/p2Bpp2/1p6/2p1PP2/P1P1bP2/1P2N1KP/8 b - -,g8f7
r5k1/5pp1/PQ2pn1p/8/7P/1p1q1PP1/1P3BK1/R7 b - -,d3d5
3r1rk1/1q4p1/p1npbpPp/1p1Nn2P/4PQ2/1N6/PPPR4/1K1R1B2 b - -,e5c4
5rk1/6pp/3q2p1/2pp4/1p4P1/4Q2P/1R3P2/6K1 w - -,b2c2
r3n1k1/p2b1p2/r6p/1p1pB1p1/n1pP2P1/P1P1PP2/3NB2P/1RR3K1 b - g3,a4b6
5rk1/q6p/p1bp2p1/Pp2p3/1Pp1P3/2P1b1P1/4QRBP/3R2K1 w - -,d1f1
8/8/6p1/5pk1/3Kp3/2R3P1/6r1/8 b - -,g5g4
4r3/1R6/8/3K2b1/6k1/8/8/8 b - -,g4f5
rnbqk2r/pppp1pbp/4pnp1/8/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,e8g8
5r1k/7p/4p3/3pP3/2pP2NP/Pp3RP1/1P1Q2K1/2b5 b - -,c1d2
r1q2rk1/pp2ppbp/1n1pbnp1/8/3PP3/1PNB1N1P/P4PP1/R1BQ1RK1 w - -,c1b2
3k4/2p2pp1/4b2p/pp1NP3/2Pp4/P6P/2K2PP1/8 w - -,d5f4
r3r1k1/p2b2bp/3n4/2pP1p2/2p5/P1N3BP/BP1R2PK/R7 b - -,g7c3
4r1k1/5pp1/3p3p/3Q2b1/PR1B3P/3p2P1/2r1qP2/5RK1 b - h3,d3d2
rn1r2k1/p4p2/1q2pp1p/2p5/Q7/P3PN2/1PR2PPP/4KR2 b - -,b8c6
1n3rk1/p1q2pp1/1p2p2p/1Pp1P3/2PrNP2/P6P/4Q1P1/3RR1K1 b - -,f8d8
2rq1rk1/4bppp/np2p3/p2pP3/Pn1P4/BPN3P1/5P1P/RN1QR1K1 w - -,a3b2
6R1/3k1pp1/1rp4p/8/1PK5/5P1P/5P2/8 b - -,g7g6
1nbq1k1r/r4pb1/pp1p2pp/2pP3n/P3P3/1QN1BN2/1P2BPPP/R3K2R b KQ -,a7e7
8/8/p5pp/4kp2/8/1PN2PPP/P2K1n2/8 w - -,h3h4
r2q2k1/4b1pp/p1np4/p2bPQ2/5P2/4B3/1PP3PP/R4RK1 w - -,a1d1
r1bq1rk1/3nbppp/p2p4/6P1/R3Pp1P/1N1QB3/1PPN4/4K2R w K -,e3f4
r2q1rk1/pp1n1ppp/3bpnb1/2p5/2PP4/1P1B1NN1/PB3PPP/R2QR1K1 b - -,c5d4
3rr1k1/1q3p1p/pp1P1p2/4n3/3Q4/2N5/PPP3PP/3R1R1K w - -,c3e4
8/2kNK3/2p5/2Pp3b/pP1P4/P7/8/8 b - -,h5g4
4r1k1/p5pp/1p4q1/n1pPp3/4P3/2PQ4/P2B2PP/1R3K2 b - -,a5b7
r2qk2r/1p2b1p1/1pn1b3/p3pp1p/P1N5/2NP2P1/1P2PPBP/R2Q1RK1 b kq -,h5h4
3b4/5pk1/R3p3/P7/r2p1P2/3R1K2/8/8 w - -,a6d6
2b1r1kb/5p1p/2pp2pB/p7/1r1Pq3/1P2R2P/P3N1P1/1RQ4K b - -,c8f5
4r1k1/7p/p1q3pP/1p1p2P1/1P1bpP2/P4n2/Q6K/2BRR3 w - -,h2g3
r5k1/1b2ppbp/1p1n2p1/rB6/2PP4/N2R1PP1/PB2K2P/R7 b - -,d6f5
r2qrbk1/1p3ppn/2p1n2p/p4N2/4pP2/PP1P2P1/1BQN2KP/R4R2 w - -,d3e4
r6k/7p/6p1/1R1Pp3/8/b1P5/2B4P/1K6 b - -,a8c8
r1b2rk1/1p1n1pb1/p1p1qn1p/4p1p1/1PP5/2N1P1B1/P1QNBPPP/3R1RK1 b - -,f6e8
rnbqk2r/1p2bppp/p3pn2/2p1N3/2B5/2N5/PPPP1PPP/R1BQR1K1 b kq -,e8g8
r1bqk2r/1p1nppb1/p1p2npp/2Pp4/3P4/2N2NP1/PPQBPPBP/R3K2R b KQkq -,e8g8
rn2k2r/pbqpbppp/1p2pn2/8/3P4/2PB1N2/PP1N1PPP/R1BQR1K1 b kq -,d7d6
5r2/3qbp1k/2np2pp/1ppBp2b/4P3/1QPPNPB1/1P3PKP/R7 b - -,c6d8
2R5/8/2pr3p/8/2k3P1/4K3/8/8 w - -,c8g8
r1bq1rk1/1pp1ppbp/1nn3p1/8/3PP3/p1N1BN1P/PPQ2PP1/3RKB1R w K -,b2a3
8/q3p1k1/r2pPpp1/2pP3p/8/rP4PP/P1RRQPK1/8 w - -,c2b2
3r2k1/1p3p2/p6p/3b4/5n2/PPR2B2/1N3PPP/6K1 b - -,d5f3
1r6/2rbk1b1/B3n3/Rp2pppp/8/1NP1BP1P/1P4P1/3R2K1 w - h6,b3c1
1r3r2/Q2b2bk/4p1pp/2p2p2/8/1P1Pp1P1/2P1R1BP/7K b - -,f8d8
1R2r1k1/5ppp/1Qp1r3/3q4/3P3P/4PpP1/5P2/1R4K1 b - h3,d5f5
1r4k1/p1q1b2p/3p1np1/2pPp3/2P1Pp2/P6P/2QBKPP1/1R1B4 b - -,g8g7
2rq3r/kp2bp2/pnb1p1p1/n2pP1Pp/P1pP1P1P/2P1N3/QPBN1R2/R1B3K1 w - -,f2g2
7k/1p4p1/4n3/1KP1P1P1/2r4P/Pp1R4/2r5/1R6 b - -,c4c5
6r1/1p2r1qk/p1b1pppp/P1Pp4/3P1PPP/2P1QN2/5R1K/6R1 w - -,g4g5
1N2q1k1/pBp2rb1/Pn2b1np/1PQ1ppp1/2Pp4/B4NP1/4PP1P/R4RK1 b - -,e8b8
6k1/1bp2r1p/6p1/2p1R3/2P4P/1P6/6P1/1B4K1 b - -,f7d7
1r6/5pkp/ppB3p1/2n1n3/P2N4/4P1P1/6KP/R7 b - -,b8c8
rnbq1rk1/1p2ppbp/p1pp1np1/2P5/3PP3/2N1BN1P/PP3PP1/R2QKB1R b KQ -,b8d7
8/pp2rk1p/2p1p2q/4Bp2/P7/1P4R1/2P1R1P1/6K1 w - -,g3h3
5k2/8/1p2PPK1/p1p5/P1Pr4/1P6/3p4/3R4 b - -,d4g4
3rk3/R2N4/p3p1p1/4P3/7P/3n4/6P1/7K w - -,d7f6
4R3/8/8/8/3k1n2/3r4/2K5/8 b - -,f4d5
r5k1/rp2qbpn/1npp1p1p/3PpP2/1PP1P3/1QN3PP/6BK/1RB2R2 w - -,f1f2
r1bqk1nr/pp2bppp/2n1p3/3pP3/3P4/2PB4/5PPP/RNBQK1NR b KQkq -,c8d7
1k1r3r/1ppbq3/p2p4/3Pbppp/P7/2PB1Q1P/1PKB1PP1/R6R w - f6,f3e2
8/p1p3pp/5k2/2p4r/3p1P2/3P2RP/PPP1K3/8 w - -,e2f3
2rr2k1/p2bbppp/q1p1pn2/2Np4/1PP2B2/P5P1/2Q1PPBP/R4RK1 b - -,a6b6
r1b1k2r/1pq1b2p/2n1p1n1/p2p1pNQ/P1pP4/2P3PB/1P5P/R1B1K2R w KQkq -,g5h7
r1b2rk1/p3ppbp/1p2qnp1/3pP3/5PP1/1PP1PB2/1B1N3P/R2Q1RK1 b - -,f6g4
3r2k1/7p/p1p5/2N1n2b/1PP1p1P1/8/P4PB1/2R3K1 b - -,h5g4
5rk1/4qpbp/p4np1/1r2B3/1p1QP3/1P3N2/1P3PPP/R3K2R w KQ -,e5d6
3r2k1/7p/2B5/R4p2/4p3/8/4KP1P/2r5 w - -,c6a4
1r1n2k1/pP3b1p/3N2n1/5p2/2P2P2/BP2rBP1/P4bKP/2RR4 b - -,e3f3
7q/1Q6/3pk1p1/p1r2p2/2P3p1/1P2p1P1/P1K1B3/5R2 b - -,h8h2
r3k2r/1bq1bp1p/pp1ppnp1/4n3/2P1P3/1NNBB3/PP2QPPP/R2R3K w kq -,e3h6
r1b2r2/4kp2/3Nq3/2Ppp3/1p6/nP1QP3/P4PPP/2RK1B1R w - -,d3d2
r1bq1rk1/pppnppbp/5np1/3p4/3P1P2/3BPN2/PPP3PP/RNBQ1RK1 w - -,d1e1
2r1qrk1/pp1bbnpp/2p1pn2/1P1p1p2/P1PP4/1QN1PN2/1B2BPPP/R4RK1 b - -,f6e4
4k2r/4bppp/2rppn2/8/3N4/1RP2P2/P4P1P/2B1R1K1 b k -,c6c8
1rb2rk1/4qpbp/p2p4/1p2pp1Q/2P1P3/N2B4/PP3PPP/R4RK1 w - -,e4f5
r7/2p3kr/p7/2b1pP2/Pp6/6PQ/1PP3P1/R6K w - -,a1d1
1r3rk1/2p2ppp/q3p3/p2n3P/1p1PQ3/7R/PPP2PP1/2KRB3 b - -,a5a4
r2qkb1r/5pp1/p1p1p1b1/3pPn1p/2P5/NP6/PB2BPPP/2RQ1RK1 w kq -,a3c2
8/1R3k2/2P5/1p4p1/pPn1B1P1/6KP/3r4/8 b - -,f7f6
r5k1/pp1qrpp1/3p1n1p/QPp1n2b/P1P1p3/4N1PP/1B1PPPB1/3RR1K1 w - -,a5c3
rn1b1rk1/1b1q2pp/p2p1n2/1p1N4/3Q1N2/P3B3/1PP2PPP/3R1RK1 b - -,b8c6
r2r2k1/1b1nppb1/1n1p3p/pBqPP1p1/P1p5/2N2N1P/QP3PPB/3RR1K1 b - -,d6e5
2k2rq1/2pbR3/1p4p1/p2p1pBp/3P3P/2P2QP1/PP3P2/6K1 w - -,f3e2
2r3k1/4bpp1/3p1n1p/1pr2P2/1q2p3/1BN2R1P/1PP1QPP1/R5K1 w - -,f3g3
