6k1/R7/p7/2p1KP2/2P1P2r/8/8/8 b - -,h4h6
8/4k3/8/6p1/4P3/4R2P/5K2/7r b - -,e7e6
2r3k1/6pp/p3pp2/2bqB2n/3N4/2P1Q3/1P4PP/5RK1 w - -,e5g3
r3r1k1/1b1q1pb1/6pp/pp1p4/3P4/1BPQ3P/3B1PP1/1R2R1K1 b - -,b7c6
r3k3/1b1n1p2/p3p3/4P2r/qb1NpQ2/4B3/1PR3BP/2R3K1 b q -,d7e5
r1bqr1k1/bpp2pp1/p1np1n1p/3Np3/PPB1P3/2P2N1P/3P1PP1/R1BQR1K1 b - b3,f6d5
r2qr1k1/1b3ppp/1npb1n2/p2pN3/1p1P1P2/PQNBP3/1P1B2PP/3R1RK1 w - -,a3b4
r2q1rk1/pp2bppp/2n1pn2/1Bpp4/4P3/2PP3P/PP2QPP1/RNB2RK1 b - -,d8b6
6r1/4R3/P6p/4k3/4p3/8/4PK1P/8 b - -,e5d4
r4rk1/1b3pb1/qp2p1pp/3pPn2/PR3P2/5N1N/B2B2PP/3QR1K1 b - -,a6a7
8/5pk1/3p1ppp/3PQ3/6P1/7P/P1R1rPK1/8 b - -,e2e5
r1b1k2r/1p1p1ppp/p1n1p3/2b5/2P1P2q/2NB4/PP3PPP/R1BQ1RK1 w kq -,c3e2
5k2/1b3p2/2p1p1pp/P3P3/5P2/6PP/5KB1/8 b - -,f8e7
1r1r4/p7/4k2p/2p2pp1/2P1P3/1P1R4/P1RK2PP/8 b - -,f5e4
5rk1/6q1/p4npp/2p1R1Q1/2PrP3/1P6/2B3PP/4R2K w - -,g5c1
r2qr1k1/2Q2p1p/pn2pbpB/8/3P4/PB3N2/5PPP/2RR2K1 b - -,a8c8
r1bqk2r/pp2bppp/2n1pn2/2p5/2BP4/2P2N2/PP1N1PPP/R1BQK2R w KQkq -,d2b3
6k1/pp6/2pQ4/4B2p/2P3q1/1P6/P6K/5r2 w - -,d6d8
R7/3q2pk/2p1p1p1/prP1Pp2/5QP1/1P6/1PB4P/2K5 b - -,d7b7
5B2/3r4/R3kp2/1p6/1Pb2K2/2P2P2/8/8 b - -,e6f7
r7/2r1bk1p/1p2pPpP/1B1p1n2/P2P1P2/1KPN4/1P6/4RR2 b - -,e7f6
r1b2rk1/pp5p/2pp1bq1/5p2/2P5/2PBR3/P2B1PPP/3QR1K1 b - -,g8h8
r1bqr1k1/ppp1ppbp/1n4p1/3Pn3/2P5/2N1BN1P/PP1Q1PP1/R3KB1R w KQ -,f3e5
5k2/8/3p4/3P2Pn/1PR2p2/1rpB4/5PK1/8 w - -,d3c2
4rrk1/3q2p1/p2p4/1ppPn1p1/2P1b3/PPB3P1/2B2PKP/3QR3 w - -,e1e4
8/6k1/7p/pprBR3/P3P3/nP2PKP1/8/8 b - -,b5a4
1rb1r1k1/2qn1pbn/pp1p2pp/2pP4/P1B1PP1B/2NQ1N1P/1P4P1/4RRK1 b - -,b6b5
8/3R4/4p1k1/ppr1B3/5P2/bP1K4/P7/8 w - b6,d7g7
r1qr2k1/p2n1pbp/1p2p1p1/2p1N3/3PpP2/BP4P1/P1P1QP1P/R3R1K1 w - -,e2e4
r1bq1rk1/1p2ppbp/2ppn1p1/p2nP3/P2P4/1B3N1P/1PP1QPP1/RNBR2K1 w - -,e2e4
6k1/1b3p2/p7/1pp3B1/3qP3/8/PPP3P1/1K5Q w - -,h1f1
2rr2k1/p4p1p/1p2pp2/3q4/4QP2/P1P4P/5P2/R1R3K1 w - -,e4a4
r2r1n1k/1p4pp/5p2/p4PRP/3p4/1P1B4/P1P2P2/1K5R w - -,g5g4
1R6/1P1n2k1/6p1/8/1r5P/2K5/8/8 b - -,b4b6
8/2pb1pk1/r4p2/2pB4/2P2P2/1P2R1P1/5P1P/6K1 w - -,g1g2
2rr2k1/1p3ppp/pqbp1b2/2n5/4PP2/2N4P/PP1Q1BP1/3RRB1K b - -,b6b4
r2qk2r/1b2bpp1/pp2p3/4Nn2/P1BnNP2/3P3p/1PP2QPP/R1B1R2K w kq -,c2c3
5r2/pb2qpk1/1p1Np1pp/n2rP3/5Q2/2P1R3/P1B2PPP/R5K1 w - -,c2e4
r2qk2r/1b1nppbp/p1pp1np1/1p6/P2PP3/3BBP2/1PPQN1PP/R2NK2R b KQkq -,e8g8
