8/8/8/4n1K1/8/2k5/p7/N7 b - -,c3b2
2b1r1nk/4q2r/1p1p1p2/p2PpP1p/2PpP2P/6NB/PP1Q1R2/3R2K1 w - -,g1h2
r2r2k1/pp2pp1p/4b1p1/q7/N2b1n1B/Q7/PP3PPP/2RR1BK1 w - -,h4e7
4r1k1/1n1r1p1p/3p2pB/1p1Pb3/1Pp1p1PP/2P4R/2K1BP2/3R4 w - -,d1a1
1rb1rnk1/1p3pbp/p1p2np1/2P1p3/N1B1P1PP/4BP2/PP6/3RK1NR b K -,c8e6
r3kr2/1b1pn1q1/p3p1p1/1p6/4PB2/1BP1Q1P1/PP2K1P1/R4R2 b q -,b5b4
rnr1b1k1/p3ppbp/1q4pn/3PP3/1p3B2/1PpQ1N1P/P4PP1/2RNKB1R w K -,g2g4
r1b1rbk1/5pp1/pq3n1p/1p2n3/3p1B2/6NP/PPB2PP1/2RQR1K1 w - -,f4e5
7r/5p2/3p1kp1/2pP3n/1pP1Pp1P/rP1K1P2/7R/6RB w - -,g1b1
k3r3/1p1q1pp1/p2p1b1p/2nP4/PQ4P1/2P4P/1PN5/1K1R1B2 w - -,a4a5
2rqk2r/pp1n1ppp/3bpn2/3p4/2PP2b1/1P3N2/PB1NBPPP/R2Q1RK1 b k c3,f6e4
2r2rk1/3bbppp/1q1p4/Bp1Pp3/3n4/4N1P1/1PP2PBP/R2Q1RK1 b - -,b6b7
2r1rk2/5p2/bp3B2/p2P2p1/2P1p2n/P3P3/4BK2/2R4R w - -,h1h4
r7/pp1nB2k/2p1p2p/3p1qp1/2PP4/1P3P2/P4Q1P/6RK w - -,f2g3
r1bqr1k1/1p2bpp1/p1n2n1p/3p4/N2N1B2/6P1/PP2PPBP/2RQ1RK1 b - -,c8d7
r5k1/5p1p/3bp1p1/3p4/3P4/Pp2P2P/5PP1/R1R3K1 w - -,c1b1
r4rk1/1b2qppp/p3pn2/1pb1n1N1/8/PPN1P3/1B2BPPP/1QR2RK1 w - -,c3b5
6k1/5r2/8/1p1PQ3/p2B3p/2P2P1K/P1q5/8 b - -,c2f5
4q3/p1Q2pkp/1p2p1p1/2n1P3/2P2P1P/6P1/P1B2K2/8 b - -,e8d7
r5k1/1p2bp1p/p3bnp1/4Q3/Pq1B4/2N5/1PP1B1PP/3R3K b - -,a8d8
r1bqk2r/pppn2bp/5ppn/4p3/3PP3/2N1BN2/PPP3PP/R2QKB1R w KQkq -,d4e5
8/1prkn3/4p3/PPPpPp2/3N1Pp1/3K2Pp/2R4P/8 b - -,e7c8
r6r/3bk1pp/2p2p2/2Ppq3/1B1N4/P3P3/5PPP/3Q1RK1 w - -,d4f3
8/6b1/6p1/5kP1/1pp2P2/3r4/1P2K3/2B1R3 b - -,d3b3
r2q1rk1/4bppp/p2p4/1p1PpbPn/8/1N1BBP2/PPPQ3P/2KR2R1 b - -,d8d7
r2r1k2/1p3p2/p2p1bpp/3n4/P1RP2P1/5N1P/1P3P1B/4R1K1 b - g3,f6e7
r5k1/1p3pb1/2n3p1/3pp1Pp/4P2N/1P5P/p2BBP2/K1R5 w - -,h4g2
2k5/8/p7/1p6/1P5B/P1r4K/6P1/8 w - -,h3g4
r2qk2r/ppp3pp/2n1pn2/2p5/4PB2/3P1N2/PPP3PP/R2QK2R b KQkq -,e8g8
2r5/2rnbpkp/p2pp3/2p5/2P2Pn1/1R1PP1P1/P1NN2BP/1R4K1 b - -,h7h5
8/b2p1kp1/b1p1n2p/P1p5/8/P5R1/1B4PP/4R2K b - -,a6c4
2b2rk1/3q1p2/n1pP2pp/1r4b1/N2BP3/P4Q2/B5PP/3R1RK1 b - -,c6c5
rnbq1rk1/pp1pppbp/2p2np1/8/1PP5/5NP1/PB1PPP1P/RN1QKB1R w KQ -,f1g2
8/8/1kp4p/3p2pP/PP6/K1P1R1P1/6r1/8 b - -,g2d2
r7/P7/2p5/1k1pp3/Rp6/1P2K3/8/8 b - -,c6c5
r4r1k/pp1nNp1p/6p1/4P1Q1/2B1PP2/3R2P1/7P/2q4K w - -,h1g2
8/2R2p2/1p2k1p1/2p1p2p/1r2PP1P/3PK1P1/8/8 b - -,e5f4
3r3k/1q4pp/1p6/2b5/P1QNpP2/1N4P1/5K1P/8 b - -,c5d4
2r1k2r/R2n2pp/1bq1pP2/1p1p4/1PpP1PP1/2P1B3/R6P/1Q1B2K1 b k -,g7f6
3r1b1k/6pp/5n2/8/P7/4BBP1/2R2P1P/6K1 b - -,f8b4
4r2k/p1p3n1/1p5p/1P1B1pp1/P7/5PP1/3R3P/3Qq2K w - -,d1e1
r1b2rk1/pp1n1pbp/2p1pnp1/7Q/3P1B2/1BPN4/PP3PPP/RN3RK1 b - -,f6h5
r2qk1nr/1ppbbp1p/p1np2p1/4p1B1/B2PP3/2P2N2/PP3PPP/RN1QK2R w KQkq -,g5e3
3rr1k1/1p3pp1/7p/p7/1P1p4/P4NN1/4QPBP/7K b - -,e8e2
2rnkb1r/pR3ppp/4pn2/3p4/3P1B2/5B1P/2P2PP1/q1NQ1RK1 w k -,d1d3
8/1p6/1prbkn2/3p1p1p/3P2p1/P1NRPPP1/1P4K1/4B3 b - -,c6c8
r3k2r/p2n1ppp/2pppn2/q7/3PP2B/2Pb4/P1Q1NPPP/R4RK1 w kq -,c2d3
r1bq1rk1/1p3ppp/5n2/p1b1R3/3p4/PP1P2P1/5PBP/RNBQ2K1 b - -,d8c7
rnbq1rk1/pp3pb1/2pp1npp/3Pp1B1/2P1P3/2N2N1P/PP3PP1/R2QKB1R w KQ -,g5e3
r5k1/3p2qp/1p1Np1b1/2n3r1/p1P2p2/P1Q2P2/1P2BRPP/3R2K1 w - -,c3b4
1r1R2k1/2q2pbp/4p1p1/1pn5/2p1PPN1/RnP3PP/1PQ2BB1/6K1 b - -,b8d8
r1bq1rk1/pp2nppp/2nbp3/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 b - -,f7f6:d6c7:d8c7
