8/5b2/8/1p3P2/4K1k1/2P5/5P2/8 b - -,g4g5
8/5k1p/3Q3P/5p2/1P6/6P1/2q2K2/8 w - -,f2e3
6k1/4bp2/2r1p1p1/q1N4p/2QPPP1P/p5P1/2R3K1/8 b - -,c6b6
r1bqkb1r/ppp2ppp/2n1pn2/8/Q1pP4/2N2N2/PP2PPPP/R1B1KB1R w KQkq -,a4c4
5bk1/5p2/3p2p1/1p1Pp3/qPr1P2p/7P/3QNPP1/2R3K1 w - -,c1c4
r1bqkb1r/2p1nppp/p2p4/1p2p3/3nP3/1BN2N2/PPP2PPP/R1BQK2R w KQkq -,f3d4
r2qk2r/1ppb2pp/p3pn2/1B2p3/1b2P3/2N5/PPPBQPPP/R3K2R w KQkq -,b5d3
8/7p/6p1/PK2r3/6Pk/1R5P/8/8 w - -,b5b6
8/2k5/6R1/3p2p1/P2P4/1b3K2/3bB3/8 w - -,e2b5
8/5p2/5k1p/6p1/1pbrB1P1/5P1P/1P2R2K/8 w - -,e2f2
r2r2k1/1pqn1pb1/2p1pnpp/p7/P2PP3/1Q1N1PB1/1P2N1PP/3R1RK1 b - -,c7c8
2b2r1k/3q4/7p/n3r2P/3pNppB/2p5/2P1Q1P1/RR4K1 w - -,e2d3
r3k2r/1ppq1p2/p1np3p/4b3/B4Q2/8/PP3PPP/R3RNK1 w kq -,a4c6
2b5/5rk1/pR1P1pp1/2P1pn2/8/2R2P2/P7/6K1 w - -,g1f2
8/3b1p2/3Pk1p1/8/3R3P/4KB2/1r6/8 b - -,b2h2
r2qk2r/3n1pp1/pp1n1b2/2pPp1p1/P3P1P1/2N1BP1P/1P1Q4/R3KB1R b KQkq -,c5c4
5b1r/1k4pp/2np4/3Npp1b/1P2n3/4BN1P/P4PP1/R4RK1 w - f6,f3d2
r2qr1k1/pppn1pbp/3pbnp1/8/2P1P3/2N1BP2/PPNQB1PP/R3K2R b KQ -,d7b6
r2r2k1/pp3p1p/4p1pb/2R1q3/4N3/3Q1n2/PP3PPP/3R2K1 w - -,d3f3
8/8/1p3K2/1k4p1/2R1P3/1P6/1P2P2r/8 w - -,e4e5
6k1/p3bpp1/4pn2/1Pp5/6P1/1B1r1P2/P1R2BK1/8 w - -,f2c5
6k1/5pp1/4pbp1/3p4/3P4/2PQ3P/r3RPP1/1Nq2K2 w - -,e2e1
2r2qk1/p1r2p1p/4p1p1/3pP1P1/P2P4/1Pp2R2/2P2Q1P/3R2K1 w - -,d1f1
2r2rk1/pp1n4/4p3/3p1p2/1n1P1P2/qP2P1N1/P2Q4/RB1R2K1 w - -,d2g2
r3q2k/1bp1P3/pp1p1b2/5Q2/P1B5/2N5/1PP2P1P/4R1K1 b - -,h8g7
2rr2k1/pp3pp1/5q2/1N1p3p/6n1/1PR1P1Q1/P4PPP/R5K1 w - -,a1c1
8/8/2p3pp/5p1k/PP1p2nP/5qP1/6R1/4Q2K w - -,h1g1
2r1k2r/pb3ppp/nqp1p3/1pb1P3/4P3/P3B1P1/1P2QPBP/RN3RK1 w k -,e3c5
r7/1p2b3/1P2k1p1/N1Pb1p1p/1K2p2P/4B1P1/3R1P2/8 w - -,b4b5
r4rk1/pp1nqpp1/2p1pnp1/2bp4/2PP1P2/1P2P1P1/PB4BP/RN1Q1RK1 b - d3,c5d6
r4rk1/pp3ppp/1n6/2bPP3/7q/2N1B3/PPn2PBP/R2QK2R w KQ -,d1c2
8/R5pk/7p/8/p5K1/r6P/8/8 w - -,h3h4
1Nn3k1/2n3p1/4pp1p/1p1p4/1B1P4/4PP2/1P2K1PP/8 w - -,e2d3
4r1k1/5p1p/6p1/1pQp2q1/2PN4/2P2P2/6PP/R5K1 b - -,g5e3
n1brr3/pp4kp/5qp1/PPN5/3pp3/6PP/1Q2PPBK/2R2R2 b - -,c8f5
8/1p3kpp/2b2p2/8/5B2/r2PK1P1/7P/4R3 b - -,g7g5
7k/8/7K/3b4/3R4/8/8/8 b - -,d5b3
4k3/1p6/4b3/7r/1B6/2KR4/8/8 w - -,d3d4
r3k2r/pbqnbp1p/1pn1p3/3pP1p1/1P6/1NP2N2/P1B1QPPP/R1B2RK1 w kq -,f1e1
r1q2rk1/pb2b1pp/1p2p3/2ppPp2/3Pn1P1/2PBPN1Q/PP1B3P/R4RK1 w - -,d2e1
5rk1/1b2r1qp/4pn2/pNRp2p1/P2P4/6P1/3QP1BP/2R3K1 b - -,f6d7
b3r1k1/2b3pp/3P4/2p1pp2/2N1n2q/5B1P/1P3PP1/3Q1RK1 w - -,d6c7
2rr2k1/pp1b1pp1/4p2p/q2p4/Pb1P4/1P1BP2P/4QPPB/2R2RK1 w - -,d3b5
r2qk2r/pppb2bp/5np1/1P1n1p2/3Pp2P/1Q2P3/PB1N1PP1/RN2KB1R w KQkq -,f1c4
2b5/6pk/5p1p/3P4/3N4/P4PP1/r6P/3R2K1 w - -,d1d3
1r2rbk1/1ppq1ppp/pn6/2N5/1P1p2b1/P2P2P1/1B2PPBP/2RQR1K1 b - -,f8c5
r1bqkb1r/pp1n1p1p/2p2np1/3P4/3Pp3/1PN3P1/P2NPPBP/R1BQK2R b KQkq -,c6d5
r1bq1rk1/p1p2ppp/1pnppn2/8/2PP4/2PBP3/P2N1PPP/R1BQ1RK1 b - -,c8a6
r2q1rk1/pp3pbp/1np1pnp1/8/1PBP4/2N1PP2/PB3P1P/R2Q1RK1 w - -,c4e2
r2q1rk1/pp2ppbp/2np1np1/2p5/2P3b1/2NP1NPP/PP2PPB1/1RBQ1RK1 b - -,g4f3
2n5/2pr1kpp/1b2Np2/pp3P2/6P1/2P3BP/PP2R1K1/8 w - -,b2b3:g2f3
rnbqkb1r/pppp1p1p/5np1/4p3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq e6,g1f3
2r2rk1/4qppp/p1npb3/1p1Bp3/4P3/N1PR1P2/PP4PP/R2Q2K1 w - -,a3c2
r2q1rk1/pp1Bbppp/3p1n2/4p3/Q3P3/1PN5/PBP2PPP/2KR3R b - -,f6d7
r3r1k1/1b1qnpbp/pp2p1p1/3p4/P2P1PP1/2PB1N1P/1P3Q1B/R3R1K1 b - -,e7c6
1r2r3/2kb3p/B2nP1p1/q1p5/5p2/1PN2R1P/P3QPP1/4R1K1 b - -,e8e6
r1b1k2r/2q1ppb1/n1pp2p1/p5P1/3PPPp1/2P1B3/PP1QB2P/R3K1NR b KQkq -,a8b8
4r3/p1p4p/3p1kp1/3P4/2P5/1P1p1P1P/P4K2/1R6 w - -,b1b2
8/4k3/1pr1p3/8/PR4KP/8/8/8 b - -,e7f6
8/pp1r1pk1/6p1/4r2p/PPR1Bp1n/8/5PP1/4R1K1 w - -,e1c1
3b3k/1p5p/2p1p1p1/p3Pp2/2P2PP1/1P5P/P3B2K/8 w - -,g4f5
r1bqk1nr/pppp1p1p/1Bn3p1/5N2/4P3/2P5/PP3PPP/RN1QKB1R b KQkq -,a7b6
2rr2k1/ppn1q1pp/2b1pp2/8/P1PP4/1Q2PB2/5PPP/R1R1N1K1 b - -,c7a6
5r1k/1p1n2np/p2P2p1/2pQp3/P1P1p2q/6R1/1P2BP2/5RK1 w - -,d5b7
8/6p1/3n1p1p/2k1pP1P/2p1P1P1/1p2K3/8/4R3 w - -,e3d2
r3qrk1/1pp3b1/n2p2pp/p2Ppp2/2P1P3/2N5/PP1NQPPP/R4RK1 w - f6,a1b1
8/6p1/5p1p/4pP2/4P1bP/3kN3/5K2/8 b - -,h6h5
r4rk1/pbqnppbp/1p1p1np1/P1p5/3P4/2P1PN1P/1P2BPPB/RN1Q1RK1 b - -,b6a5
