8/3q2k1/6p1/4b3/2Q5/6P1/6KP/8 w - -,c4e4
5r2/2nn1kb1/p1p2rpp/NpPpp3/1P2P3/2N3P1/1P3PKP/R1B2R2 b - -,d5d4
5b2/pp3p2/2p1k3/7p/2N1KP2/2P3P1/PP6/8 b - -,f8c5
r1b1r1k1/ppq2pp1/2n1pn1p/2P5/3p4/N2P1NP1/PP3PBP/R1Q1R1K1 b - -,c7a5
r2b1k2/r4ppp/PR2p3/3p4/3P2P1/1N1PBn1P/R4P2/5K2 w - -,b6c6
1r1q1rk1/2p2ppp/p1nb4/P1n1p1B1/2N1P1b1/2P2N2/B1Q2PPP/R3R1K1 b - -,d8c8
1r4k1/R4ppp/4n3/8/8/4P1P1/P2r1PBP/5RK1 b - -,g7g6
3b2k1/1p4p1/p2N4/P2P3p/3R3P/3KP1P1/2r2r2/7R w - -,d6e4
r1b2rk1/3nppbp/pq1p1np1/2pP4/4P3/2NB1N2/PPQ2PPP/R1B1K2R w KQ -,e1g1
3rr1k1/pp1q1ppp/N1pp4/4n3/4P3/1P4PP/P1PQ1PB1/1R2R1K1 b - -,b7a6
2r5/6k1/pp1p4/2pPb1N1/P1P3K1/8/8/5R2 w - -,f1f7
r1bqr1k1/b1p2pp1/p1n2n1p/1p2p3/4P1P1/2pP1N1P/PPB2P2/R1BQRNK1 w - -,b2c3
4r1k1/pp1q4/3n1bbp/2pP1pp1/2P4P/1P1Q2N1/P1BB4/4R2K w - -,e1g1
rnb2rk1/5p1p/1p2pnp1/p1qpN3/5PP1/2PB4/PP1NQP1P/R4RK1 b - -,c8a6
r1b1k2r/1p3pp1/p1p5/2b1pP1p/2PqP1n1/2NB2Q1/PP4PP/R1B2R1K w kq -,d3e2
r7/4pk1p/4N1p1/3q4/3Np3/4B1PP/5P2/R5K1 w - -,a1c1
3r4/8/p3pk2/2p2p2/2P2P2/1P3K1P/P7/4R3 b - -,d8d3
r2q1rk1/pp1bb1pp/3p2n1/2pP3n/8/1NN2PP1/PPQB2B1/R3R1K1 w - -,c3e4
5bk1/p1q2b1p/1p2p1p1/3p1p2/P2P1PP1/1P2P3/3BB2P/3Q2K1 w - -,b3b4
3k4/3R4/4P3/2b5/1p5p/1B3pr1/P7/5K2 b - -,d8e8
r3k2r/1p2p3/p2p3p/2n1b3/2BNP1Rp/2P2P2/PP6/1K1R4 b kq -,e5f6
r2q1k1r/p4pbp/1pp1p1pn/2p1P1N1/6b1/5N2/PPPP1PPP/R1BQR1K1 w - -,d2d3
rn1qk2r/pp3ppp/2p1bn2/2b5/Q7/2N2NP1/PP2PPBP/R1B1K2R b KQkq -,h7h6
8/8/3kP3/2r2P2/1p4p1/6P1/2NK4/8 b - -,b4b3
r3kb1r/ppq2ppp/3ppn2/2p4b/2N1P3/2PP1N1P/PP3PP1/R1BQR1K1 w kq -,c1f4
R7/4r3/8/8/8/3p1K2/3k4/8 w - -,a8a2
8/4rpkp/6p1/4p2P/3q4/3B2P1/2P1QPK1/8 w - -,e2f3
6k1/8/p1b1pP1p/2p3p1/1Ppn2P1/4Q3/P1q4P/2B3K1 w - -,c1d2
8/5pk1/1p4p1/pQ5p/P2qp2P/1P4P1/5P2/6K1 w - -,g1g2
r3r1k1/5p1p/3p1pp1/1N1Pb3/Pp2P3/6PP/1P3PK1/R3R3 b - -,e5b2
r4rk1/pp2qpp1/2pBpnp1/2P3b1/2PP2P1/1B3R1P/P3Q3/3R2K1 b - -,e7d7
3r3r/2k2P2/3q2Qp/1b1P1Pp1/p1NR4/1pP5/7P/5RK1 b - -,d6c5
2r1k3/5p2/5Pp1/1pqQP2r/p7/P7/1PPB4/2KR4 w - -,d5c5
r1br2k1/1p2Rpbp/6p1/p2pP3/qn1P1NP1/4B2P/1P1Q1P2/4RBK1 w - -,e1c1
3N4/7p/5Pk1/4K3/1n6/8/7P/8 b - -,b4d3
