8/7R/4k3/6K1/6P1/2r5/8/8 w - -,h7a7
r2qkb1r/4pp1p/pnp1b1p1/8/3P4/P1N2N1P/1P3PP1/R1BQ1RK1 b kq -,f8g7
rnbk2nr/ppppbQ1p/8/4N3/4P3/2N5/PPPP3P/R1B1KB1q w Q -,f7f4
6k1/3b1ppp/p4n2/2pPq3/2B5/N2QP3/Pr4Pb/R3RK2 b - -,h2g3
r1b1nrk1/pp2q2p/4p1p1/2p1Pp2/1bP5/1P6/PBQNBPPP/R4K1R b - -,g6g5
3k4/5R2/4pP2/1pP2p1p/1Pr5/6K1/8/8 w - -,f7f8
5rk1/8/2p2qp1/1p1p3p/pP1Pp2b/2P1N2P/P3R1P1/4Q1K1 w - -,e1d2
r1bqk2r/ppppbppp/2n5/1P2P3/2Bpn3/2P2N2/P4PPP/RNBQK2R b KQkq -,d7d5
8/5pk1/6r1/R3P2p/5P2/5P1K/8/8 b - -,g6g1
2r1n1k1/pq2ppbp/1p4p1/3p4/1PrN4/P1P1P1P1/1BRQ1P1P/2R3K1 w - d6,a3a4
rnbqkbnr/1pp2ppp/4p3/3p4/p3P3/3P2P1/PPPN1P1P/R1BQKBNR w KQkq -,f1g2
4r1k1/r4p2/p1B3pp/n1P5/2bR3B/8/5PPP/5RK1 b - -,a5c6
r3bbk1/5q2/p1p1r1p1/Pp1pBpPp/1P1P1P1P/4PB2/1R5K/1Q4R1 w - -,h2h3:b2g2
2rqkb1r/3n1ppp/pn1Pb3/8/4P3/1NQ1B2P/PPP3P1/2KR1B1R w k -,e3b6
r3r3/1p3qk1/pB1b1n1p/P1NPp3/1P3pp1/8/4QPPP/2RR2K1 w - -,c5e6
8/5pkp/1p3bp1/1N6/8/3QP2P/5P2/2q3K1 w - -,g1g2
r1bq1bk1/pp3r2/3p1nn1/3Pp2p/1P2Ppp1/2N2P1P/P1QBBNP1/2R2RK1 w - -,f3g4
2r2rk1/pp1bppbp/2n3p1/q1p5/2BPP3/2P1BP2/P2QN1PP/2R2RK1 w - -,f1d1:d2b2
5rk1/p3Rnp1/6p1/5q1p/4Q2P/5P2/PP6/2R4K b - -,f5h3
8/4kppp/b2p4/p1rPp3/RrP1P3/3BKPP1/7P/2R5 w - -,a4b4
4qrbk/ppp1n1pp/1b6/4Bp2/4pPP1/1N6/PPP1Q1BP/1K1rR3 w - -,e2d1
3r4/pk1r1pp1/2p1pb2/1pP4p/1P1P1P2/P3B1P1/3RK2P/3R4 w - -,e2f3
8/P5k1/q4p2/7p/1K4p1/4Q1P1/7P/8 b - -,g7f7
4kb1r/1b1r1pp1/1q2p3/1pP1Pn1p/1p3P2/5NP1/2Q1N1BP/R4R1K b k -,f8c5
5n2/6pk/2p1P1p1/p1N5/KP2Q3/6qP/P5P1/8 b - -,a5b4
2kr3r/1q2b1p1/6p1/np1p1p2/3Pp3/2P2PPP/BP5K/3QRRN1 w - -,b2b3
6k1/2R2p2/6pp/1p6/4P3/5KP1/r4P1P/8 b - -,a2a3
2r1brk1/4qppn/p1p4p/Pp2NP2/1PpPP3/2N4P/5QP1/1R2R1K1 w - -,e5f3
q5k1/2p3p1/1p1pp2p/1P3p2/2PP1Pn1/1Q2P3/rB1NK1bP/6R1 b - -,g2b7
r2q1rk1/7p/3p2p1/p1pPp1bn/2P5/3Q1PP1/PPB1N1K1/R4R2 b - -,a8a7
r1b1k2r/1pp1qpp1/n2p1n2/p2Pp2p/2P1P3/4N1P1/PP1N1PBP/R2Q1RK1 b kq -,a6c5
8/8/R4pk1/6p1/1r5p/5K1P/5P2/8 w - -,a6c6
r5k1/pp2qpb1/n3p1pp/1N1rP3/1P2Q3/P4N2/5PPP/R3R1K1 w - -,b5c3
2q5/2P2k1r/1p1p1p2/pP1Pp3/P3P1Q1/8/5K2/8 w - -,g4c8
rnb1k1nr/pp2ppbp/2p3p1/3pP3/3P1B2/q1N5/P1PQ1PPP/1R2KBNR w Kkq -,g1f3
3r1rk1/1pq2pp1/pbnpbn1p/4p3/1PP5/P1NQ1NPP/4PPB1/2BR1RK1 w - -,f3d2
r2q1rk1/pp3ppp/2nb4/2p1n1PP/3pP3/3P2R1/PPP1N1B1/R1BQ2K1 b - -,c5c4
3b4/3k4/4p3/R7/Pr2NP2/3K4/P7/8 w - -,a5a7
8/1p6/1p3k1r/8/P5R1/2P4K/7P/8 w - -,h3g3
2r1kb1r/2qp2pp/4p3/5p2/2NPn3/2PQP1P1/1B5P/R4RK1 w k -,c4d2
4r1k1/1bp4n/p1n1pr1p/1p3ppq/3P4/1BP1BNP1/PP4PP/R3QRK1 w - -,f3e5
8/pB2rpk1/P2Rr1p1/6P1/7P/5PK1/8/8 w - -,d6d4
4rk1r/2pn3p/p4p2/3P4/1PPP1p1P/1B3bp1/1P4P1/5K1Q b - -,f3e2
rnbqk2r/2p1nppp/p7/1p6/2BNP3/2N5/PP1Q1PPP/R3K2R w KQkq b6,c4e2
b1r4k/1q2b3/p3p1r1/4Q3/N1P5/1P6/6PP/R4R1K b - -,e7f6
r3q1k1/ppp2rb1/6pp/4pb2/8/4B1N1/PP3PPP/2QRR1K1 b - -,g8h7
2k3r1/bnq3rp/Q3p3/4PpP1/2Pp1B2/3P3P/1R4P1/1R4K1 b - -,c7b8
r2qk2r/5p2/pnNp2p1/1p1Pp1bn/8/4BQ2/PPP2P2/2KR1B1R b kq -,g5e3
r3k2r/pb1p1pp1/1p2p2p/1Nb1P3/2P1n2q/P2BB3/1PQ2PPP/R3K2R w KQkq -,e3c5
4r3/2p5/p2p1k2/5Pp1/pP2P1p1/2Pn2N1/R5P1/5K2 b - -,a6a5
6k1/2p4p/2P2p2/5K2/p6R/6P1/P3r2P/3n4 b - -,e2a2
8/1K6/p1P5/P2nB3/5Pk1/1p6/8/8 w - -,c6c7
8/2p2R2/8/1B6/7r/2K1k3/2P2p2/8 b - -,c7c5
r2qkb1r/pp2pppp/1np2n2/8/2PP2b1/1P3N2/P3BPPP/RNBQ1RK1 b kq -,e7e6
8/8/5pp1/p4k1p/7P/r5P1/P3RPK1/8 b - -,g6g5:f5g4
2k5/ppqrnp2/5Bpr/5P2/Pb1p3p/1P1B1Q2/4R1PP/5R1K b - -,c8b8
5b2/pp1k2pp/2p2p2/4p1n1/P7/1PB1NP2/5PKP/8 b - -,g5e6
2k1r3/ppb3q1/4n1pp/2prpp2/2N5/2PPQ1P1/PBP2P1P/2KRR3 w - -,c1b1
rnbq1rk1/pp2ppbp/2p3p1/3P4/3Pn3/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,e4c3
2kr3r/pp3pp1/2n4p/3p1b2/1bpP4/1P2BBPP/P1P2PK1/R3N2R b - -,b4e1
2Q5/8/7k/4K1p1/2P5/7P/5p2/8 b - -,f2f1q
r3qrk1/pp2bpp1/2n1b2p/2p1p3/2P1B3/1PN1P3/P3QPPP/R1BR2K1 b - -,f7f5
3rr1k1/pp1qbppp/2n2n2/3p1b2/N2N4/1P4PP/PB2PPBK/2RQ1R2 b - -,f5e4
r3kn1r/p2q1p2/4p1p1/2ppPnN1/7p/Q2R3N/PPP2PPP/2KR4 b q -,c5c4
8/5p2/6kp/ppp1P3/4KP2/P6P/1P6/8 w - -,f4f5
4r2k/pp6/4B3/2p2r1p/4Qqn1/2P4R/PP4P1/6RK w - -,e4f4
r2q1rk1/pp3pbp/n2p1np1/2pp4/2P1PP2/2NB1Q1P/PP4P1/R1B2RK1 w - -,e4d5
r1b1kb1r/ppp2ppp/2n5/1B1pP3/4q3/2P2QP1/P1PP3P/R1B1K1NR w KQkq -,f3e4
