8/R7/p2r1nk1/8/6KP/5P2/8/8 w - -,g4g3
2b1r1k1/4r1qp/1p1p2p1/p1nPp3/1nP2P2/1PR1QN1P/3N2B1/4R1K1 w - -,f4e5
r4rk1/1N1pb1p1/2n1p2p/5p2/5P2/1RN1q3/6PP/3QKR2 w - -,c3e2
2rr2k1/p4ppp/4p3/qp6/2RPP3/PQ3N2/5PPP/5BK1 w - b6,c4c8
r4rk1/4bppp/2p1pn2/p7/2P5/1N3PP1/P3P2P/R1BR2K1 b - -,a5a4
4k3/1p5R/5p2/2Pp1Pr1/3P4/5K2/8/8 w - -,f3f4
2rq1rk1/1p1bpp1p/p2p2p1/3P4/3b4/5P2/PPPQB1PP/3R1RK1 w - -,d2d4
r4k2/2R3pp/p4p2/1p1np3/4N1P1/4P3/1P3PKP/8 w - -,c7d7
1r1n2k1/2qnbppp/8/2pPP3/1p6/1N1B4/rB3PPP/1R1QR1K1 b - -,c7b6
8/8/1r3k2/6p1/R5Kp/8/8/8 w - -,a4c4
r1bq1rk1/pp2ppbp/2np1np1/8/3NP3/2N1B2P/PPP1BPP1/R2QK2R w KQ -,e1g1
6r1/8/7P/8/1P5K/1P6/4pk2/2R5 b - -,e2e1q
r1b2rk1/1pqp1ppp/p1n1pn2/8/1b1NP3/2N1BP2/PPPQ2PP/1K1R1B1R b - -,a8b8:d7d5
1r6/5pk1/2p3pp/4p3/N2nP1P1/P4P1P/1r1R1K2/3R4 b - -,b2d2
1r1r2k1/p3qppp/3bn3/8/1n1p4/1P1N1PP1/P1R1N1KP/Q1B2R2 w - -,c2d2
r1b1k2r/pp2bppp/2n1pn2/7q/2p5/P1N1N1P1/1P1BPPBP/R2QK2R b KQkq -,e8g8
r4r2/1p1b3k/2q1p1p1/2p1Qp1P/p1BpP3/3P3P/P1P2R2/5R1K b - -,g6h5
1rbq1b1r/1p1n1kpp/p2p1p2/1NPPp3/Q7/4B3/PP3PPP/R3KB1R w KQ -,b5d6
4k3/1p3R2/p3P1p1/8/Pr3P2/8/7P/6K1 w - -,a4a5
r3k2r/p2bbppp/1qp1pn2/3p4/2P5/2N3P1/PPQ1PPBP/R1B2RK1 b kq -,e8g8
3R2k1/p4pb1/Qp2p1p1/4qb2/4p2p/1PP1B2P/1P3PP1/1K6 b - -,g8h7
1rbq1r1k/5ppp/2np4/p2Np1b1/R1B1P3/1PP5/2N2PPP/3Q1RK1 b - -,f7f5
1r2k3/4b2p/r2p1p2/3N1P2/pP2P3/P7/2P1B1PP/2K5 w - -,e2a6
r1b2rk1/1p1n2pp/2n1pq2/p2p4/1B1P4/3BNN2/PP3PPP/R2QK2R b KQ -,a5b4
2r3k1/2q2p1p/P1B1p1p1/3b4/8/2R3PP/5P2/2Q3K1 b - -,d5c6
1r4k1/R4N2/4qQp1/1p2P3/3p2Pp/2bP1P1P/6K1/8 b - -,e6f6
2kr3r/1pq1b2p/4b1p1/p1p1p3/2P1N3/P2P1Q2/1P4PP/1RB2RK1 w - -,c1d2
4rrk1/p1pb1qpp/1p1p1n2/3Pnp2/3B1N2/1QP1P1P1/P4PBP/3R1RK1 b - -,e8e7
2br1r1k/2p1qp1p/1pnp1npQ/p3p3/P2PP3/2P1PN1P/1PBN2P1/R3R1K1 w - -,f3g5
8/2k5/8/4R3/2Pr3p/2KB4/5r1P/8 b - -,d4d8
8/8/2p1p1k1/6P1/1P1B1P2/5b2/3K4/8 b - -,f3h1
6k1/8/8/R2p3p/4rP2/5K2/8/8 b - -,e4d4
r2qk2r/pp1n2pp/2pb2n1/3p4/3Pp3/1N6/PPP1B2P/R1BQNRK1 w kq -,e1g2
7k/1B2n2p/p1pp1q1p/4p3/8/2PPPN1b/PP2R1P1/R5K1 w - -,b7a6
4r1k1/p5pp/bp3p2/4p3/2P2P2/4P3/PR2BKPP/8 b - -,e8c8
1r6/3nk1p1/p2p1p1p/2nPpP2/1r2P3/2R1B2P/2B3P1/R6K b - -,b8a8
8/6p1/4k3/4N1bP/4Kp2/8/6P1/8 b - -,e6f6
1rb1k2r/1pqnbppp/p1npp3/8/3NPPP1/2P4P/PP2N1B1/R1BQ1RK1 b k f3,b7b5
r4rk1/1pqn1ppp/2p2n2/3pp3/PP1bP3/1Q1P1BPP/1B1N1P2/R4RK1 b - -,d4b2
8/8/4q3/3p1kp1/3R4/7P/6P1/6BK w - -,d4g4
rn2k2r/pp2ppb1/3nb1p1/3N2P1/1Q6/3P4/PPq3BP/R1B1K1NR w KQkq -,g1e2
6qk/6p1/5p1p/p7/3B1PPK/4P2P/2Q5/3r4 b - -,d1g1
5b2/p3p2p/1p2B2k/7N/4Q3/P5PP/1P1q2K1/8 w - -,g2f3
4r1k1/p4pp1/3p3p/3P4/3n2PB/1P5P/P4rB1/3R3K b - -,f2f4
r2qkbnr/pppn1pp1/4p2p/3p1b2/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,f1e2
1qrr2k1/pp3ppp/1n1Pp1n1/4Pb2/P1P5/4BN2/3QB1PP/R1R3K1 w - -,d2b2
r2qkb1r/3b1ppp/2n5/1N1pPp2/3P4/p1B2N2/5PPP/R2QK2R b KQkq -,d8b6
8/6p1/pn2k2p/4p3/P3p1P1/6K1/R3PP1P/2r1B3 w - -,e1d2
6k1/pp2R1p1/1nb2p1p/2N4P/3r1BP1/P4P2/1Pp5/2K5 b - -,d4f4
1r6/p2b1r2/1p1R2pk/2p1R2p/P4p2/7P/1P3BP1/6K1 b - -,d7a4
4R3/4nr2/8/8/8/4k3/6K1/8 w - -,g2g1
3r3r/5kbp/p1n2pp1/1pN1p3/8/1P1P4/PBP3PP/4RRK1 w - -,c5a6
2r2rk1/1p3ppp/p7/5PP1/4N2P/b7/P1R1R1K1/8 w - -,g2f3
r2q1rk1/3nppbp/2p2np1/p2p4/3P2b1/4PN2/PBPNBPPP/R2Q1RK1 w - -,c2c4
2rq4/p3npbk/3p2pp/8/P1p1P1P1/1NP1B2P/R5B1/3Q3K b - -,c4b3
r1b1r3/pp2qpbk/2p2npp/2n1p3/2P1P3/2N1B3/PP1NBPPP/R1QR2K1 w - -,e3c5
r1b1k2r/2qpbppp/p1p1pn2/8/2P1P3/P1N3P1/1P3PBP/R1BQK2R b KQkq -,a6a5
6k1/1p3pP1/p1bq3p/3p1PP1/3p3P/P2Br3/1P2NK2/3Q4 w - -,f2g2
r1b1k2r/p2n1pp1/2p1pq1p/1p6/P1pP4/2P1PN2/4BPPP/R2Q1RK1 b kq -,e8g8
q1rr2k1/1b3pbn/pp1pp1p1/2n4p/2PNP3/1PN3PP/PB1Q1PBK/3RR3 w - -,d2e2
2rq2k1/3bb1pn/1p2p2p/pP1pPp1P/N2P1P2/P2BN1P1/1Q4K1/4R3 b - -,d7e8
r2q1rk1/p2pbppp/np6/2pQ4/8/5NP1/PP2PPBP/RNB3K1 b - -,a6b4
r1b2rk1/5p1p/p1p3p1/3q4/1P6/2bB1Q2/P1P2PPP/1R3RK1 w - -,d3e4
3r1kb1/p1pr2p1/1p3p1p/2P1pQPP/8/2P1nP2/P3PK2/R7 w - -,f2e3
5k2/5p2/2Q1p2b/4P3/5P2/2p4P/2r2PK1/8 b - -,c2c1
2k2r2/pp1bnppr/2n1p3/3pP3/q1pP2Bp/P1P3PN/1QPB1PKP/4R2R b - -,e7g6
8/p4k1p/1p3p2/3r1r2/4Q3/1P6/P5KP/8 w - -,e4c4
8/1p4p1/p6p/Pb2k3/6KP/1r2N3/R4PP1/8 w - -,a2c2
8/4Rk2/p2K2p1/1p1P3p/2p4P/P1P3P1/1P6/1r6 b - -,f7f6
6k1/3q2b1/1p1Bb1p1/1P5r/2Ppp2p/r2P4/2Q3PP/4RRK1 w - -,d6a3
r5k1/4bppp/1q1pb3/1pnNp3/4P3/1PPR4/2B2PPP/BQ4K1 b - -,b6a7
4k3/5p2/pb2p2r/5p2/2Qq1P2/5RNP/P1P3PK/8 w - -,c4d4
8/7p/p5p1/3b1k2/3PB3/1P2K3/P5PP/8 b - -,d5e4
rn3rk1/1b2qpbp/1pp2np1/p2pN3/Q2P4/2N1P3/PP2BPPP/R1BR2K1 w - -,e2f3
rn1qr3/ppp3bk/4b1pp/2P1pp2/1P6/3PBNP1/P1Q2PBP/R4RK1 w - -,a1d1
r4rk1/1b1n1pp1/pp2pn1p/2qp4/2P4B/P1N1P3/1P1Q1PPP/3RKB1R w K -,c4d5
r1br2k1/1p3pb1/2ppn2N/6p1/1PP1P3/2q1BP2/3Q3P/3RRBK1 b - -,g8f8
8/p1Q2pk1/1p3qpp/5b2/3Np3/4P2P/PP3PP1/6K1 b - -,a7a5
r5k1/5pp1/p2Rb2p/2P1p3/1r2P3/1P2R2P/2B3PK/8 b - -,a6a5
2r1r3/6kp/3q2p1/p1Np1p2/Pp1P3P/4P1P1/1Q3P2/5RK1 b - -,d6c6
2b2N2/7R/pk4p1/4P3/5P2/4P3/r5PP/6K1 b - -,a2e2
rn1qk2r/pb1nbppp/1p2p3/2ppP3/3P4/P1PB1N2/1P2QPPP/RNB2RK1 b kq -,a7a5
8/1p3r2/p1p3kp/2P3bN/1P2R3/7P/6K1/8 w - -,h5g3
1kr2b1r/1p1b1ppp/p2ppn2/8/P1PNP3/1PN2P2/1B4PP/2KR3R w - -,c1b1
8/1p3pk1/6pp/2n5/1nN5/1P2RNP1/6KP/3r4 b - -,b4d5
r3kb1r/1p1b1ppp/p1n1p3/3pP3/3q1P2/2NB4/PP2Q1PP/R1B2R1K b kq f3,d4a7
R3b3/2r1kpbp/2p1p1p1/1p6/3PNP2/3BP3/1P3KPP/8 w - -,e4c5
rnb1k2r/1p1p1ppp/p3pn2/8/3NP3/2P1BP2/P1P3PP/R3KB1R b KQkq -,b7b5
rn2qrk1/1pp1b1pp/3p4/p2Ppb2/2P3n1/PQN2NPP/1P3PB1/R1B2RK1 b - -,g4f6
rnb1qrk1/1p4pp/2p1pb2/p2p1p2/2PP4/1P3NP1/PB1QPPBP/R3R1K1 w - -,e1c1
r1b1r1k1/4bp1p/5q2/pB1p3Q/5p2/1P2R3/P1P2PPP/4R1K1 w - -,e3e5
8/8/5bk1/3R4/3p1P1p/5K2/8/8 b - -,f6g7
3q1rk1/p1rbppb1/1p1p1npp/1BpP4/P1Q1P3/4BN1P/1PP2PP1/R3R1K1 w - -,a1d1
r2q1rk1/pp3pp1/3pbn1p/2p5/4P3/1BNQ3P/PPP2PP1/R4RK1 b - -,a8c8
3r1rk1/1b1nbppp/1q3n2/5B2/1p1N4/4PN1P/1P1B2P1/R3QRK1 b - -,f6e4
r1bq1rk1/p3n1b1/1pnp2pp/2p1pp2/4PP2/1QPPBNP1/PP2N1BP/R4RK1 b - -,g8h7
8/8/8/8/pk6/7R/2K4p/7r w - -,c2b2
1r4k1/7p/2p3p1/R1q1p3/3p4/6PP/PP1Q1PK1/8 b - -,c5d6
r1b1rbk1/p3qpnp/1pp3p1/2N1p3/2P1P3/BP2QNP1/P3BP1P/R4RK1 b - -,b6c5
3b1nk1/1p1b1ppp/p3p3/8/1P1pP3/P1N4P/B2N1PP1/6K1 w - -,c3e2
2r1nrk1/pp2qppp/2n1p3/3pP3/3P4/2N2N2/PP2QPPP/R2R2K1 w - -,a1c1
8/p2n1k1p/1p1npB2/1Pp2p2/2P2P2/P3N1P1/5N1P/6K1 b - -,d7f6
8/3b1kn1/1p1q1pp1/pP1p4/P1pP1PP1/2B1QP2/8/3B2K1 w - -,d1c2
rn1q1rk1/pp2bpp1/2b1p2p/2p1P3/7P/2BB4/P1PNQPP1/1R2K2R b K -,b8d7
r2qk2r/p3ppbp/2p2np1/2p5/N7/6P1/PP2PP1P/R1BQ1RK1 b kq -,e8g8
rn1qkb1r/pb3ppp/1p2pn2/2pp4/2PP4/4PN2/PP2BPPP/RNBQ1RK1 w kq d6,b2b3
5r2/p4kpp/1pR5/5p2/8/6P1/PP3P1P/6K1 b - -,f8e8
6k1/2r4p/3N2p1/1p6/5PP1/2P5/PPKn4/7R b - -,d2c4
3rr3/p4k2/1pR1pp1p/6p1/3P1bP1/P4N1P/1P3P2/4R1K1 w - -,a3a4
3r4/ppk3pp/1bp1P3/3r1p2/1P3P2/5KP1/P1R1B2P/2R5 w - -,b4b5
2rr2k1/1b3pb1/pPq1p1p1/4p2p/2p1P3/2N2P2/P2N2PP/RQ1R2K1 b - -,d8d3
2r5/6b1/1B2k3/2p1p3/1P2Rp2/P7/2P2r2/2K1R3 b - b3,f2f3
5bk1/5p2/2Qp1qp1/3P1b1p/2N5/5BP1/5PK1/8 w - -,c4d2
1rbqkb1r/p2n1ppp/1p2p3/2ppP3/3P1P2/2N2N2/PPP3PP/R2QKB1R b KQk -,f8e7
2kn4/4B2R/1p2rp2/1P2p1p1/2P5/2K2P2/6P1/8 b - -,d8b7
7R/3b1kpp/8/1p3p2/2p5/2B2P1P/1Pr3PK/8 w - -,h8h7
5k2/pp2rpp1/5np1/3p4/8/2P2N1P/PP3PP1/3R1K2 w - -,f3d4
rr4k1/4ppbp/b2p2p1/2pPn3/8/qPN3PP/P2BPPB1/1RQ1R1K1 b - -,a6c8
r2rk1n1/5p2/2pBb3/1p1pQpq1/p2P1N2/4PPP1/PPP5/2K4R w - -,f4e6
8/5k2/R4np1/5p1p/5P1P/5KP1/8/8 w - -,a6a3
6k1/8/3Rpp1p/3p1r2/3P2p1/6P1/5PK1/8 b - -,g8f7
rnbqk2r/pp3ppp/4pn2/8/1b1P4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f6d5:e8g8
r1bqkbnr/pp3ppp/2n1p3/2p1P3/3p4/2PB1N2/PP1P1PPP/RNBQK2R w KQkq -,e1g1
r1bqk1nr/pp6/2np1pp1/2p1p2p/Q1P1P2P/2NP1N2/PP3PP1/2R1KB1R b Kkq -,c8d7
2rq1rk1/1b1nbppp/3p1n2/pp2pP2/4P3/PNN2B2/1PP3PP/R1B1QRK1 w - -,g1h1
8/6p1/R4pkp/p1rn4/P3p3/4P1PP/5PK1/5B2 w - -,f1b5
7r/1p1k1p2/p1Pp4/3Pp3/1P2P2q/3B2N1/4N1Kp/7R b - -,b7c6
r1b1k1nr/1p1p1ppp/p3p3/b7/1q2P3/2NPB3/PPQ1BPPP/R3K2R b KQkq -,g8f6
K7/p7/8/RP6/3k4/8/1r6/8 b - -,d4c5
r1b3k1/pp3ppp/2p5/2q5/2BP4/8/PP3PPP/R5K1 w - -,d4c5
2kr1bnr/pppq1ppp/2n5/3p4/3P2b1/P1N2N2/1PP1BPPP/R1BQ1RK1 b - -,f7f6
r5k1/2p2ppp/2qp1n2/2n1pP2/1QP1P3/1P2BP2/r6P/1R1R1BK1 b - -,c5e4
R7/8/8/6p1/4rk2/PK6/8/8 b - -,g5g4
r1bq1rk1/4p1bp/pn3pp1/1p2P3/1QpP4/2P1BN2/P4PPP/2R1KB1R w K -,a2a4
r1b2rk1/p1q2pBp/2p1pnp1/3p4/4P3/2N2P2/PPPQ2PP/2KR1B1R b - -,g8g7
1rb2k2/ppb4p/5pp1/3B4/5P2/N3P3/P4P1P/1R4K1 w - -,a3b5
8/5pk1/4n1p1/7p/1P5P/2Q3P1/4q1BK/8 b - -,g7g8
3R4/6k1/8/p2B4/P3K2P/4P3/7r/8 b - -,h2h4
r1bqr1k1/1pp3b1/3p2pp/pNnP1p2/3Nn3/1P4P1/P3PPBP/2RQBRK1 w - -,a2a3
2R5/5pp1/2p1r1k1/1p6/8/4B1P1/4NPK1/8 b - -,e6d6
8/1p2p1k1/3n4/p1p1pBp1/P3P3/2PK2P1/4PP1r/1R6 w - -,f2f3
8/2b5/4b3/5kp1/7p/3R2P1/5P1K/8 b - -,c7e5
2B3k1/5p2/p5p1/1p5p/4P3/1Pq2PP1/P2R3P/2K5 w - -,d2c2
8/4k1b1/pr2p2p/5p2/R4P2/1P2P3/4KN1P/8 b - -,b6b3
3rb1k1/6p1/p4p1p/4pP2/P1p1P1PP/1PpN1K2/3b4/2N2R2 w - -,b3c4
r1b2rk1/pp2qp2/3p2pp/1NpPN3/2P1PQ2/3B3P/Pb3PP1/1R3RK1 b - -,b2e5
r4rk1/ppq1pp1p/2np1np1/3P4/8/1QP3P1/P3PPBP/R1B2RK1 b - -,c6a5
4rrk1/1pq1bppp/p2p1nn1/2pP1N2/P7/8/1PP1BPPP/R1BQR1K1 w - -,h2h4
1r3rk1/1b1nbppp/ppN1p3/6P1/4BP2/2P1B3/PP5P/2KR3R b - -,b7c6
1k6/8/1K6/PP6/2b5/8/8/8 b - -,c4b5
8/2p2p2/5k2/8/4rPP1/2p2R2/8/3K4 b - -,e4a4
r4rk1/1p2npp1/pq1b1n1p/3p4/1P1P1P2/2PB1QNP/6P1/R1B1K2R b KQ -,b6c7
1rb3k1/1p1nq2p/p2p1pp1/P1pP4/8/2Q3P1/4PPBP/2B2RK1 b - -,b7b5
r2q1rk1/1p2ppbp/2bp1np1/p7/2PB4/1P2PN2/P3BPPP/2RQ1RK1 b - -,e7e5
4k3/2p1bp1p/p6r/3RP3/4K3/1P4B1/P4P1P/8 w - -,f2f4
6r1/6P1/4b1R1/pp1k4/8/4K1B1/8/8 b - -,a5a4
r6k/2q1r2p/3bppp1/1b1p4/1p1P1P2/1P3R2/1BP2QPP/3BR2K b - -,a8g8
6k1/5p1p/4p3/1R2P1p1/1Pp1P1P1/1r6/4KP1P/8 w - -,b5b8
7r/r2q1pk1/p2p2np/2pPn3/Pp2P3/7R/1PQBB1PP/5R1K w - -,f1f5
4rbk1/2qr3p/4pPp1/3nP1P1/p2p1B2/5Q2/2P2NBK/5R2 w - -,f2g4
4r1k1/pB1P3p/3Bb1p1/1Q2P3/5p2/P1N2PP1/1P3KRq/8 b - -,f4g3
r2qn1k1/p4pbp/2P1n3/1p1p1Qp1/1P2p3/2N3P1/P3PPBP/R2R2K1 w - -,a1c1
2rqr1k1/1p3pbp/p2p2p1/3Pp2n/2P5/4BP2/PP1QB1PP/4RRK1 w - e6,d5e6
