8/8/5Pp1/pk2b3/8/4BK2/8/8 w - a6,f6f7
r1bqr1k1/p2nnpbp/1p4p1/2p1p3/1P1pP3/1N1P1NP1/PBPQ1PBP/R4RK1 w - c6,b4c5
5k2/p2rb1p1/1p6/3b4/P1P2B2/1P4R1/5P1P/6K1 w - -,c4d5
r2r2k1/pp2pp1p/1b2q1p1/8/8/4P1PP/PPQ2PB1/R2R2K1 b - -,d8c8
2r5/5k1p/4p1p1/3n1p2/p2P4/1p5P/3R1PP1/1R3K2 w - -,g2g3
R7/8/4p1k1/5Pp1/7r/5P2/5K2/8 b - -,g6f5
r4rk1/1p2pp1p/p4npb/1q1Pp3/4P3/1N4P1/PPQ2PBP/2R2RK1 w - -,c1e1
2r3k1/4bpp1/p1rpbn1p/q3p3/4PP1P/4Q1P1/PB1RN3/3R1B1K w - -,f1g2
3r3r/p1k2pbp/2p3p1/1PP1p3/P1NP4/4P3/4K2P/R5R1 w - -,b5b6
rnb2rk1/1pq1ppbp/p4np1/8/2BN4/2P2N2/PP2QPPP/R1B2RK1 w - -,c1g5
r5k1/1p4pp/p1q1p1r1/2np4/3b1P2/2N1Q2P/PPP3P1/4RRK1 w - -,e3d4
2k5/2p5/p7/1p4pR/8/P5P1/2rr3P/5RK1 w - -,f1f5
5qrk/pb1r1p2/1p3P1p/2ppP1pQ/8/1P5P/P1P3BK/3RR3 w - -,g2f3
rn1qkb1r/pp2pppp/2p2n2/3p4/2P3b1/1P1P1N2/PB2PPPP/RN1QKB1R b KQkq -,b8d7
r1qb1rnk/1p3pp1/p1np3p/P1pN1P2/5PP1/2P5/BP5P/R1BQR1K1 w - -,f5f6
6k1/6bp/n1p1n3/1pP1pp2/1P6/2B2NP1/5PKP/3N4 w - -,f3e1
2qr1bk1/p1n3pp/3P4/2p1B3/1r6/6P1/PPQR1PbP/3R2K1 w - -,d6c7
rnb1k2r/pp3ppp/2p1pq2/8/PbpP4/2N2N2/1P2PPPP/R2QKB1R w KQkq -,e2e3
r2q1rk1/1p2nppp/p2pb3/2p1p3/4P3/1B1PN3/PPP2PPP/2RQ1RK1 w - -,c2c3
2r2rk1/pp1b2pp/2n3q1/2bp4/4p3/1QPB1NB1/PP3PP1/RN3RK1 b - -,d7e6
8/1pr1kppp/p3n3/4N3/8/P3P2P/1P1R1PP1/3K4 b - -,f7f6
r5k1/qB3p2/p4bpp/np6/3p3B/1P1n1N1P/P4PP1/2R1Q1K1 w - -,e1a5
rn1q1r2/pp3ppk/2n5/2bp4/3N2b1/2P2N2/PP2QPPP/R1B1K2R w KQ -,f3g5
r1rq2k1/1p2pp2/3pbbp1/1N5P/p2nP2P/5P2/PPPQB3/1K1R3R w - -,b5d4
6R1/8/6n1/5pk1/7p/7P/6K1/8 b - -,g5f6
1r3rk1/p2b1pbp/2p1n1p1/4p3/N1NnP3/P3BP1P/1P3KP1/2R2B1R w - -,b2b4
r1bqk1nr/ppp1bppp/2np4/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,d2d4
2r1r1k1/bb1n1p1p/pq3np1/1p2p1Q1/4P3/PP3NNP/1BB1RPP1/2R3K1 b - -,b6e6
6k1/1np5/R2p4/p2P1r1p/3Q1N1P/1P4P1/P5K1/4q3 b - -,f5f4
8/p4p2/1p1nk1p1/8/5K1P/5N2/PP4P1/8 b - h3,a7a5
r2n1r1k/ppq1bp1p/4b3/1NPp2p1/5n2/1NP1B2P/PP1Q1PP1/R3RBK1 b - -,c7b8
8/8/1pK5/pPn5/P5k1/2N5/8/8 b - -,g4f5
4n3/1p3kp1/r1qp3p/3Rp2Q/2P2r2/pPN2P1P/P3R1P1/7K b - -,f7g8
r3kb1r/p1qn1p1p/1pbp1np1/2p5/4P2N/2N3P1/PPQ2PBP/R1BR2K1 w kq -,f2f4
2r3k1/6b1/bp2rpp1/p1p2p1p/P1P2P1P/4B3/1P2BK2/R3R3 b - -,c8e8
r1b2rk1/ppq2pbp/n1p2np1/4p3/2P5/P1NQ1NP1/1P2PPBP/R1B2RK1 w - -,c3e4
r3k1nr/1p4pp/p2bp3/1p6/4P3/2N5/PP3PPP/R1B1K2R w KQkq -,c1d2
1b6/4Q3/1q4pk/p6p/P4p2/7P/6P1/3R3K w - -,e7f8
5rk1/pp4b1/4q1p1/4N1Qp/3n4/6PK/PPr2B1P/2RR4 w - -,g3g4
2R5/p4rk1/2p3p1/3p4/3Pp3/2P1P3/1P3PP1/6K1 b - -,f7f6
2q2bk1/5r2/3p3p/2pPp1p1/R1P1N3/3Q1P1P/Pr1B4/4R1K1 b - -,c8h3
6k1/6p1/4p2p/4P3/4K2P/1pb1P3/1P3PP1/8 w - -,e4d3
8/2R2pk1/6p1/3r2Np/7P/5PK1/8/8 b - -,d5f5
6q1/3k4/5pB1/3p1P2/b1pPp1QP/p1P1P2N/Pr5b/R6K b - -,g8b8
8/8/2K2pk1/2B1p1pp/8/1R3P1b/5P2/3r4 b - -,h3g2
5rk1/5p2/3b2pp/8/4QPn1/1P6/1PP1b2P/1K6 w - -,e4e2
