8/2K1kP2/1p2B3/1P3P2/n7/8/8/8 b - -,e7f8
r2r1bk1/ppq2p1p/4p1p1/nbP5/4P3/1BPNBP2/P1Q3PP/1R3RK1 w - -,c3c4
3r1k2/1R6/p2p3p/3P1pp1/1P1P4/6PP/P5K1/8 b - -,d8c8
r2q1rk1/1b1pn1bp/1pn1p1p1/p1p2p2/2P1PP2/P1NPB1P1/1P2N1BP/1R1Q1RK1 b - -,d7d6
8/8/8/Bpp1RK1p/2k2Pr1/8/8/8 w - -,a5b6
2rq1rk1/1b2bppp/p3pn2/1ppP4/2p1PBP1/PnN2N1P/1P2QPB1/3RR1K1 b - -,e6d5
8/1Q5p/p4p1k/4n3/6P1/1P4r1/P7/6K1 w - -,g1f2
8/3r1pbk/p5p1/1p2P1Pp/4Q1qP/P4N2/KPP5/4R3 b - -,d7c7
4k3/pp3p2/1b2pB2/1n1r4/1P4P1/P7/2Q2PK1/8 b - -,e8d7
8/4kppp/3p4/pp1P3r/4KP2/8/PPPR3P/8 w - -,c2c3
r1b2rk1/p3ppbp/2p3p1/8/8/1Pq1BB1P/P1P1QPP1/R4RK1 b - -,a7a5
1r3r2/7k/p2p1p1p/Pp1B1Nb1/1p2P3/6R1/6K1/7R w - -,g3g5
2r3k1/4b1p1/2r2P2/p2p3P/3P3P/2p2N2/P1R3K1/2R5 b - -,e7f6
1rbb1rk1/1pq2ppp/pNp5/2Pp4/3B4/2Q1P2P/PP3PP1/R4RK1 b - -,f7f6
rn1q1rk1/pb2bppp/1p2p3/8/1P2P3/P1Q2N2/1B3PPP/R3KB1R b KQ -,e7f6
brr3k1/3nqppp/p2p4/P3p3/1PPpPPP1/7P/5BB1/2RQ1RK1 w - -,d1d2
4r1k1/5pb1/1Bp3p1/4p1Pp/p1P1PnbP/2N2N2/PP3P2/3R2K1 b - -,g4f3
8/1pn1pk1p/1p1p2p1/3P1pP1/bP1N1P2/P3P2P/4K1B1/8 w - -,e2d3
r2q2rk/pp2p1bp/1np3p1/4P3/3PN3/1Q2B2P/PP3PP1/2R2RK1 w - -,e4g5
rnb1kbnr/pp3ppp/2p5/q7/2B5/2N5/PP1P1PPP/R1BQK1NR w KQkq -,g1f3
rn1qk2r/pbppbppp/1p2pn2/8/2P1P3/2NB1N2/PP1P1PPP/R1BQ1RK1 b kq -,d7d6
b7/p5pp/1np1kp2/4b3/2P1N3/1P1K2P1/P5BP/2B5 b - -,h7h6
1r2r1k1/2pq1pp1/pbnp1n1p/1P2p3/3PP1b1/1BP1BN2/1P1N1PPP/RQ2R1K1 b - -,a6b5
r4rk1/3p3p/4pbp1/3q4/p2P1P2/6R1/P1Q3PP/1R4BK b - -,f8c8
rn1q1rk1/1p2bppp/p2pb3/4p3/4PPn1/1NN1B3/PPPQ2PP/2KR1B1R w - -,g2g3
r2qrbk1/1p3pp1/2p4p/2n5/3pP2N/Pb4P1/1PQBPPBP/1R2R1K1 w - -,c2c1
r1bqkb1r/4npp1/ppn4p/2pp4/P1B5/2NP3N/1PP2PPP/R1BQK2R w KQkq -,c4b3
r2qkb1r/pp1n1ppp/2p1pn2/8/4p1b1/3P1NP1/PPPN1PBP/R1BQ1RK1 w kq -,d3e4:d2e4
2bb1k2/p3qppp/1pBQp3/1P2P3/8/P5P1/5P1P/3R2K1 b - -,d8c7
r4rk1/1q1b1pp1/2nbp3/1N5n/4PP1p/P1N4P/1PP2QP1/3R1RK1 w - -,b5d6
5k2/R7/4r1p1/6K1/5PP1/6N1/8/8 b - -,e6b6
8/p2R3p/6pk/p1p2p2/2P2K1P/1r6/8/8 w - -,d7c7
8/p4pbp/1pb3p1/5k2/8/2NPB1P1/PP2K2P/8 w - -,c3d1
4k3/7R/5pp1/4p3/4P2P/5rP1/3r4/4BBK1 b - -,d2b2:d2d1
3r4/pp2rpk1/2p3p1/3b3p/2NP1p1n/P2BP3/1P3PP1/2R1R1K1 w - -,e3e4
3rr1k1/2qnbppp/ppbpp3/4n3/2P1P3/1PN1BP2/P1QRB1PP/1N3R1K b - -,c7b8
8/1b3pk1/1p1qp2p/p2p4/P2PnPP1/3B1N1P/1P5Q/5K2 b - -,d6c6
rnbq1rk1/pp1p1ppp/2p2n2/4p3/1bP1P3/2N3P1/PPQP1PBP/R1B1K1NR b KQ e3,f8e8
r2q1r2/ppp1k1p1/3p1n1p/2b1p2b/3nP3/1BNPBN1P/PPP2PP1/R2QK2R w KQ -,e3d4
2r5/1p2kp1p/1r1p2p1/1P6/p1b1PB1P/P4P2/5KP1/2RR4 w - -,d1d4
6k1/1q3pp1/p3p1p1/3nb3/pB6/P3P2P/1P3PP1/2Q2BK1 w - -,b4c5
r1r3k1/4qpp1/1pnp1n1p/1N2p3/2PPP3/4QPP1/2RN2KP/2R5 b - -,f6d7
r1bq1rk1/pnpn1pbp/1p1p2p1/3P4/2P1PP2/2NQ4/PP1N2BP/R1B2RK1 b - -,f7f5
8/8/1R6/p4k2/1p6/5p2/r7/4B1K1 b - -,f5f4
1q3rk1/rp4pp/2bp1b2/p1nN4/2P1pP2/1P2B3/P2QB1PP/3R1RK1 b - -,b7b5
2r2b1k/3q1bp1/2r1pp1p/pp1p3P/3P1B2/P1P2PN1/1P1Q1KP1/4RR2 w - -,e1c1
2rq1rk1/pp1bppbp/3p1np1/4n3/4PP2/2N3PP/PPP1N1B1/1RBQ1RK1 b - f3,e5c4
8/6kp/2q2bp1/5b2/2p2Q2/P1Np3P/1P3PP1/2R2K2 w - -,f4e3
5rk1/prR2pp1/7p/4n3/3NbN2/1P2P2P/5PP1/2R3K1 b - -,a7a5
