6k1/5p2/4nQ2/4P1p1/2K5/r5PP/8/8 b - -,a3g3
4r3/2R2bk1/5pp1/7p/3BP2P/5PK1/6P1/8 w - -,g3f4
rrq3k1/1b3pbp/1n1p2p1/1pnPp1B1/2p1P3/R1P3NP/1PB2PP1/RNQ3K1 w - -,g5e3
8/2b5/1pP1k3/pP2pp2/P7/2K1NP2/8/8 b - -,c7d8
1r3rk1/1pp1ppbp/p1n1b1p1/3q4/1P6/1R3NP1/PB1PPPBP/3Q1RK1 b - -,d5b5
2r3k1/1p2q1pp/p1pb3r/3pN3/PP1PpP2/4P1Pb/1Q4BP/RR4K1 w - -,b4b5
8/R7/1p6/3Pk3/2r2p2/8/5K2/8 w - -,a7b7
rnbqkb1r/1p1p1ppp/p3pn2/2p5/3PP3/2PB4/PP3PPP/RNBQK1NR w KQkq c6,d4c5
r3k1r1/pppqbp1p/4p3/5p2/1n1P4/2N2Q2/PPP1NPPP/2KR3R b q -,c7c6
8/4k1B1/4P2p/5P2/n5P1/Pp5P/2pK4/8 b - -,a4c5
8/6k1/5n2/8/8/r2KPBPR/7P/8 w - -,d3d4
2kr3r/1qp1np2/p1n1p1p1/1pPpP2p/3B1PP1/PP1Q4/1KP1N2P/3R3R w - -,h2h3
r2qbrk1/p2nbppp/2p1p3/3p4/3P1P2/1QNBP3/PP1B2PP/2R2RK1 w - -,c3a4
4r1k1/1q4r1/p1bp2p1/1p2pp1p/4Pn1P/P1N3R1/1PPQ2P1/4RB1K b - -,b7e7
8/5kpp/5p2/PR1Kp3/4P3/6P1/4r3/8 b - -,h7h5
2r2k2/2Qbp3/B4rp1/2pP1p2/8/7P/P4PP1/2R1R1K1 b - -,c8c7
r3kb1r/1qpn1ppp/p3N3/1pnN2B1/2B5/4Q3/PPP2PPP/2KR3R b kq -,f7e6
r2q1rk1/p4ppp/2p2n2/5b2/Q2N4/6P1/PP2NP1P/3RK2R b - -,f5e4
r1b2rk1/2p2ppp/1p1p1q2/2p5/2Q1PB2/5P2/PPP3PP/R4RK1 w - -,e4e5
r1bq1rk1/5pp1/p2p1n1p/npp1p3/2P1P3/1P1PPN1P/P1B3P1/RN1Q1RK1 w - c6,b1c3
1k3r2/pp4N1/2n5/1N1pp3/1P6/4P1P1/1P1K1P2/R7 b - -,f8f2
7R/8/2p3p1/4BkP1/1bb2P2/6K1/8/8 w - -,h8b8
rnb1k2r/pp1pppbp/6p1/2q5/2PN2n1/N3P1P1/PP1Q1PBP/R1B1K2R b KQkq -,b8c6
8/7R/1P3k1p/8/6PK/1r6/8/8 b - -,f6g6
2r1b1k1/p1b2p1p/2P3p1/N2B4/3pPP2/P5KP/1r4P1/2R4R w - -,a5b7
8/6qk/p4Qp1/1p3p1p/PP2p2P/3rP1P1/5PK1/R7 w - -,f6g7
r1bq1rk1/pp1nbppp/4pn2/2pp4/3P1B2/2PBPN2/PP1N1PPP/R2Q1RK1 b - -,b7b6:f8e8
K7/1Pq2k2/8/8/8/8/8/8 b - -,c7c6
8/p5R1/1pp1k3/r5p1/P1P5/1P6/6K1/8 b - a3,a7a6
r1bqr2k/1p4pp/pnp2b2/2N2p2/PP1p4/3P2P1/3BPPBP/2RQR1K1 b - -,e8e7
4rrk1/p1q3p1/2p2n1p/np1p4/3NB2P/2P2N2/PP2QPP1/2KR3R b - -,f6e4
6k1/1R3p2/1R2b1pp/8/6PP/1pr1PP2/8/2nK1B2 w - -,f1a6
