8/6k1/4qp1p/p2n1p2/1P1Q4/8/3N4/3K4 w - -,d4a7
1k2r3/1pp2pb1/pn4p1/1q6/1Nn4Q/2P3P1/PP3P1P/K1BR1B2 b - -,b5c5
r2q1rk1/pb1p2bp/1pn3p1/2pn1p2/2P5/P2BPP2/1PQ1N1PP/R1B2RK1 w - -,c4d5
r1b2rk1/ppq1bpp1/1n2p2p/3pP3/3P1B1P/P1N1Q3/1P1N1PP1/R3K2R b KQ -,g8h7
r1k1r3/pp1n1pp1/2p1bn1p/2b5/3NPB2/2N2B1P/PPP3P1/2KR3R b - -,c5b4
4r1k1/1p1b1pbp/2p3p1/4P1P1/2P2P2/2R3P1/1q4BN/4Q2K w - -,c3c1
5r2/1b2kP2/1B1pp3/p3p3/1q2P3/8/1PP2Q2/1K3R2 w - -,f2h4
8/5pk1/3R1pbp/4r3/5N1P/5P2/5KP1/8 b - -,g6f5
8/1p6/3k4/p3p3/2P1K1Pn/8/PP6/8 b - -,d6e6
3Q4/1p3rk1/p2Kp1p1/3b3p/5P1P/1P4P1/P7/8 w - -,d8c8
8/1p3p1p/4pB1k/p3P3/8/1P1R3P/q6N/5BK1 b - -,a5a4
rn1q1rk1/ppp1ppbp/3p1np1/3P4/3NP3/2N1B3/PPP1bPPP/R2Q1RK1 w - -,d1e2
r1b1k2r/1p1nbppp/pq1ppn2/6B1/3NP3/1BN5/PPP2PPP/R2Q1R1K b kq -,d7c5
rnbq1rk1/1p3ppp/5n2/p1bp4/8/P1N1PN2/1PQ1BPPP/R1B1K2R b KQ -,b8c6
r2qrnk1/p5pp/1pn1pb2/2p5/2P2PQ1/2NPPN2/PB1R3P/R5K1 b - -,d8d7
r2q1rk1/1n2bppp/p1ppbn2/1p1Np3/4P3/P2PB1NP/BPPQ1PP1/R3K2R w KQ -,d5e7
3rrb2/7p/1kp1bp2/Np4p1/1P3P2/P1P3P1/1R5P/R4BK1 w - g6,a1e1
k2r4/8/p4p2/2p3p1/6P1/1RP4P/1K1Q4/8 b - -,d8d2
1k2q2r/8/p4p2/P3p1p1/2P1Pn1r/1PBPRQ1P/5PK1/7R w - -,g2f1
8/3R4/8/1p4p1/4r1k1/5p2/5P1K/8 b - -,e4c4
r1bqr1k1/1p3ppp/n7/p2P4/P2N4/1B2P3/2P1Q1PP/2KR3R w - -,h1f1
2rq1rk1/1p1nbppp/p2p4/3Pp3/P7/2NQP3/1PP1B1PP/R4RK1 w - -,e2g4
3r2k1/pp6/2pP3P/6P1/P3B3/8/1P6/6K1 w - -,g5g6
r1b1nq2/3n1p1k/r2p1bp1/pNpPp2p/2P1P3/RN4PB/R1QB1P1P/6K1 w - -,b3a5
rnbqrbk1/1p3ppp/2p2n2/p2p4/3P4/P1N1P1PP/1P2NPB1/R1BQ1RK1 b - -,b8d7
