4r3/2R1N2k/8/5pp1/2pK4/2p5/8/8 w - -,e7f5
r2q1rk1/pp2ppb1/1n4pp/2pP1b2/2P4B/4PN1P/P3BPP1/2RQ1RK1 w - -,e2d3
1r6/1pk2p1p/2p1b3/p7/P3P3/2P1K3/4B1PP/R7 w - -,e4e5
r6r/pp1kbpp1/2pnp2p/q7/3P1BPP/2NQ4/PPP5/1K1R3R b - -,a8d8
2kr3r/1p1bbp1p/pq2p1p1/3pP3/3p1P2/1B1P2P1/PPP3KP/R2Q1RN1 w - -,g1f3
3r2k1/1b3p1p/1p2p1p1/4Q3/8/P1q2N2/P4PPP/4R1K1 b - -,c3e5
r3qrk1/2pb1ppp/1b6/1N2p3/B3P3/2P5/1P2QPPP/R4R1K w - -,b2b3
2q3k1/p5pp/1p1p2r1/1PrPp3/P7/4P3/3Q1PPP/3R1RK1 w - -,g2g3
1R6/8/p5p1/Pb4k1/P3B1rp/4K3/8/8 b - -,g4g3
8/2R5/4pk1p/5pp1/5P1P/4P1P1/1r6/5K2 w - -,h4g5
1kr5/2p4p/1np2r2/4p3/2P1P3/4B3/R4P1P/R6K b - c3,c8f8
r2r1bk1/pp3p1p/2p2p2/5b2/5P2/1P3B2/1PP2BPP/R3R1K1 w - -,e1e2
3r4/pkpq2p1/8/7Q/1PPN3n/P1B1R3/3N1nbK/R7 b - -,d7d6
rn1q1rk1/1bp2p1p/p2b2p1/1p1P2N1/P1p5/2P1B1P1/2Q2PBP/R2R2K1 b - -,b8d7
8/8/2k5/1Nb1pp2/6p1/2P3P1/4KP2/8 w - -,c3c4
8/7p/2p5/8/Pk1P1n2/5K2/7P/8 w - -,f3f4
8/2p5/2Ppk1pp/4P3/3K3P/6P1/8/8 w - -,e5d6
8/7p/3k1pp1/3p4/Kp1P2P1/p2n1PNP/P7/8 w - -,g3f1
r2qk2r/ppp2ppp/3b1n2/3B4/3nPp2/2NP3P/PPP3P1/R1BQ1RK1 b kq -,f4f3
2kr2r1/ppq1bp1p/1np1ppb1/8/1P1P3N/1BP2QP1/P2B1P1P/R3R1K1 b - -,b6d5
8/5ppk/2p2np1/2NpQ2P/3P2Pq/5P2/4P1K1/8 b - -,h4e1
r2r2k1/1b2bppp/p1npp3/8/N3PP2/1P3NP1/PB2qnBP/R3R1K1 w - -,e1e2
rn2kb1r/pb1p1p2/3Pp3/q1p3pp/NpP5/1P4P1/P2NPPP1/R2QKB1R b KQkq -,b8a6
8/p3kp2/4p1p1/1p1rP3/2rp3R/3R1P2/P4P2/3K4 b - -,d5e5
4r3/5bkp/p5p1/3N4/2p1P3/2N4P/P4RP1/6K1 b - -,e8e5
5b2/5nk1/3q4/3Pp2p/4PB2/2Q2P2/6P1/5B1K b - -,g7f6
r3rn2/2R2k2/p2qpbpp/1p6/3PQ3/1p3NPB/P4P1P/2R3K1 b - -,f7g8
2r1r1k1/1p3pbp/5qp1/p1nBp3/P7/BP4P1/2Q1PP1P/2RR2K1 b - -,b7b6
r2q3k/1pp3bp/p2pB1p1/3Pp1p1/2PnP3/2N5/PP1QNr1P/R5K1 w - -,g1f2
8/6pp/2nr1k2/pp2N3/4RP2/P3K3/1P4PP/8 b - -,a5a4
8/4k3/7R/2pP1NK1/8/6P1/r2n4/1q6 b - -,e7d7
2r4k/8/3b4/5p2/P2p1B2/5BK1/r5P1/8 w - -,f4d6
r4rk1/p1p3pp/1p2p2q/n2P4/3P4/2Pb1P2/P3Q1PP/R3BRK1 w - -,e2d3
r1bqk2r/ppp2ppp/2n5/2bpP3/3pn3/2P2N2/PP2BPPP/RNBQK2R w KQkq -,c3d4
3r1k2/5pp1/Rp1P4/2p2N2/P6p/2n4P/5PP1/6K1 b - -,g7g6
2r4r/pk1nqp2/1ppbpp1p/8/3P1B2/7N/PPP1QPPP/2KRR3 b - -,d7f8
8/1r2kp2/4p1p1/3pPb1p/p2P1P2/Pp2K1P1/3N3P/2R5 b - -,b3b2
1r3rk1/2p1qpp1/2npbn1p/1p2p3/4P3/1B1PBN2/1PP2PPP/R2QK2R w KQ -,b3e6
r2qk2r/pp1bppbp/2np1np1/1B6/3PP3/2N2N2/PP3PPP/R1BQ1RK1 w kq -,f1e1
r3qrk1/npp1ppbp/p2n2p1/P1NP4/3N4/1P4Pb/1BQ1PP1P/R2R2KB w - -,a1a4
2r2rk1/1p1bb2p/1qn1p3/p2pBpp1/1P1Pn3/PN1BP3/1Q2NPPP/R4RK1 w - a6,b4b5
2rqrbk1/pb3pp1/1p1p1n1p/2nPp3/2P5/P2B1NBP/1P1N1PP1/2RQR1K1 w - -,d3f5
1r3k2/5Pbp/r5p1/2pp4/n3n3/5N2/PP3PPP/1RBNR1K1 w - -,c1f4
8/5k1p/3R4/rp1P4/4p3/7P/P4P2/6K1 b - -,a5a2
8/8/3r4/p7/1pP1k3/1P2p3/PR6/5K2 b - -,e4f3
2r2rk1/pp1bbppp/4p3/3pP3/3P1P2/P7/1q1NB1PP/1N2QR1K w - -,d2f3
2r3k1/5np1/3PQ3/4p2p/1p2P3/2q3BP/P1p3PK/2R5 b - -,c3c4
5k2/p4p1p/1p3p2/2b2N2/5P2/1B6/PP5P/1K1r4 w - -,b3d1
2kr3r/ppbq1ppp/2p5/2p1pP2/3B4/3P3P/PPPQNPP1/3R1RK1 b - -,e5d4
r3k2r/pbqnnppp/1p2p3/1PbpP3/P2p3P/B2B1N2/2P1QPP1/RN2K2R b KQkq -,e7g6
3r4/pp2k1p1/2b2p2/R3p2p/8/4PP2/1P4PP/4B1K1 b - -,a7a6
r1bq1rk1/pp4pp/1np1pb2/2Pp1p2/1P1Pn3/2N1PNP1/P1Q2PBP/1RB2RK1 b - -,e4c3
1rb2rk1/p2nppb1/3p1npp/q1p5/1p1PPP1B/3B1N2/PPPQN1PP/K2R3R w - -,e4e5
r1bq1rk1/pp3pb1/2n2npp/2ppp3/4P3/2PP1N1P/PPB1QPP1/RNBR2K1 b - -,f8e8
r2qnrk1/pbpnbppp/1p1p4/3Pp3/1PP1P3/P1NB1N2/5PPP/R1BQR1K1 b - b3,a7a5
2r1r1k1/pp3pp1/2q4p/4p3/4n3/2PR2P1/PBQ1PP1P/5RK1 b - -,e4c5
8/b3p1k1/3pP3/P2P2K1/1p6/1P6/4B3/8 w - -,g5f5
8/3kbbpp/5p2/1R1p1p2/1P1P1P2/8/3B2PP/6K1 b - -,d7c7
1r2r1k1/p2nqpp1/7p/2pp1b2/8/QP2PN2/P3BPPP/2R2RK1 w - -,f1e1
6r1/5k2/p3pp2/Pp1b1qpp/3P1P2/2P1Q2P/4RRP1/r3B1K1 w - -,f4g5
r2q1rk1/ppp2ppp/1nn5/1Bb1p3/6b1/2PP1N2/PP1N1PPP/R1BQ1RK1 w - -,d1e1:h2h3
3r1rk1/3p1pp1/1pq1p2p/p3P3/2PQNP2/1P4P1/P4K2/3R4 w - -,d1d3
5rk1/pp1q2pp/2n5/5Nb1/3N4/1P1P3P/1PP2QP1/R6K b - -,c6d4
5nk1/6pp/3qp3/1b6/2QP4/6P1/3N2BP/6K1 w - -,c4c3
r5rk/4BQbp/p4n2/1p6/5P2/4R1RP/PP3qP1/7K b - -,f6e4
1r6/6bk/7p/1P3p2/p2p1P2/3PpKP1/1rN1R2P/5R2 b - -,b8b5
r1bqk1nr/pp3pb1/2npp1pp/1Np5/2B1P2P/P2Q4/1PPP1PP1/R1B1K1NR b KQkq -,e8e7
5k2/5r2/1P6/2pNb3/5p2/5q1R/1r4P1/2R2K2 w - -,h3f3
1k1r2r1/ppq2pp1/2n1p2p/2p1P2P/2P1QPP1/2B5/PP6/1K1RR3 w - -,f4f5
7k/p1q3b1/P1b4B/2p1p3/1p4p1/2P3P1/1P3QBP/6K1 b - -,b4c3
r1bq1rk1/5ppp/2np1b2/1p1Np3/4P3/N7/PP3PPP/R2QKB1R w KQ -,f1e2
r1bn1rk1/ppp1qppp/8/2pPp3/8/2R2NP1/PPQ1PPBP/5RK1 b - -,c7c6:e5e4
r2r2k1/pp2bppp/1qp1pn2/8/2PP4/4B1PP/PP2QPB1/R2R2K1 b - -,b6a6
r4rk1/pb1nqppp/2p1pn2/1P6/3PP3/1N4P1/2QN1PBP/R2R2K1 b - -,f8c8
r2q1rk1/1p1nppbp/p2pb1p1/8/2PNP3/4BP2/PP1Q2PP/R3KB1R w KQ -,f1e2
rn1qkb1r/pp2pppp/4b3/2n5/1pB1P3/5NN1/P2P1PPP/R1BQ1K1R w kq -,c4e6
8/4k3/7K/7P/5R2/5Pr1/8/8 b - -,e7e8
2k5/ppqn1pp1/2p1p2p/4P2P/2P5/3Q2P1/PP3P2/2KR4 w - -,f2f4
rnbk3r/pp3ppp/2p5/4P3/1b2p3/2N3P1/PPP2P1P/R1B1K1NR w KQ -,c1g5
8/6k1/5pp1/NP2p3/b6p/2p5/5P2/5BK1 w - -,b5b6
6k1/4ppbp/6p1/3r4/2p5/4B1P1/PP3PKP/2R5 b - -,g7b2
8/8/8/1k2K3/4N3/8/2R5/4r3 w - -,e5d5
6k1/5pp1/p1p4p/1pPr4/3N4/P1PbR2P/5PP1/6K1 b - -,d3b1
7r/6Rp/1k5P/3K4/8/8/8/8 w - -,g7f7
1r3rk1/2qnppbp/b1np2p1/p5PP/1p2PP2/2PPB1N1/P1PQ2B1/R2NK2R b KQ -,b4c3
rnbq1rk1/pp3ppp/2p5/3p4/1b1P1N2/2NBP3/PP1Q1PPP/R3K2R b KQ -,b4d6
r4rk1/1pq1ppbp/p2pbnp1/8/2P2B2/2NQ2P1/PP2PPBP/2R2RK1 w - -,b2b3
8/7p/6p1/6P1/1PKpb2k/2p5/8/2B5 b - -,h4g4
rnbqkb1r/pp2pp1p/5np1/3pN3/3P4/8/PPP2PPP/RNBQKB1R w KQkq -,f1d3:f1b5:c2c3
2r5/1pr1k1pp/p3pb2/n7/4P2P/1R2B3/PP2B1P1/1K1R4 w - -,b3b6
5rk1/6bp/8/4p3/1p4P1/2n4P/R6B/1R5K w - -,a2b2
1q4rk/1bbn1p2/pp1ppn1r/6p1/2P1P1P1/2NBBP2/PPR3K1/3RN1Q1 b - -,g8g7
rnbqkb1r/pppp1ppp/5n2/4p3/2P1P3/3P4/PP3PPP/RNBQKBNR b KQkq c3,b8c6
4b1k1/pr3ppp/4p3/2q1N3/5P2/3B2QP/1r4PK/R7 b - -,c5f2
8/5pk1/4n3/r3P2p/7P/6K1/8/4R3 b - -,a5a4
1r6/8/3kN2r/1P1B1p1p/2P4P/4R1P1/7K/8 w - -,e3d3
8/1r3k1p/p2b4/B1p2p2/P3pN1P/1P2PbP1/K7/2R5 w - -,a5c3
2r1kb1r/5pp1/p2ppn1p/4n3/qp1NP1PP/4BP2/P1PQ4/1K1R1BR1 w k -,f1e2
6k1/2p2p2/1p1p3Q/p3q3/6PK/P6P/1P6/7b b - -,h1g2
8/8/1p6/p4k2/Pr3p1p/2K3p1/R5PP/8 w - -,h2g3
r2q1rk1/1ppbn1b1/p4n1p/3Pp3/2P2p1N/1BN5/PP4PP/R1BQ1RK1 w - -,c4c5
rnb2rk1/p4ppp/5n2/q1pp4/8/P1PBPN2/2Q2PPP/R1B2RK1 b - -,c5c4
2r2k1r/ppqb1pp1/4p2p/n2pPn2/2pP4/P1P5/1PQNBPPP/1RB2RK1 w - -,g2g4
r5k1/pp3ppp/2b1p3/b7/P3NP1n/2P1PB2/4K1PP/R1B5 w - -,c1d2
r1bq1rk1/pp4pp/2n1pb2/3pN3/1PP5/P2Q4/1B3PPP/RN2R1K1 w - -,d3e2
8/1RR1b1k1/7p/p5p1/P5P1/1P2N3/1K3q2/8 w - -,e3c2
r5r1/1p1kq1b1/2ppp1pp/2B1n3/4P1PP/4QP2/PPP5/1K1R1B1R b - -,e5f7
2r1r2k/p1q2pp1/1pn1bn1p/3pNP2/P1pP3Q/B1P1P3/2B3PP/1R3R1K b - -,e6d7
r4rk1/pp1n1pb1/2p2npp/q2Pp3/P1B1P3/2N1B3/1P3PPP/R2Q1RK1 b - -,d7b6
8/7R/4kp2/7p/8/5N2/r4K1P/8 w - -,f2g3
r2q1rk1/pp3pbp/3p1np1/8/2b1P3/1NN1BP2/PP4PP/R2QK2R w KQ -,d1d2
1q2r1k1/prp2pbp/4n1p1/2B1p3/4P3/1PN5/P3QPPP/2RR2K1 w - -,e2c4
