R7/8/8/3bP3/1p1k1K2/8/p2N4/8 w - -,a8a5
8/5k1p/3p2p1/p1pP1p2/P4Pn1/1P3Q2/3qBNK1/8 b - -,g4f6
3r2k1/p6p/p4pp1/1b2p3/8/bP2PN2/P1K2P1P/2R3R1 w - -,c1d1
4r1k1/p1n2q2/1p6/3P2p1/2p1Pbpp/2B2rN1/PPR2PQP/4R1K1 w - -,g3f5
5r2/p5k1/1p6/1P3R1R/4BK2/7P/P7/4r3 w - -,h5g5
r6r/1p3ppp/p1k1p3/3p4/R2P4/1PP1PPP1/4KP2/7R w - -,e2d3
4r1k1/5p1p/5Rp1/pR2P2r/2p5/P7/2P3P1/6K1 w - -,b5b7
2rr2k1/p4pqn/1p1pp1p1/nP2b2p/1NP1PP2/1P1RB2P/3Q2P1/3R1BK1 b - -,e5f6
8/8/4K3/8/R7/3kn3/8/8 w - -,e6e5
r2q1rk1/pp1nbppp/4pn2/3p4/8/2NPPBPP/PP3P2/R1BQ1RK1 b - -,d7e5
2k5/pbp2ppp/1p6/8/1Prq4/2N2P2/PQ4PP/2R4K b - -,c4b4
8/3k2p1/3bpp2/1PB4p/2K2P2/6P1/7P/8 b - -,d6b8
3r2k1/p1qrbpp1/1pB2np1/1P6/2Pp4/1Q2B1P1/5P1P/2RR2K1 w - -,e3d2
2r3k1/5p2/2P3p1/P7/1P3q1p/K1QR4/8/8 w - -,b4b5
2R2b2/p2pkp2/8/4P1K1/8/3r2B1/5PP1/6r1 b - -,g1g2
r4rk1/pp3ppp/1qnbpn2/3p1b2/3P4/2P2N2/PP1NBPPP/R1BQ1RK1 w - -,f3h4
r1b2rk1/ppp2pbp/5np1/1N4B1/3pP3/6P1/PPP2PBP/R4RK1 b - -,c7c6
8/6pk/1pq1p2p/3pP3/3Pp2P/pPr1P1P1/P2QR1K1/8 b - -,c3c1
8/3k4/3Pp3/P3P3/5P2/1p3K1p/4nB2/8 b - -,b3b2
8/3r3p/p5p1/P2k1p2/3BbP2/4P1PP/2pK4/1rR5 b - -,d5c4
r5k1/pp1n1p1p/2p1b1p1/3p4/3P4/q1N3PP/P1PQ2PK/1R3B2 w - -,b1b7
2rb2k1/3q1p2/1Q1p2p1/P1nPp2p/4P2P/2p1N1P1/P1B2P2/1R4K1 w - -,b6b4
6k1/5p2/2n3p1/3R1q2/4RP2/2N5/1P6/1K6 b - -,f5h3
r3k1nr/p3bp2/2p1p1p1/P2nP1Bp/1pBqN2P/8/1PQ2PP1/3R1K1R b kq -,d4e5
4r1k1/1pp3p1/p2b2n1/3Ppr1p/q3N3/2N1BPPn/PP5P/2R2R1K w - -,c3a4
8/p2r2k1/R6p/2N3b1/5p2/7K/7P/8 b - -,d7f7
rnbqnrk1/p2p1ppp/4p3/bP4P1/4N3/Pp3N2/2QPPP1P/R1B1KB1R w KQ -,c2b3
q1r3k1/4ppb1/1p1p2p1/pPrR2Pp/P1P4Q/4N3/4PP1P/2R3K1 w - -,c1d1
2kr1b1r/p4Pp1/2p4p/1b1n4/1p3p1N/1B2q3/PPP4P/1NKRQ1R1 w - -,e1e3
rn1qkbnr/ppp1pppp/8/3p4/2P5/4PQ2/PP1P1PPP/RNB1KB1R b KQkq -,e7e6
r4rk1/4pp1p/3p2p1/p2P2P1/1pp1PP1P/q4R2/P2B2K1/2N1Q3 b - -,a3b2
r4rk1/1b1n1pp1/5q1p/pP1p4/2p5/P1R1PN2/2B2PPP/3Q1RK1 w - -,f3d4
8/7p/6pk/Pp1P1p2/1P6/4Q1P1/2rr4/6K1 b - -,g6g5
1r2qrk1/p2bb1pp/2pp4/2p1p3/2P5/1P1P2N1/P3QPPP/R3NRK1 b - -,f8f4
rn1qkbnr/pp3ppp/4p3/2P1Pb2/3p4/4B3/PPPN1PPP/R2QKBNR w KQkq -,f1b5
8/1b2kp1B/1N2n1p1/3pN3/1P1n3P/4KP2/6P1/8 w - -,h4h5
5rk1/3rq1bp/pp2p1p1/7n/2Pp1P2/5Q2/PP2N1PP/3R1RBK b - -,e6e5
8/p7/6k1/1K1B2n1/1P6/8/8/8 w - -,b5a6
2r2b1r/1q4p1/1Pb2pk1/3NpN1p/p3P3/1Q1R4/1PP3PP/5R1K w - -,d3g3
r1b2rk1/p1q2pp1/1p2p2p/2n3N1/1PP5/8/P1B1QPPP/R4RK1 b - b3,h6g5
3rr2k/1pp1q2p/p1n1pp1B/3n3b/1b1P4/5NNP/PPQ1BPP1/3R1RK1 b - -,h5g6
8/3r1pk1/2RB1p2/1p2p2p/1P2P2P/2n2P2/6P1/5K2 b - -,c3a4
8/7p/1R6/P3k3/5p2/1Br1p1n1/6P1/3K4 b - -,e5f5
r1b1k2r/pp2qppp/3bpn2/4n3/7Q/2N2B2/PPP1NPPP/R1B2RK1 w kq -,c1g5
r2q2k1/pppb1p2/2np2p1/6Nn/4rP1P/1PQ1B2P/P1P3BK/4RR2 b - -,e4e8
R1b1r3/1p2qpk1/1Qp3p1/7p/7P/4P1P1/5PB1/6K1 b - -,e7d8
r4rk1/pp3ppp/2n1pn2/1B1q1b2/Qb1P4/2N1BN2/PP3PPP/R4RK1 b - -,b4c3
2r1r1k1/1p1n1ppp/pq6/3p4/3Nn3/1NP1Q2P/PP3PP1/3RR1K1 b - -,d7e5
2b1r2k/2q3p1/p5P1/1rNQp1N1/1P4n1/P7/5PP1/2R1R1K1 b - -,e5e4
r7/1p3p2/3kr1pp/1p1pn3/n1pP4/P1P1N2P/1P2RPP1/4R1K1 w - -,d4e5
8/p7/1p2k2p/1P4P1/3K4/2N3P1/8/5b2 b - -,h6g5
6k1/6bp/1p1p1np1/1PqPpB2/1pP5/1P3PP1/r3RRKP/rNQ5 b - -,a2e2
rnbqkb1r/1p3ppp/p2ppn2/2pP4/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,d5e6
r3k2r/1p1bbpp1/p1nppn2/q6p/3NP2P/2N1BP2/PPPQ2P1/1K1R1B1R b kq -,b7b5
5rk1/2q2p1p/4pbp1/p1n1P2Q/PpPR4/6P1/5PBP/3R2K1 w - -,h5f3
r3k2r/ppp1np1p/4p3/q4p1Q/3P3P/2P3P1/P1P1NP2/R3R1K1 b kq -,e7d5
r4rk1/1p1nqppp/2p2n2/p1P5/1PQ5/P1N1pN1P/5PP1/R4RK1 b - -,e3f2
5r2/7R/8/4kp2/2P4P/2K5/8/8 b - -,f5f4
rq3rk1/1p1n2bp/p2p2p1/2pPpp2/P1PnP3/2NBB2P/1P3PP1/R2QR1K1 w - f6,e3d4
r2qkb1r/pp1n1pp1/2p1pn1p/5b2/2NP4/5NP1/PP2PPBP/R1BQ1RK1 w kq -,c1f4
1r4k1/p4p2/4p3/3pP1p1/b2P4/3B3P/PP4P1/2R3K1 w - -,b2b3
r2qnrk1/pb2bppp/1p2p3/2ppP3/3n1P1P/1PN3Q1/PBPP2P1/2K1RBNR w - -,g1f3
2r3k1/5p1p/1p4p1/1B2p3/P7/1Nr5/2P3RP/1K6 w - e6,g2e2
r4rk1/pp1qbppp/2p1p1b1/3nPn2/P1NP4/1Q2BN1P/1P2BPP1/2RR2K1 b - a3,h7h6
2kr4/pp3pp1/4p3/3r2p1/6P1/7P/PPK2P2/3R3R w - -,d1d5
r1bqk2r/3n1ppp/p1n1p3/1pbpP3/3N1P2/2N1B3/PPP1B1PP/R2Q1RK1 w kq -,e2f3
rnbqkb1r/pp3ppp/4pn2/3p4/3P1P2/1QN1PN2/PP4PP/R1B1KB1R b KQkq -,b8c6
8/r4kp1/2p1pp1p/1p6/r2P4/PR1RK1P1/2P2P1P/8 b - -,a4c4
r1b1k2r/pp4pp/4pp2/2b5/6nB/3B1N2/PPP1KPPP/R2R4 b kq -,c8d7
1b6/6pk/P6p/8/2Nn4/8/3B4/3K4 b - -,d4c6
r3k2r/ppp2p1p/2nQbp2/4p3/2B1P3/N1P5/PP4PP/R4RK1 b kq -,c7d6
r1b2rk1/pppp1pp1/1bn2qnp/1P6/3NPP2/2P1B3/P2QB1PP/RN3RK1 b - -,c6d4
1r3k2/p2r1pb1/7p/2pPp3/4P2p/7P/P1RB1PP1/2R3K1 w - -,c2c5
r1r3k1/3q1p2/1pp1p1pn/p2pP3/P2P1Pp1/1PP3Q1/5N1P/3RR1K1 b - -,f7f5
r3k2r/1p1bqppp/p3p3/2Ppn3/N7/8/PPP1BPPP/R2Q1RK1 w kq -,a4b6
rn1qk2r/ppp2ppp/3bpnb1/3pN3/3P1B2/3BP3/PPP2PPP/RN1Q1RK1 b kq -,e8g8
2rq1rk1/p3bppp/1p2p3/n2bN3/3P4/P1B4P/BP3PP1/R2Q1RK1 w - -,c3a5
8/8/1p6/2p2p2/4k2p/2P4p/PP3P2/6K1 w - -,b2b3
4r1k1/2bb1ppp/p4n2/2pP2B1/2Bq4/N7/PrQ2PPP/R3R1K1 w - -,g5e3
3n4/3n3p/3k1p2/R3pp2/1P1p1P2/P1r3P1/3RBK1P/8 w - -,e2b5
1r1q1rk1/4n1bp/1pnpb1p1/p1pNpp2/2P5/P1NPP1P1/1P2QPBP/1RB2RK1 w - -,c1d2
r4rk1/pb2ppbp/p2pq3/5p2/4n1P1/1NNQ3P/PPP5/R1B2RK1 w - -,g4f5
2br1r2/p1q3kp/1pn2pp1/P1p1p3/2Pp3P/3P2P1/1P1Q1PBN/R3R1K1 w - -,a5b6
2b2rk1/5Rpp/p2b4/1p3p2/P6P/1Q2P1P1/1P3PK1/8 w - -,f7d7
r1bq1rk1/ppp1ppbp/2n3p1/1B1n4/8/P1N1PN2/1PQP1PPP/R1B1K2R b KQ -,c6e5
8/5k2/5p2/8/5rn1/2K3R1/R4P2/8 b - -,g4f2
3qrnk1/Q3bpp1/4bn1p/3p4/3P3B/2NN1P2/Pr4PP/1BRR2K1 b - -,b2b8
r3k2r/1b1qbpp1/p2ppn2/1p4N1/1P1NPP1p/3n3Q/P1PB2PP/4RR1K w kq -,c2d3
8/4n2B/1p1kn3/1P1p4/1K1P4/8/4N3/8 b - -,e6g5
r1bq1rk1/ppp2ppp/1n1p1b2/8/2PP4/1PNnB3/P3NPPP/R2Q1RK1 w - -,d1d3
8/8/8/5p2/1Q2b2K/1P3kp1/8/8 b - -,f5f4
6k1/6p1/6r1/p1p1p1q1/2PpPp2/PP3P2/5Q1P/5R1K b - -,g6b6
6k1/5p2/p5pb/2pQ4/3p3P/P2P1NP1/2P1qPK1/8 b - -,h6e3
rn3rk1/1bq2ppp/pp1ppn2/8/2PNP3/6P1/PP1NQPBP/R4RK1 w - -,f1d1
r3rn2/1p3kp1/2pbp3/3p1n1p/p2P3P/2NP1N2/PP1BRPP1/2K1R3 w - -,g2g3
r1b1r1k1/pp1nqppp/2pb1n2/3Pp3/3P4/1PN1PN1P/PBQ1BPP1/R3K2R b KQ -,f6d5
6R1/p1Rb2pp/3rppk1/4r3/2P5/1B4P1/P3KP1P/8 w - -,e2f1
1n6/6kp/q1b1ppp1/pNPp4/P2P1P2/1N1Q4/6PP/6K1 w - -,g1f2
2k5/6p1/4P3/1PPK4/3B2Pp/8/6r1/8 w - -,c5c6
5r1k/1R4bp/6p1/3p4/8/1p1P1BP1/1q3PKP/4Q3 b - -,b2e5
r1bqrnk1/pp2bp1p/2p2np1/3p2B1/3P4/2NBPN1P/PPQ2PP1/3RK2R w K -,e1g1
rnbqk2r/p3ppbp/2p2np1/1p6/2pP4/N4NP1/PP2PPBP/R1BQ1RK1 w kq b6,f3e5
8/8/4p3/3pKp2/2bP4/8/1k3P2/2q1R3 w - -,e1c1
r1bq1rk1/p1p2ppp/1bpp1n2/4p3/N3PP2/3P1N2/PPP3PP/R1BQK2R w KQ -,a4b6
3n1k2/1qp1b1p1/p1npp2p/4p3/P1N1P2P/B1PPN1P1/Q4P2/6K1 w - -,g1g2
r3n1k1/p2qn1r1/6p1/2p3Np/2PpPR2/P2P2P1/3Q2NP/5R1K b - -,e8c7
4rr1k/R5bp/6p1/1P6/5p1q/5Q2/1P3PP1/2B2RK1 w - -,b5b6
2brrb2/1p3pkp/p5p1/P1n2p2/3N4/2P1BB1P/1P3PP1/R2R2K1 b - -,c5e4
r3kb1r/pp3ppp/2p1pn2/4P3/3qP3/2p3PP/PPPPQ1B1/R1B2RK1 w kq -,g1h2
r2qnrk1/1pp3b1/3p4/p1PPp1Pp/1P2Ppb1/2NQ1N2/P1BK1P2/R6R w - -,a2a3
3rkbnr/ppp2ppp/8/4n3/6b1/4PN2/PP2BPPP/RNB1K2R b KQk -,e5d3
r1bqk2r/pp2p1bp/3p1np1/2n3B1/3N4/3Q2N1/PPP2PPP/2KR1B1R w kq -,d3c4
8/p3k3/1p1qpb1p/2p3p1/P3P1B1/1Q4P1/1P3P1P/6K1 w - -,g1g2
5rk1/p4p1p/2N1pp2/3p4/8/1r4P1/5P1P/R1R3K1 w - -,a1a7
8/1pp5/3p2p1/p2Prpkp/2P1r3/1P1KPRPP/P5R1/8 w - -,a2a4
2r1b1k1/pp2bpB1/4p1p1/8/2P2qN1/7P/PQ3PP1/3R2K1 b - -,f4c4
r2q1rk1/pp1bppbp/3p1np1/n1pP4/2PN4/2NQ2P1/PP2PPBP/R1B2RK1 w - c6,d4b3:d4c2
2r2rk1/pp1qbppp/2nppn2/6B1/3PP3/5N2/PP2QPPP/RN1R2K1 w - -,b1c3
2kr1b1r/1pp1nppp/p2p1q2/8/1PQ1P3/2N1B3/P1P2PPP/R4RK1 b - b3,b7b5
r1bQq2k/p3p2p/2p2p2/5PB1/2P5/1P5P/P6K/3R4 b - -,c8f5
2b1rrk1/2nq2bp/pp1p1pp1/2pP4/PP2P2B/2N2P2/3QN1PP/1R3RK1 w - -,b4c5
8/6rk/3p3p/Q1p1p1p1/8/1P1q1PP1/P2r3P/2R2RK1 w - -,a5a4
R2q1rkb/1p1n1pnp/1Pp3p1/2Pp4/3P4/1N3B2/1B1Q1PPP/5RK1 b - -,d8a8
r3k2r/1pbq2p1/p3b2p/3p4/1Q1Pp3/2N3P1/PP2PRBP/5RK1 b kq -,c7d6
6k1/2R2p1p/4p1p1/P7/8/2p4P/r4PP1/6K1 b - -,c3c2
5b2/R4pkp/4p3/3p2P1/3P4/pK2n3/7P/8 w - -,h2h4
8/3b2rk/2p2q1p/1pQpRp1B/1P3P2/2K3P1/7P/8 b - -,h7h8
r2q1rk1/p1bb2pp/2p1p1n1/3pPp1P/8/2PB1N2/PP3PP1/R1BQR1K1 b - -,g6h8
8/p4r1p/P1r1k1p1/Rp1p4/1P1B1PP1/2P2K1P/8/8 w - -,f3e3
2qn4/Rp2r1kp/1Pp1nbp1/2Pp1p1P/3P4/1N2BBP1/5PK1/3Q4 w - -,d1a1
2q3k1/p2n1ppp/1p2p3/3bP1N1/P2P3P/4Q3/4BPP1/6K1 b - -,h7h6
r4rk1/1p3pp1/ppnpqn1p/4p3/P1PPP3/1P3N2/5PPP/R1BQR1K1 b - -,c6e7
q4rk1/p3bpp1/1pr1bn1p/3p4/Q2P3B/2NB3P/PP3PP1/R3R1K1 b - -,a8b7
4qkn1/p5b1/1pb4p/2p2P1N/3p1BP1/P2P3P/1P1Q2B1/6K1 b - -,f8f7
R7/4p3/5b2/4p3/p1r1r2p/P1B2k1P/1PR2P2/1K6 w - -,a8f8
4r2r/pp3k2/2pb1p2/q2p3p/8/2NQ4/PP3PP1/1K1R3R w - -,d3f5
r1bqk2r/pp1p1ppp/4pn2/4n3/1b1NP3/2N2B2/PPP2PPP/R1BQK2R w KQkq -,e1g1
6k1/5p2/1pr1pp2/p7/5rP1/PP5R/5P1P/R5K1 w - -,h3g3
2r3k1/2q1ppbp/6p1/1p2P3/p1rpNP2/P6P/R1PQ2P1/1R4K1 b - -,c7c6
3r1r1k/p5p1/1q3n1p/2p5/Q2bNP2/1RB1nBP1/1P5P/1R5K b - -,b6e6
r1b2rk1/pp1pppbp/2n2np1/q1P5/3N1B2/2N3P1/PP2PPBP/R2Q1RK1 w - -,d4b3
r1b1nrk1/1pq3bp/p2p1n2/2pPppB1/P1P5/R1N2P2/1P1QBNPP/5RK1 b - -,c7f7
5r2/p7/1p3k2/1P4RR/4BK2/4r2P/P7/8 b - -,e3e1
r1bqk1nr/p1pp1ppp/2p2b2/8/2B1P3/8/PPP2PPP/RNBQ1RK1 b kq -,d7d6
8/1pN2pk1/b5pp/8/2n4P/1r3PPB/2R1P1K1/8 w - -,g2f2
1r3rk1/4pp1p/2Bp2p1/q1pP4/8/6P1/1NQ2P1P/4R1K1 w - -,b2d3
2r1q2k/3n2bp/bp2p1p1/8/P2NpP2/1N2Q2P/5PP1/R4RK1 b - -,a6f1
r3kb1r/pp1nn1pp/1q2p3/3pPP2/2pPp1B1/4B3/PPP3PP/R2QNRK1 b kq -,e6f5
1n3r1k/rq3pp1/ppp1pN1p/1n2P3/1P1PB2P/6P1/3Q1P2/R1R3K1 w - -,f6g4
8/5p2/2B1p1k1/p4p1p/3b1P1P/6PK/3r4/1R6 b - -,d2a2
1rbq1rk1/2n1pp1p/pp1p2p1/2pP4/P1BbPP2/1RNQB2P/1PP3P1/5RK1 b - -,d4g7
6k1/1p4p1/2q1p1Qp/p2pP3/P2P3P/1P6/2n1N1PK/8 w - -,g6d3:h2h3
rn1qk2r/1b1pbppp/pp2pn2/6B1/2P5/P1N1PN2/1P3PPP/R2QKB1R b KQkq -,d7d6
r5k1/p2n3p/2p1qp2/7Q/5R2/3N4/P1P3PP/7K w - -,f4g4
rnbqkbnr/1p2pppp/p7/2ppP3/3P4/8/PPP1BPPP/RNBQK1NR w KQkq -,g1f3
2rq3k/4p2p/4Qp2/3r4/R1pN4/7P/1P3PP1/4R1K1 b - -,d5d4
r1b2rk1/pnq2pp1/2p4p/3n4/1PN5/2PN2b1/P2BBP2/R2QK2R w KQ -,f2g3
6k1/1p2p2p/q2p1bp1/3P1p2/bBrNn2P/P3PBP1/1Q3P2/3R2K1 w - -,d1c1
8/3q1pk1/4p1pp/bpQpP3/p2P2P1/P2NP2P/1P3K2/8 w - -,d3b4
2b2k2/1pN1n2p/1p2P3/6p1/1P6/n1B2rPP/5P2/2R1R1K1 b - -,a3b1
r2q1rk1/1b1nbppp/p3pn2/1p4B1/3P4/P1NQ4/BP2NPPP/R4RK1 w - -,a1d1
7k/R1B5/5bp1/7p/5K1P/3b4/8/8 w - -,c7e5
2R5/1r1nkp2/6p1/1N5p/4P2P/5PK1/6P1/8 w - -,b5c3
2r1r1k1/p2q1pb1/1p2b1p1/3p1nPp/3P1Q1P/1NN1P3/PP1B2K1/4RR2 w - -,b3c1
1rrq2k1/1b2pp1p/pn1p2p1/QP6/N1P1P3/6PP/5PB1/1RR3K1 b - -,b6a4
4kb1r/1p1q2pp/p3p3/3r1pQ1/3P1P2/2B5/PP4PP/2R2RK1 w k -,f1e1
rnbqk2r/pp2nppp/3b4/3p4/2pP4/2P2NP1/PP3PBP/RNBQ1RK1 b kq -,b8c6
3r2k1/p2r1p1p/1p2b1p1/2q1P3/2P3P1/4RQK1/1B5P/2R5 b - -,d7d2
r2qkb1r/ppp2ppp/2n1pn2/3p4/2PP2b1/P1N1PN2/1P3PPP/R1BQKB1R b KQkq -,f8e7
4r3/1p1k1p2/5P1p/3p2p1/p1pP1p1P/PnP2P2/1P2rP1K/1R1RB3 w - -,h2h3
2kr3r/2p3bp/ppn1bp2/2p3p1/4P1P1/P1N2P1P/1PP1NB2/R2R2K1 b - -,d8d1
8/4k3/6p1/1P2p3/4NP1p/2K5/8/8 b - -,e5f4
5k2/p7/1p2Pp1p/8/2n2P2/8/P4K1P/1B6 b - -,b6b5
3r4/p4pk1/3P3R/2p2N2/2r3P1/6K1/P5P1/8 b - -,g7g8
r1r2bk1/5p2/4p1bp/1Q4pq/3P4/N2pPPB1/3R2PP/R5K1 w - -,g1f2
r3kb1r/pp1n1ppp/q1p1pn2/4N1B1/3P4/2N2Q2/PPP2PPP/R3K2R w KQkq -,g5f6
8/6k1/3q2p1/7p/4Q2P/5PP1/6K1/8 b - -,d6d2
r3k2r/ppp1bppp/2n3q1/3n1b2/8/1NP2PP1/PP1N1B1P/R2QKB1R b KQkq -,e8g8
rnbq1rk1/pp3ppp/4pn2/3P4/1b1N4/2N3P1/PP2PPBP/R1BQK2R b KQ -,f6d5
r1bq1rk1/p1n3b1/1p1p3p/2pPp1p1/2P1PpP1/P1N2P2/1PQ1N1BP/1R3RK1 w - -,b2b4
3qrrk1/p1nn2bp/1pQp2p1/2pP1p2/2P2P2/P1BBR1NP/1P4P1/4R1K1 b - -,g7c3
2r3k1/2nrqp1p/1p1p2p1/p3p3/2P5/1P2PP2/P2RBP1P/1Q1R3K b - -,e7h4
rr4k1/2q1ppbp/b2p2p1/2pPn3/8/1PN3P1/P1QBPPBP/1R2R1K1 w - -,h2h3
2r3k1/p4pp1/1bp1q2p/1r1pp3/4P3/1P1P1QP1/P1R2PBP/5RK1 b - -,d5e4
rnbqk1nr/pp2ppbp/6p1/2pp4/4P3/3P2P1/PPPN1P1P/R1BQKBNR w KQkq -,f1g2
r1bqk2r/pppp1pbp/2n2np1/8/2P1P3/2N5/PPN2PPP/R1BQKB1R b KQkq -,e8g8
8/7p/1Bp5/pp1kppb1/8/PnP2P1P/1P2K1P1/3N4 w - -,d1e3
r3k2r/pb1nqpp1/1p1p1n1p/2p1P3/2PPP3/2PB3P/P1Q1N1P1/R1B2RK1 b kq -,d6e5
rnbqkb1r/1p3ppp/p1p1pn2/3p4/2PP4/3BPN2/PP1N1PPP/R1BQK2R b KQkq -,c6c5
3r3k/2Q1q1b1/1pP1Pnp1/1P1BB2p/4Pp2/5P2/6PP/1R4K1 b - -,e7c5
2r3k1/pp2bppp/2b1q3/4N3/1P1PPn2/P2Q2P1/5P1P/2R3K1 w - -,g3f4
1kr5/ppr2b2/1q6/4bP2/P2pN2p/1P1R1B1P/1P1Q4/1K1R4 w - -,b3b4
4b3/6k1/p3p3/3pP1Pp/2pP3P/P1P5/1KB5/8 b - -,a6a5
6R1/7P/1p1k4/1n1p1p2/P2b4/8/8/5K2 w - -,a4b5
r1r1qn1k/3b2pp/3P1p2/1ppR4/4P3/2N4P/1P2NRP1/1Q4K1 w - -,e4e5
r4rk1/2q1bppp/p2pbn2/1p2p3/4P3/1N1B4/PPP1NPPP/R2Q1RK1 w - b6,g1h1
2r5/4k2p/4p1p1/1p2p3/4P2P/1BP2p2/1KP5/5R2 b - -,c8f8
r1r2nk1/p4ppp/Qp1q1b2/1Bpp4/3P4/4PN2/PPR2PPP/2R3K1 b - -,f8e6
r3kb1r/pp3ppp/1qn1pn2/4N3/Q4B2/2p5/PP1N1PPP/R4RK1 w kq -,d2c4
r1bk3r/ppppnppp/5b2/7q/4NP2/BQ1B4/P5PP/4RRK1 b - -,f6d4
r1bqr1k1/1pp2ppp/2n5/p1b1p2n/2N1P3/1PP2N1P/P4PP1/R1BQRBK1 b - -,d8d1
8/3n1p2/4p1p1/8/2pkP2p/PK3P1N/8/8 w - -,b3c2
r4rk1/pp3ppp/4nq2/3Q3b/8/P3PN1P/1P2BPP1/R4RK1 b - -,f6b2
r1b1k2r/1pqn1ppp/p2ppn2/8/2PNP3/2PBB3/P4PPP/R2Q1RK1 w kq -,d4b3
rn2r2k/p6p/1p1b1pp1/2pPp3/P3P3/1PR1BN2/3R1PPP/6K1 w - -,d2a2
r3r1k1/pp2qp2/3p1bpp/2pP4/8/6PP/PP1QPP2/3RKBR1 w - c6,e2e3
1r3k2/p2b1p1p/2p1p3/2Ppb1P1/Nr6/1P4P1/P5BP/2RR2K1 w - -,g2f3
