8/3N1n2/5P2/3K2k1/3NP3/8/1b6/8 b - -,g5g6
8/5pk1/4p1p1/2P4q/5P2/Q3K1P1/2R2R2/4rr2 w - -,e3d4
2r4r/kb3p2/p3p1p1/1p1pP2p/5P2/2PBq1PP/PP6/1K1RR3 w - -,e1e3
r2q1rk1/5pbp/p1npb3/1p1Npp2/4P3/2PB4/PPN2PPP/R2Q1RK1 b - -,f5f4
6k1/3npp1p/rqpp2p1/8/2PNP3/1P3P1P/1Q4PK/3R4 b - -,b6a5
5kq1/p2b4/1p4pQ/8/4NP2/4K2P/8/8 b - -,g8g7
b4r2/2p1k3/3n1pp1/p3p2p/PpP1P3/1P2P1PP/2BNK3/5R2 w - -,f1f2
r2qkb1r/pp1b1ppp/2nppn2/8/3NP3/2N3P1/PPP2PBP/R1BQ1RK1 b kq -,f8e7:c6d4
4rrk1/2pn2p1/1pn2p1p/p2P1p2/P2P3B/2P5/2PN2PP/R4RK1 b - -,c6e7
r4bk1/Q4ppp/3p4/3Np2P/4P3/Pp6/1Pr2PP1/1K1R3R b - -,a8a7
1rb1k2r/p3pp1p/p5p1/3q4/8/5P2/PPP3PP/R1Q1K1NR w KQk -,g1e2
1r4k1/1p3pbp/2n3p1/8/4PP2/2P1B1N1/bP4BP/5RK1 b - -,a2c4
1rb2rk1/p1qn1pp1/3bp2p/1p6/2pPB2B/2P2N2/PP2QPPP/4RRK1 b - -,f7f5
8/8/6k1/R5p1/6r1/4K3/3B4/8 b - -,g4f4
2B5/8/4p3/1R1p4/3bk1p1/5rP1/8/4K3 b - -,e4d3
r2r4/7k/2p2pb1/p6p/PpQ1Pq1P/1N3P2/1P2RK2/7R w - -,c4c1
3r4/4kppN/r3p1p1/p4q2/1ppPRnP1/2P4Q/PP5P/4R1K1 w - -,h3g3
8/2p5/1p1b1k2/p4Pp1/P1B3K1/1P5P/8/8 b - -,d6h2
2R5/p3kp1R/3rn3/1P6/8/4pK2/P1BpP3/4b3 w - -,f3e3
6k1/p3qp2/1p2p1pp/3b4/3P1PP1/2rBP3/P2RQK1P/8 w - -,f2g3
r3k2r/1bq1bppp/ppnppn2/8/2P1PP2/2NB4/PPNBQ1PP/R4RK1 b kq -,e8g8
4k3/8/6p1/R2PK3/pr2P3/8/8/8 b - -,g6g5
8/6p1/p3k3/2b5/P4Pp1/1P2NK2/8/8 w - -,e3g4
6k1/4R1P1/r7/5KP1/8/8/8/8 b - -,a6a5
1r6/3rkp1p/2Pq1pp1/1p1b4/1Q1N4/4PP2/4B1PP/5RK1 w - -,b4d6
1r3rk1/2nbp1b1/p2p3p/PppP2pq/2P1Pp2/2N2P1P/1P1QN1PB/R4RK1 w - b6,a5b6
r1bq1rk1/pp2bppp/2nppn2/2p5/4P3/2NP1NP1/PPP2PBP/R1BQ1RK1 w - -,h2h3
2kr2nr/1bn2p2/p1pqp2p/1p4p1/2PP4/1P1BBN2/P2Q1PPP/R3R1K1 w - -,f3e5
