7k/8/p2r4/6R1/2Bb4/P7/7P/r5BK b - -,d4b6
3N4/8/p3k3/Bp2p2p/4np2/3R3P/1r6/6K1 b - -,e6f6
2r5/1p4k1/4b1p1/p2p1p2/3P1P2/1P1B1P2/P2K4/7R b - -,e6d7
r2qr1k1/1ppb1p1p/3p1np1/p1nPp3/2P1P3/1PN5/P1Q1BPPP/R1b1RNK1 w - -,a1c1
r5k1/1pn5/p5p1/2pp3q/8/2P3R1/PP1N2P1/5RK1 b - -,a8f8
5rk1/5p2/6pp/2PQ4/3P4/p3P1P1/5RKP/2q5 b - -,c1e3
8/2pk2b1/1pbp1pp1/p6r/P2P4/1P5P/3BKPP1/R3N3 w - -,f2f3
1rb1k2r/3pnp1p/1N3p2/p3p3/1p2P3/8/PPP2PPP/2KR1B1R w k -,b6c4
8/8/8/3kp3/8/4K3/1b5P/8 w - -,h2h4
r1b2rk1/1pp1q1bp/3p1np1/3Pp1Nn/2P5/1PN1B1PP/2B1QP1K/1R3R2 b - -,f6e8
r4rk1/1q3ppp/p3p3/2Q5/P3n3/8/1P1N1PPP/R2R2K1 w - -,d2e4
5r1k/5p1p/p5p1/q2P4/3Pp2P/1P6/5P2/3QK1R1 w - -,e1f1
r2q1rk1/ppp1bppp/3p1nn1/3P4/5PP1/2N1B2P/PPP1Q3/R3KB1R w KQ -,g4g5
4rbk1/1p2B3/1n2p1p1/7p/1PB2R2/5P2/6PP/4RK2 b - -,e8e7
3r1rk1/pbq2p1p/4pbp1/2p5/8/1BP3NP/PP3PP1/2QRR1K1 w - -,g3e4
1rb1k2r/p4pb1/2p1p2p/q2p2p1/2P5/2N1P1P1/PP1Q1PP1/R3KB1R w KQk -,a1c1
rnbq1rk1/1p2ppbp/p2p1npB/8/3NP3/2N2P2/PPPQ2PP/R3KB1R b KQ -,b7b5
8/p3kb1R/5p2/2pnp3/3pQ3/1PqP1PP1/2PK4/8 w - -,d2c1
2r2rk1/p4ppp/1p1q4/n2Pp1B1/2P5/3Q4/P4PPP/2RR2K1 w - -,c4c5
rn1r2k1/pb3pbp/2p3p1/1p1Pp3/4P3/1B2BN2/PP3PPP/2R1K2R b K -,d8d7
r2q1rk1/pb1nppbp/1ppp1np1/3P2B1/2P1P3/2N2N2/PP2BPPP/R2Q1RK1 w - -,a1c1
7r/ppr3k1/2pR1R1p/6p1/8/4PP2/PP3KPP/8 w - -,f6g6
r1b2rk1/5ppp/2p1pq2/p2p4/4P3/1P1Q4/P1PN1PPP/1R1R2K1 w - -,d2f3
r2qr1k1/pp1nbppp/2b2n2/2p1pNB1/4P3/2NP2P1/PP2QPBP/R4RK1 b - -,e7f8
rq1r2k1/1b3p1p/p5p1/3pP3/3N1n2/1PP1QP2/1P1N2PP/R4RK1 b - -,f4h5
6k1/1b3p1p/p2rp1p1/q7/P2bP3/1B6/NPQ2PPP/2R3K1 w - -,h2h3
5k2/5pp1/7p/3pP3/3K1PP1/8/p5r1/R7 b - -,g2d2
8/2p2n1k/3p4/p2P4/1p2qPP1/1P4K1/P4B2/2Q5 b - -,e4d3
r1bqnrk1/1pb2ppp/4pn2/p1PpN3/3P4/PPN2B2/1B3PPP/2RQR1K1 b - -,c8d7
8/r3nk2/1p1q1pp1/p2p1b1p/1P1P1P1P/P4N2/1Q4P1/4RBK1 b - -,a5b4
r6r/pb1pkppp/1p2p3/8/1PPN4/P4PP1/4P2P/2R1K1R1 w - -,e1f2
