R7/pr1kp2R/3p1p2/6b1/KPPn4/2N5/8/8 b - -,d7e6
6k1/p4pp1/3r2p1/2R5/4r1P1/P2P3P/5P2/3R2K1 b - -,e4a4
4R3/6K1/1r5P/p7/8/1Pkp4/P7/8 b - -,b6b7
r1bq1rk1/bppnnpp1/3p4/1P6/N2N4/BQ2P1P1/P4PB1/R1R3K1 b - -,a7d4
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/5P2/2NP1N2/PPP3PP/R1BQKB1R w KQkq -,g2g3
3r4/p1R2p1p/1pb1p1k1/4n1p1/4N3/2N3P1/PPP4P/2K5 w - -,c7a7
2r1r1k1/pp1qppbp/6p1/8/2nP1PNB/2P5/P5PP/2RQR1K1 b - -,f7f6
7Q/4bp2/1R4pp/3k4/5P2/7P/6PK/4q3 w - -,h8a8
8/8/6p1/1pk5/p4Pb1/P3nrP1/1PPR4/2K3R1 b - -,g4f5
rnbqkb1r/1p3ppp/p2p4/1N1Pp3/Q1P5/8/PP3PPP/R1B1KB1R b KQkq -,b8d7:c8d7
4k2r/2q1bppp/2b5/1r2p1PP/p1p1P3/2B3Q1/PPP5/1KNR3R b k -,f7f6
1r2qnk1/4b1p1/4p1Bp/pPNpP3/3P1PN1/P4K2/1Q6/7R b - -,e8g6
4b3/8/6p1/5pNp/p4P1P/3k2P1/1K6/8 b - -,d3e3
1r1r2k1/5ppp/pbn1pn2/8/8/4PN2/1P1B1PPP/R1NR2K1 w - -,c1e2
r5k1/3nnpbp/2rNp1p1/p1p1P3/Np1p1PP1/1P1P4/P1PB2KP/4RR2 w - -,d6c4
q4rk1/4ppbp/rn1p1np1/2pP4/p3PB2/2N2N1P/PPQ2PP1/3RR1K1 w - -,a2a3
2kr3r/pppq2p1/8/3B3p/1PPN1n1n/P1B4b/3N1P2/R2Q1RK1 w - -,d5e4
2rr2k1/1q1n1ppp/4p3/1p1pP3/1bn2N2/5PP1/PBR3KP/Q1RN4 b - -,d7b6
r2qkb1r/pb1npp1p/3p1np1/2p5/PpN1P3/3P1NP1/1PP2PBP/R1BQ1RK1 b kq -,f8g7
r1bqk2r/1p2bpp1/p1nppn2/2p4p/4PP2/2NP1NPP/PPP3B1/R1BQK2R w KQkq -,c1e3
2rr1bk1/1bq2p1p/p1pp1np1/2nPp1B1/P1P1P2N/6NP/2BQ1PP1/2R1R1K1 b - -,f8g7
8/8/6p1/6P1/8/8/3k1K2/8 b - -,d2d3
4r2k/8/p4p2/4q1pP/4p3/P3Q3/1P6/K4R2 b - -,e8d8
r1bq1rk1/p3bppp/1pn1pn2/8/Q2P4/P1NBB1N1/1P3PPP/R4RK1 b - -,c8b7
r2q1rk1/pb1nbppp/1p1ppn2/2p5/3P1B2/2PBPN1P/PP1NQPP1/R3K2R w KQ c6,d3a6
r4r1k/2q1p1bp/1p3pp1/2pP3n/4nP1Q/2N1B3/BP3P1P/4RRK1 w - -,c3e4
2r3k1/p6p/3pq1p1/2p4n/1P2p2Q/P2pP3/1B1P3P/5RK1 w - -,b4c5
2r2b2/p1r2k2/5n2/3p4/1p1P1PP1/P1N1PK2/1P6/R4R2 w - -,a3b4
r3k2r/ppqnbpp1/2pp1n1p/4p2b/2PPP3/2N1BNPP/PP3PB1/R2Q1RK1 w kq -,d1c2
2r4r/pp2k3/2n1pp2/3n2p1/2B3P1/2P2PB1/PP3K2/R6R b - -,d5b6
2r3r1/1p3p2/p1n1k1p1/3p1p1p/5P2/1PbPPK1P/P3R1P1/1BB4R w - h6,g2g4
1n4k1/5pp1/1q1bpnp1/p2p4/Pp1P4/1P2PPP1/1Q1BBNKP/2r5 w - -,b2c1
3r3k/pb2pqbp/1pn2rp1/2p5/P3BP1Q/N1P1B2P/1P4P1/R3R1K1 b - -,c6a5
3qr1k1/pp3pp1/2p3np/8/2P1p1n1/1P4PN/P1Q1PPBP/R5K1 w - -,a1d1
r3n2k/2p4p/3p1r2/1p1Ppb2/1Pn5/2N2PR1/P3N2P/1BKR4 b - -,f5b1
r3k2r/2nnbppb/1q2p2p/ppppP3/5PP1/3PBN2/PPP1QNBP/R4RK1 b kq -,a5a4
2r3k1/1q1r1pB1/3n2pp/1p1p4/3P2Q1/2P4P/1PB1R1P1/4R1K1 b - -,g8g7
4nbk1/2q5/2p1bpp1/1pP5/p3P1Pp/P3B2P/1PN2QB1/7K b - -,c7e5
r2q1rk1/1p1bppbp/p1np1np1/8/3NP3/2N1B1PP/PPP2PB1/R2Q1RK1 w - -,d4c6:d1d2:c3d5
8/5p2/4p3/4P2p/1BK2n1P/1P6/k7/8 b - -,f4g6
rn1q1rk1/1p3ppp/2p1pn2/p7/PbBPP3/2N1BP2/1PQ2P1P/R3K2R w KQ -,e1g1
1r3k2/2r1bpp1/7p/1bpB4/4N3/1P2P2P/3R1PP1/R5K1 b - -,b5d7
4r1k1/5pp1/4q2p/p2R4/1pP1P1Pn/1P6/P1N1QP2/5K2 w - -,c2d4
8/1r1n4/1B2k3/PR2p1pp/5P2/5P2/1P3K1P/8 b - -,g5f4
8/1qp3bk/6pp/2Pb1p2/3pp3/7P/B1Q2PP1/2B2NK1 w - -,a2d5
r1br2k1/p5bp/2n2pp1/qppP4/8/2PBBN2/P2Q1PPP/2R1K2R w K b6,e3c5
b2q1rk1/r2pb1p1/ppnNp2p/5p1P/2P5/P2QP1B1/1P2BPP1/3RK2R b K -,e7f6
1r2r1k1/pbp3bp/3qn1p1/Bp2p3/6N1/3P1PP1/PP4BP/2RQR1K1 b - -,c7c5
5k2/8/6P1/2pB3p/2P1N1b1/2Bp4/8/2b4K w - -,g6g7
r3r3/p4pkp/1np1q1p1/6P1/1Q1Pp2P/4P3/bP3PN1/1KR2B1R w - -,b1a1
1rb2rk1/ppp1qppp/2n2n2/4p3/2pPP3/2N2NP1/PP1Q1PBP/R2R2K1 w - -,c3d5
4r1k1/1p3pp1/p4r2/2p1q2P/2P5/2NPp1P1/1P2Q1K1/3R4 w - -,c3e4
1r1r4/pp2Rp1p/2p3k1/5pP1/5P2/8/1P5P/2R3K1 w - -,c1e1
r1bqk1nr/p3ppbp/2p3p1/3pP3/5P2/2N1B3/PPPQ2PP/R3KB1R b KQkq -,f7f6
8/8/p2p2p1/2kP1p1p/Ppn4P/5RP1/7r/3RK3 w - -,f3f2
8/6pk/4p2p/3p1q2/4p3/4P1PP/1Q1R1P1K/2r5 b - -,c1e1
r2r2k1/pp4pp/n1p1pp2/3qQ3/P1N5/8/1PK1B1PP/R6R w - -,e5d5
r1r3k1/1p2bppp/q1n1b3/p2pPp2/N2P4/PP2BN2/5PPP/R1RQ2K1 b - -,b7b6
2n5/7p/1ppk2p1/8/1Pp5/3B1K2/4N2P/8 w - -,d3c4
r2q1rk1/1b2bppp/2n1pn2/2pp4/p3P3/P1PP1NN1/2Q2PPP/1RB1RBK1 b - -,d8d7
r1bq1rk1/ppp1nppp/4pn2/2Pp4/3P4/4PN2/PP1NBPPP/R2Q1RK1 b - -,b7b6
6k1/1p3p2/5bp1/6P1/q2p1P2/3N2K1/P3QP2/8 b - -,f6g7
1r3r2/3q1pbk/1p1p2p1/p1pPp2p/3nPP1P/PP1PB1P1/3Q2BK/1R3R2 b - f3,e5f4
7k/6bP/6P1/p2q4/P3p3/1P2B1R1/5R1K/8 w - -,f2d2
r4rk1/pppqnpbp/2npb1p1/3Np3/2P1P3/3PB1P1/PP2NPBP/R2Q1RK1 b - -,f7f5
r2q1rk1/pp2n1bp/2n3p1/3p4/1P6/2Nb2P1/1B2PPBP/R2Q1RK1 w - -,e2d3
r1nqkn1r/pp3pbp/2p3p1/3pPp2/3P4/3B1Q2/PPP2PPP/RNB1R1K1 w kq -,c2c3
1r4k1/p2r1ppp/4p3/1N1b4/8/6P1/PPR1PP1P/3R2K1 w - -,b5c3
r4rk1/pppqn1bp/1n1pbpp1/4p3/3PP3/2NQB1P1/PPP1NPBP/3RR1K1 b - -,e6c4
2r3k1/p2r1p1p/1p2pRp1/4P3/5R2/5P2/P4PKP/8 b - -,c8c5
2b5/6k1/p4q1p/1p1Br1n1/2p2p2/P7/1P4Q1/4R1bK w - -,e1g1
r2qr1k1/2pbbp1p/p2p1npB/1p6/P2PP3/2PQ1N2/2B2PPP/R3R1K1 w - -,a4b5
5rk1/1p3p1p/p1r2p2/q3p3/P3P3/1PP1QR2/6PP/R6K w - -,a1f1
r1b2rk1/pp3pbp/3q2p1/2pP4/8/2B2N2/PP1Q1PPP/R4RK1 w - -,c3g7:f1e1
3q2k1/p1P3pp/p3p3/2P2p1P/b4N2/6B1/P1P2PP1/1R4K1 b - -,d8c7
rr6/4Q2p/5pk1/pb6/6q1/PP3NP1/5nBK/R7 b - -,b8e8
3Q4/5k2/q5pp/5p2/3p3P/3Pn1P1/5N1K/8 w - -,d8d7
2N3k1/5pbp/1B1p2p1/P7/8/2n3P1/4PP1P/6K1 b - -,c3b5
r3r1k1/1pp5/2p5/5bN1/1P4pP/pP4B1/Pb4P1/3RR1K1 b - -,f5c2
rnbqkb1r/1pp3pp/3ppn2/p4p2/2PP4/6PN/PP2PPBP/RNBQ1RK1 b kq -,f8e7
k7/8/PK6/3N4/8/8/8/8 w - -,d5c7
r2q2k1/p1pn2pp/1p1p2b1/3P4/2P2Q2/P1B5/1P1N2PP/R5K1 b - -,d8e7
r1bq1rk1/p4ppp/1pnbpn2/2pp4/3P4/PP1BPN2/1BPN1PPP/R2Q1RK1 b - -,c8b7
RQb5/2r2pk1/2pq4/1pNp4/3P1PPp/7P/5K2/8 w - -,f2f3:c5d3
3R4/5pk1/p7/6Pp/7P/8/1r3P1K/8 w - -,h2g3
8/r4pk1/2q3pp/rp1pQ3/2bP4/P1P2PPB/1R2P2P/R5K1 b - -,f7f6
1n2bk2/1p6/6p1/p1PP1pPp/P2K1P2/3N4/6B1/8 b - -,e8a4
3r3r/R6p/pp2k1p1/n1b1p3/4B1p1/2N1P3/P4P1P/3R2K1 w - -,e4d5
3rk2r/ppqnn1pp/2pb1pb1/8/4PPPN/N6P/PP4B1/R1BQ1RK1 w k -,c1e3
r1r3k1/3qppb1/1p1p2pp/8/PRP5/1Q2P1BP/5PP1/3R2K1 w - -,d1d5
r7/6pk/2q1p2p/1pBn1p2/1P3P2/4P2P/1Q4PK/3R4 b - -,a8a4
r1b2rk1/5pbp/p2Q2p1/4p3/2B1P2P/2N2P2/PP4q1/1K1R3R b - h3,a8a7
6k1/1B3pp1/p6p/8/8/P3P3/1b3PPP/2R3K1 b - -,b2c1
4k3/1p2bp1r/p1b1p3/2q1p1p1/3rP3/1BN3QP/PPP3P1/1K1R1R2 b - -,h7h4
2krr3/p1ppqpbp/b1p5/3nP1p1/2P1Q3/1P6/PB1N1PPP/2KR1B1R b - -,d5b6
8/6nk/p1p3rp/1p2Rp2/3P1P1Q/Pq5P/1P1B1K2/8 w - -,d2c3
1rr3k1/5ppp/pp4q1/4b3/P1P3n1/1Q2B3/1P1N1PPP/R4RK1 w - -,d2f3
8/p7/5kp1/3b1p2/2p4P/P1P1KNP1/1P6/8 w - -,e3f4
4b1k1/6pp/p1r1p3/1p1pP2P/5RB1/2P3P1/PP3K2/8 b - -,e8f7
rn1qkb1r/pb1p1pp1/1p2pn1p/8/3p3B/2PBPN2/PP3PPP/RN1QK2R w KQkq -,e3d4
8/2n5/p1k2p1p/2Pp1PpP/PPbPr1P1/6K1/3R4/R7 w - -,g3f3
2kq1b1r/pb3p2/4pP1P/1pN4R/8/3pB3/PP3PP1/1Q3K2 b - -,f8c5
8/6n1/1p2p1k1/1Nb3p1/2Pp1pP1/3P1P2/3BP3/4K3 b - -,g6f6
5rk1/q2n1ppp/2r1p3/1N6/Pp6/3P2P1/1P3P1P/R2R2K1 w - -,b5a7
2r5/nprbkp2/p3p1p1/3pP1Np/5P1P/1P2RB2/PKPR2P1/8 b - -,b7b5
rnbqkbnr/pp3ppp/3pp3/8/3pP3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,c3d4
