4r3/2k2Np1/1pp5/p7/8/5r2/PPPKR3/7R b - -,e8e2
8/4qk1p/p1b1p3/1p2Ppp1/8/P3Q2N/1PP3PP/3K4 b - -,h7h6
r3k2r/pp1R4/4q3/4b1pp/8/2N3P1/PPQ3P1/1K3B1R b kq -,e8d7
r3kb1r/1bqn1ppp/p2ppn2/1p6/4PP2/1NNB4/PPPBQ1PP/4RRK1 b kq -,b5b4
1r6/3nkppp/1p1Np3/8/3P4/6P1/2P2PKP/R7 w - -,d6b5
2Q5/1P1r2pk/5b2/4p2p/6qP/6B1/5PP1/6K1 w - -,b7b8q
r1b2rk1/1pqnbppp/p2p1n2/4p3/4P3/1NN1BP2/PPP1B1PP/R2Q1RK1 w - -,a2a4
1nk2rr1/p1pq4/1p1p4/1P6/2PQ2Pp/P2PB2P/7K/1R3R2 b - -,f8e8
1r4k1/p2b1p1p/2p2p2/3p4/8/1P1B2PP/P1P3P1/R3r1K1 w - -,a1e1
8/8/8/4pR2/4P3/5rk1/8/4K3 w - -,e1e2
2r5/1prk1pp1/1pn1p2p/3pP3/1P6/P4N2/2R1KPPP/2R5 b - -,f7f6
r5k1/1pr2p2/3q2pQ/3Pp3/8/1R6/P6P/K2R4 b - -,c7c2
r2qk2r/pb1nbp1p/1pp2np1/3p2B1/3P1N2/2NBP3/PPQ2PPP/R4RK1 b kq -,a8c8
r4rk1/pp1qppb1/1npp1np1/3P3p/P1P2P1P/2N1B3/1P1QBPP1/2R1K2R w K -,a4a5
r3r1k1/ppqnppbp/2np2p1/2p5/3PP3/2P1BN1P/PP1N1PP1/R2QR1K1 b - -,b7b6
5rk1/pp2qp1p/8/n5p1/6Q1/6B1/1P3PPP/3R2K1 w - -,g3d6
r2r2k1/1q2bpp1/p1b2n2/2pp2p1/4P3/1PN2PBP/P2RQ1P1/1BR3K1 b - -,d5d4
r5k1/p2rqppp/1p3n2/4p3/2P5/P4N2/1PQ2PPP/3RR1K1 b - -,d7d1
r2q1rk1/5ppp/p2pbb2/8/2p1P3/7P/PPQB1PP1/R3RNK1 b - -,d6d5
2r2rk1/1b2ppbp/pq3np1/np2N3/3P4/1PN1BB1P/P3QPP1/2R2RK1 b - -,b7f3
1b3rk1/1b3rnp/pq2ppp1/1p6/2P1p1P1/PP2P2Q/1B2BP1P/2RR1NK1 w - -,b2d4
