8/5R2/4r2p/5kpP/8/6K1/8/8 b - -,f5e5
2rr2k1/p1q1bppp/1pn1p3/2p5/2N5/1P1P2P1/PB1QPP1P/2R2RK1 w - -,d2e3
rn2kb1r/pb2pppp/1q1p4/1ppP4/4P3/2P2N2/PPQN1PPP/R3KB1R b KQkq -,b8d7
r1br2k1/ppq1ppbp/2n3p1/2p5/P2P4/2P1PN2/1B2BPPP/R2Q1RK1 b - -,b7b6
6rr/1p3b2/3npk2/1P1p1p1P/R3pP2/2N5/1KP1B2R/8 w - -,a4d4
2rq1rk1/1p1nbppp/p2p4/3RnN2/4PB2/7P/PPP1Q1P1/2K2B1R b - -,c8c5
2kr2n1/1q3NQp/4p1pP/2p5/ppPr2P1/3P4/P4P2/3RRK2 w - -,f7d8
rn1qk2r/pp2bppp/2pp1n2/4p3/4P3/2NP1BP1/PPP2P1P/R1BQK2R w KQkq -,c1d2
7k/2Q5/P7/1P6/8/K7/3q2P1/8 w - -,a6a7
8/8/6R1/4K1P1/3r3p/4k3/8/8 b - -,d4e4
2kr3r/pppqn3/1n2b3/5p2/5RpP/2NP4/PP2P1BP/R3QNK1 b - -,e7g6
5rk1/3qbppp/p2r1n2/B1p5/3p4/1P3B2/P1P1QPPP/R3R1K1 b - -,e7d8
2r2rk1/pp1nbpp1/1qp3p1/4p1Pn/2BPN3/1QB1PP2/PP5P/1K1R3R b - -,b6c7
2rr4/1p2k2p/p2ppnp1/2Q1p3/4P3/1PPRNP2/P5PP/2KR4 b - -,c8c5
8/p6p/2Q1kq2/2pp4/7P/2p3P1/P6K/8 b - -,e6e5
rn2kb1r/pq1n1pp1/1p2N2p/3pPp1N/Q2P3P/P7/1P1B2P1/2R1KB1R b Kkq -,f7e6
r3k1nr/pp1nbpp1/1qp1p2p/3p1b2/2PP3B/2N1PN2/PP3PPP/R1Q1KB1R w KQkq -,f1e2
5rk1/1pqnbppp/3pb3/4p1P1/p3P2P/1NP2Q1B/P1P2P2/KR5R w - -,b3d2
2rq1rk1/p3n1pp/3b1p2/1pppn2b/2P4N/1P1P2PP/PB1N1PB1/R1Q1R1K1 w - -,c1c2
2r3k1/p1r2qb1/2p1p3/4Pp1p/2R2BpP/1P4Q1/P4PP1/4R1K1 w - -,g3c3
r3r1k1/1ppq1pb1/3p2p1/p2P3p/1PP1N3/P2nPP2/2QN2PP/1R3R1K b - -,d3e5
r1bqrnk1/1p2bpp1/p1p2n1p/3pN3/3P1B2/2NBP2P/PPQ2PP1/R4RK1 b - -,e7d6
8/3r4/6p1/5p2/2BK1Pk1/4R1P1/8/8 w - -,d4e5
r3qrk1/1pb1n1pp/2b1pp2/2Q5/PpNNP3/1P4P1/5PBP/3R1RK1 b - -,e8f7
6k1/2R5/6p1/6P1/p2n4/8/P1P5/2K5 w - -,c7c4
2rr1nk1/pp1b1ppp/2p1pb2/q7/2PP4/1P1B1N2/PBQ2PPP/3RR1K1 b - -,d7e8
1r6/3kbppp/B1p5/1PPp3n/3P4/1bN1BP2/3K2PP/7R b - -,b3c4
8/8/5pk1/8/3RKPP1/8/8/1r6 b - -,b1b3
3r2k1/1N1P1qn1/p7/1p2p2p/3QPp2/4nB2/PP4PP/3R3K w - -,b7d8
r3q1k1/p2n2pp/1p1ppr2/2p2p2/1PPP1P2/2Q1P2R/P2N2PP/5RK1 w - -,e3e4
r1b1kb1r/ppppnp1p/2n5/4P3/1q3B2/4PN2/PPPN2PP/R2QKB1R w KQkq -,f1c4
rnbqkbnr/pp2pppp/3p4/2p5/2P1P3/8/PP1PNPPP/RNBQKB1R b KQkq c3,g8f6:e7e5
r3kb1r/ppq2ppp/2n1p3/1BPpPn2/3B2b1/2P2N2/PP1N1PPP/R2QK2R b KQkq -,f8e7
7k/6pp/p7/2pN2K1/2P3P1/1P6/q6P/8 w - -,d5e3
r4k2/8/3R1Np1/2p2bPp/3p4/p4P2/7P/K3R3 b - -,a3a2
8/6p1/5pP1/2p2BkP/6P1/3K4/8/7r w - -,f5c8
5r2/5PR1/2p3R1/1p1kP3/p4K2/r7/8/8 b - -,a3a1
r1bq1r1k/1p4p1/2P4p/p1P2p2/PbQ1p3/6P1/1P3PBP/RNR3K1 w - -,c6b7
2b3k1/5p1p/p3pnp1/1p1p4/nP5P/PN1PPNP1/5PB1/5K2 w - -,f3e5
r2q1rk1/p3npp1/4bb1p/3pN3/1ppP1PP1/2N1PQ2/PP4BP/R4RK1 w - -,c3e2
r1b1rbk1/1p1n3p/1q2ppp1/p2pP3/1n1P1P2/BPN2NPB/P2Q3P/4RR1K b - -,b6a6
8/p2b4/1k4n1/1p6/2PK2P1/P4BB1/8/8 w - -,c4c5
1r1qr1k1/1p3p2/p1pp2pb/7p/P3PP2/2N1nQP1/1PP3B1/R4RK1 b - -,e3f1
5r1k/pp3pp1/4p3/2P1Q3/q5p1/8/1P3PPP/5RK1 w - -,f2f3
