8/2R2p1k/5bp1/7p/4Q3/1q4P1/5PKP/8 w - -,e4f3
8/6bk/6pp/q7/5P1Q/8/4p1PP/4N2K w - -,h2h3
r3k2r/pp1nb1pp/1qp1p3/3p1p2/2PPn1P1/3BPN1P/PPQ2P2/R1B1K2R w KQkq f6,h1g1
r1b2rk1/p4p1p/1p2pqp1/4N3/8/1QP5/PP3PPP/R3R1K1 b - -,f8d8
r2qkb1r/pp1n1pp1/2p1pn1p/3p1b2/2PP4/1PN1PN2/P3BPPP/R1BQ1RK1 b kq -,f8e7:f8d6
1r4k1/5pp1/3p4/p2N2bp/4PP2/7P/2Q1R2K/q7 b - -,g5h6
3qr1k1/pb1r1n1p/1p3b2/2pP1p2/2Pnp3/P4NPP/1BQNRP2/4RBK1 w - -,f3d4
4rr2/p2q2bk/1ppnbpp1/2p4p/4P2P/2BPNN2/PPP1QPP1/3RR1K1 w - -,f3h2
2r1rnk1/3q1ppp/2pbb3/1p1p3P/3P1BP1/pPNBPP2/P1Q5/1KR4R b - -,d6f4
1Q2b3/4qpp1/6nk/1p1Bp3/1P2P2p/5P1P/4N1PK/8 b - -,h6h7
8/5p2/1k4p1/R7/4P2K/8/p4P1P/r7 w - -,a5a8
r1b1k2r/1p2ppbp/p1np2p1/q1n5/2P1P3/1PN2N1P/PB1QBPP1/R3K2R w KQkq -,a1b1
8/8/1N1p4/P1n1k2p/2P5/1pK3P1/7P/8 w - -,h2h3
r2qnrk1/pb1n1ppp/2p1p3/2PpP3/8/5NP1/PPQN1PBP/R4RK1 b - -,a7a5
r7/pb2kpQ1/1p2p3/1B2n1N1/2Pq4/5P2/P2r2PP/1R3R1K b - -,d4f4
r1br2k1/pp2qpp1/1npb1n1p/3Pp1B1/4P3/1BN2N2/PP3PPP/R2QR1K1 w - -,g5h4
r4b1r/5ppp/2k1pn2/3p4/2bP1B2/2N1P3/P3NPPP/RR4K1 w - -,a2a4
2r5/p2k1p2/3p1P1b/1p1Np2r/1P6/2NP2P1/P5K1/R7 w - -,a2a4
r1b2rk1/pp3ppp/2p2n2/6q1/3PQ1n1/1BN1P3/PP1B1PP1/R4RK1 w - -,e4f4
r2qk2r/5pb1/p1npb2p/1p1Npp1Q/2P1P3/N2B4/PP3PPP/R4RK1 b kq c3,b5c4
r4rk1/6pp/1q1n1p2/p1p5/1pP5/1P3N1P/1PPQ2P1/R2R2K1 b - -,a8d8
2kr1br1/1bppqpp1/1pn4p/p3P3/2P5/P1Q2NPB/1P2PP1P/R1BR2K1 w - -,h3g2
3r1rk1/3qb1pp/2p1bp2/p2np3/P2n4/B1NP2P1/3NPPBP/R2QR1K1 w - -,c3d5
r4rk1/ppq1bppp/2npb1n1/1Bp1p1N1/4P3/P1PP2N1/1P3PPP/R1BQR1K1 b - -,e7g5
r1bq1rk1/pp2pp1p/2p1n1p1/4P1B1/2PPpP2/6P1/PP1QB2P/R3K2R b KQ -,e6d4
2rr2k1/2nbbpp1/pqn1p2p/1pp1P3/2P1N2P/P2P1NP1/4QPB1/1RB1R1K1 b - h3,d7e8
r1b1k2r/1pqnbppp/p2ppn2/8/2PNP3/1PNB4/P4PPP/R1BQ1RK1 w kq -,c1b2
r3r1k1/pp3pbp/1qnp2p1/2p5/P1b1PN2/6P1/1PP2PBP/1RBQR1K1 b - -,c4a2
3r1rk1/5q2/p7/1p3pp1/5Nn1/P3P2R/1P2QPP1/2R1K3 w - -,f4h5
8/1pn1k1p1/2p3p1/8/1P1n1PK1/5N2/P6P/1B6 b - -,d4e2
r1br2k1/ppq1p1bp/6p1/n3Pp1P/2pP4/2PBB3/P3NPP1/2RQK2R w K -,d3b1
rnbqkb1r/pp2pp1p/2p3p1/3n4/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq e3,d5c3
r2q1rk1/pb1nppbp/1pp2np1/3p4/1PPP4/N4NP1/PB2PPBP/2RQ1RK1 b - d3,f6e4
2b5/2k5/7p/p1P1p1p1/r1B5/P1R2PP1/3K3P/8 b - -,c8b7
4r3/pp5k/2pb1p1p/3p2p1/3B3P/2P5/PP1RrP2/6RK w - -,d2e2
rn1qk2r/1bp1bppp/p3pB2/1p6/3P4/2NBPN2/PP3PPP/R2QK2R b KQkq -,e7f6
8/5p2/pp5k/2p1P3/5P2/P2KP2p/1P4r1/3R4 b - -,h3h2
6k1/1p6/1Pb2K2/r4P2/4p3/8/p3P3/7R w - -,h1g1
3r2k1/5pp1/2p1qn2/1pP1N2p/pP3P1P/Pb2QPP1/8/4RBK1 b - -,e6d5
2r1r3/p4Rk1/1p1p2p1/2pP2Np/4P1n1/1P1P4/P5RP/6K1 b - -,g7g8
8/5k2/2p2p2/1pBr1Pp1/1P5p/3b1R1P/1K6/8 w - -,b2c3
r2qbrk1/pP2b1pp/2p1p3/2Ppnp2/3PnP2/2NBP3/1P1B2PP/R2Q1RK1 b - -,a8b8
r1bqk2r/pp3p1p/1npb2p1/3p4/3P4/2NBP1P1/PPQ1NPP1/2KR3R b kq -,c8g4
r1bqrbk1/1p3ppp/2ppnn2/p7/2P1PNP1/2NPB2P/PP1Q2B1/R4RK1 b - -,e6f4
2rq1rk1/1b2npbp/p2p2p1/1p6/3NPB2/nPN4P/P1B2PP1/2RQR1K1 w - -,d1d2
r1bqkb1r/ppp2ppp/2n5/1B1pp3/4n3/5N2/PPPP1PPP/RNBQR1K1 b kq -,f8c5
8/1p3R2/8/r2p2kp/3P4/6P1/5K2/8 w - -,f7b7
1nr5/4k2p/p5p1/R1PBpp2/1P2P3/5rP1/R1K4P/8 w - f6,a5a3
r1bqr1k1/bpp2ppp/p5n1/7Q/4P3/2p2N1P/PPB2PP1/R1B1R1K1 w - -,e4e5
5r2/1p4rk/4p1p1/pb1pPpQp/5P1P/PqNRP3/1P1R2PK/8 w - -,c3b5
6k1/pB2nrp1/Pp3q1p/3p4/1B4P1/3Q4/6R1/7K b - -,f6h4
2rr4/4kp1p/2npp1p1/8/1p2PP2/P2RK2P/BP4P1/2R5 b - -,e6e5
rr3k2/5p1B/2b3p1/p1pp1P2/P7/1Pn2N2/2P2KPP/4RR2 b - -,c3e4
3r2k1/p4ppp/1nb2n2/6B1/2B1p3/P1N5/1P3PPP/R5K1 w - -,c4b3
3r3k/p4p2/bp2p3/2n5/2r5/5R2/P1B2PPP/4R1K1 w - -,c2b3
3qr1n1/1pp2pbk/2n3pp/5b2/1PPp1B1P/3N2P1/2N1PPB1/r2QR1K1 w - -,c2a1
rnb1kb1r/pp3ppp/2pqpn2/8/2BP4/2N2N2/P1PBQPPP/1R3RK1 w kq -,f3e5
r1b1r3/pp4pk/5p2/4N3/8/P7/1P3PPP/R1B1R1K1 b - -,e8e5
2b1r1k1/1p3p2/p1p2p2/5P2/3B1bP1/1P3B2/1PP2K2/3R4 b - -,g8g7
1r4k1/p4p1p/1q2b1p1/2p5/r1P5/1P1B1P2/PQ2R1PP/2KR4 b - -,a4b4
rn1q1rk1/pb3ppp/1p2pn2/2pP4/1b1P4/2NBPN2/PP1B1PPP/R2Q1RK1 b - -,e6d5
8/8/p4pk1/1pRP2p1/1P4P1/P3R2P/r2nrBK1/8 b - -,e2e3
2b1k2r/Qr2bppp/2pp4/4n3/1PP1P3/P1N2N2/3R1PPP/2K2B1R b k -,b7a7
r1bq1rk1/pp3ppp/2n5/1B1p1n2/8/1N3N2/PPP1RPPP/R2Q2K1 b - -,a7a6
1rbq1rk1/p2nppbp/1p1p1np1/2p5/P2PP3/2N3P1/1PP1NPBP/R1BQR1K1 w - -,h2h3
8/8/2b2k2/1p3p2/P4Ppp/2N1K3/7P/8 w - -,a4b5
8/4k3/P4p1p/3K1Pp1/1P4P1/2p5/2B2b2/8 w - -,c2a4
5rk1/ppqb2p1/2p1pr1p/4Np2/3PP3/b1P3P1/P3QPP1/1B1RR1K1 w - -,e5f3
2kr3r/pppq3p/1nn1p3/4Pp2/3P1B2/PQ6/1P2N1PP/R2R2K1 b - -,b6d5
r4rk1/1bq1n1pp/p7/4p3/Pp2B3/8/1PP3PP/R1BQ1R1K w - -,e4b7
r1b1k2r/ppq1n1pp/2n1p3/3pPp2/3P4/P4NQ1/2P2PPP/R1BK1B1R b kq -,e8g8
2kr3r/ppq1nppp/2p1p3/4Pb2/2Q5/2N3P1/PP2PPBP/R2R2K1 w - -,c4c5
r1b1k2r/pp2qppp/2nppn2/8/1bB1PB2/2N2N2/PP2QPPP/R2R2K1 b kq -,e6e5
6N1/8/3k3p/1p6/2pp4/8/1PP4P/6K1 w - -,g8h6
r1b1nrk1/ppp2ppp/3p4/2nPp3/2P1P2q/2P3N1/P1Q1BPPP/R1B2RK1 b - -,e8f6
3r1rk1/2q2pp1/4p1np/p2B2NQ/P7/3R2P1/5P1P/3R2K1 b - -,e6d5
r2qr1kb/3bp2p/p2p1npB/2p5/2PnP3/2NB1PN1/PP1Q2P1/2R1K2R b K -,a8b8
rn2kb1r/pp2pppp/2b2n2/2p5/2BPq3/1QP1BN2/PP3PPP/RN2K2R b KQkq -,e7e6
8/r3nk1p/3R2p1/pR6/Pb2PP2/5KP1/7P/8 w - -,d6b6
4r1k1/1p3p1p/2p3p1/p3q1P1/4Bn1P/P4P2/1PPQ4/2K3R1 b - -,f4e6
2rr2k1/1pqbbppp/p2ppB2/8/2PQP3/1PN2N2/P4PPP/2RR2K1 b - -,g7f6
8/3n2p1/3r2k1/1R1P1pp1/4p1P1/3B1P1P/5K2/8 w - -,g4f5
rn1q1rk1/pbp1Bppp/1p2p3/3pN3/3Pn3/3BP3/PPPN1PPP/R2Q1RK1 b - -,d8e7
r4r1k/pp2q1bp/4b3/2p2p2/2P2Pn1/1Q3NB1/P3B1PP/2R2RK1 w - -,f1e1
4rrk1/p2n2p1/2b5/1pb3B1/4p1Q1/2P1N1P1/PP6/2KR4 b - -,d7e5
4nrk1/1p1rbppb/1qp1p2p/p2pP3/P2N4/1P1P2P1/1BP1QPBP/3RR1K1 w - -,e1f1
r1bqk2r/ppp2ppp/2nb4/3n4/3P4/5N2/PP3PPP/RNBQKB1R w KQkq -,b1c3
r3k1r1/1b6/p1p1p3/1p2p1qp/PbpPPn2/2N2BP1/1P1Q3K/3R2R1 w q -,d4e5
8/8/Pk6/1n1p4/3Np1p1/1P2K1P1/5P2/8 b - -,b5c3
r3k2r/3b1pp1/p5n1/P1Bpp1Pp/3P1q1b/5P2/2N1B2P/1RQ2K1R b kq -,d7h3
r2q1rk1/pbpn1pnp/1p1p1bpB/3Pp3/4P3/1NPB1N2/PP3PPP/R2QR1K1 w - -,d1d2
r1b2rk1/pp2ppbp/1np3p1/8/1P1P1B2/P3PN2/5PPP/2R1KB1R b K -,c8f5
3r1bk1/pp3qp1/2n1pn1p/4P3/8/2p3PP/PPQ2PB1/2B1R1K1 w - -,e5f6
1k5r/1br2p1p/p4q2/1p1pb3/n7/4PB1P/3NNP2/1Q1R1KR1 w - -,b1a2
8/8/6K1/8/Pk6/7P/8/8 b - -,b4a4
3qnrk1/4ppb1/r2pb1p1/p1N1n1Pp/4P2P/1B2BP2/1PPQNK2/R6R b - -,a6a8
5k2/p1pb3p/2p5/P2pP3/8/1N2p1P1/1PP3P1/5K2 b - -,d7g4
8/8/1pk5/p1p2K2/P1P5/QP6/3q4/8 w - -,f5e4
r1bq1rk1/1pn1ppbp/3p2p1/p1p5/2PnP3/2NPB1PP/PP2NPB1/1R1Q1RK1 w - -,g1h2
8/4p3/3k1b2/1p3P2/P1p3P1/8/2K1B3/8 b - a3,b5a4
3r1r1k/1p4b1/2p4p/p3PppP/q1BP4/4P3/4Q1P1/2R2RK1 w - -,c4d3
rn1qk1nr/1bp1ppbp/pp1p2p1/8/P2PP3/2N3P1/1PP1NPBP/R1BQK2R b KQkq -,b8d7
1q3rk1/6bp/bp1rppp1/p2p4/P2P4/1BP3QP/1PN2PP1/R3R1K1 b - -,g8h8
2rq1rk1/pp2bppp/2n1pn2/3pN3/3P1P2/1P5P/PBPNQ1P1/R4RK1 b - f3,d8a5
1kn5/1p6/8/4P1r1/p1QPp2p/P1P4P/1q4N1/4R1K1 w - -,c4e2
8/R7/1p6/2bPk3/1r3pP1/5P2/P2R4/5K2 b - -,c5e3
r3r1k1/1pq3pp/p4p1n/P2Rp3/4Q1P1/1N5P/1PP2P2/4R1K1 w - -,e1d1
r2qr1k1/ppp2p1p/2bp2p1/2n1b3/2P1P3/2N1BPPP/PP6/2RQRBK1 w - -,e3f2
rn1qk2r/pp2bppb/2p1pn1p/3p4/2PN4/2NP2P1/PP2PPBP/R1BQ1RK1 w kq -,c4d5
5r1k/1p3r2/p1n1p1pP/2PpP2R/3P1q2/2B3Q1/4B1K1/8 w - -,h5g5
r7/5pk1/1p2p3/4P1pp/PP1P4/R6P/6P1/6K1 b - -,a8d8
8/p1p4R/1k4Q1/2p5/2p5/2P5/Pq2r2P/5R1K b - -,b6a5
r1b1rbk1/pp3ppp/8/3p1Nq1/1P2Pn2/4NP2/PBQ3PP/R3R1K1 w - -,e4d5
5rk1/4ppbp/1r1p1np1/3B4/2n2B2/2N3P1/P3PP1P/2R2RK1 b - -,c4a3
3r4/k1q5/p3Qp1r/2pRn1pB/3pP1P1/P2P3P/2P3K1/1R6 b - -,d8d5
rn1kr3/3bpp1p/3p1p2/p2P4/2B5/2P1B1N1/Pb2RPPP/4R1K1 b - -,b2c3
rnb1k2r/1pqp1ppp/p3pn2/8/1b1NP3/2NBB3/PPP2PPP/R2QK2R w KQkq -,e1g1
r1bq1rk1/1p4bp/p1np1np1/2pNp3/2P1P3/5PP1/PP2N1BP/R1BQ1RK1 w - -,c1g5
6k1/1q2ppb1/3p4/3r2Q1/8/6B1/5PP1/4R1K1 w - -,g5e7
rn1q2k1/pbp1nrb1/1p1p3p/3P2p1/2P2p2/2NB1NB1/PP2QPPP/4RRK1 w - -,e2e4
1r6/p4k1p/1r1pppp1/1bp5/1n2PP1P/P1KPN1P1/1P6/R3RB2 b - -,b4c6
