8/8/6p1/5p2/4k1Pp/2q1p2P/4R1K1/5R2 w - -,e2a2
2rq2k1/5pp1/Q2np2p/p2p4/P7/1PP4P/2R2PP1/2R3K1 w - -,a6e2
r3kb1r/pp3ppp/2p1p3/q2n1bB1/3P4/2P2N2/PP1Q1PPP/R3KB1R w KQkq -,f3e5
r1bq1rk1/pp4pp/4p3/3pn3/1b1B4/5N2/PP2NKPP/R2Q1B1R b - -,d8h4
r1n2rk1/1p3ppp/3pb3/8/1bPQPq1P/1PN2P2/4B1P1/1N1R1K1R b - -,c8e7
r1b1kn2/1pq1b1rp/p3p1p1/4p3/8/1NNB1Q2/PPP3PP/4RRK1 w q -,c3e4
r5k1/pp1rbppp/4b3/1q1p4/5B2/P1RQ2P1/1P2PPBP/3R2K1 b - -,b5b2
rnbqkbnr/p4ppp/2p1p3/3p4/1p1PP3/2NB1P2/PPP3PP/R1BQK1NR w KQkq -,c3a4
r4rk1/pb1n1pbp/1p2p1p1/2pP4/2P1P3/4B3/P2NBPPP/2R2RK1 b - -,a8e8
4rbk1/pq1r3p/6p1/4Pp1n/N2P4/4BQ1P/P6K/2R2R2 w - -,f3b7
r1b1r1k1/1p2bpp1/2pp1n1p/p1n5/Pq2PB1N/2N3PP/1PPQ1PB1/R3R1K1 b - -,c8e6
2r3r1/3bkpq1/2p1pR2/1p6/p2P2pQ/P1P5/1P6/KB3R2 b - -,e7e8
5rk1/1p4p1/p4p1p/2p1b3/P2pP3/1P1P2P1/2PB3P/5RK1 w - -,d2f4
2q4r/1p4kp/p4p2/3QpP2/P7/1PP3P1/6P1/3R3K w - -,d5d7
r7/1p2b1k1/1qn1n1p1/p2pP1p1/3p4/P4NB1/1P1QNPP1/K2R4 b - -,a8c8:e7b4
8/8/5rp1/7p/7P/3k1NP1/5PK1/8 b - -,f6d6:f6f5
2rq1rk1/1b2b1p1/ppn1Q2p/5p2/3P1BN1/P7/1P3PPP/1BR2RK1 b - -,g8h8
r2q1rk1/pp3ppp/3b2b1/3p2R1/6P1/2PP1Q1P/PP3P2/RNB3K1 b - -,f8e8
8/p2r2pk/3P4/8/P2Rp1p1/1p2P1P1/1B3P2/5K2 b - -,h7g6
8/p1qn4/Q1p1p3/2Pp2kp/P2Pp1pN/4P1PP/5PK1/8 w - -,h3g4
8/2k5/R5P1/8/1P3p2/6r1/2K5/8 w - -,a6f6
4q1k1/5p1p/6pQ/B7/3P4/5rP1/P5NP/6K1 b - -,e8e2
3q4/p5pk/1p3p1p/1P1r2nP/P1Prb3/2Q1R3/4B1P1/4R1K1 w - -,c4d5
6k1/5pp1/2p4p/1n2rP2/p1RrN1P1/2n4P/P1B2P2/4R1K1 w - -,c4c5
5rk1/q6p/p2pp1p1/N7/1PRn1P2/P2Q3P/7K/8 b - -,e6e5
3n2k1/rb2r2p/pRpb2p1/P2pNp2/3P4/3NP1P1/1R3P1P/5BK1 w - -,b2a2
3r2k1/1p1rqpp1/p2p3p/3R4/PQ1R4/1P2P1PP/5PK1/8 b - -,e7e6
8/1b1nkppp/1pppn3/6P1/1PP1PPBP/2N1K3/1B6/8 w - -,c3a4
5r2/4b1k1/2q1p1p1/P6p/2p5/2Q3P1/1PP2P2/4R1K1 b - -,e7f6
2kr3r/pppbnpp1/3p3p/3Nq3/4PP1P/4R3/PPP1Q1P1/2KR1B2 b - f3,e5e6
1r1qr2k/p1pn2bp/1p1pb3/1N6/2P2Pp1/5B1P/PP1Q1B2/2R1R1K1 w - -,h3g4
5rk1/4b1p1/3pbn2/q2n1pBP/1p1Pp3/4PP2/BP1Q4/1K1R2NR b - -,a5a2
3rn2k/p5pp/2rPBp2/1pp2P1q/3n1B2/P2Q1P2/1P3R1P/2K3R1 w - -,d6d7
2qrrnk1/pp1bb1pp/2p5/3Pp2N/8/1P4PP/PB3QB1/R4R1K b - -,e7f6
r3r3/p3k1p1/1bp2p1p/2q2P1Q/5R1B/3p4/P5PP/R6K w - -,h5g6
r2qk2r/pp1n2pp/2pb1n2/3p1p2/Q4Pb1/2N1P3/PP1P1N1P/R1B1KBR1 w Qkq -,b2b3
1nk5/7R/8/KBP3p1/7p/8/5r1P/8 w - -,a5b6
2r3k1/4pp2/3p2p1/3P3p/r1N1P1nP/2P3P1/5PK1/2B1R3 w - -,c4b6
r4rk1/p1n1qpbp/1pp5/4pb2/P3Pnp1/2P2N2/1PB2PPP/R1B1RQK1 w - -,e4f5
r2r4/1p3k2/2p1ppp1/p1R4p/Pn1P3P/1P2P1P1/5PB1/3RK3 w - -,e1e2
r1b2rk1/pp4pp/2p1P3/2bppP2/P5Pq/7P/1PPQK3/R2N1B1R w - -,d2e1
r2r2k1/p3bp1p/2pp2p1/1p2n3/3RPN2/PbN3PP/1P2B1P1/4R1K1 w - b6,e2f3
1r1q1rk1/2pbppbp/1n1p1np1/1P1P4/p2NP3/2NQ2PP/5PB1/R1B2RK1 b - -,e7e6
8/8/8/1P5R/3k4/7P/1r3PP1/5nK1 b - -,b2b1
6k1/BR6/r7/3N3p/2PK4/1P3r2/8/8 b - -,h5h4
8/4k3/4bp2/6p1/3R4/1p3PBp/1P1K2nP/8 w - -,d4b4
8/5k2/p3P3/PrN2PB1/8/5K2/8/8 b - -,f7e8
2kr3r/Rb1n1p1p/3q2pB/2p1p3/1pP5/1P1B4/4QPPP/5RK1 w - -,d3e4
8/pp3N1k/3p4/3p1K2/2r2pR1/8/5P2/8 w - -,f5f6
3r2k1/1b3pp1/qp3n2/2b2P2/r3P2p/pR1P3P/P1N1Q1B1/2B1R2K b - -,d8e8
5rk1/p4pp1/8/6p1/P4nP1/4B2P/1b3PB1/1R4K1 b - -,b2d4
2b1r3/p4k1p/5P2/4BP1p/2P1P3/3pK3/P6P/2R5 w - -,e3f4
r3k2r/pb3ppp/8/1p1n1pB1/7N/P5P1/P3nPBP/R2R1K2 b kq -,e2c3
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq d6,b1c3:g1f3:e4e5:e4d5:f1d3:b1d2:f2f3
8/5pk1/N5p1/1p1pb3/1Pnq2b1/PR4P1/Q4PB1/6K1 b - -,d4d1
2br1nk1/1p2qpp1/7p/3Pp3/1b5N/3PB1PP/5PB1/QR4K1 w - -,a1b2
r4rk1/ppP2ppb/7p/2bNq2P/2BnP3/5P2/PP1N4/2KR1Q1R w - -,f3f4
8/6pk/p7/1p2r1P1/7P/P1b5/2P2RN1/1K6 w - -,f2f3
r1bqr1k1/pp1n1pbp/2pp1np1/8/2PpP3/1PN2NPP/P4PB1/R1BQ1RK1 w - -,f3d4
8/2r1p3/1p1p1kp1/p1r2b1p/P1PK1P2/1P2R1P1/6BP/4R3 b - -,f5c8
r1bq1rk1/pp2bppp/5n2/2p1p3/3nN3/1P1Q2P1/PBPP1PBP/2KR2NR w - c6,g1e2
r2r2k1/1R1b1ppp/4p3/4P3/p1qpQ3/6P1/P3R1BP/6K1 b - -,a8c8
8/3n4/1p1k2p1/1Pr2p1p/P3p3/3KN1P1/7P/R7 w - -,d3e2
b2q1rk1/2pnbppp/2np4/1p2p3/4P3/1BPP1N2/1P1N1PPP/2BQR1K1 b - -,d7c5
8/p5pk/1p4p1/3n4/P1Q2KP1/2PP2B1/6q1/8 w - -,f4e5
3r2k1/5p2/3P1P2/R5p1/1N2b2p/1P2b2P/5nPB/6K1 w - -,g1f1
3rr1k1/1p2p1bp/p1p1b1p1/4NpB1/1PPPpP2/4P2P/1P4P1/2RR2K1 w - -,c4c5
1n3rk1/2r1bppp/pR1pp3/8/2PN4/2P3P1/P3PP1P/2B2RK1 b - -,c7c4
2r2b1r/2qkn1p1/p5Q1/1p1bR3/8/PN6/1PP3PP/3R2K1 w - -,d1d5
