1q6/8/4k3/2P2p1p/4p2P/2Q3P1/4K3/8 b - -,e6d5
1r4kb/3R3p/4p1p1/5P2/Np2P1N1/4Q1Pq/PPr1B2P/6K1 b - -,b4b3
rnb1kb1r/1p1pnppp/4p3/1N6/1q2P3/4B3/P1P2PPP/R2QKB1R w KQkq -,c2c3
r2qbrk1/1ppnn1b1/3p4/pN1Pp1pp/1PP1Pp2/P2B3P/3B1PPN/1R1QR1K1 b - -,a5b4
rnb1k2r/pp2ppb1/6pp/q1p5/3PP3/2P1B3/P2Q1PPP/2R1KBNR b Kkq -,c5d4
8/1B3bk1/1b3pp1/1N5p/1P3P2/4P1P1/7P/6K1 w - -,g1f2
3R4/8/8/5p2/p2k1P2/2p3P1/K1P5/2r5 b - -,d4e4
2r2rk1/4qppp/p2pb3/1p1B2b1/3BP3/2P2Q2/PP3RPP/R6K b - -,g5h4
3r1rk1/pp1q1ppp/3pbb2/4p3/4P3/2NQ1B2/PPP2PPP/R2R2K1 b - -,a7a6
6R1/4r3/3Q1kp1/1p6/4q3/5p2/5P1K/8 b - -,e7e6
4r3/p1p4p/1pkn2p1/8/3B4/5P2/PP4PP/3R1K2 w - -,f1f2
1q6/p2P1p1p/6pk/6b1/5N2/P6P/3Q2PK/8 w - -,g2g3
r2qkbnr/p2ppp1p/1p4p1/2pP1n2/2P5/5PP1/PP1B1P1P/RN1QKB1R w KQkq -,d2c3
b1qr4/4b1kp/5pp1/nQpnp2P/1p2N3/2PP1N2/BP3PP1/2B1R1K1 b - -,c8c7
2r3k1/pB6/3B2pp/2P5/8/6P1/P5KP/8 b - -,c8d8
5q2/p6k/7p/2p4R/1p1b4/1P4B1/P1P2PP1/4RK2 w - -,e1e6
3N4/R7/2p5/p1k4p/2Pn4/1P6/2n5/6K1 w - -,a7a5
3B1nk1/6pp/1p2p3/p3qp2/2P5/1P5Q/P1BK2PP/8 b - -,f8g6
r1br1k2/pp3p2/2p3p1/6Pp/3NR2P/4P3/Pn3P2/2R2BK1 b - -,c8d7
7r/pp3bk1/6n1/3p1BN1/3P4/6R1/Pq1r2PP/Q4RK1 b - -,b2a1
4rk2/2p2p2/bp1pPn2/p5rp/2PP4/2P3NP/P4KP1/R3RB2 b - -,f7e6
r4rk1/1pp2pbp/p1np2p1/7P/4P1q1/2N1B3/PPPQ1PP1/2KR3R w - -,h5g6
3R4/p7/6pk/4p3/4Nq1r/1PNB4/PKP5/8 b - -,g6g5
r3k2r/4bppp/2b1p3/1q2P3/p1pP4/2B5/1PQN1PPP/1R2R1K1 w kq -,c2d1
