8/p1r1R2p/1k4pP/1p6/8/6P1/P4PK1/8 w - -,e7c7
rnb1k2r/p3bppp/1q2pn2/3p4/3P4/2N2N2/PP2BPPP/R1BQK2R b KQkq -,e8g8
4r1k1/5p1p/6p1/3R1p2/5P2/p7/P4KPP/8 b - -,e8b8
r1br2k1/pp4np/2n1pP2/2P5/4Q3/2bB1N2/PpP2PPP/1K5R b - -,c3f6
8/8/4k3/3R4/1P4r1/2K5/8/8 w - -,d5d1
r1bqk2r/1p1nbp1p/p2p1np1/2pP4/P3P3/2N5/1P1NBPPP/R1BQK2R b KQkq -,e8g8
8/3r4/4pkpp/1N6/3PK3/6P1/4BP1P/8 w - -,h2h4
7k/2p2ppp/1p1p1n1n/1N1P1PP1/1PPQ1R2/8/7P/r3qBK1 b - -,a1d1
8/2p5/pk1r1np1/3Ppp1p/1pP4P/1P3P2/1PB2KP1/3R4 b - -,d6d7
2br1rk1/p1N2pbp/3P2p1/2p2n2/P4R2/2PR2P1/1P2N1KP/2B5 b - -,g7e5
r2qr1k1/bp1b1ppp/p1n5/3p4/3Nn3/1P1BP2P/PB2NPP1/2RQ1RK1 w - -,d3e4
6k1/5pp1/1q5p/p2p4/3N1P2/2P3Pb/4R2P/2R3K1 b - -,a5a4
6k1/5pp1/3Np2p/3nP2P/p2B4/P4P2/1P1Q2PK/1q3b2 w - -,d4f2
r4r2/ppp1pkbP/8/3pPp2/3P1N2/3P4/PP6/R3K2R b KQ -,e7e6
5rk1/8/2B4p/4b1p1/p7/4B1P1/PrN4P/2R3K1 w - -,c6a4
3rn1k1/1q1r1pb1/p5pp/1p2p2P/6Q1/P1P1B2N/1P3PP1/R3R1K1 b - -,e8f6
r1bq1rk1/pp1p1pbp/6p1/4p3/2PnP3/2NBB3/PP3PPP/R2Q1RK1 b - -,d7d6
6k1/4bpp1/2r1p2p/1q1pP1n1/Np1B3P/1P2QP2/P3R1PK/8 b - -,g5h7
5k2/r6Q/5q2/2bB4/5p2/5P2/6PP/3R3K w - -,h7g8
2b2rk1/p2q3p/6p1/2pPp1P1/4P3/P3R3/N4P2/3Q2K1 w - -,a2c3
r4rn1/1p1q1pbk/p1npb1pB/2p1p3/4P1NP/2PP2P1/PP3PBN/R2QR1K1 w - -,h6g7
3r4/1p6/p3k3/2R5/4PB2/1P4Pp/2P3bK/8 w - -,c5e5
r3k2r/pp1q1p2/2nP2np/3Q1bp1/2P1p3/P1P3PN/4PPBP/1RB2RK1 b kq -,g6e5
r1bq1rk1/p2nbppp/1pp1pn2/2Pp2B1/3P4/2N2NP1/PP2PPBP/R2QK2R w KQ -,b2b4
rn3r1k/pp3ppB/8/q1nbP3/8/P4P2/2Q3PP/R1B2RK1 w - -,c2f5
brr3k1/4qpp1/pp1ppb2/4n3/1PP1P2p/P3BP1P/BN2Q1P1/2RR2K1 b - -,e5g6
1rb1k2r/p1pp3p/2p3p1/3nb3/2B1N3/2P5/PP3PPP/R1B1K2R b KQk -,d5f6
r2nr1k1/pp2qpp1/2pp1n1p/5P2/2P5/6PP/PP3PBK/R1BQ1R2 w - -,c1f4
r1bq1rk1/pp3ppp/2n1pn2/3p2B1/1bPP4/2NB1N2/PP3PPP/2RQK2R b K -,d5c4
8/3kbppp/p3p3/8/1P6/P1NK2P1/5P1P/8 w - -,d3c4
r5k1/1p3pbp/p1r1p3/P2p1npq/1P1P4/2P3P1/Q1RB1P2/2R2BK1 b - -,f5d6
2r1kb1r/pp1b1ppp/1qn1p1n1/2ppP3/3P4/P1P2N1P/1PB2PP1/RNBQ1RK1 w k -,f1e1
r6k/2p1r1q1/bp6/p2P1pNp/2P5/8/PP1Q3P/2KR2R1 w - -,g5e6
3r1k1r/1p3ppp/p1n1p3/2P5/3P4/8/1N1N1PPP/4KB1R b K -,d8d4
3q4/1pp2pk1/p2n2p1/4p3/1PP1P1Qp/4N2P/1P3PP1/6K1 b - -,b7b5
5k2/p1p3pp/3n4/2p2rP1/5p1P/1P3K2/P2N1P2/2R5 b - -,f8e7
rn1qkb1r/pp3p2/2p1p1pn/3pP2p/3P1P2/2NBBQ1P/PPP3P1/R3K2R b KQkq -,h5h4
4r3/pp4p1/6k1/3p2p1/3P1p2/2PK3P/PP1BrPP1/5R2 w - -,b2b3
r4rk1/pp1q1p1p/2n2b2/2pp4/Q4PP1/P2PP3/1P3PB1/R1B1K2R w KQ -,g4g5
r1bk2nr/pppn2b1/5ppp/4P3/2B1P3/2N2N1P/PPP3P1/R1B1K2R b KQ -,f6e5
2rq1rk1/pp1n1p1p/3b2p1/3P4/P1p1PR2/2N3P1/BP2Q2n/R1B4K b - -,d6f4
r1bqr1k1/1p3pbp/p2p1np1/2pPn3/Q3PB2/2N4P/PP1NBPP1/R3K2R w KQ -,e1g1
r5k1/3r1pp1/1b2p2p/1p2P3/1P1Pb3/7P/2NRN1P1/3R3K w - -,c2e1
r5k1/3p2pp/P4n1r/1p1p4/5P2/R4BP1/1R2P2P/6K1 w - -,a6a7
r2qk2r/pbpnppbp/1p1p1np1/8/3P1P2/2PBPN2/PP4PP/RNBQ1RK1 w kq -,b1d2
8/5pk1/8/7p/P1r5/4R3/4K1PP/8 w - -,e3a3
r3r1k1/1p3pp1/p1b3qp/2pp4/4PQ2/2P2PP1/PPB4P/R3R2K w - -,a1d1
r7/p2p1kp1/4p3/2p4p/5PP1/6q1/PPP3P1/R2N1R1K w - -,g4h5
r3kb1r/1pqn1p1p/p1p1p3/2P5/3Pp2P/1P2P3/PB3P2/R2QKB1R w KQkq -,d1c2
r1bqk1nr/pppn1pbp/3pp1p1/8/3PP3/2PB1N2/PP3PPP/RNBQK2R w KQkq -,e1g1
2kr3r/pppq2pp/2nppb2/8/8/2P1B3/PPPQBPPP/1K1R3R b - -,h8f8
1N6/2K5/3Bp3/4P3/2k5/5b2/8/1r6 w - -,c7d7
r3kb1r/pp2pp1p/1qn3p1/3p1b1n/2pP1B2/2P1PN2/PP1N1PPP/R1Q1KB1R w KQkq -,f4g3:b2b3
r2r1bk1/3n1ppb/q1p1pn1p/pp1p4/2P1P3/PPQP1NPP/1B1N1PB1/3RR1K1 w - b6,c3c1
rnbqk2r/pp2bppp/4pn2/3p4/3P1B2/P1N2N2/1P2PPPP/R2QKB1R b KQkq -,a7a6
r4rk1/1p1b1pbp/p2p2p1/n1nP4/Pqp1PP2/2N1B1N1/RPQ1B1PP/5RK1 w - -,e4e5
rnbqkb1r/ppp1pppp/1n1p4/4P3/3P4/1B6/PPP2PPP/RNBQK1NR b KQkq -,d6e5:c8f5
4r3/1pp1n1kp/1q1nPpp1/p7/P5P1/1PQRN3/5PBP/6K1 b - -,h7h6
r4r1k/1pqb2pp/p2p1p2/b2Q4/P3PP2/3R2PP/1BP3B1/5R1K b - -,c7c2
r1bqk2r/ppp1ppbp/1n4p1/3Pn3/4P3/2N2N2/PPQ2PPP/R1B1KB1R w KQkq -,f3e5
2R1r1k1/3n1ppp/b3qn2/p2p4/Np3B2/1B3P2/PP1Q2PP/5RK1 b - -,e8c8
4n1r1/p1r2N1R/kp2p3/P2b4/1P1B3R/2P5/3K1P2/8 w - -,a5b6
r7/1p2k2p/2r5/p1p1P3/3p1P2/3b2P1/PP1N1K1P/2R1R3 b - -,c5c4
r4r2/2R2pkp/q1p2p2/2Pp1P2/1p1P4/1P4QP/6P1/4R1K1 b - -,g7h8
1r1qrnk1/2nb1ppp/p2p4/1ppPpPb1/P1P1P3/1PNQ1NPP/6B1/R3BR1K b - -,g5f6
5rk1/5ppp/p3p3/1p1nN3/1P6/P1n1B1P1/4P1KP/R7 w - -,e3c5
8/8/2kp3R/1p4p1/1P6/2K2b2/2P5/8 b - -,g5g4
1n6/rp2Qrk1/2p3pp/q4p2/2P5/pR1P1BP1/P3PP1P/5RK1 w - -,e7e3
8/1p5p/p3N3/8/P4K1k/7P/1P6/8 b - -,h7h6
R7/8/3kp3/3r4/p7/4KP1p/3p3r/3R4 b - -,h2g2
8/5nk1/1p2q3/p1p2b2/P1P4Q/8/1P4P1/5RK1 b - -,e6e4
8/p1R2pkp/1p4p1/2pB4/2q5/8/P4PPP/3R2K1 b - -,c4e2
r4rk1/pp2pp1p/1q3bp1/3p1b2/P2PnP2/2P2N2/1P4PP/RBB1QR1K b - -,b6a6
r2q1rk1/1p3pbp/1np1pnp1/p1Q5/P2PP3/2N2B2/1P1B1PPP/R2R2K1 b - -,f6d7
1r3rk1/2p1qpp1/2b1p2p/pp5P/3P4/5N1Q/PPP2PP1/2K3RR w - b6,f3e5
8/8/8/8/8/6k1/4K3/5N1q b - -,g3f4
2rqr1k1/3bppbp/3p2p1/p3n1Pn/3NP3/NBP1BP2/PP1Q3P/1K1R3R b - -,a5a4
r4rk1/ppp1nppp/2n1q3/1N3b2/4N3/2PBQ3/PP3PPP/2KR3R b - -,e7d5
6k1/p3q1pp/5p2/2PQ4/3P4/2P2NP1/Pr3PP1/Rb4K1 b - -,g8f8
r2qk2r/bpp2pp1/2np1n1p/p3pb2/2P4N/P1NPP1PP/1P3PB1/R1BQ1RK1 b kq -,f5d7
5r2/p3q1k1/1p2bpp1/2p1p2p/3rP2P/1P1PNRP1/P3P2K/2Q2R2 w - -,e3c2
rnbqk2r/pp2npb1/2p3pp/3pp3/2P5/NQ1P1NP1/PP2PPBP/R1B2RK1 b kq -,e8g8
2b2rk1/2p3pp/p3pp2/2Np4/3P4/4P1P1/P4P1P/1R4K1 b - -,e6e5
r1bq1rk1/1p2n1bp/2pp1np1/1P2pp2/2P5/2NPP1P1/4NPBP/1RBQ1RK1 b - -,d6d5
r1b2rk1/1p2q1bp/p1pp1np1/5pBn/3P3P/2NBPN2/PPQ2PP1/1K1R3R b - -,e7f7
5r2/p6k/b5p1/2b2p2/B3p1P1/2Bp4/n5NP/5R1K w - -,c3d2
8/8/1p6/1P2k3/1P2P1p1/4K3/8/8 w - -,e3d3
r2qkb1r/ppp1pppp/2np1n2/8/2PP2b1/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,e2e3:d4d5
8/2k1bp2/p3p1p1/n1p1P1P1/2P2P2/2PKB3/P4RB1/7r b - -,h1d1
8/5p1k/1p2p3/p1p2p1p/P2r4/1P1P2P1/4PP1P/2R1K3 b - -,h7g6
7R/1r6/5pk1/7p/5K2/8/8/8 b - -,b7b4
r1q1r1k1/p2bppbp/np1p1np1/3P4/2PN4/2N1B2P/PP2BPP1/2RQR1K1 w - -,e2f3
3r1rk1/pR5p/2p5/2p3n1/2b4Q/7P/P1q3B1/6RK w - -,h4g5
rn1qk2r/pp2bppb/2p1pn1p/3p4/3PP3/5PP1/PPP2NBP/RNBQ1RK1 w kq -,e4e5
r1bq1rk1/pp3ppp/2n2n2/1Nb3B1/3p4/5NP1/PP2PPBP/R2Q1RK1 b - -,a7a6
2kr2r1/ppp2p1p/2n2n2/8/2PP4/P3BB1b/2Q2PP1/R2R1KNq b - -,h3g2
r2q1rk1/pp2ppbp/2np1np1/8/3PP1b1/3B1N2/PP1NQPPP/R1B2RK1 w - -,e2e3
8/5k2/2p2b2/1p1b2p1/p7/P1P1K1P1/1P6/5R2 w - -,f1f5
2r5/pp1b1pk1/n2p2p1/3Pp1q1/1P2P3/P1NQ1P2/2R3Pr/3NK1R1 b - -,a6c7
8/3P1ppk/1b4rp/6q1/4QRP1/8/5PK1/2R5 b - -,g5b5
kr5r/p3bpp1/2n1p2p/3pP2P/nPpP2N1/P4N2/4RPP1/1R2BK2 b - -,a7a6
