8/8/5b2/3K1kp1/2RN1p2/8/8/8 b - -,f5g4
r2r2k1/pp1qnpb1/4b1pp/1P6/1Q1pP3/3P1N2/1B1N1PPP/R1R3K1 b - -,g6g5
r1b2rk1/pp2ppbp/3p2p1/q1n5/2P1P3/1PN5/PB1QBPPP/R4RK1 w - -,f1d1
r1bqk2r/pp3ppp/2nbpn2/2pp4/8/1P1P1NP1/PBP1PPBP/RN1QK2R w KQkq -,b1d2
1kr4r/pp1nq1p1/1n2ppp1/2b3B1/4P3/1B3N1P/PP2QPP1/1K1R3R w - -,g5d2
2k5/pqp3p1/2rrpb1p/3p4/3P2PP/R4N2/PP1Q1P2/1K2R3 b - h3,c6b6
8/6k1/1p2p3/1B2r1p1/P1p2P2/1pPb1P2/1P1R1K2/8 b - -,g5f4
1k1r1r2/2n2pp1/B3p2p/p3N3/Pb6/1R2P2P/6P1/2R3K1 w - -,e5c6
3r1r1k/1pp1q1pp/3p4/1pnQp3/4P1N1/P1P3PP/1P1R1P2/2K1R3 w - -,d2e2
q1r2rk1/3n1pbp/pp1pp1p1/8/1PP1BP2/1N2B2P/P4QP1/2RR2K1 b - -,a8e4
5bk1/2q2r1p/2p1b1p1/Npn1p3/4P3/P3N1P1/2RQ1PBK/8 b - -,f7d7
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/2N2N1P/PP2PPP1/R1BQKB1R w KQ -,c1f4
rnb1r1k1/pp3ppp/2pb1nq1/8/4p3/1PN1N1PP/P1QPPPB1/R1B1K2R b KQ -,a7a5
5r2/1pknq1r1/p2p2P1/2pPpR1B/P1P1P1P1/2N5/1P3Q2/2K5 b - -,e7g5
r1bq1rk1/ppp3bp/3p1nn1/2PPp1p1/4Pp2/2NN1P2/PP2BBPP/2RQ1RK1 b - -,f8f7
5rk1/pb3pbp/1p2p1pB/3q4/r2PNQ2/P1P2P1P/6P1/2R1R1K1 b - -,f7f6
r4bk1/p4p2/2p1b2p/3p2p1/NP2n2B/2P5/P1B1RPPP/6K1 w - g6,f2f3
1rb2rk1/p1p1qppp/2p5/2b1P3/4pPP1/2N1B2P/PPP1Q3/R3K2R w KQ -,e1c1
2kr1bnr/1bp1qppp/p1np4/8/Pp1PP3/1B3N2/1P3PPP/RNBQ1RK1 w - -,a4a5
rn1q1rk1/pb2bppp/1pp1pn2/3p4/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 w - -,e2e3:b1d2
r1bq1rk1/pp1n1ppp/4p3/3pb3/1P6/P1P3P1/1B1NPPBP/R2Q1RK1 w - -,e2e4
6rk/p1pR4/1p3r2/1P2p3/6bq/P3P1R1/4NQB1/4K3 w - -,g3h3
5q2/1p2n2k/p3p1pb/2p1P3/2PrBB2/6PQ/PP4P1/4R2K b - -,d4c4
r4rk1/pb1qppbp/1pnp1np1/8/1PP5/P3PN2/1BQNBPPP/2RR2K1 b - -,a8e8
r2qk2r/1pp1n1b1/p2p2n1/3PppB1/4P1b1/2N5/PPPQN1PP/2KR1B1R b kq -,f5f4
8/8/KPk3p1/p3Pp1p/R4P1P/8/8/2r5 w - -,b6b7
2r3k1/1q2pp2/pprp1np1/7p/2P5/1P1N1QPP/P3PP2/2RR2K1 b - -,c6c7
8/b4k2/4pp2/NPp1p3/4P1PP/2P5/4K3/8 b - -,f7g6
r2q1rk1/p2b2bn/np1p2p1/2pPp1Pp/1PP1Pp1P/P1N2P2/3BBN2/1R1QK2R b K -,f8f7
2r3k1/2P1b3/8/4pp2/R2p2p1/3P4/4K3/N7 b - -,c8c7
8/8/8/8/8/1pQ5/5qPK/1k6 b - -,f2f4
r7/3q1pkp/1b2p1p1/1pp1PP2/3pP1P1/1P1Q3P/2R5/2R2K2 b - -,h7h6
3r2k1/p7/1p5p/3PR3/8/P6P/5KP1/8 b - -,g8f7
5b2/2R5/p4pp1/1p3k1p/1P2rP2/P7/5KPP/2B5 w - -,g2g3
2r2bk1/5p2/4p1pp/1QB2q2/p2PP2P/6P1/P1R2P1K/8 b - e3,f5e4
5k2/1p6/4qp2/p4B2/3B1P1r/P3P2p/1P5R/1K4R1 b - -,e6f5
r2q1rk1/ppp2ppp/3b1nn1/3Pp3/4P3/2N1BPPb/PP1NB2P/R2QK2R b KQ -,d8e7
r2q2k1/ppp1npb1/3p2pp/1P3p2/2PPr3/2N1P1PP/P4P2/R2QNRK1 b - -,e4e6
1Q6/3R4/3pp3/K3k2p/P3b3/8/5p1P/8 b - -,f2f1q
