6k1/4R1P1/5K2/r5P1/8/8/8/8 b - -,a5a6
1N2k3/p1R3pp/8/5N2/1p2Pn2/1P3P1P/P4K1b/4R1r1 b - -,f4d3
6k1/1R3p1p/1p4p1/8/P7/6P1/1r1r1P1P/R5K1 w - -,a1f1
4r2k/p3N2p/2p5/2p1p3/8/2pP2PP/2P2R1K/r7 w - -,e7c6
2rq1rk1/3n1p1p/p4b1B/1p1p4/4p2P/PNNB1b2/1PPQ4/2K1R3 w - -,c3d5
r3r1k1/pq3p1p/2p1b1p1/B3b3/4p3/QP2P2P/P3BPP1/2RR2K1 b - -,e6d5
2r3k1/3n1p1p/p2b2p1/8/3pB3/1P4P1/P1PB1P1P/R5K1 w - -,a1d1
2k1r3/1pp1q3/p1bp1p2/4n1p1/3Q2P1/1PP2PB1/PKP1B3/5R2 b - -,c8b8
r2qk2r/pp1n1ppp/2b1p3/8/3P4/5NP1/P2QPPBP/R1R3K1 b kq -,e8g8
r2qk2r/1p1nbp2/p2pbnp1/4p1Bp/4P3/2NB2NP/PPP2PP1/R2Q1RK1 w kq -,d1f3
r1bk4/pp4p1/2n1p2p/NB2n3/4PB2/8/PK4PP/5R2 w - -,b5c6
2r5/5qkp/p2R1pp1/1pQNp3/1P6/6P1/P3PP1P/6K1 b - -,c8c5
2r3k1/pb2q1pp/1p3p2/n2Pp3/4P3/3B4/PQRN1PPP/6K1 b - -,c8c2
r5k1/1p1b3p/np2rqp1/8/2B1p3/7P/PP1Q1PP1/3RK2R b K -,b6b5
rnbqR1k1/p4pbp/3p1np1/1NpP4/8/3B1N1P/PP3PP1/R1BQ2K1 b - -,f6e8
5r1k/pb2q2p/1p6/3p4/B2Ppp2/8/P2Q1P1P/1R5K w - -,b1g1
8/p4pkp/2b1p1p1/4P3/n2B4/2P2P1P/6P1/5BK1 w - -,f1a6
r1bq1knr/ppp1bBpp/3p4/n3p3/3PP3/1QP2N2/P4PPP/RNB1K2R w KQ -,b3a4
8/5K1k/8/7p/7P/5B2/8/8 w - -,f3h5
3k4/p7/2P1B3/3P3p/3bq2P/5RK1/P7/8 b - -,e4e1
2r2rk1/1b1nbppp/pq2pn2/1Pp5/4P3/1PNP1NP1/2Q2PBP/R1B2RK1 b - -,a6b5
r2nk2r/1bq1bppp/p2pp3/1p4P1/n3PP1P/1NN1B3/PPPQ4/1K1R1B1R w kq -,f1d3
2rbb1k1/pp3ppp/4pn2/2q5/2N5/2N1P3/PP2QPPP/1B1R3K b - -,f6d5
r7/P1p2kpp/1bN2p2/8/3P4/6P1/5P1P/R5K1 w - -,a1e1
r7/3nk2p/1pbp2p1/4ppB1/1PP1P3/5PPB/rR5P/1R4K1 b - -,e7e8
r2qk2r/pp1nppbp/3p1np1/2p5/4PP2/1P1P4/PBP3PP/RN1QK1NR w KQkq -,g1f3
5rk1/2pb1pp1/4q2p/2pnP3/1b6/1P3NP1/r2BQPBP/1RR3K1 w - -,e2d3
2r1kb2/1R1n1p2/p2p4/4p3/4B3/2P1B3/P1P2P2/4K3 w k -,e4f5
2r2rk1/3qbppp/p3pn2/np1p4/1P1P1B2/P1N1PB1P/2R2PP1/1Q3RK1 b - b3,a5c4
5q1k/5p2/r2p1Pp1/1b1NnB1p/p1Pp3P/P2P2P1/8/2Q3K1 w - -,c4b5
r1b2rk1/2qn1pbp/4p3/p2p2P1/3NnN2/2P1B3/1PQ1B1PP/R4R1K b - -,c8a6
