8/8/5R2/5p1k/5P2/4PK2/r7/8 b - -,a2a5
8/2k5/8/5p2/1R4p1/1p4P1/5PK1/1r6 b - -,c7c6
2r1r3/pp1kb2p/q1n1p1pP/3p2P1/3P4/P2N1N2/1P3PK1/2RQR3 w - -,d3e5
6R1/5p1k/8/p7/b1r5/4KPR1/1p5P/8 w - -,g8g7
2k2r1r/1ppb1R1p/5b2/2P5/2B5/8/P4PPP/4R1K1 b - -,f8f7
8/4p3/8/3k4/1P1P2B1/4K1P1/7r/8 b - -,h2b2
r5k1/3q1pB1/pp4p1/2pP3p/6nP/P1NR4/1P1Q1PP1/4rK2 w - -,d2e1
2kr2r1/pp6/2p1bq2/7p/3P4/4NnPP/PPQ1N3/1K1R3R b - -,f3d4
4r3/1p6/p1bP1k1p/2P3p1/5pB1/2R5/P4KPP/8 w - -,c3c2
1r3rk1/3bppbp/q2p1np1/n1pP4/P3P2Q/2N3P1/1P1N1PBP/R1B2RK1 b - e3,b8b4
8/4k3/3p1p2/2pP1Pp1/1nP3K1/1P5P/3b4/1B1N4 b - -,e7f7
rnbqk2r/pp1nb1pp/4pp2/1NppP1B1/3P3P/8/PPP2PP1/R2QKBNR w KQkq -,f1d3
r4rk1/1p1qn1b1/p1n1b3/2p1p1NP/2PpP3/N5P1/PP3PB1/R1Q1R1K1 w - -,f2f3
r1bq1rk1/pp2ppbp/1np3pB/3n4/4N3/3P2P1/PP1QPPBP/2R1K1NR w K -,g1f3
2b3k1/p5pp/1p1p1r2/3Pp1qr/2P1Pp2/2PB1PnP/3B1QPK/R5R1 b - -,f6h6
1q1r2k1/5pp1/4p2p/4P3/p1pQ4/P3P3/1P4PP/2R3K1 w - -,d4c4
2r3k1/p6p/8/1Pq3p1/3pR3/1br3P1/1Q4BP/4R2K b - -,b3d5
8/2k5/4KBp1/4P3/8/8/8/4r3 w - -,e6f7
rqb2k2/1p2rpb1/1B1p1np1/p2Pp2p/P3P1P1/2N3QP/1PP1BP2/R3K2R b KQ -,h5g4
4r1k1/ppp3pp/3bP3/3P1r2/2P5/8/PP4PP/R1B1R1K1 b - c3,h7h5
8/pP1n1k2/1p1pp2p/6P1/1P3P2/P2K1B2/1B6/6b1 b - -,h6g5
6k1/6p1/1bNqpp1p/1P1p4/r7/3RP1PP/1Q3K2/8 w - -,f2g2
3rk2r/pp3pp1/2n1pnp1/3q4/3P1QP1/5NNP/PP3P2/3R1K1R b k -,d5a2
r1bqr1k1/1p1n1pb1/2p3pp/p2p4/3P1N2/P1N1P3/1P1QBPPP/2R2RK1 b - -,g7f8
r5k1/5p1p/8/1N1Pb3/4P3/1Q1q4/5P2/1R4K1 b - -,d3e4
r1b1r1k1/pp1q1pp1/2n2n1p/2p2P2/2N1pB2/2PP2P1/P3P1BP/1R1Q1RK1 b - -,f6d5
4r1k1/p3rpp1/2R2b2/1P5p/P2p4/3R2P1/3B1P1P/5K2 b - -,e7e6
2r2rk1/pp2ppbp/2npbnp1/q7/2PNP3/1PN1BP2/P2QB1PP/2R1K2R b K -,a7a6
r1bq1rk1/pp3ppp/2p5/2Ppb3/3P4/2N2Q2/PP3PPP/R3R1K1 w - -,e1e5
5r2/pp3P1p/3p3k/2pPp3/2b3R1/6P1/1P3RK1/8 b - -,c4d5
4r1k1/pp1q2p1/2nbpr1p/3p4/3P4/P1B1RN2/1P2QPPP/4R1K1 b - -,d6f4
3r2k1/p4pb1/3p1np1/4p3/1P1BP1P1/P4P2/3KN3/7R w - e6,d4a7
8/p1r4p/7R/PP4k1/1K4p1/8/7P/8 w - -,h6c6
r3r1k1/1Qp1n1p1/p2q1bpp/3p4/3P2P1/2N1PN1P/PP3P2/2R2RK1 w - -,b7b3
3rrnk1/1p2p2p/1q2b1p1/2p1P3/1PP2R2/2BB2P1/2Q4P/5R1K w - -,b4b5
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/5NP1/PPQ1PPBP/RNB2RK1 b kq d3,a8c8:c6c5
5b2/8/8/1P2k3/K7/8/P7/8 b - -,e5d5
r4rk1/p2qp2p/5Pp1/P2p4/2pPn3/B1P1P3/2Q3PP/R4RK1 b - -,f8f6
2n1r3/p1P1kp2/2R5/4P2p/4P3/6PB/1r6/3R2K1 b - -,b2b6
2r1r1k1/2qn2pp/p3p3/PQn1p3/2R5/2P1N1P1/5P1P/2B2RK1 w - -,b5b1
r2qk2r/1b1nppbp/p2p1np1/1pp5/3PP2P/P1N1BP2/1PPQ2P1/2KR1BNR w kq c6,d4c5
5k2/8/3p4/6K1/1p3PP1/p7/1r6/7R b - -,a3a2
