8/5p2/4n3/5kpp/1R1b4/6PP/5PK1/8 w - -,b4b7
r5k1/3Qb2p/5pp1/6N1/Pp6/7P/1q3PP1/R5K1 w - -,a1e1
r1b2k2/1pNnbBpp/p4n2/6B1/8/8/PPP2PPP/2KR3R b - -,a8a7
rn1q1rk1/ppp1bppp/4pn2/2Pp4/1P1P2b1/2N1PN2/PB2BPPP/R2Q1RK1 b - -,b8d7
r4rk1/pp1bqppp/3bp3/2p5/2PPB3/4QN2/PP3PPP/3R1RK1 b - -,f8d8
8/p2q2kp/4r1p1/2p1P3/1p3QP1/1P6/P7/1K2R3 w - -,e1f1
1k6/1p3nr1/p4p2/P2Ppp2/1P6/4PBPp/2R2K1P/8 w - -,c2c5
rnbqk2r/1p3ppp/2pbp1n1/pP1p4/N1PPP3/P3BP2/6PP/R2QKBNR b KQkq c3,c6b5
6k1/8/RP2p3/P5pp/1r3p2/5K1P/6P1/8 w - h6,a6a7
r1q2b1k/1p1nr2p/b1p1B1p1/p4P2/3N4/4B1P1/PP3Q1P/2RR2K1 b - -,g6f5
4rr2/p1p4p/1pBp1kp1/PP3n2/2P5/6P1/5PKP/R3R3 b - -,e8e7
2b2rk1/4r1p1/2pqp2p/p1N5/1ppPRPP1/2n2Q2/2B4P/5RK1 b - -,e7f7
6k1/ppN4p/2pp4/4n3/2Pb3B/5P1b/Pr5P/3R2RK b - -,d4g1
r1bq1rk1/pp2bppp/2n1pn2/2p5/4P3/5NP1/PPPN1PBP/R1BQ1RK1 w - -,c2c3
2r1kr2/ppq2ppp/2n1b3/1BR5/8/5QP1/PPP4P/2K1R3 w - -,b5c4
1R6/5pkp/4p1p1/3n4/R7/7P/2r2PPK/8 w - -,h2g3
2rr2k1/pb2qppp/1p2p3/2nP4/1Q6/P3PN2/1P1RBPPP/3R2K1 b - -,d8d5
2r2rk1/p3q2p/bppb4/3n1pp1/2NPp3/PP2P1P1/1BQ2PBP/2RR2K1 w - g6,g2f1
8/b3p3/3pP3/P2Pk2B/1p6/1P1K4/8/8 w - -,d3c4
6r1/1R4p1/p1rb1k1p/Bp5P/2p2P2/2P3P1/6K1/3R4 w - -,b7d7
r4rk1/pp3ppp/2qbpn2/3pNb2/1B1P4/1Q2P3/PP3PPP/RN3RK1 b - -,c6b6
3r2k1/p3bpp1/1p2n2p/2pB3n/2P1P3/2P2NB1/P5PP/1R5K w - -,g3e5
6k1/5pb1/7p/2R3p1/3p2P1/P2P2r1/r3PNn1/2B1RK2 w - -,f2e4
2rrb1k1/1p2qppp/p1n5/4p3/BP6/P3PN1P/4QPP1/2RR2K1 b - b3,g7g6
8/1p1R4/4p1kp/4P3/2p5/P3r1P1/5K2/8 b - -,e3a3
r1bqk1nr/pp1p1ppp/2N5/2b5/2p1p3/2P3P1/PP1PPP1P/RNBQKB1R b KQkq -,d7c6
5b2/8/5k2/5pp1/2NP3p/2nBPK1P/5PP1/8 b - -,c3d5
8/6pk/2R5/p7/6rp/2K5/8/8 w - -,c3d3
8/pp1q3k/2p2p1p/2P1pNrP/1P2P3/1Q3KN1/P7/8 w - -,a2a4
r1bqr1k1/pp3pbp/3p1np1/2nP4/P1p1P3/2N2N1P/1PB2PP1/R1BQR1K1 b - a3,d8b6
5rk1/1pp1rpb1/pn1p2p1/6p1/1PPPp1q1/P1N1P1P1/1BQ2PB1/3R1K2 w - -,c3e2
r7/4k1p1/2p2p1p/1pn4P/4P3/n1P3P1/R1BRK3/8 b - -,a8a6
r1b2rk1/1pq1ppb1/p2p2pp/3Bn3/4P2B/2P4P/PPN1QPP1/R2R2K1 b - -,g6g5
r2r2k1/pp1qppbp/n2p2pn/2pPP3/5PP1/2N2N1P/PPP1Q3/R1B2RK1 b - -,a6c7
r4rk1/pp2qpp1/nbppbn1p/4p3/2P5/1PN3P1/PBNPPPBP/1R1Q1RK1 b - -,f8d8
r1b1k2r/pp1nb1pp/1qn1pp2/3pP3/2pP1P1P/P1P2NP1/1P6/R1BQKBNR w KQkq -,f1h3
1r1q4/pbk1n1Q1/2n1B3/1pN1Pp2/2pP1P2/2P5/3BK3/1R6 w - -,d4d5
8/8/1Q3k1p/6p1/4pq2/3r2R1/4p1PK/8 b - -,d3d6
5n2/8/p2Pk3/1p2p1P1/1P2K2N/8/P7/8 b - -,e6d6
6k1/2p2p2/n6p/5RP1/Pr1B4/1p5P/1P2K1P1/8 b - -,b4d4
2bq1rk1/p2pnpbp/2n1p1p1/8/4P3/R3N1P1/1rP1NPBP/2BQ1RK1 w - -,c1b2
3r3k/p1p3pp/1p1b1r2/7q/3P1P2/1P2RQ2/PB4N1/5RK1 b - -,h5f7
