2kq4/7p/4Q3/4B3/4bPP1/6KP/8/8 b - -,d8d7
k1r5/q5pp/4rn2/1R1pN3/1Q6/8/5PPP/1R4K1 w - -,b5a5
8/1p6/1p1k1p2/1B4p1/P3Kn1p/1P3P1P/2R3P1/3r4 b - -,f4d5
R7/2R5/3p2k1/3P1pPp/3bpp1P/1q3P2/5N2/5K2 b - -,b3d5
2kr3r/5p2/2p1pR1p/1p5P/3P2P1/2R5/qpPKQ3/8 b - -,b2b1n
8/5kp1/R7/4p3/6K1/Pr3PP1/8/8 w - -,a3a4
r2qr1k1/2p2pp1/p1n2n1p/1pbpp3/4P2N/1PPP4/1P3PPP/R1BQRNK1 w - -,d1f3
4r1k1/2qnppbp/rpp3p1/p2nN3/P2P4/2P3N1/1PQB1PPP/R3R1K1 w - -,e5d7
r3k2r/p3ppbp/1p4p1/nR6/3p3B/2P1PN2/P4PPP/5RK1 w kq -,c3d4
2nr1rk1/p4ppp/Qp4n1/3Nq3/B7/3R3P/PP3PP1/3R2K1 w - -,a4b3
1rb2rk1/2q1bppp/p1nppn2/8/1p2PP2/PN1B2Q1/1PPBN1PP/R4R1K b - -,b4a3
1r4k1/3npp1p/3p2p1/NqpP4/R2bP3/1P5P/4RPPK/3Q4 b - -,d7e5
1r6/3rkppp/4p3/p1p1n3/PpP5/1P4P1/3RPPBP/3R1K2 w - -,f2f4
8/1p1qk2p/p1p2pp1/2P5/1P3P2/P6P/3Q2PK/8 w - -,d2e1
8/8/8/4p1k1/4P1P1/R4KP1/2r5/8 b - -,c2b2
1k6/p4pp1/p1Pn4/P2Np1Pp/1P6/7K/5P2/8 b - -,d6f5
4r1k1/2q2pp1/2p4p/pp1n1P2/3Pr3/1P3Q2/P1NR2PP/5RK1 w - -,f1c1
8/3Rn3/4pkp1/4N3/3PKP1r/4P3/8/8 b - f3,g6g5
8/p4pk1/1p4pp/1P2r3/5bP1/3B4/7P/5R1K b - -,g6g5
2r1k2r/1b1qnp2/p3p1pp/3pP2P/1p1P1PP1/4Q3/PP2B3/KN3R1R w - -,e2d3
bnn2rk1/2R2ppp/1pp5/4P3/3N4/2N3P1/5PBP/6K1 b - -,c6c5
r6r/p4kpp/N1pb1p2/3n1P2/8/1P6/PBPP1R1P/R3K3 b Q -,a8e8
2r5/b5k1/b2p1pPp/P1pNp3/2P1P3/2B3PP/3NnK2/1R6 b - -,e2c3
1r2r3/p5kp/2b3p1/3pP3/2p2P2/2P4P/P4R1K/3BR3 b - -,b8b1
8/4k3/1NB4p/1p2Pp1P/2b5/K7/3b4/8 b - -,e7e6
8/8/4k3/8/8/1r6/6K1/6B1 b - -,b3b2
rnbqk2r/ppp1bppp/4pn2/3pP1B1/3P4/2N5/PPP2PPP/R2QKBNR b KQkq -,f6e4:f6d7:f6g8
8/4p2p/3p1k2/1p6/5pR1/P2P3P/1P4K1/2r1R3 b - -,c1e1
5r1k/6pp/p2q4/1p1rp3/8/1PP1Q2P/P4PP1/2R1R1K1 b - -,h7h6
5K2/8/7p/6kP/8/8/3pB3/8 w - -,f8g7
r2r2k1/pbq1bpp1/1nn1p2p/2p1P3/1pP2B1P/1P3NP1/P3QPB1/R2R1NK1 b - -,d8d1
2r1r1k1/R4pb1/3p2pp/1p1P3n/1Pp1P3/2N1Bq1P/2BQ1P2/4R1K1 w - -,a7a3
r4rk1/ppqnbppp/2p1pn2/8/3P2PP/2N2Q2/PPP2P2/1KBR1B1R b - -,f6d5
r4rk1/2q1b1pp/1n1p1n2/3Pp3/pp5P/3BBQ2/PPPN1P2/1K4RR w - -,f3g2
r4rk1/3n1pp1/p2Q1n1p/4p3/q6P/B4PP1/1R2N1K1/2R5 b - -,e5e4
1r3rk1/2pb2bp/p1pq2p1/3pp1BP/3P2P1/2NR4/PPP1Q3/2K4R w - e6,d4e5
1q2bn1k/4Nnbp/3P2p1/4P3/2p5/5Q1P/1P4P1/2B2R1K b - -,g7e5
2r2b1k/3q1pp1/p6p/1p1pPN1Q/8/6RP/6PK/8 w - -,f5e3
rn1q1rk1/pb2ppbp/1p1p1np1/P7/3P4/5NP1/1P1NPPBP/R1BQ1RK1 b - -,b6b5
1r2Bk2/R4pp1/1P6/2K2P2/8/8/5P2/8 b - -,f8e8
8/8/1pr3k1/p2R2p1/6P1/6N1/Pb3PK1/8 b - -,b2c1
5rk1/1b3pb1/p2pp1np/1q4p1/3PPn2/1P2NN1P/3Q1PPB/1BR3K1 w - -,e3c4
2r1k1nr/pp1bbppp/1qn1p3/3pP3/3P4/3B1NP1/PP2NP1P/R1BQ1K1R w k -,f1g2
r4rk1/1bqp1ppp/p1n1p3/1p4Pn/1b1NP3/2N1BP2/PPPQ3P/1K1R1B1R w - -,a2a3
3r4/5pkp/2p3p1/1pp5/2P1PP2/1B2R1PP/Pb6/5K2 w - -,e3e2
5b2/6k1/6p1/3K4/rpN3P1/5R2/8/8 b - -,a4a8
r3r1k1/2p2pb1/1p1pq2p/p5pn/2P1P3/1P1B1PPP/RP1Q1BK1/3R4 w - -,d3e2
r1bqr1k1/pp3pb1/2np1npp/2p2PB1/2P1P3/2NB1N2/PP4PP/R2Q1RK1 w - -,g5h4
1r3rk1/pb1n3p/4pbp1/2pp4/5P1P/2P1B3/PP1RN1P1/1K3B1R w - -,h4h5
2r1b1k1/6p1/4pp1p/2P5/p2P4/B4P2/1R3KPP/8 b - -,e8c6
rnbq1rk1/pp2ppbp/2p2np1/4p3/2BP4/5N2/PPP1QPPP/RNB2RK1 w - -,d4e5
8/1R3p2/1p2rkp1/p6p/8/1P2PK1P/P4P2/8 w - -,f3g3
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/4P3/1B1P1N2/PPP2PPP/RNBQ1RK1 w - -,c2c3
r1b1k2r/pp5p/2p1nbp1/2q2p2/7P/2N1P3/PPQRNPP1/2K2B1R b kq -,c8d7
8/4kp2/4p3/2r5/2P4p/3K2P1/4RP2/8 w - -,g3h4
r2qk1nr/1p2b1pp/p1npb3/4p3/2P5/N1NB4/PP3PPP/R1BQK2R w KQkq -,e1g1:a3c2
r1b2rk1/pp3ppp/2n2n2/4p3/2p1P3/2P2P2/PN1B2PP/R3KB1R b KQ e3,c8e6
5rk1/ppq2ppp/3rpn2/2p5/2P5/1P3N2/P2PQPPP/R2R2K1 w - -,d2d4
1r6/2p2pkp/3b2p1/3B4/5p2/7P/2P2PP1/3R1K2 b - -,h7h5
1r3k1r/1p6/p2Np1Rp/2nbP3/5P2/1P4P1/P2N3R/6K1 w - -,g6h6
5rk1/5pp1/4p2p/3p4/4RPP1/2B5/1PPK3P/r2R4 b - -,a1d1
1r2r1k1/5qpp/p7/2pP2Q1/2P1p3/2B3P1/P4P1P/4R1K1 b - -,e8f8
2b2rk1/r1q2ppp/pQ6/2NBp3/2Pn4/8/PR3PPP/3R2K1 b - -,f8e8
3rr1k1/5pp1/pnq4p/1p1bp3/1P2N3/1BP1Q2P/P4PP1/2R1R1K1 w - -,f2f3
8/2q3k1/2p2rp1/6R1/p5PP/P2R1P1K/2Q5/4r3 w - -,h3g2
r1r3k1/1p3pbp/1n2pnp1/1P1p4/q2P4/p2BPQ1P/P2B1PP1/1NR2RK1 w - -,b1c3
r2q1rk1/pbpn1pb1/1p1p2pn/3Pp2p/2P1P3/BPN2N1P/P4PP1/1BRQ1RK1 w - -,d1d2
2r1k2r/pp3ppp/2np3B/1b1p4/3P2P1/2P2N1P/PPK2PB1/R6R b k -,g7h6
r1b2rk1/1pq1bppp/p1nppn2/6B1/3NPP2/2N5/PPPQB1PP/2KR3R w - -,e2f3
r2n2k1/ppq1bppp/8/8/Q4P2/4B3/PP3PBP/1K5R w - -,h1c1
r1bqr1k1/pp3pbp/5np1/8/2pB4/2N2P2/PP1QB1PP/3R1RK1 w - -,e2c4
r2rq1k1/5ppp/np2pn2/p2p4/3Pb3/1PB2NP1/P2QPPBP/2R2RK1 w - -,c3b2
7k/6p1/pb5p/4PP1B/3q1P2/5QKP/P3R2B/1r6 b - -,b1c1
8/8/1p3k2/p3bP2/P1R3P1/5b1K/8/8 b - -,f6g5
r3rk2/1b1nb1pp/pp1P3q/2p1p2n/P1B1N3/7P/1P3PPB/R2QR1K1 w - -,d6e7
1r4k1/p1r2pp1/R3p2p/2qnP3/2N5/1P3Q1P/5PP1/R5K1 w - -,a6a5
r1b2rk1/pp2qpb1/6pp/4N3/5P2/4P1P1/PP2Q1BP/2RR2K1 b - -,g7e5
1R6/8/8/8/8/8/2p4r/2k1K3 w - -,b8b7
2R5/8/7p/2b5/2k5/2p5/2B4r/3K4 w - -,c8g8
1kb4r/p4p1p/1pqb1nr1/2pp2p1/P2P4/2P4P/1P1N1PP1/RQB1RBK1 b - -,g5g4
2b3k1/5p2/2p3p1/2b1p1qP/2P1P3/pP5P/Q4P1K/1B4N1 b - -,g5h5
4n1rb/r3k3/7P/4P1N1/2R2P2/3p1K2/1P5R/8 w - -,c4d4
