8/8/P2k3p/1K4p1/4B1P1/4bP1P/8/8 w - -,f3f4
r1bqk2r/ppp3bp/2np1n2/5pp1/2PPp3/2N1P1P1/PP1N1PBP/R1BQK2R w KQkq -,b2b4
rn3rk1/pp1N2bp/2p1b3/5p2/1PP5/2N3P1/P4PBP/R1BR2K1 b - -,b8d7
2r1k2r/p2nb1pp/bp2p3/n2pP3/3P4/P3BNN1/1P4PP/RB1R2K1 b k -,a5b3
r1r5/1pp1qkb1/3p3p/p1nPpPp1/2P2nP1/2N1BP2/PPBQ3R/1K5R w - -,e3c5
4r1k1/2qb1pp1/1bp2n2/p2p4/P2P3P/3Q1P2/3BP1BP/R1R3K1 b - -,c7e5
1k1r3r/5p1p/1q2p1p1/2nb2P1/pp3P2/4Q3/PPPN3P/2KRRB2 w - -,f1c4
8/5p2/8/3R2k1/p2N2p1/P2n3r/1P3PK1/8 b - -,g5f6
3r2k1/p7/1p3n1p/3pR3/3P2p1/P5P1/BP4P1/6K1 w - -,g1f2
6k1/1p1n1pp1/p1bQp2p/8/P3P3/2qB1P1P/5BP1/6K1 w - -,e4e5
r1bq1rk1/4Nppp/p1np1n2/P1p1p1B1/1p2P3/1B1P1N2/1PP2PPP/R2Q1RK1 b - -,d8e7
4Q1k1/1b6/7p/2pP2p1/6R1/5B2/3KP3/1q3r2 b - -,g8g7
3q1bk1/5pp1/4b2p/1pp1QNn1/4P1P1/2P4P/1PB2PK1/r1B1R3 b - -,a1c1
1rr3k1/1b1nqppp/p2p4/P3p3/1PPpPPP1/7P/5BB1/2RQ1RK1 b - -,b7a8
rnbq1rk1/ppp1ppb1/3p1npp/6B1/2PPP3/2N2N2/PP3PPP/R2QKB1R w KQ -,g5h4:g5f4
8/1Q2k1p1/p6b/Pn1p4/7q/1P1PP3/1BPK1P2/7B b - -,e7f8
4rrk1/ppqn1p1p/2pb2p1/5QPP/3p4/3B4/PPP2P2/1KBR3R w - -,h5g6
r1b2rk1/5ppp/Pq1p1b2/3P4/2B5/N3P3/PP4PP/1R1Q1RK1 b - -,b6e3
r1b2rk1/1pq1ppb1/p5pp/2n1Nn2/5P2/2PpBN2/PP4PP/R2BQRK1 b - -,f5e3
q2rrbk1/1b3pp1/pp1ppn1p/2n5/2PNPP2/1PN1QBPP/PB2R3/3R2K1 w - -,b3b4
6k1/2p2pb1/5np1/P2P4/1Q3P1P/1PN4P/q4rB1/6RK b - -,a2d2
3r1rk1/2pq1pp1/ppp4p/1n2B3/3PP3/7P/PPQ2PP1/2R1R1K1 w - -,c2c6
1qr1k2r/1b1nbp2/pp1ppnp1/7p/2PNPP2/2N1B1PP/PP2Q1B1/2R1R1K1 w k -,e3f2
r2qk2r/1p6/p1nnpbp1/3p1pB1/P2P3P/1P3B2/2PQNP2/R4RK1 b kq -,f6g5
8/7k/1p6/P3n1p1/1P2P1q1/1B2Q1Pp/8/7K b - -,g4c8
2r5/7p/8/5p2/P2kp3/1R4pP/4K1P1/8 w - -,b3g3
r1b2rk1/1pp3pp/p1nbpq2/3p4/3P4/P2B1N2/1PPQ1PPP/3NRRK1 b - -,g7g6
4r1k1/4rp2/p2q2pb/1p1p1p1p/1P1PN2P/1Q2P1P1/P3NPB1/2R3K1 b - -,d5e4
r2qk2r/pp1b2pp/2n1pb2/3p3P/8/3BBN2/PP3PP1/2RQ1RK1 w kq -,e3c5
2r2k2/5p2/p1b1p1r1/2R1P2p/q5NQ/5P2/6PK/2R5 w - -,c1c4
3r4/1p2kppp/p1b5/P5P1/2P2R1P/1PKB4/8/8 b - -,h7h6
r1b3qr/ppk2p2/3p1n1p/2pPpP2/2P4P/2P2Q2/P3BKP1/R1B2R2 b - -,h6h5
6k1/1p4p1/1r6/5p2/8/6P1/5K1P/7R w - -,f2f3
r1bq1rk1/pp2ppbp/2np2pn/2p5/2P5/P1N2NP1/1P1PPPBP/R1BQ1RK1 w - -,a1b1
r1b1k2r/p3ppb1/1qp2n2/3p1PPp/3P4/2N5/PP4BP/R1BQ1RK1 b kq -,f6e4
r1bqkb1r/4nppp/p1n1p3/1ppp4/P3PP2/2NP4/BPPB2PP/R2QK1NR b KQkq -,b5b4
8/5pp1/6p1/8/4B2k/2K5/5P2/8 b - -,g6g5
5k2/5p2/4p1pp/1p1pP3/p2P1PP1/P2q3P/1P3QK1/8 b - -,f8e8
5rk1/3nppbp/q2p2p1/pNpP4/1rN1PP2/1P2B2P/P1Q3P1/2RR3K b - -,b4b5
3b4/3k4/8/3bB1p1/3Np1P1/4P1K1/8/8 w - -,e5b8
2r4k/1r2bppp/3p1n2/p2PpP2/2q1P3/2N2Q1R/P5PP/4B1RK w - -,g2g4
5Q2/1p2R3/p5p1/3p2k1/P2q4/4p2P/6PK/8 w - -,f8f3
r3r1k1/pp1q1ppp/n1p2n2/3p1b2/3P1P2/PPN1PP2/R5BP/2BQ1RK1 b - -,a6c7
r2rqbk1/3n1p1p/2p2np1/p1P1p1N1/PpQ1P3/4B1NP/1P3PP1/2RR2K1 w - -,g3f1
7k/1ppb1p2/3p1n2/3Pr1p1/1PP1P1P1/2NB4/R7/6K1 b - -,e5e8
rnq2rk1/1bp1ppbp/pp3np1/4N3/P2P4/2N2B2/1PP2PPP/R1BQ1RK1 w - -,f3b7
r1q1rbk1/p1n2ppp/5n2/3p4/Q1pP4/P1N1PN2/1R1B1PPP/5RK1 w - -,f1b1
3r2k1/4qpp1/5n1p/2Np1b2/1P1Q4/5P1P/6PK/3R1B2 b - -,e7c7
r4rk1/pp2bppp/2bppn2/q7/3NP2B/2NQ4/PPP2PPP/2KR3R b - -,f8c8
r3r1k1/1bq1bpp1/pn1p1n1p/1p1Pp3/4P3/1P3NNP/P1B2PP1/R1BQR1K1 w - -,c1e3
r1b2rk1/ppp2ppp/3b4/3p1q1Q/3P4/2P3P1/PP3P1P/R1B1RBK1 w - -,h5f5
8/1p1rnpk1/p1p3p1/4P1Bn/Pb5P/1B3P2/1PK1N3/6R1 w - -,g1g4
7k/p3q1pp/n1p1p3/2pp1p1b/3P1P2/2PNPP2/PQ4BP/7K w - -,d3c5
r2q2k1/6pp/p2p2n1/1ppP1r2/5P2/3Q2bP/PP4PN/R1B2RK1 b - -,g3h2
6R1/1p4kp/p3pN2/4P3/8/8/5PPK/3r4 b - -,g7f7
r1bq1rk1/p4pp1/2p4p/n1b1p3/4n3/2NB4/PPPP1PPP/R1BQ1RK1 w - -,c3e4
2r5/1pr3k1/p3ppb1/P2p2q1/3P1pPp/2N1bQ1P/1P4B1/3R1R1K b - -,c7c4
r3kbnr/1pq2ppp/p1n1p3/2ppPb2/8/P1NP1N1P/1PP2PP1/R1BQKB1R w KQkq -,c1f4
2rr2k1/ppq3pp/2p1pp2/4n3/5Q2/1PB1PP1P/P5P1/3R1RK1 w - -,d1d4
2rrb1k1/4qppp/N1n5/1p2p3/4P3/4QN1P/1P3PP1/R1R3K1 b - -,f7f6
5rk1/4bppp/p2p2b1/p1rPp3/P3P1P1/R1N2N1P/1P3P2/1R4K1 w - -,f3d2
3rr1k1/2q1bpp1/p4np1/1ppp4/2P3P1/1P2R2P/PB3PB1/3RQ1K1 w - -,b2f6
3r2rk/4p2p/p3pn2/1Pp1N2q/3n4/2N1Q3/1PP2RPP/5RK1 b - -,a6b5
8/2k5/8/PP2n3/1K6/5p2/8/5B2 b - -,e5d7
r1b2rk1/1pp4q/1p1p4/3Pp1p1/4PpP1/N1P5/PP1N3K/R2Q1R2 w - -,h2g1
8/1p6/4p3/2k1p1p1/p2pP2p/PP3P1P/2PK2P1/8 w - -,d2d3
6k1/4b3/1p1p2r1/pP1Pp3/P3Pp2/5P1b/2R3NK/2N5 b - -,g6g3
r1b2rk1/pp1n1pp1/4p2p/q1pn4/3P3B/1QbBPN2/PP3PPP/2R2RK1 w - -,b2c3
4r1k1/7p/6p1/8/1R2N1n1/4P3/5P2/6K1 b - -,e8e7
r1b2rk1/ppqnbppp/8/3pp1P1/1PPn3P/P4N2/1B1N1P2/2RQKB1R b K -,a7a5
5r2/p1r3k1/4p1p1/N1pb3p/PpBbN3/1P1P2PP/2P1R1K1/8 w - -,c4d5
1r1qb2k/2p2pp1/1P3b1p/B2pN3/3P4/P7/1PQ2PPP/3R2K1 b - -,c7b6
3R4/p4ppp/2n2p2/4k3/4p1b1/2N5/PPP1Nb1P/2K4R b - -,c6d8
8/8/5pp1/2k4p/2P2K1P/2R2PP1/r7/8 w - -,g3g4
Rr6/1r3p2/4pbk1/3p2p1/3P2P1/4P1N1/5P2/R5K1 w - -,g1g2
